a, an;indefinite, article;A1;'n, 'n
abandon;Verb;B2;verlaat
ability;Noun;A2;vermoë
able;Adjective;A2;staat
about;prep. Adverb;A1;oor
above;prep. Adverb;A1;bo
abroad;Adverb;A2;buiteland
absolute;Adjective;B2;absolute
absolutely;Adverb;B1;absoluut
academic;adj, Noun;B1, B2;akademiese
accept;Verb;A2;aanvaar
acceptable;Adjective;B2;aanvaarbaar
access;Noun Verb;B1;toegang
accident;Noun;A2;ongeluk
accommodation;Noun;B1;akkommodasie
accompany;Verb;B2;vergesel
according to;prep.;A2;Volgens
account;Noun Verb;B1, B2;rekening
accurate;Adjective;B2;akkurate
accuse;Verb;B2;beskuldig
achieve;Verb;A2;bereik
achievement;Noun;B1;prestasie
acknowledge;Verb;B2;ERKEN
acquire;Verb;B2;verkry
across;prep. Adverb;A1;oor
act;Verb Noun;A2,B1;daad
action;Noun;A1;aksie
active;Adjective;A2;aktiewe
activity;Noun;A1;aktiwiteit
actor;Noun;A1;akteur
actress;Noun;A1;aktrise
actual;Adjective;B2;werklike
actually;Adverb;A2;eintlik
ad;Noun;B1;advertensie
adapt;Verb;B2;aanpas
add;Verb;A1;voeg
addition;Noun;B1;Daarbenewens
additional;Adjective;B2;addisionele
address;Noun Verb;A1,B2;adres
administration;Noun;B2;administrasie
admire;Verb;B1;Bewonder
admit;Verb;B1;erken
adopt;Verb;B2;neem
adult;Noun adj;A1,A2;volwasse
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;voordeel
Adventure;Noun;A2;avontuur
Advertise;Verb;A2;Adverteer
Advertisement;Noun;A2;advertensie
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;advies
affair;Noun;B2;verhouding
affect;Verb;A2;invloed
afford;Verb;B1;bekostig
afraid;Adjective;A1;bang
after;prep. conj. Adverb;A1,A2;na
afternoon;Noun;A1;middag
afterwards;Adverb;B2;daarna
again;Adverb;A1;weer
against;prep;A2;teen
age;Noun Verb;A1, B1;ouderdom
aged;Adjective;B1;bejaardes
agency;Noun;B2;agentskap
agenda;Noun;B2;agenda
agent;Noun;B1;agent
aggressive;Adjective;B2;aggressiewe
ago;Adverb;A1;gelede
agree;Verb;A1;stem
agreement;Noun;B1;ooreenkoms
ah;exclam.;A2;ah
ahead;Adverb;B1;voor
aid;Noun Verb;B2;hulp
aim;Verb Noun;B1;doel
air;Noun;A1;lug
aircraft;Noun;B2;vliegtuig
airline;Noun;A2;lugredery
airport;Noun;A1;lughawe
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholiese
alive;Adjective;A2;lewendig
all;det. pron, Adverb;A1, A2;almal
all right;Adjective, Adverb exclam;A2;goed
allow;Verb;A2;toelaat
almost;Adverb;A2;byna
alone;Adjective, Adverb;A2;alleen
along;prep. Adverb;A2;saam
already;Adverb;A2;reeds
also;Adverb;A1;ook
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatiewe
although;conj;A2;hoewel
always;Adverb;A1;altyd
