a, an;indefinite, article;A1;a, nje
abandon;Verb;B2;braktis
ability;Noun;A2;aftësi
able;Adjective;A2;i aftë
about;prep. Adverb;A1;për
above;prep. Adverb;A1;sipër
abroad;Adverb;A2;jashtë vendit
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;absolutisht
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;pranoj
acceptable;Adjective;B2;i pranueshëm
access;Noun Verb;B1;hyrje
accident;Noun;A2;aksident
accommodation;Noun;B1;strehim
accompany;Verb;B2;shoqëroj
according to;prep.;A2;sipas
account;Noun Verb;B1, B2;llogari
accurate;Adjective;B2;i saktë
accuse;Verb;B2;akuzim
achieve;Verb;A2;arrij
achievement;Noun;B1;arritje
acknowledge;Verb;B2;pranojmë
acquire;Verb;B2;fitojnë
across;prep. Adverb;A1;nëpër
act;Verb Noun;A2,B1;të veprojë
action;Noun;A1;veprim
active;Adjective;A2;aktiv
activity;Noun;A1;aktivitet
actor;Noun;A1;aktor
actress;Noun;A1;aktore
actual;Adjective;B2;aktual
actually;Adverb;A2;në të vërtetë
ad;Noun;B1;reklamë
adapt;Verb;B2;përshtat
add;Verb;A1;shtoj
addition;Noun;B1;shtim
additional;Adjective;B2;plotësues
address;Noun Verb;A1,B2;adresë
administration;Noun;B2;administratë
admire;Verb;B1;admirojnë
admit;Verb;B1;pranoj
adopt;Verb;B2;miratoj
adult;Noun adj;A1,A2;i rritur
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;i përparuar
Advantage;Noun;A2;avantazh
Adventure;Noun;A2;aventurë
Advertise;Verb;A2;Advertise
Advertisement;Noun;A2;reklamë
Advertising;Noun;A2;reklamat
Advice;Noun Verb;A1, B1;këshillë
affair;Noun;B2;çështje
affect;Verb;A2;ndikoj
afford;Verb;B1;përballojë
afraid;Adjective;A1;i frikësuar
after;prep. conj. Adverb;A1,A2;pas
afternoon;Noun;A1;pasdite
afterwards;Adverb;B2;më vonë
again;Adverb;A1;përsëri
against;prep;A2;kundër
age;Noun Verb;A1, B1;moshë
aged;Adjective;B1;vjeç
agency;Noun;B2;agjenci
agenda;Noun;B2;program
agent;Noun;B1;agjent
aggressive;Adjective;B2;agresive
ago;Adverb;A1;më parë
agree;Verb;A1;bie dakord
agreement;Noun;B1;marrëveshje
ah;exclam.;A2;ah
ahead;Adverb;B1;përpara
aid;Noun Verb;B2;ndihmë
aim;Verb Noun;B1;qëllim
air;Noun;A1;ajror
aircraft;Noun;B2;avion
airline;Noun;A2;linjë ajrore
airport;Noun;A1;aeroport
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkool
alcoholic;Adjective;B1;alkoolik
alive;Adjective;A2;i gjallë
all;det. pron, Adverb;A1, A2;të gjithë
all right;Adjective, Adverb exclam;A2;në rregull
allow;Verb;A2;lejoj
almost;Adverb;A2;pothuajse
alone;Adjective, Adverb;A2;vetëm
along;prep. Adverb;A2;gjatë
already;Adverb;A2;tashmë
also;Adverb;A1;gjithashtu
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternativë
although;conj;A2;megjithëse
always;Adverb;A1;gjithmonë
amazed;Adjective;B1;i habitur
amazing;Adjective;A1;mahnitës
ambition;Noun;B1;ambicie
ambitious;Adjective;B1;ambicioz
among;prep.;A2;ndër
amount;Noun Verb;A2, B2;sasi
analyse;Verb;B1;analizuar
analysis;Noun;B1;analizë
ancient;Adjective;A2;i lashte
and;conj;A1;dhe
anger;Noun;B2;zemërim
angle;Noun;B2;kënd
angry;Adjective;A1;i zemëruar
animal;Noun;A1;kafshë
ankle;Noun;A2;kyçin e këmbës
