a, an;indefinite, article;A1;አንድ, አንድ
abandon;Verb;B2;እንዲተዉ
ability;Noun;A2;ችሎታ
able;Adjective;A2;የሚችል
about;prep. Adverb;A1;ስለ
above;prep. Adverb;A1;ከላይ
abroad;Adverb;A2;በውጭ አገር
absolute;Adjective;B2;ፍፁም
absolutely;Adverb;B1;በፍጹም
academic;adj, Noun;B1, B2;የቀለም
accept;Verb;A2;መቀበል
acceptable;Adjective;B2;ተቀባይነት
access;Noun Verb;B1;መዳረሻ
accident;Noun;A2;ድንገት
accommodation;Noun;B1;የመኖርያ
accompany;Verb;B2;አጀበ
according to;prep.;A2;አጭጮርዲንግ ቶ
account;Noun Verb;B1, B2;ሒሳብ
accurate;Adjective;B2;ትክክለኛ
accuse;Verb;B2;ፈረደ
achieve;Verb;A2;ለማሳካት
achievement;Noun;B1;ስኬት
acknowledge;Verb;B2;እውቅና
acquire;Verb;B2;ለማዳበር
across;prep. Adverb;A1;በመላ
act;Verb Noun;A2,B1;እርምጃ
action;Noun;A1;እርምጃ
active;Adjective;A2;ገቢር
activity;Noun;A1;ሥራ
actor;Noun;A1;የቴአትር ተጫዋች
actress;Noun;A1;የቴአትር ተጫዋች
actual;Adjective;B2;ትክክለኛ
actually;Adverb;A2;በእርግጥ
ad;Noun;B1;ማስታወቂያ
adapt;Verb;B2;እንዲስማማ አደረገ
add;Verb;A1;አክል
addition;Noun;B1;በተጨማሪም
additional;Adjective;B2;ተጨማሪ
address;Noun Verb;A1,B2;አድራሻ
administration;Noun;B2;ማስተዳደር
admire;Verb;B1;Admire
admit;Verb;B1;አልክድም
adopt;Verb;B2;ወስዶ እሥራ ላይ አዋለ
adult;Noun adj;A1,A2;አዋቂ
Advance;Noun Verb adj;B2;የቅድሚያ
Advanced;Adjective;B1;የላቀ
Advantage;Noun;A2;ቅድሚያ
Adventure;Noun;A2;አደጋ ያለበት ጉዞ
Advertise;Verb;A2;አስታወቀ
Advertisement;Noun;A2;ማስታወቂያ
Advertising;Noun;A2;ማስታወቂያ
Advice;Noun Verb;A1, B1;ምክር
affair;Noun;B2;ጉዳይ
affect;Verb;A2;ተፅዕኖ
afford;Verb;B1;ቻለ
afraid;Adjective;A1;ፈራ
after;prep. conj. Adverb;A1,A2;በኋላ
afternoon;Noun;A1;ከሰአት
afterwards;Adverb;B2;በኋላ
again;Adverb;A1;እንደገና
against;prep;A2;ላይ
age;Noun Verb;A1, B1;ዕድሜ
aged;Adjective;B1;እድሜያቸው
agency;Noun;B2;ድርጅት
agenda;Noun;B2;አጀንዳ
agent;Noun;B1;ወኪል
aggressive;Adjective;B2;ጥልኛ
ago;Adverb;A1;በፊት
agree;Verb;A1;ተስማማ
agreement;Noun;B1;ስምምነት
ah;exclam.;A2;ወዮ
ahead;Adverb;B1;ወደፊት
aid;Noun Verb;B2;እርዳታ
aim;Verb Noun;B1;ግብ
air;Noun;A1;አየር
aircraft;Noun;B2;አውሮፕላን
airline;Noun;A2;የአየር መንገድ
airport;Noun;A1;የአውሮፕላን ማረፊያ
alarm;Noun Verb;B1, B2;ማንቂያ
album;Noun;B1;አልበም
alcohol;Noun;B1;አልኮል
alcoholic;Adjective;B1;ሸካራም
alive;Adjective;A2;በህይወት
all;det. pron, Adverb;A1, A2;ሁሉ
all right;Adjective, Adverb exclam;A2;እሺ
allow;Verb;A2;ፈቀደ
almost;Adverb;A2;ማለት ይቻላል
alone;Adjective, Adverb;A2;ብቻ
along;prep. Adverb;A2;አብሮ
already;Adverb;A2;ገና
also;Adverb;A1;ደግሞ
alter;Verb;B2;ለወጠ
alternative;Noun Adjective;A2, B1;አማራጭ
although;conj;A2;ምንም እንኳ
always;Adverb;A1;ሁል ጊዜ
amazed;Adjective;B1;ተገርመውም
amazing;Adjective;A1;ግሩም
ambition;Noun;B1;የጋለ ፍላጐት
ambitious;Adjective;B1;ባለጋለ ፍላጐት
among;prep.;A2;መካከል
amount;Noun Verb;A2, B2;መጠን
analyse;Verb;B1;መተንተን
analysis;Noun;B1;ትንታኔ
ancient;Adjective;A2;ጥንታዊ
and;conj;A1;ና
anger;Noun;B2;ቁጣ
angle;Noun;B2;ማዕዘን
angry;Adjective;A1;ተቆጡ
animal;Noun;A1;እንስሳ
ankle;Noun;A2;ቁርጭምጭሚት
anniversary;Noun;B2;አመታዊ በአል
announce;Verb;B1;አስታወቀ
announcement;Noun;B1;ማስታወቂያ
annoy;Verb;B1;ማናደድ
annoyed;Adjective;B1;ተቸገረና
annoying;Adjective;B1;የሚያስቆጣ
annual;Adjective;B2;ዓመታዊ
another;det. proNoun;A1;ሌላ
answer;Noun Verb;A1;መልስ
anxious;Adjective;B2;አትጨነቁ
any;det. proNoun, Adverb;A1, A2;ማንኛውም
anybody;pron;A2;ማንኛዉም ሰዉ
any more;Adverb;A2;ማንኛውም ተጨማሪ
anyone;pron;A1;ማንኛውም ሰው
anything;pron;A1;ምንም
anyway;Adverb;A2;በማንኛዉም ሁኔታ
anywhere;AdVerb proNoun;A2;በማንኛውም ቦታ
apart;Adverb;B1;ተለይቶ
apartment;Noun;A1;መኖሪያ ቤት
apologize;Verb;B1;ይቅርታ
app;Noun;A2;መተግበሪያ
apparent;Adjective;B2;ግልጽ
apparently;Adverb;B2;በግልጽ
appeal;Noun Verb;B2;አቤቱታ
appear;Verb;A2;ብቅ
appearance;Noun;A2;መልክ
apple;Noun;A1;ፓም
application;Noun;B1;ትግበራ
apply;Verb;A2;ማመልከት
appointment;Noun;B1;ቀጠሮ
appreciate;Verb;B1;አድናቆት
approach;Noun Verb;B2;አቀራረብ
appropriate;Adjective;B2;ግባብነት
approval;Noun;B2;ማጽደቅ
approve;Verb;B2;ማጽደቅ
approximately;Adverb;B1;በግምት
April;Noun;A1;ሚያዚያ
architect;Noun;A2;አርኪቴክት
architecture;Noun;A2;ሥነ ሕንፃ
area;Noun;A1;አካባቢ
argue;Verb;A2;ሊከራከር
argument;Noun;A2;ክርክር
arise;Verb;B2;ተነሣ
arm;Noun;A1;እንዳትኖሩ
armed;Adjective;B2;ጋሻና
arms;Noun;B2;የጦር መሣሪያ
army;Noun;A2;ጦር ሠራዊት
around;prep. Adverb;A1;ዙሪያ
arrange;Verb;A2;ዝግጅት
arrangement;Noun;A2;ዝግጅት
arrest;Verb Noun;B1;ያዘ
arrival;Noun;B1;መድረስ
arrive;Verb;A1;ይደርሳል
art;Noun;A1;ሥነ ጥበብ
article;Noun;A1;ጽሑፍ
artificial;Adjective;B2;ሰዉ ሰራሽ
artist;Noun;A1;ሠዓሊ
artistic;Adjective;B2;የሠዓሊ
as;prep., Adverb conj.;A1, A2;እንደ
ashamed;Adjective;B2;ያፍራሉ
asleep;Adjective;A2;የተኛ
ask;Verb;A1;መጠየቅ
aspect;Noun;B2;ገጽታ
assess;Verb;B2;መረመረ
assessment;Noun;B2;ግምገማ
assignment;Noun;B1;የቤት
assist;Verb;B1;መርዳት
assistant;Noun Adjective;A2;ረጂ
associate;Verb;B2;የሥራ ጓደኛ
associated;Adjective;B2;ተጓዳኝ
association;Noun;B2;ማኅበር
assume;Verb;B2;ማሰብ
at;prep.;A1;በ
athlete;Noun;A2;አስፖርተኛ
atmosphere;Noun;B1;አየር
attach;Verb;B1;አጣበቀ
attack;Noun Verb;A2;ጥቃት
attempt;Noun Verb;B2;መሞከር
attend;Verb;A2;መከታተል
attention;Noun exclam.;A2;ትኩረት
attitude;Noun;B1;አመለካከት
attract;Verb;B1;ሳበ
attraction;Noun;B1;ዉበት
attractive;Adjective;A2;ዉብ
audience;Noun;A2;ተመልካች
August;Noun;A1;ነሐሴ
aunt;Noun;A1;አክስት
author;Noun;A2;ደራሲ
authority;Noun;B1;ሥልጣን
autumn;Noun;A1;በልግ
available;Adjective;A2;ይገኛል
average;Adjective, Noun Verb;A2, B1;አማካይ
avoid;Verb;A2;እንዳትታለሉ
award;Noun Verb;A2, B1;ሸለመ
aware;Adjective;B1;ግንዛቤ
away;Adverb;A1;ወዲያ
awful;Adjective;A2;አስፈሪ
baby;Noun;A1;ሕፃን ልጅ
back;Noun AdVerb Adjective, Verb;A1, A2, B2;ወደኋላ
background;Noun;A2;ዳራ
backwards;Adverb;B1;ወደኋላ
bacteria;Noun;B2;ባክቴሪያዎች
bad;Adjective;A1;መጥፎ
badly;Adverb;A2;ክፉኛ
bag;Noun;A1;ቦርሳ
bake;Verb;B1;ጋገረ
balance;Noun Verb;B1;ሚዛን
ball;Noun;A1;ኳስ
ban;Verb Noun;B1;አገደ
banana;Noun;A1;ሙዝ
band;Noun;A1;ጓድ
bank (money);Noun;A1;ባንክ (ገንዘብ)
bank (river);Noun;B1;ባንክ (ወንዝ)
bar;Noun Verb;A2, B2;ቡና ቤት
barrier;Noun;B2;ማገጃ
base;Noun Verb;B1;መሠረት
baseball;Noun;A2;ቤዝቦል
based;Adjective;A2;የተመሰረተ
basketball;Noun;A2;ቅርጫት ኳስ
basic;Adjective;B1;መሠረታዊ
basically;Adverb;B2;ባጠቃላይ
basis;Noun;B1;መሠረት
bath;Noun;A1;ሰዉነት መጣጠብ
bathroom;Noun;A1;መጣጠቢያ ክፍል
battery;Noun;B1;ባትሪ
battle;Noun Verb;B1, B2;ውጊያው
be;Verb auxiliary Verb;A1;መሆን
beach;Noun;A1;የባህር ዳርቻ
bean;Noun;A2;ባቄላ
bear (deal with);Verb;B2;ድብ (ጋር ስምምነት)
bear (animal);Noun;A2;ድብ (እንስሳ)
beat;Verb Noun;A2, B2;ምት
beautiful;Adjective;A1;ቆንጆ
beauty;Noun;B1;የውበት
because;conj.;A1;ስለ
become;Verb;A1;ሆነ
bed;Noun;A1;አልጋ
bedroom;Noun;A1;መኝታ ቤት
bee;Noun;B1;ንብ
beef;Noun;A2;የበሬ ሥጋ
beer;Noun;A1;ቢራ
before;prep., conj. Adverb;A1, A2;ከዚህ በፊት
beg;Verb;B2;ለመነ
begin;Verb;A1;ጀመረ
beginning;Noun;A1;መጀመሪያ
behave;Verb;A2;ራስን መራ
behaviour;Noun;A2;ጠባይ
behind;prep. Adverb;A1;ወደኋላ
being;Noun;B2;ፍጡር
belief;Noun;B1;እምነት
believe;Verb;A1;ማመን
bell;Noun;B1;ደወል
belong;Verb;A2;ንብረት ናቸው
below;Adverb prep.;A1;በታች
belt;Noun;A2;ቀበቶ
bend;Verb Noun;B1;ጎበጠ
benefit;Verb NouNoun;A2, B1;ጥቅም
bent;Adjective;B2;ቆልማማ ያለዉ
best;Adjective, AdVerb Noun;A1, A2;የበለጠ
bet;Verb Noun;B2;ተወራረደ
better;Adjective , Adverb , Noun;A1, A2, B1;የተሻለ
between;prep., Adverb;A1, A2;መካከል
beyond;prep. Adverb;B2;ባሻገር
bicycle;Noun;A1;ቢስክሌት
big;Adjective;A1;ትልቅ
bike;Noun;A1;ቢስክሌት
bill;Noun Verb;A1, B2;ደረሰኝ
billion number; ;A2;ቢሊዮን ቁጥር
bin;Noun;A2;የእንጀራ ወዘተ ማስቀመጫ በርሜል
biology;Noun;A2;ባዮሶሎጀ
bird;Noun;A1;ወፍ
birth;Noun;A2;ልደት
birthday;Noun;A1;የልደት ቀን
biscuit;Noun;A2;ብስኩት
bit;Noun;A2;ቢት
bite;Verb Noun;B1;መንከስ
bitter;Adjective;B2;መራራ
black;Adjective, Noun;A1;ጥቁር
blame;Verb Noun;B2;ጥፉት
blank;Adjective, Noun;A2;ባዶ
blind;Adjective;B2;ዕውር
block;Noun Verb;B1;የማገጃ
blog;Noun;A1;ጦማር
blonde;Adjective;A1;ወርቅማ ጠጉር ያለዉ
blood;Noun;A2;ደም
blow;Verb;A2;ነፈሰ
blue;Adjective, Noun;A1;ሰማያዊ
board;Noun Verb;A2, B1;ቦርድ
boat;Noun;A1;ጀልባ
body;Noun;A1;አካል
boil;Verb;A2;ቀቀለ
bomb;Noun Verb;B1;ቦምብ
bond;Noun;B2;ቦንድ
bone;Noun;A2;አጥንት
book;Noun Verb;A1, A2;መጽሐፍ
boot;Noun;A1;ቦት ጫማ
border;Noun Verb;B1, B2;ወሰን
bored;Adjective;A1;አሰልቺ
boring;Adjective;A1;ስልችት
born;Verb;A1;የተወለደው
borrow;Verb;A2;ቢዋስ
boss;Noun;A2;ቩም
both;det./proNoun;A1;ሁለቱም
bother;Verb;B1;አስቸገረ
bottle;Noun;A1;ጠርሙዝ
bottom;NouNoun Adjective;A2;ታች
bowl;Noun;A2;ሰፊ ሣሕን
box;Noun;A1;ሳጥን
boy;Noun;A1;ወንድ ልጅ
boyfriend;Noun;A1;ወዳጅ
brain;Noun;A2;አእምሮ
branch;Noun;B1;ቅርንጫፍ
brand;Noun Verb;B1;ምልክት
brave;Adjective;B1;ብርቱ
bread;Noun;A1;ዳቦ
break;Verb Noun;A1;እረፍት
breakfast;Noun;A1;ቁርስ
breast;Noun;B2;ጡት
breath;Noun;B1;ትንፋሽ
breathe;Verb;B1;ተነፈሰ
breathing;Noun;B1;መተንፈስ
bride;Noun;B1;ሙሽሪት
bridge;Noun;A2;ድልድይ
brief;Adjective;B2;አጭር
bright;Adjective;A2;ብሩህ
brilliant;Adjective;A2;የሚያበራ
bring;Verb;A1;ለማምጣት
broad;Adjective;B2;ሰፊ
broadcast;Verb Noun;B2;ስርጭት
broken;Adjective;A2;የተሰበረ
brother;Noun;A1;ወንድም
brown;Adjective, Noun;A1;ብናማ
brush;Verb Noun;A2;ብሩሽ
bubble;Noun;B1;የአረፉ ኳስ
budget;Noun;B2;ባጀት
build;Verb;A1;ግንባታ
building;Noun;A1;ሕንፃ
bullet;Noun;B2;ጥይት
bunch;Noun;B2;የፈኩ
burn;Verb Noun;A2, B2;በእሳትም
bury;Verb;B1;ቀበረ
bus;Noun;A1;አውቶቡስ
bush;Noun;B2;ቁጥቋጦ
business;Noun;A1;ንግድ
businessman;Noun;A2;ነጋዴ
busy;Adjective;A1;ስራ የሚበዛበት
but;conj. prep;A1, B2;ግን
butter;Noun;A1;ቅቤ
button;Noun;A2;ቁልፍ
buy;Verb;A1;ግዛ
by;prep. Adverb;A1, B1;በ
bye;exclam;A1;ባይ
cable;Noun;B2;የብረት ገመድ
cafe;Noun;A1;ካፌ
cake;Noun;A1;ኬክ
calculate;Verb;B2;አስላ
call;Verb Noun;A1;ጥሪ
calm;Adjective Verb Noun;B1;ጸጥ አለ
camera;Noun;A1;ካሜራ
camp;Noun Verb;A2;ሠፈር
campaign;Noun Verb;B1;ዘመቻ
camping;Noun;A2;የካምፕ
campus;Noun;B1;የዮኒሼርሲቲ ግቢ
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;መተው
cancer;Noun;B2;ነቀርሳ
candidate;Noun;B1;እጩ
cannot;Verb;A1;አለመቻል
cap;Noun;B1;ቆብ
capable;Adjective;B2;የሚችል
capacity;Noun;B2;ችሎታ
capital;Noun Adjective;A1;ዋና
captain;Noun;B1;የሻለቃው
capture;Verb Noun;B2;ማረከ
car;Noun;A1;መኪና
card;Noun;A1;ካርድ
care;Noun Verb;A2;ጥንቃቄ
career;Noun;A1;ሥራ
careful;Adjective;A2;በተጠንቀቅ
carefully;Adverb;A2;በጥንቃቄ
careless;Adjective;B1;የማይጠነቀቅ
carpet;Noun;A2;መንጣፍ
carrot;Noun;A1;ካሮት
carry;Verb;A1;የማስቀመጫ
cartoon;Noun;A2;የሚያሥቅ የጋዜጣ ሥዕል
case;Noun;A2;ክስ
cash;Noun;A2;ጥሬ ገንዘብ
cast;Noun Verb;B2;Cast
castle;Noun;A2;ቤተ መንግስት
cat;Noun;A1;ድመት
catch;Verb Noun;A2, B2;ያዘ
category;Noun;B1;መደብ
cause;Noun Verb;A2;ምክንያት
CD;Noun;A1;ሲዲ
ceiling;Noun;B1;ጣራ
celebrate;Verb;A2;ማክበር
celebration;Noun;B1;ክብረ በዓል
celebrity;Noun;A2;የዝነኞች
cell;Noun;B2;ሕዋስ
cent;Noun;A1;በመቶ
central;Adjective;B1;ማዕከላዊ
centre;Noun Verb;A1, B1;መሃል
century;Noun;A1;ክፍለ ዘመን
ceremony;Noun;B1;ሥነ ሥርዓት
certain;Adjective;A2;እርግጥ
certainly;Adverb;A2;በእርግጥ
chain;Noun Verb;B1, B2;ሰንሰለት
chair;Noun Verb;A1, B2;ወምበር
chairman;Noun;B2;ሊቀ መንበር
challenge;Noun Verb;B1, B2;ፈተና
champion;Noun;B1;አሽናፊ
chance;Noun;A2;ዕድል
change;Verb Noun;A1;ለዉጥ
channel;Noun;B1;ሰርጥ
chapter;Noun;B1;ምዕራፍ
character;Noun;A2;ባለታሪክ
characteristic;Noun Adjective;B2;ልዩ
charge;Noun Verb;B1;ክፍያ
charity;Noun;A2;በጎ አድራጎት
chart;Noun Verb;A1, B2;ሠንጠረዥ
chat;Verb Noun;A2;ውይይት
cheap;Adjective , Adverb;A1, B1;ርካሽ
cheat;Verb Noun;B1;አታለለ
check;Verb Noun;A1, A2;ቼክ
chef;Noun;A2;አለቃ
cheerful;Adjective;B1;የሚያስደስት
cheese;Noun;A1;የደረቀ አይብ
chemical;Adjective, Noun;B1;የኬሚካል
chemistry;Noun;A2;ጥንተ ንጥር ቅመማ
chest;Noun;B1;ትልቅ ሣጥን
chicken;Noun;A1;ጫጪት
chief;Adjective, Noun;B2;አለቃ
child;Noun;A1;ሕፃን
childhood;Noun;B1;ሕፃንነት
chip;Noun;A2;ሰባሪ
chocolate;Noun;A1;ቾኮላታ
choice;Noun;A2;ምርጫ
choose;Verb;A1;ይምረጡ
church;Noun;A2;ቤተ ክርስትያን
cigarette;Noun;A2;ሲጃራ
cinema;Noun;A1;ሲኒማ ቤት
circle;Noun Verb;A2;ክበብ
circumstance;Noun;B2;ሁኔታ
cite;Verb;B2;እፍርድ ቤት አቀረበ
citizen;Noun;B2;ዜጋ
city;Noun;A1;ከተማ
civil;Adjective;B2;የሲቪል
claim;Verb Noun;B1;የይገባኛል ጥያቄ
class;Noun;A1;መደብ
classic;Adjective, Noun;B2;ንቡር
classical;Adjective;A2;የታወቀ ደራሲ የደረሰዉ
classroom;Noun;A1;የመማሪያ ክፍል
clause;Noun;B1;አንቀጽ
clean;Adjective, Verb;A1;ንጹሕ
clear;Adjective, Verb;A2, B1;ግልጽ
clearly;Adverb;A2;በግልጽ
clever;Adjective;A2;ብልህ
click;Verb Noun;B1;ጠቅታ
client;Noun;B1;ደምበኛ
climate;Noun;A2;የአየር ሁኔታ
climb;Verb Noun;A1, B1;መውጣት
clock;Noun;A1;ሰዓት
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;ዝግ
closely;Adverb;B2;በቅርብ
cloth;Noun;B1;ጨርቅ
clothes;Noun;A1;ልብስ
clothing;Noun;A2;ልብስ
cloud;Noun;A2;ደመና
club;Noun;A1;ድላ
clue;Noun;B1;ቁልፍ
coach;Noun Verb;A2, B1;አሠልጣኝ
coal;Noun;B1;ከሰል
coast;Noun;A2;ዳርቻ
coat;Noun;A1;ካፖርት
code;Noun;A2;ኮድ
coffee;Noun;A1;ቡና
coin;Noun;B1;መሐለቅ
cold;Adjective Noun;A1;ብርድ
collapse;Verb Noun;B2;ተደመሰሰ
colleague;Noun;A2;የሥራ ጓደኛ
collect;Verb;A2;collect
collection;Noun;B1;ስብስብ
college;Noun;A1;ኮሌጅ
colour;Noun;A1;ቀለም
coloured;Adjective;B1;ቀለም
