a, an;indefinite, article;A1;a, an
abandon;Verb;B2;bertan behera
ability;Noun;A2;gaitasuna
able;Adjective;A2;ahal
about;prep. Adverb;A1;buruz
above;prep. Adverb;A1;goian
abroad;Adverb;A2;atzerrian
absolute;Adjective;B2;absolutua
absolutely;Adverb;B1;erabat
academic;adj, Noun;B1, B2;akademikoa
accept;Verb;A2;onartu
acceptable;Adjective;B2;onargarria
access;Noun Verb;B1;sarbidea
accident;Noun;A2;istripua
accommodation;Noun;B1;ostatua
accompany;Verb;B2;batera
according to;prep.;A2;ren arabera
account;Noun Verb;B1, B2;kontu
accurate;Adjective;B2;zehatza
accuse;Verb;B2;leporatzen
achieve;Verb;A2;lortzea
achievement;Noun;B1;lorpen
acknowledge;Verb;B2;Kontutan hartu
acquire;Verb;B2;eskuratu
across;prep. Adverb;A1;zehar
act;Verb Noun;A2,B1;jarduteko
action;Noun;A1;ekintza
active;Adjective;A2;aktibo
activity;Noun;A1;jarduera
actor;Noun;A1;aktore
actress;Noun;A1;aktorea
actual;Adjective;B2;benetako
actually;Adverb;A2;benetan
ad;Noun;B1;ad
adapt;Verb;B2;moldatu
add;Verb;A1;gehitu
addition;Noun;B1;Horrez
additional;Adjective;B2;osagarriak
address;Noun Verb;A1,B2;helbidea
administration;Noun;B2;administrazioa
admire;Verb;B1;miresten
admit;Verb;B1;aitortu
adopt;Verb;B2;adoptatu
adult;Noun adj;A1,A2;helduen
Advance;Noun Verb adj;B2;Aldez
Advanced;Adjective;B1;aurreratua
Advantage;Noun;A2;abantaila
Adventure;Noun;A2;Abentura
Advertise;Verb;A2;Iragarri
Advertisement;Noun;A2;iragarki
Advertising;Noun;A2;Publizitatea
Advice;Noun Verb;A1, B1;aholkularitza
affair;Noun;B2;afera
affect;Verb;A2;eraginik
afford;Verb;B1;ordaindu
afraid;Adjective;A1;beldur
after;prep. conj. Adverb;A1,A2;ondoren
afternoon;Noun;A1;arratsalde
afterwards;Adverb;B2;gero
again;Adverb;A1;berriro
against;prep;A2;aurka
age;Noun Verb;A1, B1;adina
aged;Adjective;B1;onduak
agency;Noun;B2;agentzia
agenda;Noun;B2;agenda
agent;Noun;B1;agentea
aggressive;Adjective;B2;oldarkor
ago;Adverb;A1;duela
agree;Verb;A1;ados
agreement;Noun;B1;hitzarmen
ah;exclam.;A2;ah
ahead;Adverb;B1;aurrera
aid;Noun Verb;B2;laguntza
aim;Verb Noun;B1;helburua
air;Noun;A1;aire
aircraft;Noun;B2;hegazkin
airline;Noun;A2;aire-konpainiak
airport;Noun;A1;aireportua
alarm;Noun Verb;B1, B2;alarma
album;Noun;B1;album
alcohol;Noun;B1;alkohola
alcoholic;Adjective;B1;alkoholdun
alive;Adjective;A2;bizirik
all;det. pron, Adverb;A1, A2;guztiak
all right;Adjective, Adverb exclam;A2;ados
allow;Verb;A2;baimendu
almost;Adverb;A2;ia
alone;Adjective, Adverb;A2;bakarrik
along;prep. Adverb;A2;batera
already;Adverb;A2;jadanik
also;Adverb;A1;halaber
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatiboak
although;conj;A2;arren
always;Adverb;A1;beti
amazed;Adjective;B1;harritu
amazing;Adjective;A1;harrigarria
ambition;Noun;B1;anbizio
ambitious;Adjective;B1;handinahi
among;prep.;A2;artean
amount;Noun Verb;A2, B2;Zenbateko
analyse;Verb;B1;aztertzeko
analysis;Noun;B1;azterketa
ancient;Adjective;A2;antzinako
and;conj;A1;eta
anger;Noun;B2;haserrea
angle;Noun;B2;angelu
angry;Adjective;A1;haserre
animal;Noun;A1;animal
ankle;Noun;A2;orkatila
anniversary;Noun;B2;urteurrena
announce;Verb;B1;iragartzeko
announcement;Noun;B1;iragarkia
annoy;Verb;B1;annoy
annoyed;Adjective;B1;haserretu
annoying;Adjective;B1;gogaikarriak
annual;Adjective;B2;urteko
another;det. proNoun;A1;beste
answer;Noun Verb;A1;erantzun
anxious;Adjective;B2;urduri
any;det. proNoun, Adverb;A1, A2;edozein
anybody;pron;A2;inor
any more;Adverb;A2;gehiago
anyone;pron;A1;edonork
anything;pron;A1;ezer
anyway;Adverb;A2;hala ere
anywhere;AdVerb proNoun;A2;edonon
apart;Adverb;B1;aparte
apartment;Noun;A1;apartamentu
apologize;Verb;B1;Barkatu
app;Noun;A2;Aplikazio
apparent;Adjective;B2;itxurazko
apparently;Adverb;B2;itxuraz
appeal;Noun Verb;B2;errekurtsoa
appear;Verb;A2;agertzen
appearance;Noun;A2;itxura
apple;Noun;A1;sagar
application;Noun;B1;aplikazio
apply;Verb;A2;aplikatu
appointment;Noun;B1;hitzordua
appreciate;Verb;B1;eskertuko
approach;Noun Verb;B2;planteamendu
appropriate;Adjective;B2;jabetzeko
approval;Noun;B2;onarpena
approve;Verb;B2;onestea
approximately;Adverb;B1;gutxi gorabehera
April;Noun;A1;April
architect;Noun;A2;arkitektoak
architecture;Noun;A2;arkitektura
area;Noun;A1;inguruan
argue;Verb;A2;argudiatu
argument;Noun;A2;argumentu
arise;Verb;B2;sortzen
arm;Noun;A1;beso
armed;Adjective;B2;armaturik
arms;Noun;B2;besoak
army;Noun;A2;armada
around;prep. Adverb;A1;inguruan
arrange;Verb;A2;antolatu
arrangement;Noun;A2;antolaketa
arrest;Verb Noun;B1;atxilotzeko
arrival;Noun;B1;etorrera
arrive;Verb;A1;iristen
art;Noun;A1;art
article;Noun;A1;Artikulu
artificial;Adjective;B2;artifiziala
artist;Noun;A1;artistaren
artistic;Adjective;B2;artistikoak
as;prep., Adverb conj.;A1, A2;gisa
ashamed;Adjective;B2;lotsarik
asleep;Adjective;A2;lotan
ask;Verb;A1;galdetu
aspect;Noun;B2;alderdi
assess;Verb;B2;ebaluatzea
assessment;Noun;B2;ebaluazioa
assignment;Noun;B1;esleipena
assist;Verb;B1;laguntzeko
assistant;Noun Adjective;A2;laguntzaile
associate;Verb;B2;elkartua
associated;Adjective;B2;elkartuak
association;Noun;B2;elkarte
assume;Verb;B2;suposatuko
at;prep.;A1;tan
athlete;Noun;A2;atleta
atmosphere;Noun;B1;giroa
attach;Verb;B1;erantsi
attack;Noun Verb;A2;eraso
attempt;Noun Verb;B2;saiatuko
attend;Verb;A2;attend
attention;Noun exclam.;A2;arreta
attitude;Noun;B1;jarrera
attract;Verb;B1;erakarri
attraction;Noun;B1;erakarpen
attractive;Adjective;A2;erakargarria
audience;Noun;A2;ikusleek
August;Noun;A1;Abuztu
aunt;Noun;A1;izeba
author;Noun;A2;egileak
authority;Noun;B1;autoritate
autumn;Noun;A1;udazkena
available;Adjective;A2;eskuragarri
average;Adjective, Noun Verb;A2, B1;batezbesteko
avoid;Verb;A2;saihesteko
award;Noun Verb;A2, B1;saria
aware;Adjective;B1;jakitun
away;Adverb;A1;urrun
awful;Adjective;A2;beldurgarria
baby;Noun;A1;umea
back;Noun AdVerb Adjective, Verb;A1, A2, B2;atzera
background;Noun;A2;hondo
backwards;Adverb;B1;atzeraka
bacteria;Noun;B2;bakteriak
bad;Adjective;A1;txarra
badly;Adverb;A2;gaizki
bag;Noun;A1;poltsa
bake;Verb;B1;bake
balance;Noun Verb;B1;oreka
ball;Noun;A1;baloia
ban;Verb Noun;B1;debeku
banana;Noun;A1;platano
band;Noun;A1;banda
bank (money);Noun;A1;Banku-(dirua)
bank (river);Noun;B1;Banku-(ibaia)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;barrera
base;Noun Verb;B1;base
baseball;Noun;A2;beisbol
based;Adjective;A2;oinarritua
basketball;Noun;A2;saskibaloi
basic;Adjective;B1;oinarrizko
basically;Adverb;B2;funtsean
basis;Noun;B1;oinarria
bath;Noun;A1;bainu
bathroom;Noun;A1;bainugela
battery;Noun;B1;bateria
battle;Noun Verb;B1, B2;borroka
be;Verb auxiliary Verb;A1;izan
beach;Noun;A1;hondartza
bean;Noun;A2;babarrun
