a, an;indefinite, article;A1;а,
abandon;Verb;B2;адмовіцца ад
ability;Noun;A2;здольнасць
able;Adjective;A2;ў стане
about;prep. Adverb;A1;аб
above;prep. Adverb;A1;вышэй
abroad;Adverb;A2;за мяжой
absolute;Adjective;B2;абсалютны
absolutely;Adverb;B1;абсалютна
academic;adj, Noun;B1, B2;акадэмічны
accept;Verb;A2;прымаць
acceptable;Adjective;B2;прымальны
access;Noun Verb;B1;доступ
accident;Noun;A2;аварыя
accommodation;Noun;B1;жыллё
accompany;Verb;B2;суправаджаць
according to;prep.;A2;у адпаведнасці з
account;Noun Verb;B1, B2;кошт
accurate;Adjective;B2;дакладны
accuse;Verb;B2;вінаваціць
achieve;Verb;A2;дасягаць
achievement;Noun;B1;дасягненне
acknowledge;Verb;B2;квитирование
acquire;Verb;B2;набываць
across;prep. Adverb;A1;праз
act;Verb Noun;A2,B1;дзейнічаць
action;Noun;A1;дзеянне
active;Adjective;A2;актыўны
activity;Noun;A1;дзейнасць
actor;Noun;A1;акцёр
actress;Noun;A1;актрыса
actual;Adjective;B2;фактычны
actually;Adverb;A2;на самай справе
ad;Noun;B1;аб'яву
adapt;Verb;B2;адаптавацца
add;Verb;A1;дадаваць
addition;Noun;B1;прыбаўленне
additional;Adjective;B2;дадатковы
address;Noun Verb;A1,B2;адрас
administration;Noun;B2;адміністрацыя
admire;Verb;B1;захапляюся
admit;Verb;B1;ўпусціць
adopt;Verb;B2;прыняць
adult;Noun adj;A1,A2;для дарослых
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;прасунуты
Advantage;Noun;A2;перавага
Adventure;Noun;A2;прыгода
Advertise;Verb;A2;афішаваць
Advertisement;Noun;A2;рэклама
Advertising;Noun;A2;рэклама
Advice;Noun Verb;A1, B1;савет
affair;Noun;B2;справу
affect;Verb;A2;афект
afford;Verb;B1;прадастаўляць
afraid;Adjective;A1;баіцца
after;prep. conj. Adverb;A1,A2;пасля
afternoon;Noun;A1;пасля паўдня
afterwards;Adverb;B2;пасля
again;Adverb;A1;зноў
against;prep;A2;супраць
age;Noun Verb;A1, B1;ўзрост
aged;Adjective;B1;састарэлы
agency;Noun;B2;агенцтва
agenda;Noun;B2;парадак дня
agent;Noun;B1;агент
aggressive;Adjective;B2;агрэсіўны
ago;Adverb;A1;назад
agree;Verb;A1;згодныя
agreement;Noun;B1;пагадненне
ah;exclam.;A2;ах
ahead;Adverb;B1;наперадзе
aid;Noun Verb;B2;дапамогу
aim;Verb Noun;B1;мэта
air;Noun;A1;паветра
aircraft;Noun;B2;самалёт
airline;Noun;A2;авіякампанія
airport;Noun;A1;аэрапорт
alarm;Noun Verb;B1, B2;сігнал трывогі
album;Noun;B1;альбом
alcohol;Noun;B1;алкаголь
alcoholic;Adjective;B1;алкаголік
alive;Adjective;A2;жывы
all;det. pron, Adverb;A1, A2;усе
all right;Adjective, Adverb exclam;A2;добра
allow;Verb;A2;дазваляць
almost;Adverb;A2;амаль
alone;Adjective, Adverb;A2;толькі
along;prep. Adverb;A2;па
already;Adverb;A2;ўжо
also;Adverb;A1;таксама
alter;Verb;B2;альтэр
alternative;Noun Adjective;A2, B1;альтэрнатыва
although;conj;A2;хоць
always;Adverb;A1;заўсёды
amazed;Adjective;B1;уражаны
amazing;Adjective;A1;дзіўны
ambition;Noun;B1;славалюбства
ambitious;Adjective;B1;славалюбівы
among;prep.;A2;сярод
amount;Noun Verb;A2, B2;сума
analyse;Verb;B1;аналізаваць
analysis;Noun;B1;аналіз
ancient;Adjective;A2;старажытны
and;conj;A1;і
anger;Noun;B2;гнеў
angle;Noun;B2;кут
angry;Adjective;A1;гнеўны
animal;Noun;A1;жывёла
ankle;Noun;A2;шчыкалатка
anniversary;Noun;B2;юбілей
announce;Verb;B1;анансаваць
announcement;Noun;B1;аб'яву
annoy;Verb;B1;насаліць
annoyed;Adjective;B1;раздражнёны
annoying;Adjective;B1;раздражняльны
annual;Adjective;B2;гадавы
another;det. proNoun;A1;іншы
answer;Noun Verb;A1;адказ
anxious;Adjective;B2;заклапочаны
any;det. proNoun, Adverb;A1, A2;любой
anybody;pron;A2;хто-небудзь
any more;Adverb;A2;больш
anyone;pron;A1;хто-небудзь
anything;pron;A1;што-небудзь
anyway;Adverb;A2;у любым выпадку
anywhere;AdVerb proNoun;A2;дзе-небудзь
apart;Adverb;B1;акрамя
apartment;Noun;A1;кватэра
apologize;Verb;B1;прасіць прабачэння
app;Noun;A2;дадатак
apparent;Adjective;B2;ўяўны
apparently;Adverb;B2;па-відаць
appeal;Noun Verb;B2;зварот
appear;Verb;A2;з'явіцца
appearance;Noun;A2;знешні выгляд
apple;Noun;A1;яблык
application;Noun;B1;дадатак
apply;Verb;A2;ўжываць
appointment;Noun;B1;прызначэнне
appreciate;Verb;B1;шанаваць
approach;Noun Verb;B2;падыход
appropriate;Adjective;B2;асігнаваць
approval;Noun;B2;зацвярджэнне
approve;Verb;B2;зацвердзіць
approximately;Adverb;B1;прыкладна
April;Noun;A1;красавік
architect;Noun;A2;архітэктар
architecture;Noun;A2;архітэктура
area;Noun;A1;вобласць
argue;Verb;A2;спрачацца
argument;Noun;A2;аргумент
arise;Verb;B2;узнікаць
arm;Noun;A1;узброіць
armed;Adjective;B2;узброіўшыся
arms;Noun;B2;зброю
