a, an;indefinite, article;A1;একটি, একটি
abandon;Verb;B2;পরিত্যাগ করা
ability;Noun;A2;ক্ষমতা
able;Adjective;A2;সক্ষম
about;prep. Adverb;A1;সম্পর্কিত
above;prep. Adverb;A1;উপরে
abroad;Adverb;A2;বিদেশে
absolute;Adjective;B2;পরম
absolutely;Adverb;B1;একেবারে
academic;adj, Noun;B1, B2;একাডেমিক
accept;Verb;A2;গ্রহণ করা
acceptable;Adjective;B2;গ্রহণযোগ্য
access;Noun Verb;B1;প্রবেশ
accident;Noun;A2;দুর্ঘটনা
accommodation;Noun;B1;বাসস্থান
accompany;Verb;B2;সহগমন করা
according to;prep.;A2;অনুসারে
account;Noun Verb;B1, B2;হিসাব
accurate;Adjective;B2;সঠিক
accuse;Verb;B2;অভিযুক্ত করা
achieve;Verb;A2;অর্জন করা
achievement;Noun;B1;কৃতিত্ব
acknowledge;Verb;B2;স্বীকৃতি
acquire;Verb;B2;অর্জন
across;prep. Adverb;A1;দিয়ে
act;Verb Noun;A2,B1;আইন
action;Noun;A1;কর্ম
active;Adjective;A2;সক্রিয়
activity;Noun;A1;কার্যকলাপ
actor;Noun;A1;অভিনেতা
actress;Noun;A1;অভিনেত্রী
actual;Adjective;B2;আসল
actually;Adverb;A2;প্রকৃতপক্ষে
ad;Noun;B1;বিজ্ঞাপন
adapt;Verb;B2;খাপ খাওয়ানো
add;Verb;A1;যোগ
addition;Noun;B1;যোগ
additional;Adjective;B2;অতিরিক্ত
address;Noun Verb;A1,B2;ঠিকানা
administration;Noun;B2;প্রশাসন
admire;Verb;B1;Admire
admit;Verb;B1;সত্য বলিয়া স্বীকার করা
adopt;Verb;B2;অবলম্বন করা
adult;Noun adj;A1,A2;প্রাপ্তবয়স্ক
Advance;Noun Verb adj;B2;অগ্রিম
Advanced;Adjective;B1;অগ্রসর
Advantage;Noun;A2;সুবিধা
Adventure;Noun;A2;দু: সাহসিক কাজ
Advertise;Verb;A2;বিজ্ঞাপিত করা
Advertisement;Noun;A2;বিজ্ঞাপন
Advertising;Noun;A2;বিজ্ঞাপন
Advice;Noun Verb;A1, B1;পরামর্শ
affair;Noun;B2;ব্যাপার
affect;Verb;A2;প্রভাবিত
afford;Verb;B1;সামর্থ্য
afraid;Adjective;A1;ভীত
after;prep. conj. Adverb;A1,A2;পরে
afternoon;Noun;A1;বিকেল
afterwards;Adverb;B2;পরে
again;Adverb;A1;আবার
against;prep;A2;বিরুদ্ধে
age;Noun Verb;A1, B1;বয়স
aged;Adjective;B1;বুড়া
agency;Noun;B2;সংস্থা
agenda;Noun;B2;আলোচ্যসূচি
agent;Noun;B1;প্রতিনিধি
aggressive;Adjective;B2;আক্রমনাত্মক
ago;Adverb;A1;পূর্বে
agree;Verb;A1;একমত
agreement;Noun;B1;চুক্তি
ah;exclam.;A2;অই
ahead;Adverb;B1;এগিয়ে
aid;Noun Verb;B2;সাহায্য
aim;Verb Noun;B1;লক্ষ্য
air;Noun;A1;বায়ু
aircraft;Noun;B2;বিমান
airline;Noun;A2;এয়ারলাইন
airport;Noun;A1;বিমানবন্দর
alarm;Noun Verb;B1, B2;বিপদাশঙ্কা
album;Noun;B1;অ্যালবাম
alcohol;Noun;B1;এলকোহল
alcoholic;Adjective;B1;মদ্যপ
alive;Adjective;A2;জীবিত
all;det. pron, Adverb;A1, A2;সব
all right;Adjective, Adverb exclam;A2;ঠিক আছে
allow;Verb;A2;অনুমতি
almost;Adverb;A2;প্রায়
alone;Adjective, Adverb;A2;একা
along;prep. Adverb;A2;বরাবর
already;Adverb;A2;ইতিমধ্যে
also;Adverb;A1;এছাড়াও
alter;Verb;B2;দ্বিতীয়
alternative;Noun Adjective;A2, B1;বিকল্প
although;conj;A2;যদিও
always;Adverb;A1;সর্বদা
amazed;Adjective;B1;বিস্মিত
amazing;Adjective;A1;আশ্চর্যজনক
ambition;Noun;B1;উচ্চাকাঙ্ক্ষা
ambitious;Adjective;B1;উচ্চাকাঙ্ক্ষী
among;prep.;A2;মধ্যে
amount;Noun Verb;A2, B2;পরিমাণ
analyse;Verb;B1;বিশ্লেষণ করা
analysis;Noun;B1;বিশ্লেষণ
ancient;Adjective;A2;প্রাচীন
and;conj;A1;এবং
anger;Noun;B2;রাগ
angle;Noun;B2;কোণ
angry;Adjective;A1;ক্রুদ্ধ
animal;Noun;A1;পশু
ankle;Noun;A2;গোড়ালি
anniversary;Noun;B2;বার্ষিকী
announce;Verb;B1;ঘোষণা করা
announcement;Noun;B1;ঘোষণা
annoy;Verb;B1;বিরক্ত করা
annoyed;Adjective;B1;উত্ত্যক্ত
annoying;Adjective;B1;বিরক্তিকর
annual;Adjective;B2;বার্ষিক
another;det. proNoun;A1;অন্য
answer;Noun Verb;A1;উত্তর
anxious;Adjective;B2;উদ্বিগ্ন
any;det. proNoun, Adverb;A1, A2;কোন
anybody;pron;A2;কেহ
any more;Adverb;A2;কোন
anyone;pron;A1;যে কেউ
anything;pron;A1;কিছু
anyway;Adverb;A2;যাহাই হউক না কেন
anywhere;AdVerb proNoun;A2;কোথাও
apart;Adverb;B1;পৃথক্
apartment;Noun;A1;কামরা
apologize;Verb;B1;ক্ষমাপ্রার্থী
app;Noun;A2;অ্যাপ্লিকেশন
apparent;Adjective;B2;আপাত
apparently;Adverb;B2;স্পষ্টতই
appeal;Noun Verb;B2;আবেদন
appear;Verb;A2;প্রদর্শিত
appearance;Noun;A2;চেহারা
apple;Noun;A1;আপেল
application;Noun;B1;আবেদন
apply;Verb;A2;প্রয়োগ করা
appointment;Noun;B1;এপয়েন্টমেন্ট
appreciate;Verb;B1;তারিফ করা
approach;Noun Verb;B2;অভিগমন
appropriate;Adjective;B2;যথাযথ
approval;Noun;B2;অনুমোদন
approve;Verb;B2;অনুমোদন করা
approximately;Adverb;B1;আন্দাজ
April;Noun;A1;এপ্রিল
architect;Noun;A2;স্থপতি
architecture;Noun;A2;স্থাপত্য
area;Noun;A1;এলাকায়
argue;Verb;A2;তর্ক করা
argument;Noun;A2;যুক্তি
arise;Verb;B2;উঠা
arm;Noun;A1;হাত
armed;Adjective;B2;সশস্ত্র
arms;Noun;B2;অস্ত্র
army;Noun;A2;সেনা
around;prep. Adverb;A1;কাছাকাছি
arrange;Verb;A2;ব্যবস্থা করা
arrangement;Noun;A2;ব্যবস্থা
arrest;Verb Noun;B1;গ্রেফতার
arrival;Noun;B1;আগমন
arrive;Verb;A1;পৌঁছা
art;Noun;A1;শিল্প
article;Noun;A1;প্রবন্ধ
artificial;Adjective;B2;কৃত্রিম
artist;Noun;A1;শিল্পী
artistic;Adjective;B2;শিল্পিসুলভ
as;prep., Adverb conj.;A1, A2;যেমন
ashamed;Adjective;B2;লজ্জিত
asleep;Adjective;A2;ঘুমন্ত
ask;Verb;A1;জিজ্ঞাসা করা
aspect;Noun;B2;দৃষ্টিভঙ্গি
assess;Verb;B2;পরিমাপ করা
assessment;Noun;B2;মূল্যায়ন
assignment;Noun;B1;নিয়োগ
assist;Verb;B1;সাহায্য
assistant;Noun Adjective;A2;সহায়ক
associate;Verb;B2;সহযোগী
associated;Adjective;B2;সংযুক্ত
association;Noun;B2;সংঘ
assume;Verb;B2;অনুমান
at;prep.;A1;এ
athlete;Noun;A2;ক্রীড়াবিদ
atmosphere;Noun;B1;বায়ুমণ্ডল
attach;Verb;B1;জোড়া
attack;Noun Verb;A2;আক্রমণ
attempt;Noun Verb;B2;প্রচেষ্টা
attend;Verb;A2;স্বাগতম
attention;Noun exclam.;A2;মনোযোগ
attitude;Noun;B1;মনোভাব
attract;Verb;B1;আকর্ষণ
attraction;Noun;B1;আকর্ষণ
attractive;Adjective;A2;আকর্ষণীয়
audience;Noun;A2;শ্রোতা
August;Noun;A1;অগাস্ট
aunt;Noun;A1;মাসি
author;Noun;A2;লেখক
authority;Noun;B1;কর্তৃত্ব
autumn;Noun;A1;শরৎ
available;Adjective;A2;সহজলভ্য
average;Adjective, Noun Verb;A2, B1;গড়
avoid;Verb;A2;এড়াতে
award;Noun Verb;A2, B1;পুরস্কার
aware;Adjective;B1;সচেতন
away;Adverb;A1;দূরে
awful;Adjective;A2;ভয়াবহ, আতঙ্কজনক
baby;Noun;A1;বাচ্চা
back;Noun AdVerb Adjective, Verb;A1, A2, B2;পেছনে
background;Noun;A2;পটভূমি
backwards;Adverb;B1;ফিরিয়া
bacteria;Noun;B2;ব্যাকটেরিয়া
bad;Adjective;A1;খারাপ
badly;Adverb;A2;খারাপভাবে
bag;Noun;A1;থলে
bake;Verb;B1;সেকা
balance;Noun Verb;B1;ভারসাম্য
ball;Noun;A1;বল
ban;Verb Noun;B1;নিষেধাজ্ঞা
banana;Noun;A1;কলা
band;Noun;A1;দল
bank (money);Noun;A1;ব্যাংক (অর্থ)
bank (river);Noun;B1;ব্যাঙ্ক (নদী)
bar;Noun Verb;A2, B2;বার
barrier;Noun;B2;বাধা
base;Noun Verb;B1;ভিত্তি
baseball;Noun;A2;বেসবল
based;Adjective;A2;ভিত্তি
basketball;Noun;A2;বাস্কেটবল
basic;Adjective;B1;মৌলিক
basically;Adverb;B2;মূলত
basis;Noun;B1;ভিত্তি
bath;Noun;A1;স্নান
bathroom;Noun;A1;পায়খানা
battery;Noun;B1;ব্যাটারি
battle;Noun Verb;B1, B2;যুদ্ধ
be;Verb auxiliary Verb;A1;থাকা
beach;Noun;A1;সৈকত
bean;Noun;A2;শিম
bear (deal with);Verb;B2;ভালুক (সঙ্গে চুক্তি)
bear (animal);Noun;A2;ভাল্লুক জন্তু)
beat;Verb Noun;A2, B2;বীট
beautiful;Adjective;A1;সুন্দর
beauty;Noun;B1;সৌন্দর্য
because;conj.;A1;কারণ
become;Verb;A1;পরিণত
bed;Noun;A1;বিছানা
bedroom;Noun;A1;শয়নকক্ষ
bee;Noun;B1;মৌমাছি
beef;Noun;A2;গরুর মাংস
beer;Noun;A1;বিয়ার
before;prep., conj. Adverb;A1, A2;আগে
beg;Verb;B2;প্রার্থনা করা
begin;Verb;A1;শুরু করা
beginning;Noun;A1;শুরুতে
behave;Verb;A2;আচরণ
behaviour;Noun;A2;আচরণ
behind;prep. Adverb;A1;পিছনে
being;Noun;B2;হচ্ছে
belief;Noun;B1;বিশ্বাস
believe;Verb;A1;বিশ্বাস করা
bell;Noun;B1;ঘণ্টা
belong;Verb;A2;অন্তর্গত
below;Adverb prep.;A1;নিচে
belt;Noun;A2;বেল্ট
bend;Verb Noun;B1;মোড়
benefit;Verb NouNoun;A2, B1;সুবিধা
bent;Adjective;B2;নমিত
best;Adjective, AdVerb Noun;A1, A2;সেরা
bet;Verb Noun;B2;বাজি
better;Adjective , Adverb , Noun;A1, A2, B1;উত্তম
between;prep., Adverb;A1, A2;মধ্যে
beyond;prep. Adverb;B2;তার পরেও
bicycle;Noun;A1;সাইকেল
big;Adjective;A1;মস্ত
bike;Noun;A1;সাইকেল
bill;Noun Verb;A1, B2;বিল
billion number; ;A2;বিলিয়ন সংখ্যা
bin;Noun;A2;বিন
biology;Noun;A2;জীববিদ্যা
bird;Noun;A1;পাখি
birth;Noun;A2;জন্ম
birthday;Noun;A1;জন্মদিন
biscuit;Noun;A2;বিসকুট
bit;Noun;A2;বিট
bite;Verb Noun;B1;দান্ত দিয়া ফুটা করা
bitter;Adjective;B2;তিক্ত
black;Adjective, Noun;A1;কালো
blame;Verb Noun;B2;দোষ
blank;Adjective, Noun;A2;ফাঁকা
blind;Adjective;B2;অন্ধ
block;Noun Verb;B1;বাধা
blog;Noun;A1;ব্লগ
blonde;Adjective;A1;স্বর্ণকেশী
blood;Noun;A2;রক্ত
blow;Verb;A2;ঘা
blue;Adjective, Noun;A1;নীল
board;Noun Verb;A2, B1;তক্তা
boat;Noun;A1;নৌকা
body;Noun;A1;শরীর
boil;Verb;A2;ফুটান
bomb;Noun Verb;B1;বোমা
bond;Noun;B2;বন্ধন
bone;Noun;A2;হাড়
book;Noun Verb;A1, A2;বই
boot;Noun;A1;বুট
border;Noun Verb;B1, B2;সীমান্ত
bored;Adjective;A1;উদাস
boring;Adjective;A1;বিরক্তিকর
born;Verb;A1;জন্ম
borrow;Verb;A2;ধার
boss;Noun;A2;মনিব
both;det./proNoun;A1;উভয়
bother;Verb;B1;মাথা ঘামান
bottle;Noun;A1;বোতল
bottom;NouNoun Adjective;A2;পাদ
bowl;Noun;A2;বাটি
box;Noun;A1;বক্স
boy;Noun;A1;ছেলে
boyfriend;Noun;A1;প্রেমিক
brain;Noun;A2;মস্তিষ্ক
branch;Noun;B1;শাখা
brand;Noun Verb;B1;তরবার
brave;Adjective;B1;সাহসী
bread;Noun;A1;রুটি
break;Verb Noun;A1;বিরতি
breakfast;Noun;A1;ব্রেকফাস্ট
breast;Noun;B2;স্তন
breath;Noun;B1;শ্বাস
breathe;Verb;B1;শ্বাস ফেলা
breathing;Noun;B1;শ্বাসক্রিয়া
bride;Noun;B1;নববধূ
bridge;Noun;A2;সেতু
brief;Adjective;B2;সংক্ষিপ্ত
bright;Adjective;A2;উজ্জ্বল
brilliant;Adjective;A2;উজ্জ্বল
bring;Verb;A1;আনা
broad;Adjective;B2;প্রশস্ত
broadcast;Verb Noun;B2;ব্রডকাস্ট
broken;Adjective;A2;ভাঙ্গা
brother;Noun;A1;ভাই
brown;Adjective, Noun;A1;বাদামী
brush;Verb Noun;A2;ব্রাশ
bubble;Noun;B1;বুদ্বুদ
budget;Noun;B2;বাজেট
build;Verb;A1;বিল্ড
building;Noun;A1;ভবন
bullet;Noun;B2;গুলি
bunch;Noun;B2;গুচ্ছ
burn;Verb Noun;A2, B2;পোড়া
bury;Verb;B1;সমাহিত করা
bus;Noun;A1;বাস
bush;Noun;B2;গুল্ম
business;Noun;A1;ব্যবসায়
businessman;Noun;A2;ব্যবসায়ী
busy;Adjective;A1;ব্যস্ত
but;conj. prep;A1, B2;কিন্তু
butter;Noun;A1;মাখন
button;Noun;A2;বোতাম
buy;Verb;A1;কেনা
by;prep. Adverb;A1, B1;দ্বারা
bye;exclam;A1;বিদায়
cable;Noun;B2;তারের
cafe;Noun;A1;ক্যাফে
cake;Noun;A1;পিষ্টক
calculate;Verb;B2;ক্যালকুলেট
call;Verb Noun;A1;কল
calm;Adjective Verb Noun;B1;শান্ত
camera;Noun;A1;ক্যামেরা
camp;Noun Verb;A2;শিবির
campaign;Noun Verb;B1;প্রচারণা
camping;Noun;A2;ক্যাম্পিং
campus;Noun;B1;বিদ্যায়তন
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;বাতিল
cancer;Noun;B2;ক্যান্সার
candidate;Noun;B1;প্রার্থী
cannot;Verb;A1;না পারেন
cap;Noun;B1;টুপি
capable;Adjective;B2;সক্ষম
capacity;Noun;B2;ধারণক্ষমতা
capital;Noun Adjective;A1;রাজধানী
