a, an;indefinite, article;A1;1, un
abandon;Verb;B2;abandonar
ability;Noun;A2;capacitat
able;Adjective;A2;capaç
about;prep. Adverb;A1;Sobre
above;prep. Adverb;A1;per sobre
abroad;Adverb;A2;a l'estranger
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;absolutament
academic;adj, Noun;B1, B2;acadèmic
accept;Verb;A2;acceptar
acceptable;Adjective;B2;acceptable
access;Noun Verb;B1;accés
accident;Noun;A2;accident
accommodation;Noun;B1;allotjament
accompany;Verb;B2;acompanyar
according to;prep.;A2;segons
account;Noun Verb;B1, B2;compte
accurate;Adjective;B2;exacte
accuse;Verb;B2;acusar
achieve;Verb;A2;aconseguir
achievement;Noun;B1;assoliment
acknowledge;Verb;B2;justificant de recepció
acquire;Verb;B2;adquireixen
across;prep. Adverb;A1;a través de
act;Verb Noun;A2,B1;actuar
action;Noun;A1;acció
active;Adjective;A2;actiu
activity;Noun;A1;activitat
actor;Noun;A1;actor
actress;Noun;A1;actriu
actual;Adjective;B2;real
actually;Adverb;A2;en realitat
ad;Noun;B1;anunci
adapt;Verb;B2;adaptar
add;Verb;A1;afegir
addition;Noun;B1;addició
additional;Adjective;B2;addicional
address;Noun Verb;A1,B2;adreça
administration;Noun;B2;Administració
admire;Verb;B1;Admire
admit;Verb;B1;admetre
adopt;Verb;B2;adoptar
adult;Noun adj;A1,A2;adult
Advance;Noun Verb adj;B2;avanç
Advanced;Adjective;B1;avançat
Advantage;Noun;A2;Avantatge
Adventure;Noun;A2;aventura
Advertise;Verb;A2;anunciar
Advertisement;Noun;A2;anunci
Advertising;Noun;A2;publicitat
Advice;Noun Verb;A1, B1;assessorament
affair;Noun;B2;assumpte
affect;Verb;A2;afectar
afford;Verb;B1;permetre
afraid;Adjective;A1;por
after;prep. conj. Adverb;A1,A2;després
afternoon;Noun;A1;tarda
afterwards;Adverb;B2;després
again;Adverb;A1;de nou
against;prep;A2;contra
age;Noun Verb;A1, B1;edat
aged;Adjective;B1;ancià
agency;Noun;B2;agència
agenda;Noun;B2;ordre del dia
