a, an;indefinite, article;A1;sa usa ka, sa usa ka
abandon;Verb;B2;pagbiya sa
ability;Noun;A2;abilidad
able;Adjective;A2;makahimo
about;prep. Adverb;A1;mahitungod sa
above;prep. Adverb;A1;labaw sa
abroad;Adverb;A2;sa gawas sa nasud
absolute;Adjective;B2;bug-os nga
absolutely;Adverb;B1;hingpit nga
academic;adj, Noun;B1, B2;academic
accept;Verb;A2;modawat
acceptable;Adjective;B2;madawat
access;Noun Verb;B1;access
accident;Noun;A2;aksidente
accommodation;Noun;B1;accommodation
accompany;Verb;B2;-uban
according to;prep.;A2;sumala sa
account;Noun Verb;B1, B2;asoy
accurate;Adjective;B2;tukma
accuse;Verb;B2;batok sa
achieve;Verb;A2;sa pagkab-ot
achievement;Noun;B1;kalampusan
acknowledge;Verb;B2;moila
acquire;Verb;B2;makuha
across;prep. Adverb;A1;sa tibuok
act;Verb Noun;A2,B1;molihok
action;Noun;A1;aksyon
active;Adjective;A2;aktibo
activity;Noun;A1;nga kalihokan
actor;Noun;A1;actor
actress;Noun;A1;actress
actual;Adjective;B2;aktwal nga
actually;Adverb;A2;sa pagkatinuod
ad;Noun;B1;ad
adapt;Verb;B2;mopahiangay
add;Verb;A1;sa pagdugang
addition;Noun;B1;Dugang pa
additional;Adjective;B2;dugang nga
address;Noun Verb;A1,B2;address
administration;Noun;B2;administrasyon
admire;Verb;B1;nagdayeg
admit;Verb;B1;moangkon
adopt;Verb;B2;pagsagop
adult;Noun adj;A1,A2;hamtong nga
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;advanced
Advantage;Noun;A2;bentaha
Adventure;Noun;A2;adventure
Advertise;Verb;A2;imantala
Advertisement;Noun;A2;advertisement
Advertising;Noun;A2;advertising
Advice;Noun Verb;A1, B1;tambag
affair;Noun;B2;kalihokan
affect;Verb;A2;makaapekto sa
afford;Verb;B1;makapalit
afraid;Adjective;A1;nahadlok
after;prep. conj. Adverb;A1,A2;human sa
afternoon;Noun;A1;hapon
afterwards;Adverb;B2;sa human niini
again;Adverb;A1;pag-usab
against;prep;A2;batok sa
age;Noun Verb;A1, B1;edad
aged;Adjective;B1;tigulang
agency;Noun;B2;ahensya
agenda;Noun;B2;agenda
agent;Noun;B1;ahente
aggressive;Adjective;B2;agresibo
ago;Adverb;A1;na ang milabay
agree;Verb;A1;mouyon
agreement;Noun;B1;kasabutan
ah;exclam.;A2;ah
ahead;Adverb;B1;sa unahan
aid;Noun Verb;B2;tabang
aim;Verb Noun;B1;tumong
air;Noun;A1;hangin
aircraft;Noun;B2;eroplano
airline;Noun;A2;airline
airport;Noun;A1;airport
alarm;Noun Verb;B1, B2;pagpagubok
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;ilimnon
alive;Adjective;A2;buhi
all;det. pron, Adverb;A1, A2;sa tanan nga mga
all right;Adjective, Adverb exclam;A2;sa tanan nga matarung nga
allow;Verb;A2;motugot sa
almost;Adverb;A2;hapit
alone;Adjective, Adverb;A2;nag-inusara
along;prep. Adverb;A2;sa daplin
already;Adverb;A2;na
also;Adverb;A1;usab
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatibo
although;conj;A2;bisan
always;Adverb;A1;kanunay
amazed;Adjective;B1;nahibulong
amazing;Adjective;A1;talagsaon nga
ambition;Noun;B1;ambisyon
ambitious;Adjective;B1;ambisyoso
among;prep.;A2;sa taliwala sa
amount;Noun Verb;A2, B2;kantidad
analyse;Verb;B1;analisar
analysis;Noun;B1;pagtuki
ancient;Adjective;A2;sa karaang
and;conj;A1;ug
anger;Noun;B2;kasuko
angle;Noun;B2;anggulo
angry;Adjective;A1;nasuko
animal;Noun;A1;nga mananap
ankle;Noun;A2;ankle
anniversary;Noun;B2;anibersaryo
announce;Verb;B1;pagpahibalo
announcement;Noun;B1;pahibalo
annoy;Verb;B1;makalagot
annoyed;Adjective;B1;gisamokan
annoying;Adjective;B1;aliwaros
annual;Adjective;B2;tinuig nga
another;det. proNoun;A1;laing
answer;Noun Verb;A1;tubag
anxious;Adjective;B2;kabalaka
any;det. proNoun, Adverb;A1, A2;sa bisan unsa nga
anybody;pron;A2;bisan kinsa
any more;Adverb;A2;sa bisan unsa nga labaw pa
anyone;pron;A1;bisan kinsa
anything;pron;A1;bisan unsa nga butang
anyway;Adverb;A2;gihapon
anywhere;AdVerb proNoun;A2;bisan asa
apart;Adverb;B1;gawas
apartment;Noun;A1;apartment
apologize;Verb;B1;pasaylo
app;Noun;A2;app
apparent;Adjective;B2;dayag
apparently;Adverb;B2;dayag
appeal;Noun Verb;B2;apelar
appear;Verb;A2;makita
appearance;Noun;A2;panagway
apple;Noun;A1;apple
application;Noun;B1;aplikasyon
apply;Verb;A2;sa paggamit
appointment;Noun;B1;pagtudlo
appreciate;Verb;B1;sa pagpasalamat
approach;Noun Verb;B2;paagi
appropriate;Adjective;B2;mogahin
approval;Noun;B2;pag-uyon
approve;Verb;B2;mouyon
approximately;Adverb;B1;gibana-bana nga
April;Noun;A1;Abril
architect;Noun;A2;arkitekto
architecture;Noun;A2;arkitektura
area;Noun;A1;dapit
argue;Verb;A2;makiglalis
argument;Noun;A2;argumento
arise;Verb;B2;bumangon
arm;Noun;A1;armas sa
armed;Adjective;B2;nga sangkap sa hinagiban
arms;Noun;B2;mga bukton
army;Noun;A2;nga panon sa kasundalohan
around;prep. Adverb;A1;sa palibot
arrange;Verb;A2;arrange
arrangement;Noun;A2;kahikayan
arrest;Verb Noun;B1;pagdakop
arrival;Noun;B1;pag-abot
arrive;Verb;A1;moabot
art;Noun;A1;art
article;Noun;A1;artikulo
artificial;Adjective;B2;artipisyal
artist;Noun;A1;artist
artistic;Adjective;B2;artistic
as;prep., Adverb conj.;A1, A2;ingon nga
ashamed;Adjective;B2;maulaw
asleep;Adjective;A2;natulog
ask;Verb;A1;mangutana
aspect;Noun;B2;nga bahin
assess;Verb;B2;pagtimbang-timbang
assessment;Noun;B2;assessment
assignment;Noun;B1;buluhaton
assist;Verb;B1;pagtabang
assistant;Noun Adjective;A2;assistant
associate;Verb;B2;kauban
associated;Adjective;B2;mga igsoong
association;Noun;B2;nga pagpakig
assume;Verb;B2;maghunahuna
at;prep.;A1;sa
athlete;Noun;A2;atleta
atmosphere;Noun;B1;atmospera
attach;Verb;B1;padapat, patampo
attack;Noun Verb;A2;pag-atake
attempt;Noun Verb;B2;mosulay
attend;Verb;A2;pagtambong
attention;Noun exclam.;A2;pagtagad
attitude;Noun;B1;nga kinaiya
attract;Verb;B1;pagdani
attraction;Noun;B1;makapadani
attractive;Adjective;A2;madanihon
audience;Noun;A2;mamiminaw
August;Noun;A1;Agosto
aunt;Noun;A1;iyaan
author;Noun;A2;tagsulat
authority;Noun;B1;sa awtoridad sa
autumn;Noun;A1;tingdagdag
available;Adjective;A2;anaa
average;Adjective, Noun Verb;A2, B1;average
avoid;Verb;A2;maglikay
award;Noun Verb;A2, B1;award
aware;Adjective;B1;nahibalo
away;Adverb;A1;sa
awful;Adjective;A2;makalilisang
baby;Noun;A1;bata
back;Noun AdVerb Adjective, Verb;A1, A2, B2;balik
background;Noun;A2;background
backwards;Adverb;B1;naglakaw
bacteria;Noun;B2;bakterya
bad;Adjective;A1;dili maayo nga
badly;Adverb;A2;mahisugamak sa kadaot
bag;Noun;A1;bag
bake;Verb;B1;magaluto
balance;Noun Verb;B1;balanse
ball;Noun;A1;bola
ban;Verb Noun;B1;giwala
banana;Noun;A1;sa saging
band;Noun;A1;panon sa mga sundalo
bank (money);Noun;A1;bangko (salapi)
bank (river);Noun;B1;bangko (suba)
