a, an;indefinite, article;A1;a, an
abandon;Verb;B2;kusiya
ability;Noun;A2;luso
able;Adjective;A2;wokhoza
about;prep. Adverb;A1;za
above;prep. Adverb;A1;pamwamba
abroad;Adverb;A2;kunja
absolute;Adjective;B2;mtheradi
absolutely;Adverb;B1;mwamtheradi
academic;adj, Noun;B1, B2;maphunziro
accept;Verb;A2;kuvomereza
acceptable;Adjective;B2;yovomerezeka
access;Noun Verb;B1;kupeza
accident;Noun;A2;ngozi
accommodation;Noun;B1;malawi
accompany;Verb;B2;kutsagana
according to;prep.;A2;Malinga ndi
account;Noun Verb;B1, B2;nkhani
accurate;Adjective;B2;zolondola
accuse;Verb;B2;kunditsutsa
achieve;Verb;A2;tikwaniritse
achievement;Noun;B1;kupambana
acknowledge;Verb;B2;Akachita
acquire;Verb;B2;Tikhale
across;prep. Adverb;A1;kuwoloka
act;Verb Noun;A2,B1;zinthu
action;Noun;A1;kanthu
active;Adjective;A2;yogwira
activity;Noun;A1;ntchito
actor;Noun;A1;wosewera
actress;Noun;A1;Ammayi
actual;Adjective;B2;leni
actually;Adverb;A2;kwenikweni
ad;Noun;B1;malonda
adapt;Verb;B2;azolowere
add;Verb;A1;kuwonjezera
addition;Noun;B1;Kuwonjezera
additional;Adjective;B2;zina
address;Noun Verb;A1,B2;adiresi
administration;Noun;B2;Dongosolo
admire;Verb;B1;ndinayamikira
admit;Verb;B1;kuvomereza
adopt;Verb;B2;kutengera
adult;Noun adj;A1,A2;wamkulu
Advance;Noun Verb adj;B2;Zonena
Advanced;Adjective;B1;zotsogola
Advantage;Noun;A2;Ubwino
Adventure;Noun;A2;ulendo
Advertise;Verb;A2;lengezani
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;malonda
Advice;Noun Verb;A1, B1;malangizo
affair;Noun;B2;zochitika
affect;Verb;A2;bwanji
afford;Verb;B1;kukwanitsa
afraid;Adjective;A1;mantha
after;prep. conj. Adverb;A1,A2;pambuyo
afternoon;Noun;A1;masana
afterwards;Adverb;B2;kenako
again;Adverb;A1;kachiwiri
against;prep;A2;ndi
age;Noun Verb;A1, B1;zaka
aged;Adjective;B1;okalamba
agency;Noun;B2;bungwe
agenda;Noun;B2;kutsogoza
agent;Noun;B1;wothandizila
aggressive;Adjective;B2;mwamakani
ago;Adverb;A1;zapitazo
agree;Verb;A1;kugwirizana
agreement;Noun;B1;mgwirizano
ah;exclam.;A2;aha
ahead;Adverb;B1;patsogolo
aid;Noun Verb;B2;chithandizo
aim;Verb Noun;B1;cholinga
air;Noun;A1;mpweya
aircraft;Noun;B2;ndege
airline;Noun;A2;ndege
airport;Noun;A1;ndege
alarm;Noun Verb;B1, B2;Alamu
album;Noun;B1;chimbale
alcohol;Noun;B1;mowa
alcoholic;Adjective;B1;mowa
alive;Adjective;A2;moyo
all;det. pron, Adverb;A1, A2;onse
all right;Adjective, Adverb exclam;A2;chabwino
allow;Verb;A2;kulola
almost;Adverb;A2;pafupifupi
alone;Adjective, Adverb;A2;nokha
along;prep. Adverb;A2;pamodzi
already;Adverb;A2;kale
also;Adverb;A1;komanso
alter;Verb;B2;kusintha
alternative;Noun Adjective;A2, B1;zina
although;conj;A2;ngakhale
always;Adverb;A1;nthawi zonse
amazed;Adjective;B1;anadabwa
amazing;Adjective;A1;chodabwitsa
ambition;Noun;B1;kuziyeneleza
ambitious;Adjective;B1;wofuna
among;prep.;A2;pakati
amount;Noun Verb;A2, B2;kuchuluka
analyse;Verb;B1;yosanthula
analysis;Noun;B1;kusanthula
ancient;Adjective;A2;wakale
and;conj;A1;ndi
anger;Noun;B2;mkwiyo
angle;Noun;B2;ngodya
angry;Adjective;A1;wokwiya
animal;Noun;A1;chinyama
ankle;Noun;A2;kumwendo
anniversary;Noun;B2;chikumbutso
announce;Verb;B1;kulengeza
announcement;Noun;B1;kulengeza
annoy;Verb;B1;kumvutitsa
annoyed;Adjective;B1;Adazunzidwa
annoying;Adjective;B1;zosasangalatsa
annual;Adjective;B2;pachaka
another;det. proNoun;A1;china
answer;Noun Verb;A1;yankho
anxious;Adjective;B2;nkhawa
any;det. proNoun, Adverb;A1, A2;aliyense
anybody;pron;A2;aliyense
any more;Adverb;A2;kenanso
anyone;pron;A1;aliyense
anything;pron;A1;chilichonse
anyway;Adverb;A2;mulimonse
anywhere;AdVerb proNoun;A2;kulikonse
apart;Adverb;B1;padera
apartment;Noun;A1;nyumba
apologize;Verb;B1;kupepesa
app;Noun;A2;app
apparent;Adjective;B2;zoonekeratu
apparently;Adverb;B2;Zikuoneka
appeal;Noun Verb;B2;pempho
appear;Verb;A2;kuoneka
appearance;Noun;A2;maonekedwe
apple;Noun;A1;apulosi
application;Noun;B1;ntchito
apply;Verb;A2;ntchito
appointment;Noun;B1;kusankhidwa
appreciate;Verb;B1;amayamikira
approach;Noun Verb;B2;njira
appropriate;Adjective;B2;kupatsila
approval;Noun;B2;ovomerezeka
approve;Verb;B2;amavomereza
approximately;Adverb;B1;pafupifupi
April;Noun;A1;April
architect;Noun;A2;wamanga
architecture;Noun;A2;zomangamanga
