a, an;indefinite, article;A1;una, una
abandon;Verb;B2;abbandunà
ability;Noun;A2;abilità
able;Adjective;A2;gradu
about;prep. Adverb;A1;circa
above;prep. Adverb;A1;sopratuttu
abroad;Adverb;A2;stranieru
absolute;Adjective;B2;assulutu
absolutely;Adverb;B1;ricci
academic;adj, Noun;B1, B2;accademicu
accept;Verb;A2;accittari
acceptable;Adjective;B2;accittabbili
access;Noun Verb;B1;accessu à
accident;Noun;A2;ncidenti
accommodation;Noun;B1;cazare
accompany;Verb;B2;viaghja
according to;prep.;A2;secondu
account;Noun Verb;B1, B2;contu
accurate;Adjective;B2;accuratu
accuse;Verb;B2;accusallu
achieve;Verb;A2;ghjunghje
achievement;Noun;B1;uttinuti
acknowledge;Verb;B2;ricunnosce
acquire;Verb;B2;acquistà
across;prep. Adverb;A1;à traversu
act;Verb Noun;A2,B1;cumportu
action;Noun;A1;maiò
active;Adjective;A2;attivu
activity;Noun;A1;attivitati
actor;Noun;A1;Attore
actress;Noun;A1;attrice
actual;Adjective;B2;cuncertazione
actually;Adverb;A2;primurosu
ad;Noun;B1;A ad
adapt;Verb;B2;addattà
add;Verb;A1;aghjunghje
addition;Noun;B1;Campu Tondu
additional;Adjective;B2;applicàrisi
address;Noun Verb;A1,B2;indirizzu
administration;Noun;B2;amministrazioni
admire;Verb;B1;her
admit;Verb;B1;ricunnoscini
adopt;Verb;B2;fiurintinu
adult;Noun adj;A1,A2;adulta
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;benefiziu
Adventure;Noun;A2;aventura
Advertise;Verb;A2;publicità
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;cunsigliu
affair;Noun;B2;affari
affect;Verb;A2;micca
afford;Verb;B1;pagari
afraid;Adjective;A1;A paura
after;prep. conj. Adverb;A1,A2;dopu à
afternoon;Noun;A1;dopu meziornu
afterwards;Adverb;B2;pü
again;Adverb;A1;dinò
against;prep;A2;contru à
age;Noun Verb;A1, B1;sèculu
aged;Adjective;B1;mmicchiatu
agency;Noun;B2;agenzia
agenda;Noun;B2;patrimoniu
agent;Noun;B1;agenti
aggressive;Adjective;B2;n'aggrissivu
ago;Adverb;A1;fà
agree;Verb;A1;accordu
agreement;Noun;B1;accordu
ah;exclam.;A2;ah
ahead;Adverb;B1;nanzu
aid;Noun Verb;B2;aiutu
aim;Verb Noun;B1;Ghjova
air;Noun;A1;aria
aircraft;Noun;B2;aviò
airline;Noun;A2;cumpagnìa
airport;Noun;A1;aviazione
alarm;Noun Verb;B1, B2;alarme
album;Noun;B1;Fotoalbum
alcohol;Noun;B1;alcolu
alcoholic;Adjective;B1;ALCOLU
alive;Adjective;A2;populu vivu
all;det. pron, Adverb;A1, A2;tuttu
all right;Adjective, Adverb exclam;A2;va bè
allow;Verb;A2;permette
almost;Adverb;A2;guasi
alone;Adjective, Adverb;A2;sulu
along;prep. Adverb;A2;lungo
already;Adverb;A2;digià
also;Adverb;A1;dinù
alter;Verb;B2;western
alternative;Noun Adjective;A2, B1;alternativa
although;conj;A2;Purtantu
always;Adverb;A1;sempre
amazed;Adjective;B1;maravigliati
amazing;Adjective;A1;maravigghiusu
ambition;Noun;B1;ambizioni
ambitious;Adjective;B1;ambiziosu
among;prep.;A2;à mezu à
amount;Noun Verb;A2, B2;muntanti
analyse;Verb;B1;analyse
analysis;Noun;B1;analisi
ancient;Adjective;A2;anticu
and;conj;A1;e
anger;Noun;B2;zerga
angle;Noun;B2;angolo
angry;Adjective;A1;furia
animal;Noun;A1;animale
ankle;Noun;A2;judo
anniversary;Noun;B2;anniversariu
announce;Verb;B1;annunziari
announcement;Noun;B1;annunziu
annoy;Verb;B1;dìllu
annoyed;Adjective;B1;male
annoying;Adjective;B1;male
annual;Adjective;B2;annuali
another;det. proNoun;A1;altru
answer;Noun Verb;A1;risposta
anxious;Adjective;B2;bramosu
any;det. proNoun, Adverb;A1, A2;ogni
anybody;pron;A2;qualunqui
any more;Adverb;A2;alcunu di più
