a, an;indefinite, article;A1;a,
abandon;Verb;B2;opustit
ability;Noun;A2;schopnost
able;Adjective;A2;schopný
about;prep. Adverb;A1;o
above;prep. Adverb;A1;výše
abroad;Adverb;A2;v zahraničí
absolute;Adjective;B2;absolutní
absolutely;Adverb;B1;Absolutně
academic;adj, Noun;B1, B2;akademický
accept;Verb;A2;přijmout
acceptable;Adjective;B2;přijatelný
access;Noun Verb;B1;přístup
accident;Noun;A2;nehoda
accommodation;Noun;B1;ubytování
accompany;Verb;B2;doprovázet
according to;prep.;A2;podle
account;Noun Verb;B1, B2;účet
accurate;Adjective;B2;přesný
accuse;Verb;B2;obvinit
achieve;Verb;A2;dosáhnout
achievement;Noun;B1;úspěch
acknowledge;Verb;B2;potvrdit
acquire;Verb;B2;získat
across;prep. Adverb;A1;přes
act;Verb Noun;A2,B1;akt
action;Noun;A1;akce
active;Adjective;A2;aktivní
activity;Noun;A1;aktivita
actor;Noun;A1;herec
actress;Noun;A1;herečka
actual;Adjective;B2;aktuální
actually;Adverb;A2;vlastně
ad;Noun;B1;inzerát
adapt;Verb;B2;přizpůsobit
add;Verb;A1;přidat
addition;Noun;B1;přidání
additional;Adjective;B2;další
address;Noun Verb;A1,B2;adresa
administration;Noun;B2;správa
admire;Verb;B1;obdivovat
admit;Verb;B1;připustit
adopt;Verb;B2;přijmout
adult;Noun adj;A1,A2;dospělý
Advance;Noun Verb adj;B2;Záloha
Advanced;Adjective;B1;Pokročilý
Advantage;Noun;A2;Výhoda
Adventure;Noun;A2;Dobrodružství
Advertise;Verb;A2;Inzerovat
Advertisement;Noun;A2;reklama
Advertising;Noun;A2;Reklamní
Advice;Noun Verb;A1, B1;Rada
affair;Noun;B2;aféra
affect;Verb;A2;postihnout
afford;Verb;B1;si dovolit
afraid;Adjective;A1;bát
after;prep. conj. Adverb;A1,A2;po
afternoon;Noun;A1;odpoledne
afterwards;Adverb;B2;později
again;Adverb;A1;znovu
against;prep;A2;proti
age;Noun Verb;A1, B1;stáří
aged;Adjective;B1;letitý
agency;Noun;B2;agentura
agenda;Noun;B2;denní program
agent;Noun;B1;činidlo
aggressive;Adjective;B2;útočný
ago;Adverb;A1;před
agree;Verb;A1;souhlasit
agreement;Noun;B1;dohoda
ah;exclam.;A2;ah
ahead;Adverb;B1;vpřed
aid;Noun Verb;B2;pomoc
aim;Verb Noun;B1;cíl
air;Noun;A1;vzduch
aircraft;Noun;B2;letadlo
airline;Noun;A2;letecká linka
airport;Noun;A1;letiště
alarm;Noun Verb;B1, B2;poplach
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholik
alive;Adjective;A2;naživu
all;det. pron, Adverb;A1, A2;Všechno
all right;Adjective, Adverb exclam;A2;dobře
allow;Verb;A2;dovolit
almost;Adverb;A2;téměř
alone;Adjective, Adverb;A2;sám
along;prep. Adverb;A2;podél
already;Adverb;A2;již
also;Adverb;A1;taky
alter;Verb;B2;změnit
alternative;Noun Adjective;A2, B1;alternativní
although;conj;A2;Ačkoli
always;Adverb;A1;vždy
amazed;Adjective;B1;úžas
amazing;Adjective;A1;úžasný
ambition;Noun;B1;ctižádost
ambitious;Adjective;B1;ambiciózní
among;prep.;A2;mezi
amount;Noun Verb;A2, B2;množství
analyse;Verb;B1;analyzovat
analysis;Noun;B1;analýza
ancient;Adjective;A2;starověký
and;conj;A1;a
anger;Noun;B2;hněv
angle;Noun;B2;úhel
angry;Adjective;A1;rozzlobený
animal;Noun;A1;zvíře
