a, an;indefinite, article;A1;isang, isang
abandon;Verb;B2;lisanin
ability;Noun;A2;abilidad
able;Adjective;A2;may kakayahan
about;prep. Adverb;A1;tungkol sa
above;prep. Adverb;A1;sa itaas
abroad;Adverb;A2;nasa ibang bansa
absolute;Adjective;B2;lubos
absolutely;Adverb;B1;walang pasubali
academic;adj, Noun;B1, B2;akademiko
accept;Verb;A2;tanggapin
acceptable;Adjective;B2;maaaring tanggapin
access;Noun Verb;B1;daan
accident;Noun;A2;aksidente
accommodation;Noun;B1;tuluyan
accompany;Verb;B2;samahan
according to;prep.;A2;ayon kay
account;Noun Verb;B1, B2;account
accurate;Adjective;B2;tama
accuse;Verb;B2;akusahan
achieve;Verb;A2;makamit
achievement;Noun;B1;pambihira
acknowledge;Verb;B2;Kinikilala
acquire;Verb;B2;makuha
across;prep. Adverb;A1;sa kabila
act;Verb Noun;A2,B1;kumilos
action;Noun;A1;aksyon
active;Adjective;A2;aktibo
activity;Noun;A1;aktibidad
actor;Noun;A1;aktor
actress;Noun;A1;artista
actual;Adjective;B2;tunay
actually;Adverb;A2;talaga
ad;Noun;B1;Ad
adapt;Verb;B2;iangkop
add;Verb;A1;magdagdag
addition;Noun;B1;dagdag
additional;Adjective;B2;karagdagan
address;Noun Verb;A1,B2;address
administration;Noun;B2;pangangasiwa
admire;Verb;B1;hangaan
admit;Verb;B1;umamin
adopt;Verb;B2;mag-ampon
adult;Noun adj;A1,A2;adulto
Advance;Noun Verb adj;B2;advance
Advanced;Adjective;B1;advanced
Advantage;Noun;A2;kalamangan
Adventure;Noun;A2;pakikipagsapalaran
Advertise;Verb;A2;mag-anunsiyo
Advertisement;Noun;A2;paanunsiyo
Advertising;Noun;A2;advertising
Advice;Noun Verb;A1, B1;payo
affair;Noun;B2;kapakanan
affect;Verb;A2;makakaapekto sa
afford;Verb;B1;makaya
afraid;Adjective;A1;takot
after;prep. conj. Adverb;A1,A2;pagkatapos
afternoon;Noun;A1;hapon
afterwards;Adverb;B2;pagkatapos
again;Adverb;A1;muli
against;prep;A2;laban sa
age;Noun Verb;A1, B1;edad
aged;Adjective;B1;matanda
agency;Noun;B2;ahensiya
agenda;Noun;B2;adyenda
agent;Noun;B1;ahente
aggressive;Adjective;B2;agresibo
ago;Adverb;A1;nakararaan
agree;Verb;A1;sumang-ayon
agreement;Noun;B1;kasunduan
ah;exclam.;A2;ah
ahead;Adverb;B1;nauuna
aid;Noun Verb;B2;tulong
aim;Verb Noun;B1;pakay
air;Noun;A1;himpapawid
aircraft;Noun;B2;mga sasakyang panghimpapawid
airline;Noun;A2;kompanya ng eroplano
airport;Noun;A1;paliparan
alarm;Noun Verb;B1, B2;alarma
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;may alkohol
alive;Adjective;A2;buhay
all;det. pron, Adverb;A1, A2;lahat
all right;Adjective, Adverb exclam;A2;lahat tama
allow;Verb;A2;payagan
almost;Adverb;A2;halos
alone;Adjective, Adverb;A2;nag-iisa
along;prep. Adverb;A2;sa tabi
already;Adverb;A2;na
also;Adverb;A1;din
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatibo
although;conj;A2;bagaman
always;Adverb;A1;palagi
amazed;Adjective;B1;nagtaka nang labis
amazing;Adjective;A1;kagulat-gulat
ambition;Noun;B1;ambisyon
ambitious;Adjective;B1;ambisyoso
among;prep.;A2;sa gitna ng
amount;Noun Verb;A2, B2;dami
analyse;Verb;B1;suriin
analysis;Noun;B1;pagsusuri
ancient;Adjective;A2;sinauna
and;conj;A1;at
anger;Noun;B2;galit
angle;Noun;B2;anggulo
angry;Adjective;A1;galit
animal;Noun;A1;hayop
ankle;Noun;A2;bukung-bukong
anniversary;Noun;B2;anibersaryo
announce;Verb;B1;ipahayag
announcement;Noun;B1;anunsyo
annoy;Verb;B1;mangyamot
annoyed;Adjective;B1;inis
annoying;Adjective;B1;nakakainis
annual;Adjective;B2;taunan
another;det. proNoun;A1;isa pa
answer;Noun Verb;A1;sagot
anxious;Adjective;B2;balisa
any;det. proNoun, Adverb;A1, A2;anumang
anybody;pron;A2;kahit sino
any more;Adverb;A2;anumang higit pa
anyone;pron;A1;sinuman
anything;pron;A1;anumang bagay
anyway;Adverb;A2;gayon pa man
anywhere;AdVerb proNoun;A2;kahit saan
apart;Adverb;B1;hiwalay
apartment;Noun;A1;apartment
apologize;Verb;B1;humingi ng tawad
app;Noun;A2;app
apparent;Adjective;B2;maliwanag
apparently;Adverb;B2;tila
appeal;Noun Verb;B2;panawagan
appear;Verb;A2;lumitaw
appearance;Noun;A2;hitsura
apple;Noun;A1;mansanas
application;Noun;B1;application
apply;Verb;A2;gamitin
appointment;Noun;B1;appointment
appreciate;Verb;B1;magpahalaga
approach;Noun Verb;B2;lapitan
appropriate;Adjective;B2;naaangkop
approval;Noun;B2;pagsang-ayon
approve;Verb;B2;aprobahan
approximately;Adverb;B1;halos
April;Noun;A1;Abril
architect;Noun;A2;arkitekto
architecture;Noun;A2;arkitektura
area;Noun;A1;lugar
argue;Verb;A2;magtaltalan
argument;Noun;A2;argumento
arise;Verb;B2;manggaling
arm;Noun;A1;braso
armed;Adjective;B2;armado
arms;Noun;B2;armas
army;Noun;A2;hukbo
around;prep. Adverb;A1;sa paligid
arrange;Verb;A2;mag-ayos
arrangement;Noun;A2;kaayusan
arrest;Verb Noun;B1;arestuhin
arrival;Noun;B1;pagdating
arrive;Verb;A1;dumating
art;Noun;A1;sining
article;Noun;A1;artikulo
artificial;Adjective;B2;artipisyal
artist;Noun;A1;pintor
artistic;Adjective;B2;masining
as;prep., Adverb conj.;A1, A2;bilang
ashamed;Adjective;B2;nahihiya
asleep;Adjective;A2;tulog
ask;Verb;A1;magtanong
aspect;Noun;B2;aspect
assess;Verb;B2;tasahan
assessment;Noun;B2;pagtatasa
assignment;Noun;B1;trabaho
assist;Verb;B1;tulungan
assistant;Noun Adjective;A2;katulong
associate;Verb;B2;makisama
associated;Adjective;B2;mga kaugnay na
association;Noun;B2;samahan
assume;Verb;B2;ipalagay
at;prep.;A1;sa
athlete;Noun;A2;atleta
atmosphere;Noun;B1;kapaligiran
attach;Verb;B1;ikabit
attack;Noun Verb;A2;atake
attempt;Noun Verb;B2;tangka
attend;Verb;A2;dumalo
attention;Noun exclam.;A2;pansin
attitude;Noun;B1;saloobin
attract;Verb;B1;akitin
attraction;Noun;B1;atraksyon
attractive;Adjective;A2;kaakit-akit
audience;Noun;A2;madla
August;Noun;A1;Agosto
aunt;Noun;A1;Tiya
author;Noun;A2;may-akda
authority;Noun;B1;kapangyarihan
autumn;Noun;A1;taglagas
available;Adjective;A2;magagamit
average;Adjective, Noun Verb;A2, B1;karaniwan
avoid;Verb;A2;avoid
award;Noun Verb;A2, B1;premyo
aware;Adjective;B1;may kamalayan
away;Adverb;A1;malayo
awful;Adjective;A2;kakila-kilabot
baby;Noun;A1;sanggol
back;Noun AdVerb Adjective, Verb;A1, A2, B2;likod
background;Noun;A2;likuran
backwards;Adverb;B1;paurong
bacteria;Noun;B2;bakterya
bad;Adjective;A1;masama
badly;Adverb;A2;masama
bag;Noun;A1;supot
bake;Verb;B1;maghurno
balance;Noun Verb;B1;balanse
ball;Noun;A1;bola
ban;Verb Noun;B1;pagbabawal
banana;Noun;A1;saging
band;Noun;A1;banda
bank (money);Noun;A1;bangko (pera)
bank (river);Noun;B1;bangko (ilog)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;hadlang
base;Noun Verb;B1;base
baseball;Noun;A2;besbol
based;Adjective;A2;batay
basketball;Noun;A2;basketbol
basic;Adjective;B1;pangunahing
