a, an;indefinite, article;A1;a, un
abandon;Verb;B2;abandonner
ability;Noun;A2;aptitude
able;Adjective;A2;capable
about;prep. Adverb;A1;à propos
above;prep. Adverb;A1;au dessus
abroad;Adverb;A2;à l'étranger
absolute;Adjective;B2;absolu
absolutely;Adverb;B1;absolument
academic;adj, Noun;B1, B2;académique
accept;Verb;A2;J'accepte
acceptable;Adjective;B2;acceptable
access;Noun Verb;B1;accès
accident;Noun;A2;accident
accommodation;Noun;B1;hébergement
accompany;Verb;B2;accompagner
according to;prep.;A2;selon
account;Noun Verb;B1, B2;Compte
accurate;Adjective;B2;précis
accuse;Verb;B2;accuser
achieve;Verb;A2;atteindre
achievement;Noun;B1;réussite
acknowledge;Verb;B2;reconnaître
acquire;Verb;B2;acquérir
across;prep. Adverb;A1;à travers
act;Verb Noun;A2,B1;acte
action;Noun;A1;action
active;Adjective;A2;actif
activity;Noun;A1;activité
actor;Noun;A1;acteur
actress;Noun;A1;actrice
actual;Adjective;B2;réel
actually;Adverb;A2;réellement
ad;Noun;B1;un d
adapt;Verb;B2;adapter
add;Verb;A1;ajouter
addition;Noun;B1;une addition
additional;Adjective;B2;Additionnel
address;Noun Verb;A1,B2;adresse
administration;Noun;B2;administration
admire;Verb;B1;admirer
admit;Verb;B1;admettre
adopt;Verb;B2;adopter
adult;Noun adj;A1,A2;adulte
Advance;Noun Verb adj;B2;Avance
Advanced;Adjective;B1;Avancée
Advantage;Noun;A2;Avantage
Adventure;Noun;A2;Aventure
Advertise;Verb;A2;Afficher
Advertisement;Noun;A2;Publicité
Advertising;Noun;A2;La publicité
Advice;Noun Verb;A1, B1;Conseil
affair;Noun;B2;affaire
affect;Verb;A2;affecter
afford;Verb;B1;offrir
afraid;Adjective;A1;peur
after;prep. conj. Adverb;A1,A2;après
afternoon;Noun;A1;après midi
afterwards;Adverb;B2;ensuite
again;Adverb;A1;encore
against;prep;A2;contre
age;Noun Verb;A1, B1;âge
aged;Adjective;B1;vieilli
agency;Noun;B2;agence
agenda;Noun;B2;ordre du jour
agent;Noun;B1;agent
aggressive;Adjective;B2;agressif
ago;Adverb;A1;depuis
agree;Verb;A1;se mettre d'accord
agreement;Noun;B1;accord
ah;exclam.;A2;ah
ahead;Adverb;B1;devant
aid;Noun Verb;B2;aide
aim;Verb Noun;B1;objectif
air;Noun;A1;air
aircraft;Noun;B2;avion
airline;Noun;A2;Compagnie aérienne
airport;Noun;A1;aéroport
alarm;Noun Verb;B1, B2;alarme
album;Noun;B1;album
alcohol;Noun;B1;de l'alcool
alcoholic;Adjective;B1;alcoolique
alive;Adjective;A2;vivant
all;det. pron, Adverb;A1, A2;tout
all right;Adjective, Adverb exclam;A2;d'accord
allow;Verb;A2;Autoriser
almost;Adverb;A2;presque
alone;Adjective, Adverb;A2;seul
along;prep. Adverb;A2;le long de
already;Adverb;A2;déjà
also;Adverb;A1;aussi
alter;Verb;B2;modifier
alternative;Noun Adjective;A2, B1;alternative
although;conj;A2;bien que
always;Adverb;A1;toujours
amazed;Adjective;B1;étonné
amazing;Adjective;A1;incroyable
ambition;Noun;B1;ambition
ambitious;Adjective;B1;ambitieux
among;prep.;A2;parmi
amount;Noun Verb;A2, B2;montant
analyse;Verb;B1;analyser
analysis;Noun;B1;une analyse
ancient;Adjective;A2;ancien
and;conj;A1;et
anger;Noun;B2;colère
angle;Noun;B2;angle
angry;Adjective;A1;en colère
animal;Noun;A1;animal
ankle;Noun;A2;cheville
anniversary;Noun;B2;anniversaire
announce;Verb;B1;annoncer
announcement;Noun;B1;annonce
annoy;Verb;B1;ennuyer
annoyed;Adjective;B1;agacé
annoying;Adjective;B1;énervant
annual;Adjective;B2;annuel
another;det. proNoun;A1;un autre
answer;Noun Verb;A1;répondre
anxious;Adjective;B2;anxieux
any;det. proNoun, Adverb;A1, A2;tout
anybody;pron;A2;n'importe qui
any more;Adverb;A2;plus
anyone;pron;A1;n'importe qui
anything;pron;A1;n'importe quoi
