a, an;indefinite, article;A1;a, in
abandon;Verb;B2;abandon
ability;Noun;A2;fermogen
able;Adjective;A2;steat
about;prep. Adverb;A1;oer
above;prep. Adverb;A1;boppe
abroad;Adverb;A2;bûtenlân
absolute;Adjective;B2;absolute
absolutely;Adverb;B1;absolút
academic;adj, Noun;B1, B2;akademysk
accept;Verb;A2;oannimme
acceptable;Adjective;B2;oannimlik
access;Noun Verb;B1;tagong
accident;Noun;A2;ûngelok
accommodation;Noun;B1;akkommodaasje
accompany;Verb;B2;begeliede
according to;prep.;A2;neffens
account;Noun Verb;B1, B2;rekken
accurate;Adjective;B2;presys
accuse;Verb;B2;beskuldigjen
achieve;Verb;A2;berikke
achievement;Noun;B1;ferwêzentlikjen
acknowledge;Verb;B2;erkenne
acquire;Verb;B2;oanlûke
across;prep. Adverb;A1;oer
act;Verb Noun;A2,B1;handeling
action;Noun;A1;aksje
active;Adjective;A2;aktyf
activity;Noun;A1;aktiviteit
actor;Noun;A1;toanielspiler
actress;Noun;A1;toanielspylster
actual;Adjective;B2;feitlik
actually;Adverb;A2;feitlik
ad;Noun;B1;ad
adapt;Verb;B2;oanpasse
add;Verb;A1;add
addition;Noun;B1;addition
additional;Adjective;B2;oanfoljend
address;Noun Verb;A1,B2;adres
administration;Noun;B2;bestjoer
admire;Verb;B1;bewûnderje
admit;Verb;B1;tajaan
adopt;Verb;B2;adoptearje
adult;Noun adj;A1,A2;folwoeksen
Advance;Noun Verb adj;B2;advance
Advanced;Adjective;B1;Avansearre
Advantage;Noun;A2;Foardiel
Adventure;Noun;A2;Aventoer
Advertise;Verb;A2;Advertearje
Advertisement;Noun;A2;Advertinsje
Advertising;Noun;A2;Reklame
Advice;Noun Verb;A1, B1;Rie
affair;Noun;B2;affair
affect;Verb;A2;beynfloedzje
afford;Verb;B1;afford
afraid;Adjective;A1;bang
after;prep. conj. Adverb;A1,A2;nei
afternoon;Noun;A1;middei
afterwards;Adverb;B2;neitiid
again;Adverb;A1;wer
against;prep;A2;tsjin
age;Noun Verb;A1, B1;leeftyd
aged;Adjective;B1;aged
agency;Noun;B2;agintskip
agenda;Noun;B2;wurklist
agent;Noun;B1;agint
aggressive;Adjective;B2;agressyf
ago;Adverb;A1;lyn
agree;Verb;A1;oerienkomme
agreement;Noun;B1;oerienkomst
ah;exclam.;A2;ah
ahead;Adverb;B1;foarút
aid;Noun Verb;B2;helpmiddel
aim;Verb Noun;B1;doel
air;Noun;A1;loft
aircraft;Noun;B2;fleantúch
airline;Noun;A2;airline
airport;Noun;A1;fleanfjild
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholist
alive;Adjective;A2;libben
all;det. pron, Adverb;A1, A2;alle
all right;Adjective, Adverb exclam;A2;Oke
allow;Verb;A2;talitte
almost;Adverb;A2;hast
alone;Adjective, Adverb;A2;allinne
along;prep. Adverb;A2;bylâns
already;Adverb;A2;al
also;Adverb;A1;ek
alter;Verb;B2;feroarje
alternative;Noun Adjective;A2, B1;alternatyf
although;conj;A2;alhoewol
always;Adverb;A1;altyd
amazed;Adjective;B1;amazed
amazing;Adjective;A1;ferbazend
ambition;Noun;B1;ambysje
ambitious;Adjective;B1;ambisjeus
among;prep.;A2;ûnder
amount;Noun Verb;A2, B2;tal
analyse;Verb;B1;analysearje
analysis;Noun;B1;analysis
ancient;Adjective;A2;âld
and;conj;A1;en
anger;Noun;B2;lilkens
angle;Noun;B2;hoeke
angry;Adjective;A1;lilk
animal;Noun;A1;bist
ankle;Noun;A2;ankle
anniversary;Noun;B2;jubileum
announce;Verb;B1;oantsjinje
announcement;Noun;B1;announcement
annoy;Verb;B1;annoy
annoyed;Adjective;B1;fortrette
annoying;Adjective;B1;ferfelend
annual;Adjective;B2;jierliks
another;det. proNoun;A1;oar
answer;Noun Verb;A1;antwurd
anxious;Adjective;B2;anxious
any;det. proNoun, Adverb;A1, A2;elk
anybody;pron;A2;anybody
any more;Adverb;A2;mear
anyone;pron;A1;anyone
anything;pron;A1;anything
anyway;Adverb;A2;anyway
anywhere;AdVerb proNoun;A2;oeral
apart;Adverb;B1;apart
apartment;Noun;A1;appartemint
apologize;Verb;B1;ferûntskuldigje
app;Noun;A2;app
apparent;Adjective;B2;skynber
apparently;Adverb;B2;skynber
appeal;Noun Verb;B2;berop
appear;Verb;A2;skine
appearance;Noun;A2;ferskining
apple;Noun;A1;appel
application;Noun;B1;oanfraach
apply;Verb;A2;tapasse
appointment;Noun;B1;beneaming
appreciate;Verb;B1;wurdearje
approach;Noun Verb;B2;oanpak
appropriate;Adjective;B2;gaadlik
approval;Noun;B2;ynstimming
approve;Verb;B2;approve
approximately;Adverb;B1;likernôch
April;Noun;A1;april
architect;Noun;A2;arsjitekt
architecture;Noun;A2;boukunde
area;Noun;A1;krite
argue;Verb;A2;sizze
argument;Noun;A2;argumint
arise;Verb;B2;ûntsteane
arm;Noun;A1;earm
armed;Adjective;B2;armed
arms;Noun;B2;earms
army;Noun;A2;leger
around;prep. Adverb;A1;rûnom
arrange;Verb;A2;arrange
arrangement;Noun;A2;arrangement
arrest;Verb Noun;B1;arrestaasje
arrival;Noun;B1;oankomst
arrive;Verb;A1;oankomme
art;Noun;A1;keunst
article;Noun;A1;lidwurd
artificial;Adjective;B2;keunstmjittich
artist;Noun;A1;artyste
artistic;Adjective;B2;artistyk
as;prep., Adverb conj.;A1, A2;as
ashamed;Adjective;B2;beskamme
asleep;Adjective;A2;sliep
ask;Verb;A1;freegje
aspect;Noun;B2;aspekt
assess;Verb;B2;beoardielje
assessment;Noun;B2;beoardieling
assignment;Noun;B1;opdracht
assist;Verb;B1;helpe
assistant;Noun Adjective;A2;assistint
associate;Verb;B2;kompanjon
associated;Adjective;B2;Associated
association;Noun;B2;bûn
assume;Verb;B2;assume
at;prep.;A1;by
athlete;Noun;A2;atleet
atmosphere;Noun;B1;atmosfear
attach;Verb;B1;attach
attack;Noun Verb;A2;Oanfalle
attempt;Noun Verb;B2;besykjen
attend;Verb;A2;attend
attention;Noun exclam.;A2;oandacht
attitude;Noun;B1;hâlding
attract;Verb;B1;lûke
attraction;Noun;B1;attraksje
attractive;Adjective;A2;oantreklik
audience;Noun;A2;publyk
August;Noun;A1;augustus
aunt;Noun;A1;muoike
author;Noun;A2;skriuwer
authority;Noun;B1;autoriteit
autumn;Noun;A1;hjerst
available;Adjective;A2;beskikber
average;Adjective, Noun Verb;A2, B1;trochsneed
avoid;Verb;A2;datsoarte
award;Noun Verb;A2, B1;priis
aware;Adjective;B1;bewust
away;Adverb;A1;fuort
awful;Adjective;A2;awful
baby;Noun;A1;poppe
