a, an;indefinite, article;A1;a,
abandon;Verb;B2;უარი თქვას
ability;Noun;A2;უნარი
able;Adjective;A2;შეუძლია
about;prep. Adverb;A1;შესახებ
above;prep. Adverb;A1;ზემოთ
abroad;Adverb;A2;საზღვარგარეთ
absolute;Adjective;B2;აბსოლუტური
absolutely;Adverb;B1;სრულიად
academic;adj, Noun;B1, B2;სასწავლო
accept;Verb;A2;მიიღოს
acceptable;Adjective;B2;მისაღები
access;Noun Verb;B1;ხელმისაწვდომობა
accident;Noun;A2;შემთხვევის
accommodation;Noun;B1;განსახლების
accompany;Verb;B2;ერთად
according to;prep.;A2;მიხედვით
account;Noun Verb;B1, B2;ანგარიშის
accurate;Adjective;B2;ზუსტი
accuse;Verb;B2;ადანაშაულებენ
achieve;Verb;A2;მისაღწევად
achievement;Noun;B1;მიღწევა
acknowledge;Verb;B2;აღიარებს
acquire;Verb;B2;შევასწავლი
across;prep. Adverb;A1;მასშტაბით
act;Verb Noun;A2,B1;იმოქმედოს
action;Noun;A1;აქცია
active;Adjective;A2;აქტიური
activity;Noun;A1;საქმიანობის
actor;Noun;A1;მსახიობი
actress;Noun;A1;მსახიობი
actual;Adjective;B2;ფაქტობრივი
actually;Adverb;A2;რეალურად
ad;Noun;B1;რეკლამა
adapt;Verb;B2;ადაპტირება
add;Verb;A1;რჩეულებში
addition;Noun;B1;გარდა ამისა,
additional;Adjective;B2;დამატებითი
address;Noun Verb;A1,B2;მისამართი
administration;Noun;B2;ადმინისტრაცია
admire;Verb;B1;აღფრთოვანებული ვარ
admit;Verb;B1;ვაღიაროთ
adopt;Verb;B2;მიღება
adult;Noun adj;A1,A2;ზრდასრული
Advance;Noun Verb adj;B2;Წინსვლა
Advanced;Adjective;B1;Მოწინავე
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;სათავგადასავლო
Advertise;Verb;A2;რეკლამა
Advertisement;Noun;A2;რეკლამა
Advertising;Noun;A2;Სარეკლამო
Advice;Noun Verb;A1, B1;რჩევები
affair;Noun;B2;ურთიერთობა
affect;Verb;A2;აფექტი
afford;Verb;B1;ახერხებს
afraid;Adjective;A1;შეშინებული
after;prep. conj. Adverb;A1,A2;მას შემდეგ, რაც
afternoon;Noun;A1;დღის მეორე ნახევარში
afterwards;Adverb;B2;ამის შემდეგ
again;Adverb;A1;ერთხელ
against;prep;A2;წინააღმდეგ
age;Noun Verb;A1, B1;ასაკი
aged;Adjective;B1;ასაკის
agency;Noun;B2;სააგენტო
agenda;Noun;B2;დღის წესრიგში
agent;Noun;B1;აგენტი
aggressive;Adjective;B2;აგრესიული
ago;Adverb;A1;წინ
agree;Verb;A1;ვეთანხმები
agreement;Noun;B1;შეთანხმება
ah;exclam.;A2;ah
ahead;Adverb;B1;წინ
aid;Noun Verb;B2;დახმარება
aim;Verb Noun;B1;მიზანი
air;Noun;A1;საჰაერო
aircraft;Noun;B2;თვითმფრინავი
airline;Noun;A2;ავიაკომპანია
airport;Noun;A1;აეროპორტში
alarm;Noun Verb;B1, B2;სიგნალიზაცია
album;Noun;B1;ალბომი
alcohol;Noun;B1;ალკოჰოლის
alcoholic;Adjective;B1;ალკოჰოლური
alive;Adjective;A2;ცოცხალი
all;det. pron, Adverb;A1, A2;ყველა
all right;Adjective, Adverb exclam;A2;კარგი
allow;Verb;A2;მისცემს
almost;Adverb;A2;თითქმის
alone;Adjective, Adverb;A2;მარტო
along;prep. Adverb;A2;გასწვრივ
already;Adverb;A2;უკვე
also;Adverb;A1;ასევე
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;ალტერნატიული
although;conj;A2;მიუხედავად იმისა, რომ
always;Adverb;A1;ყოველთვის
amazed;Adjective;B1;გაოცებული
amazing;Adjective;A1;საოცარი
ambition;Noun;B1;ამბიცია
ambitious;Adjective;B1;ამბიციური
among;prep.;A2;შორის
amount;Noun Verb;A2, B2;თანხა
analyse;Verb;B1;ანალიზი
analysis;Noun;B1;ანალიზი
ancient;Adjective;A2;ძველი
and;conj;A1;და
anger;Noun;B2;აღშფოთება
angle;Noun;B2;კუთხე
angry;Adjective;A1;გაბრაზებული
animal;Noun;A1;ცხოველთა
ankle;Noun;A2;ტერფის
anniversary;Noun;B2;წლისთავი
announce;Verb;B1;აცხადებს
announcement;Noun;B1;განცხადება
annoy;Verb;B1;ნერვების მოშლის
annoyed;Adjective;B1;აღიზიანებთ
annoying;Adjective;B1;შემაშფოთებელი
annual;Adjective;B2;წლიური
another;det. proNoun;A1;სხვა
answer;Noun Verb;A1;პასუხი
anxious;Adjective;B2;შეშფოთებულია
any;det. proNoun, Adverb;A1, A2;ნებისმიერი
anybody;pron;A2;ვინმეს
any more;Adverb;A2;აღარ
anyone;pron;A1;არავის
anything;pron;A1;არაფერი
anyway;Adverb;A2;მაინც
anywhere;AdVerb proNoun;A2;ყველგან
apart;Adverb;B1;გარდა
apartment;Noun;A1;ბინა
apologize;Verb;B1;ბოდიშს
app;Noun;A2;აპლიკაცია
apparent;Adjective;B2;აშკარა
apparently;Adverb;B2;როგორც ჩანს,
appeal;Noun Verb;B2;მიმართვა
appear;Verb;A2;როგორც ჩანს,
appearance;Noun;A2;გამოჩენა
apple;Noun;A1;apple
application;Noun;B1;პროგრამა
apply;Verb;A2;ვრცელდება
appointment;Noun;B1;დანიშვნის
appreciate;Verb;B1;ვაფასებთ
approach;Noun Verb;B2;მიდგომა
appropriate;Adjective;B2;შესაბამის
approval;Noun;B2;დამტკიცების
approve;Verb;B2;დაამტკიცებს
approximately;Adverb;B1;დაახლოებით
April;Noun;A1;აპრილი
architect;Noun;A2;არქიტექტორი
architecture;Noun;A2;არქიტექტურა
