a, an;indefinite, article;A1;ένα, ένα
abandon;Verb;B2;εγκαταλείπω
ability;Noun;A2;ικανότητα
able;Adjective;A2;ικανός
about;prep. Adverb;A1;σχετικά με
above;prep. Adverb;A1;πάνω από
abroad;Adverb;A2;στο εξωτερικο
absolute;Adjective;B2;απόλυτος
absolutely;Adverb;B1;απολύτως
academic;adj, Noun;B1, B2;ακαδημαϊκός
accept;Verb;A2;αποδέχομαι
acceptable;Adjective;B2;δεκτός
access;Noun Verb;B1;πρόσβαση
accident;Noun;A2;ατύχημα
accommodation;Noun;B1;κατάλυμα
accompany;Verb;B2;συνοδεύω
according to;prep.;A2;σύμφωνα με
account;Noun Verb;B1, B2;λογαριασμός
accurate;Adjective;B2;ακριβής
accuse;Verb;B2;κατηγορώ
achieve;Verb;A2;φέρνω σε πέρας
achievement;Noun;B1;κατόρθωμα
acknowledge;Verb;B2;αναγνωρίζω
acquire;Verb;B2;αποκτώ
across;prep. Adverb;A1;απέναντι
act;Verb Noun;A2,B1;υποκρίνομαι
action;Noun;A1;δράση
active;Adjective;A2;ενεργός
activity;Noun;A1;δραστηριότητα
actor;Noun;A1;ηθοποιός
actress;Noun;A1;ηθοποιός
actual;Adjective;B2;πραγματικός
actually;Adverb;A2;πράγματι
ad;Noun;B1;Ενα δ
adapt;Verb;B2;προσαρμόζω
add;Verb;A1;Προσθήκη
addition;Noun;B1;πρόσθεση
additional;Adjective;B2;πρόσθετος
address;Noun Verb;A1,B2;διεύθυνση
administration;Noun;B2;διαχείριση
admire;Verb;B1;θαυμάζω
admit;Verb;B1;ομολογώ
adopt;Verb;B2;ενστερνίζομαι
adult;Noun adj;A1,A2;ενήλικας
Advance;Noun Verb adj;B2;Προκαταβολή
Advanced;Adjective;B1;Προχωρημένος
Advantage;Noun;A2;Πλεονέκτημα
Adventure;Noun;A2;Περιπέτεια
Advertise;Verb;A2;Διαφημίζω
Advertisement;Noun;A2;Διαφήμιση
Advertising;Noun;A2;Διαφήμιση
Advice;Noun Verb;A1, B1;Συμβουλή
affair;Noun;B2;υπόθεση
affect;Verb;A2;επηρεάζουν
afford;Verb;B1;ΟΙΚΟΝΟΜΙΚΗ δυνατοτητα
afraid;Adjective;A1;φοβισμένος
after;prep. conj. Adverb;A1,A2;μετά
afternoon;Noun;A1;απόγευμα
afterwards;Adverb;B2;έπειτα
again;Adverb;A1;πάλι
against;prep;A2;κατά
age;Noun Verb;A1, B1;ηλικία
aged;Adjective;B1;ηλικιωμένος
agency;Noun;B2;πρακτορείο
agenda;Noun;B2;ημερήσια διάταξη
agent;Noun;B1;μέσο
aggressive;Adjective;B2;επιθετικός
ago;Adverb;A1;πριν
agree;Verb;A1;συμφωνώ
agreement;Noun;B1;συμφωνία
ah;exclam.;A2;αχ
ahead;Adverb;B1;εμπρός
aid;Noun Verb;B2;βοήθεια
aim;Verb Noun;B1;σκοπός
air;Noun;A1;αέρας
aircraft;Noun;B2;αεροσκάφος
airline;Noun;A2;αερογραμμή
airport;Noun;A1;αεροδρόμιο
alarm;Noun Verb;B1, B2;τρομάζω
album;Noun;B1;άλμπουμ
alcohol;Noun;B1;αλκοόλ
alcoholic;Adjective;B1;αλκοολικός
alive;Adjective;A2;ζωντανός
all;det. pron, Adverb;A1, A2;όλα
all right;Adjective, Adverb exclam;A2;εντάξει
allow;Verb;A2;επιτρέπω
almost;Adverb;A2;σχεδόν
alone;Adjective, Adverb;A2;μόνος
along;prep. Adverb;A2;κατά μήκος
already;Adverb;A2;ήδη
also;Adverb;A1;επίσης
alter;Verb;B2;αλλάζω
alternative;Noun Adjective;A2, B1;εναλλακτική λύση
although;conj;A2;παρόλο
always;Adverb;A1;πάντα
amazed;Adjective;B1;έκθαμβος
amazing;Adjective;A1;φοβερο
ambition;Noun;B1;φιλοδοξία
ambitious;Adjective;B1;φιλόδοξος
among;prep.;A2;αναμεταξύ
amount;Noun Verb;A2, B2;ποσό
analyse;Verb;B1;αναλύει
analysis;Noun;B1;ανάλυση
ancient;Adjective;A2;αρχαίος
and;conj;A1;και
anger;Noun;B2;θυμός
angle;Noun;B2;γωνία
angry;Adjective;A1;θυμωμένος
animal;Noun;A1;ζώο
ankle;Noun;A2;αστράγαλος
anniversary;Noun;B2;επέτειος
announce;Verb;B1;ανακοινώνω
announcement;Noun;B1;ανακοίνωση
annoy;Verb;B1;ενοχλώ
annoyed;Adjective;B1;ενοχλημένος
annoying;Adjective;B1;ενοχλητικός
annual;Adjective;B2;Ετήσιο
another;det. proNoun;A1;αλλο
answer;Noun Verb;A1;απάντηση
anxious;Adjective;B2;ανήσυχος
any;det. proNoun, Adverb;A1, A2;όποιος
anybody;pron;A2;οποιοσδήποτε
any more;Adverb;A2;πια
anyone;pron;A1;ο καθενας
anything;pron;A1;Οτιδήποτε
anyway;Adverb;A2;ΤΕΛΟΣ παντων
anywhere;AdVerb proNoun;A2;οπουδήποτε
apart;Adverb;B1;χώρια
apartment;Noun;A1;διαμέρισμα
apologize;Verb;B1;Απολογούμαι
app;Noun;A2;app
apparent;Adjective;B2;εμφανής
apparently;Adverb;B2;προφανώς
appeal;Noun Verb;B2;έφεση
appear;Verb;A2;εμφανίζομαι
appearance;Noun;A2;εμφάνιση
apple;Noun;A1;μήλο
application;Noun;B1;εφαρμογή
apply;Verb;A2;ισχύουν
appointment;Noun;B1;ραντεβού
appreciate;Verb;B1;Εκτιμώ
approach;Noun Verb;B2;πλησιάζω
appropriate;Adjective;B2;κατάλληλος
approval;Noun;B2;έγκριση
approve;Verb;B2;εγκρίνω
approximately;Adverb;B1;κατά προσέγγιση
April;Noun;A1;Απρίλιος
