a, an;indefinite, article;A1;એક, એક
abandon;Verb;B2;છોડી
ability;Noun;A2;ક્ષમતા
able;Adjective;A2;સમર્થ
about;prep. Adverb;A1;લગભગ
above;prep. Adverb;A1;ઉપર
abroad;Adverb;A2;વિદેશમાં
absolute;Adjective;B2;નિરપેક્ષ
absolutely;Adverb;B1;સંપૂર્ણપણે
academic;adj, Noun;B1, B2;શૈક્ષણિક
accept;Verb;A2;સ્વીકારી
acceptable;Adjective;B2;સ્વીકાર્ય
access;Noun Verb;B1;ઍક્સેસ
accident;Noun;A2;અકસ્માત
accommodation;Noun;B1;આવાસ
accompany;Verb;B2;સાથે
according to;prep.;A2;અનુસાર
account;Noun Verb;B1, B2;એકાઉન્ટ
accurate;Adjective;B2;ચોક્કસ
accuse;Verb;B2;દોષારોપણ
achieve;Verb;A2;પ્રાપ્ત
achievement;Noun;B1;સિદ્ધિ
acknowledge;Verb;B2;એક્નોલેજ
acquire;Verb;B2;પ્રાપ્ત
across;prep. Adverb;A1;સમગ્ર
act;Verb Noun;A2,B1;કાર્ય
action;Noun;A1;ક્રિયા
active;Adjective;A2;સક્રિય
activity;Noun;A1;પ્રવૃત્તિ
actor;Noun;A1;અભિનેતા
actress;Noun;A1;અભિનેત્રી
actual;Adjective;B2;વાસ્તવિક
actually;Adverb;A2;વાસ્તવમાં
ad;Noun;B1;જાહેરાત
adapt;Verb;B2;સ્વીકારવાનું
add;Verb;A1;ઉમેરો
addition;Noun;B1;વધુમાં
additional;Adjective;B2;વધારાનુ
address;Noun Verb;A1,B2;સરનામું
administration;Noun;B2;વહીવટ
admire;Verb;B1;પ્રશંસક
admit;Verb;B1;કબૂલ
adopt;Verb;B2;ગ્રહણ
adult;Noun adj;A1,A2;પુખ્ત
Advance;Noun Verb adj;B2;એડવાન્સ
Advanced;Adjective;B1;અદ્યતન
Advantage;Noun;A2;ફાયદો
Adventure;Noun;A2;સાહસિક
Advertise;Verb;A2;જાહેરાત
Advertisement;Noun;A2;જાહેરખબર
Advertising;Noun;A2;જાહેરાત
Advice;Noun Verb;A1, B1;સલાહ
affair;Noun;B2;પ્રણય
affect;Verb;A2;અસર
afford;Verb;B1;પરવડી
afraid;Adjective;A1;ભયભીત
after;prep. conj. Adverb;A1,A2;પછી
afternoon;Noun;A1;બપોરે
afterwards;Adverb;B2;પછીથી
again;Adverb;A1;ફરી
against;prep;A2;સામે
age;Noun Verb;A1, B1;ઉંમર
aged;Adjective;B1;વૃદ્ધ
agency;Noun;B2;એજન્સી
agenda;Noun;B2;કાર્યસૂચિ
