a, an;indefinite, article;A1;a, wani
abandon;Verb;B2;bari
ability;Noun;A2;ikon
able;Adjective;A2;iya
about;prep. Adverb;A1;game da
above;prep. Adverb;A1;sama
abroad;Adverb;A2;kasashen waje
absolute;Adjective;B2;cikakkar
absolutely;Adverb;B1;cikakken
academic;adj, Noun;B1, B2;ilimi
accept;Verb;A2;yarda da
acceptable;Adjective;B2;m
access;Noun Verb;B1;damar
accident;Noun;A2;hatsari
accommodation;Noun;B1;masauki
accompany;Verb;B2;bi
according to;prep.;A2;bisa lafazin
account;Noun Verb;B1, B2;lissafi
accurate;Adjective;B2;m
accuse;Verb;B2;jĩfar
achieve;Verb;A2;kai
achievement;Noun;B1;nasara
acknowledge;Verb;B2;aMINCE
acquire;Verb;B2;acquire
across;prep. Adverb;A1;fadin
act;Verb Noun;A2,B1;aiki
action;Noun;A1;mataki
active;Adjective;A2;aiki
activity;Noun;A1;aiki
actor;Noun;A1;actor
actress;Noun;A1;actress
actual;Adjective;B2;ainihin
actually;Adverb;A2;zahiri
ad;Noun;B1;ad
adapt;Verb;B2;daidaita
add;Verb;A1;ƙara
addition;Noun;B1;Bugu da kari
additional;Adjective;B2;ƙarin
address;Noun Verb;A1,B2;adireshin
administration;Noun;B2;gwamnati
admire;Verb;B1;sha'awan
admit;Verb;B1;shigar da
adopt;Verb;B2;sanyãwar
adult;Noun adj;A1,A2;adult
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;riba
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;tallata
Advertisement;Noun;A2;advertisement
Advertising;Noun;A2;talla
Advice;Noun Verb;A1, B1;Advice
affair;Noun;B2;al'amarinsu
affect;Verb;A2;shafi
afford;Verb;B1;iya
afraid;Adjective;A1;ji tsoro
after;prep. conj. Adverb;A1,A2;bayan
afternoon;Noun;A1;da rana
afterwards;Adverb;B2;bayan haka
again;Adverb;A1;sake
against;prep;A2;da
age;Noun Verb;A1, B1;shekaru
aged;Adjective;B1;shekaru
agency;Noun;B2;kamfanin dillancin
agenda;Noun;B2;ajanda
agent;Noun;B1;Wakilin
aggressive;Adjective;B2;m
ago;Adverb;A1;da suka wuce
agree;Verb;A1;yarda
agreement;Noun;B1;yarjejeniya
ah;exclam.;A2;ah
ahead;Adverb;B1;gaba
aid;Noun Verb;B2;taimakon
aim;Verb Noun;B1;manufar
air;Noun;A1;iska
aircraft;Noun;B2;jirgin sama
airline;Noun;A2;kamfanin jirgin sama
airport;Noun;A1;filin jirgin sama
alarm;Noun Verb;B1, B2;ƙararrawa
album;Noun;B1;album
alcohol;Noun;B1;barasa
alcoholic;Adjective;B1;giya
alive;Adjective;A2;rai
all;det. pron, Adverb;A1, A2;duk
all right;Adjective, Adverb exclam;A2;shi ke nan
allow;Verb;A2;ba da damar
almost;Adverb;A2;kusan
alone;Adjective, Adverb;A2;kadai
along;prep. Adverb;A2;tare
already;Adverb;A2;riga
also;Adverb;A1;kuma
alter;Verb;B2;musanyãwa
alternative;Noun Adjective;A2, B1;madadin
although;conj;A2;ko da yake
always;Adverb;A1;ko da yaushe
amazed;Adjective;B1;mamaki
amazing;Adjective;A1;ban mamaki
ambition;Noun;B1;kishi
ambitious;Adjective;B1;m
among;prep.;A2;tsakanin
amount;Noun Verb;A2, B2;adadin
analyse;Verb;B1;bincika
analysis;Noun;B1;analysis
ancient;Adjective;A2;tsoho
and;conj;A1;da kuma
anger;Noun;B2;fushi
angle;Noun;B2;kwana
angry;Adjective;A1;fushi
animal;Noun;A1;dabba
ankle;Noun;A2;idon
anniversary;Noun;B2;ranar tunawa
announce;Verb;B1;bushãra da
announcement;Noun;B1;sanarwar
annoy;Verb;B1;cũtar
annoyed;Adjective;B1;quncin rai
annoying;Adjective;B1;m
annual;Adjective;B2;shekara-shekara
another;det. proNoun;A1;wani
answer;Noun Verb;A1;amsar
anxious;Adjective;B2;m
any;det. proNoun, Adverb;A1, A2;wani
anybody;pron;A2;wani
any more;Adverb;A2;wani karin
anyone;pron;A1;kowa
anything;pron;A1;wani abu
anyway;Adverb;A2;ta wata hanya
anywhere;AdVerb proNoun;A2;ko'ina
apart;Adverb;B1;baya
apartment;Noun;A1;Apartment
apologize;Verb;B1;hakuri
app;Noun;A2;app
apparent;Adjective;B2;bayyana
apparently;Adverb;B2;a fili
appeal;Noun Verb;B2;roko
appear;Verb;A2;bayyana
