a, an;indefinite, article;A1;A,
abandon;Verb;B2;לִנְטוֹשׁ
ability;Noun;A2;יְכוֹלֶת
able;Adjective;A2;יכול
about;prep. Adverb;A1;על אודות
above;prep. Adverb;A1;מֵעַל
abroad;Adverb;A2;מחוץ לארץ
absolute;Adjective;B2;מוּחלָט
absolutely;Adverb;B1;בהחלט
academic;adj, Noun;B1, B2;אקדמי
accept;Verb;A2;לְקַבֵּל
acceptable;Adjective;B2;קָבִיל
access;Noun Verb;B1;גִישָׁה
accident;Noun;A2;תְאוּנָה
accommodation;Noun;B1;דִיוּר
accompany;Verb;B2;ללוות
according to;prep.;A2;לפי
account;Noun Verb;B1, B2;חֶשְׁבּוֹן
accurate;Adjective;B2;מְדוּיָק
accuse;Verb;B2;לְהַאֲשִׁים
achieve;Verb;A2;לְהַשִׂיג
achievement;Noun;B1;הֶשֵׂג
acknowledge;Verb;B2;לְהוֹדוֹת
acquire;Verb;B2;לִרְכּוֹשׁ
across;prep. Adverb;A1;ברחבי
act;Verb Noun;A2,B1;פעולה
action;Noun;A1;פעולה
active;Adjective;A2;פָּעִיל
activity;Noun;A1;פעילות
actor;Noun;A1;שַׂחְקָן
actress;Noun;A1;שַׂחְקָנִית
actual;Adjective;B2;מַמָשִׁי
actually;Adverb;A2;בעצם
ad;Noun;B1;מוֹדָעָה
adapt;Verb;B2;לְהִסְתָגֵל
add;Verb;A1;לְהוֹסִיף
addition;Noun;B1;חיבור
additional;Adjective;B2;נוֹסָף
address;Noun Verb;A1,B2;כתובת
administration;Noun;B2;מִנהָל
admire;Verb;B1;לְהִתְפַּעֵל
admit;Verb;B1;להתוודות
adopt;Verb;B2;לְאַמֵץ
adult;Noun adj;A1,A2;מְבוּגָר
Advance;Noun Verb adj;B2;לְקַדֵם
Advanced;Adjective;B1;מִתקַדֵם
Advantage;Noun;A2;יתרון
Adventure;Noun;A2;הַרפַּתקָה
Advertise;Verb;A2;לְפַרְסֵם
Advertisement;Noun;A2;פרסומת
Advertising;Noun;A2;פִּרסוּם
Advice;Noun Verb;A1, B1;עֵצָה
affair;Noun;B2;פָּרָשָׁה
affect;Verb;A2;להשפיע
afford;Verb;B1;לְהַרְשׁוֹת לְעַצמוֹ
afraid;Adjective;A1;חוֹשֵׁשׁ
after;prep. conj. Adverb;A1,A2;לאחר
afternoon;Noun;A1;אחרי הצהריים
afterwards;Adverb;B2;לאחר מכן
again;Adverb;A1;שוב
against;prep;A2;מול
age;Noun Verb;A1, B1;גיל
aged;Adjective;B1;זָקֵן
agency;Noun;B2;סוֹכְנוּת
agenda;Noun;B2;סֵדֶר הַיוֹם
agent;Noun;B1;סוֹכֵן
aggressive;Adjective;B2;תוֹקפָּנִי
ago;Adverb;A1;לִפנֵי
agree;Verb;A1;לְהַסכִּים
agreement;Noun;B1;הֶסכֵּם
ah;exclam.;A2;אה
ahead;Adverb;B1;קָדִימָה
aid;Noun Verb;B2;סיוע
aim;Verb Noun;B1;מַטָרָה
air;Noun;A1;אוויר
aircraft;Noun;B2;כְּלִי טַיִס
airline;Noun;A2;חֶברַת תְעוּפָה
airport;Noun;A1;שדה תעופה
alarm;Noun Verb;B1, B2;אזעקה
album;Noun;B1;אַלבּוֹם
alcohol;Noun;B1;כּוֹהֶל
alcoholic;Adjective;B1;כּוֹהָלִי
alive;Adjective;A2;בחיים
all;det. pron, Adverb;A1, A2;את כל
all right;Adjective, Adverb exclam;A2;בסדר
allow;Verb;A2;להתיר
almost;Adverb;A2;כִּמעַט
alone;Adjective, Adverb;A2;לבד
along;prep. Adverb;A2;לְאוֹרֶך
already;Adverb;A2;כְּבָר
also;Adverb;A1;גַם
alter;Verb;B2;לשנות
alternative;Noun Adjective;A2, B1;חֲלוּפָה
although;conj;A2;למרות ש
always;Adverb;A1;תמיד
amazed;Adjective;B1;נדהם
amazing;Adjective;A1;מדהים
ambition;Noun;B1;שְׁאַפתָנוּת
ambitious;Adjective;B1;שְׁאַפתָנִי
among;prep.;A2;בין
amount;Noun Verb;A2, B2;כמות
analyse;Verb;B1;לְנַתֵחַ
analysis;Noun;B1;אָנָלִיזָה
ancient;Adjective;A2;עָתִיק
and;conj;A1;ו
anger;Noun;B2;כַּעַס
angle;Noun;B2;זָוִית
angry;Adjective;A1;כּוֹעֵס
animal;Noun;A1;בעל חיים
ankle;Noun;A2;קרסול
anniversary;Noun;B2;יוֹם הַשָׁנָה
announce;Verb;B1;להכריז
announcement;Noun;B1;הַכרָזָה
annoy;Verb;B1;לְהַרְגִיז
annoyed;Adjective;B1;מְרוּגָז
annoying;Adjective;B1;מְעַצבֵּן
annual;Adjective;B2;שנתי
another;det. proNoun;A1;אַחֵר
answer;Noun Verb;A1;תשובה
anxious;Adjective;B2;חָרֵד
any;det. proNoun, Adverb;A1, A2;כל
anybody;pron;A2;מִישֶׁהוּ
any more;Adverb;A2;עוד
anyone;pron;A1;כֹּל אֶחָד
anything;pron;A1;כל דבר
anyway;Adverb;A2;בכל מקרה
anywhere;AdVerb proNoun;A2;בְּכָל מָקוֹם
apart;Adverb;B1;מלבד
apartment;Noun;A1;דִירָה
apologize;Verb;B1;לְהִתְנַצֵל
app;Noun;A2;האפליקציה
apparent;Adjective;B2;נִרְאֶה
apparently;Adverb;B2;ככל הנראה
appeal;Noun Verb;B2;עִרעוּר
appear;Verb;A2;לְהוֹפִיעַ
appearance;Noun;A2;מראה חיצוני
apple;Noun;A1;תפוח עץ
application;Noun;B1;יישום
apply;Verb;A2;להגיש מועמדות
appointment;Noun;B1;קביעת פגישה
appreciate;Verb;B1;מעריך
approach;Noun Verb;B2;גִישָׁה
appropriate;Adjective;B2;מתאים
approval;Noun;B2;הסכמה
approve;Verb;B2;לְאַשֵׁר
approximately;Adverb;B1;בְּעֵרֶך
April;Noun;A1;אַפּרִיל
architect;Noun;A2;אַדְרִיכָל
architecture;Noun;A2;ארכיטקטורה
area;Noun;A1;אֵזוֹר
argue;Verb;A2;לִטעוֹן
argument;Noun;A2;טַעֲנָה
arise;Verb;B2;לְהִתְעוֹרֵר
arm;Noun;A1;זְרוֹעַ
armed;Adjective;B2;חָמוּשׁ
arms;Noun;B2;נשק
army;Noun;A2;צָבָא
around;prep. Adverb;A1;סְבִיב
arrange;Verb;A2;לְאַרגֵן
arrangement;Noun;A2;הֶסדֵר
arrest;Verb Noun;B1;מַעְצָר
arrival;Noun;B1;הַגָעָה
arrive;Verb;A1;לְהַגִיעַ
art;Noun;A1;אומנות
article;Noun;A1;מאמר
artificial;Adjective;B2;מְלָאכוּתִי
artist;Noun;A1;אמן
artistic;Adjective;B2;אָמָנוּתִי
as;prep., Adverb conj.;A1, A2;כפי ש
ashamed;Adjective;B2;מְבוּיָשׁ
asleep;Adjective;A2;יָשֵׁן
ask;Verb;A1;לִשְׁאוֹל
aspect;Noun;B2;אספקט
assess;Verb;B2;לְהַעֲרִיך
assessment;Noun;B2;הערכה
assignment;Noun;B1;מְשִׁימָה
assist;Verb;B1;לסייע
assistant;Noun Adjective;A2;עוֹזֵר
associate;Verb;B2;חָבֵר
associated;Adjective;B2;קשור ל
association;Noun;B2;אִרגוּן
assume;Verb;B2;לְהַנִיחַ
at;prep.;A1;בְּ-
athlete;Noun;A2;אַתלֵט
atmosphere;Noun;B1;אַטמוֹספֵרָה
attach;Verb;B1;לְצַרֵף
attack;Noun Verb;A2;לִתְקוֹף
attempt;Noun Verb;B2;לְנַסוֹת
attend;Verb;A2;השתתף
attention;Noun exclam.;A2;תשומת הלב
attitude;Noun;B1;יַחַס
attract;Verb;B1;לִמְשׁוֹך
attraction;Noun;B1;מְשִׁיכָה
attractive;Adjective;A2;מוֹשֵׁך
audience;Noun;A2;קהל
August;Noun;A1;אוגוסט
aunt;Noun;A1;דוֹדָה
author;Noun;A2;מְחַבֵּר
authority;Noun;B1;רְשׁוּת
autumn;Noun;A1;סתָיו
available;Adjective;A2;זמין
average;Adjective, Noun Verb;A2, B1;מְמוּצָע
avoid;Verb;A2;לְהִמָנַע
award;Noun Verb;A2, B1;פרס
aware;Adjective;B1;מוּדָע
away;Adverb;A1;רָחוֹק
awful;Adjective;A2;נורא
baby;Noun;A1;תִינוֹק
back;Noun AdVerb Adjective, Verb;A1, A2, B2;חזור
background;Noun;A2;רקע כללי
backwards;Adverb;B1;אֲחוֹרָה
bacteria;Noun;B2;בַּקטֶרִיָה
bad;Adjective;A1;רַע
badly;Adverb;A2;קשה
bag;Noun;A1;תיק
bake;Verb;B1;לֶאֱפוֹת
balance;Noun Verb;B1;איזון
ball;Noun;A1;כַּדוּר
ban;Verb Noun;B1;לֶאֱסוֹר
banana;Noun;A1;בננה
band;Noun;A1;לְהִתְאַגֵד
bank (money);Noun;A1;בנק (כסף)
bank (river);Noun;B1;בנק (נהר)
bar;Noun Verb;A2, B2;בַּר
barrier;Noun;B2;מַחסוֹם
base;Noun Verb;B1;בסיס
baseball;Noun;A2;בייסבול
based;Adjective;A2;מבוסס
basketball;Noun;A2;כדורסל
basic;Adjective;B1;בסיסי
basically;Adverb;B2;בעיקרון
basis;Noun;B1;בָּסִיס
bath;Noun;A1;מֶרחָץ
bathroom;Noun;A1;חדר אמבטיה
battery;Noun;B1;סוֹלְלָה
battle;Noun Verb;B1, B2;קרב
be;Verb auxiliary Verb;A1;לִהיוֹת
beach;Noun;A1;החוף
bean;Noun;A2;אפונה
bear (deal with);Verb;B2;דוב (עסקה עם)
bear (animal);Noun;A2;דוב (חיה)
beat;Verb Noun;A2, B2;להיות ב
beautiful;Adjective;A1;יפה
beauty;Noun;B1;יוֹפִי
because;conj.;A1;כי
become;Verb;A1;הפכו
bed;Noun;A1;מיטה
bedroom;Noun;A1;חדר שינה
bee;Noun;B1;דבורה
beef;Noun;A2;בשר בקר
beer;Noun;A1;בירה
before;prep., conj. Adverb;A1, A2;לפני
beg;Verb;B2;לְהִתְחַנֵן
begin;Verb;A1;התחל
beginning;Noun;A1;התחלה
behave;Verb;A2;לְהִתְנַהֵג
behaviour;Noun;A2;התנהגות
behind;prep. Adverb;A1;מֵאָחוֹר
being;Noun;B2;להיות
belief;Noun;B1;אמונה
believe;Verb;A1;לְהֶאֱמִין
bell;Noun;B1;פַּעֲמוֹן
belong;Verb;A2;שייכים
below;Adverb prep.;A1;לְהַלָן
belt;Noun;A2;חֲגוֹרָה
bend;Verb Noun;B1;לְכּוֹפֵף
benefit;Verb NouNoun;A2, B1;תועלת
bent;Adjective;B2;כפוף
best;Adjective, AdVerb Noun;A1, A2;הטוב ביותר
bet;Verb Noun;B2;לְהַמֵר
better;Adjective , Adverb , Noun;A1, A2, B1;טוב יותר
between;prep., Adverb;A1, A2;בֵּין
beyond;prep. Adverb;B2;מעבר
bicycle;Noun;A1;אופניים
big;Adjective;A1;גָדוֹל
bike;Noun;A1;אופניים
bill;Noun Verb;A1, B2;שטר כסף
billion number; ;A2;מספר מיליארד
bin;Noun;A2;פַּח
biology;Noun;A2;ביולוגיה
bird;Noun;A1;ציפור
birth;Noun;A2;הוּלֶדֶת
birthday;Noun;A1;יום הולדת
biscuit;Noun;A2;עוּגִיָה
bit;Noun;A2;קצת
bite;Verb Noun;B1;נְשִׁיכָה
bitter;Adjective;B2;טעם מר
black;Adjective, Noun;A1;שָׁחוֹר
blame;Verb Noun;B2;אשמה
blank;Adjective, Noun;A2;רֵיק
blind;Adjective;B2;סומא
block;Noun Verb;B1;לַחסוֹם
blog;Noun;A1;בלוג
blonde;Adjective;A1;בְּלוֹנדִינִית
blood;Noun;A2;דָם
blow;Verb;A2;לנשוף
blue;Adjective, Noun;A1;כָּחוֹל
board;Noun Verb;A2, B1;גלשן
boat;Noun;A1;סִירָה
body;Noun;A1;גוּף
boil;Verb;A2;רְתִיחָה
bomb;Noun Verb;B1;פְּצָצָה
bond;Noun;B2;אגרת חוב
bone;Noun;A2;עֶצֶם
book;Noun Verb;A1, A2;סֵפֶר
boot;Noun;A1;מַגָף
border;Noun Verb;B1, B2;גבול
bored;Adjective;A1;מְשׁוּעֲמָם
boring;Adjective;A1;מְשַׁעֲמֵם
born;Verb;A1;נוֹלָד
borrow;Verb;A2;לִלווֹת
boss;Noun;A2;בּוֹס
both;det./proNoun;A1;שניהם
bother;Verb;B1;לְהטרִיד
bottle;Noun;A1;בקבוק
bottom;NouNoun Adjective;A2;תַחתִית
bowl;Noun;A2;קְעָרָה
box;Noun;A1;קופסא
boy;Noun;A1;יֶלֶד
boyfriend;Noun;A1;הֶחָבֵר
brain;Noun;A2;מוֹחַ
branch;Noun;B1;ענף
brand;Noun Verb;B1;מותג
brave;Adjective;B1;אַמִיץ
bread;Noun;A1;לחם
break;Verb Noun;A1;לשבור
breakfast;Noun;A1;ארוחת בוקר
breast;Noun;B2;שד
breath;Noun;B1;נְשִׁימָה
breathe;Verb;B1;לִנְשׁוֹם
breathing;Noun;B1;נְשִׁימָה
bride;Noun;B1;כַּלָה
bridge;Noun;A2;לְגַשֵׁר
brief;Adjective;B2;קָצָר
bright;Adjective;A2;בָּהִיר
brilliant;Adjective;A2;מַברִיק
bring;Verb;A1;לְהָבִיא
broad;Adjective;B2;רָחָב
broadcast;Verb Noun;B2;מִשׁדָר
broken;Adjective;A2;שָׁבוּר
brother;Noun;A1;אָח
brown;Adjective, Noun;A1;חום
brush;Verb Noun;A2;מִברֶשֶׁת
bubble;Noun;B1;בּוּעָה
budget;Noun;B2;תַקצִיב
build;Verb;A1;לִבנוֹת
building;Noun;A1;בִּניָן
bullet;Noun;B2;כַּדוּר
bunch;Noun;B2;צְרוֹר
burn;Verb Noun;A2, B2;לשרוף
bury;Verb;B1;לִקְבּוֹר
bus;Noun;A1;אוֹטוֹבּוּס
bush;Noun;B2;שיח
business;Noun;A1;עֵסֶק
businessman;Noun;A2;איש עסקים
busy;Adjective;A1;עסוק
but;conj. prep;A1, B2;אבל
butter;Noun;A1;חמאה
button;Noun;A2;לַחְצָן
buy;Verb;A1;לִקְנוֹת
by;prep. Adverb;A1, B1;על ידי
bye;exclam;A1;ביי
cable;Noun;B2;כֶּבֶל
cafe;Noun;A1;בֵּית קָפֶה
cake;Noun;A1;עוגה
calculate;Verb;B2;לחשב
call;Verb Noun;A1;שִׂיחָה
calm;Adjective Verb Noun;B1;לְהַרְגִיעַ
camera;Noun;A1;מַצלֵמָה
camp;Noun Verb;A2;מַחֲנֶה
campaign;Noun Verb;B1;קמפיין
camping;Noun;A2;קֶמפִּינג
campus;Noun;B1;קַמפּוּס
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;לְבַטֵל
cancer;Noun;B2;מחלת הסרטן
candidate;Noun;B1;מוּעֲמָד
cannot;Verb;A1;לא יכול
cap;Noun;B1;כובע
capable;Adjective;B2;בעל יכולת
capacity;Noun;B2;קיבולת
capital;Noun Adjective;A1;עיר בירה
captain;Noun;B1;סֶרֶן
capture;Verb Noun;B2;לִלְכּוֹד
car;Noun;A1;אוטו
card;Noun;A1;כַּרְטִיס
care;Noun Verb;A2;לְטַפֵּל
career;Noun;A1;קריירה
careful;Adjective;A2;זָהִיר
carefully;Adverb;A2;בקפידה
careless;Adjective;B1;רשלן
carpet;Noun;A2;שָׁטִיחַ
carrot;Noun;A1;גזר
carry;Verb;A1;נשיאה
cartoon;Noun;A2;קָרִיקָטוּרָה
case;Noun;A2;מקרה
cash;Noun;A2;כסף מזומן
cast;Noun Verb;B2;ללהק
castle;Noun;A2;טִירָה
cat;Noun;A1;חתול
catch;Verb Noun;A2, B2;לתפוס
category;Noun;B1;קטגוריה
cause;Noun Verb;A2;גורם
CD;Noun;A1;CD
ceiling;Noun;B1;תִקרָה
celebrate;Verb;A2;לַחֲגוֹג
celebration;Noun;B1;חֲגִיגָה
celebrity;Noun;A2;סלבריטאי
cell;Noun;B2;תָא
cent;Noun;A1;סֶנט
central;Adjective;B1;מֶרכָּזִי
centre;Noun Verb;A1, B1;מֶרְכָּז
century;Noun;A1;מֵאָה
ceremony;Noun;B1;טֶקֶס
certain;Adjective;A2;מסוים
certainly;Adverb;A2;בְּהֶחלֵט
chain;Noun Verb;B1, B2;שַׁרשֶׁרֶת
chair;Noun Verb;A1, B2;כִּסֵא
chairman;Noun;B2;יושב ראש
challenge;Noun Verb;B1, B2;אתגר
champion;Noun;B1;אַלוּף
chance;Noun;A2;הִזדַמְנוּת
change;Verb Noun;A1;שינוי
channel;Noun;B1;עָרוּץ
chapter;Noun;B1;פֶּרֶק
character;Noun;A2;אופי
characteristic;Noun Adjective;B2;מאפיין
charge;Noun Verb;B1;לחייב
charity;Noun;A2;צדקה
chart;Noun Verb;A1, B2;טבלה
chat;Verb Noun;A2;לְשׂוֹחֵחַ
cheap;Adjective , Adverb;A1, B1;זוֹל
cheat;Verb Noun;B1;לְרַמוֹת
check;Verb Noun;A1, A2;חשבון
chef;Noun;A2;שֶׁף
cheerful;Adjective;B1;עַלִיז
cheese;Noun;A1;גבינה
chemical;Adjective, Noun;B1;כִּימִי
chemistry;Noun;A2;כִּימִיָה
chest;Noun;B1;חזה
chicken;Noun;A1;עוף
chief;Adjective, Noun;B2;רֹאשׁ
child;Noun;A1;יֶלֶד
childhood;Noun;B1;יַלדוּת
chip;Noun;A2;שְׁבָב
chocolate;Noun;A1;שוקולד
choice;Noun;A2;בְּחִירָה
choose;Verb;A1;בחר
church;Noun;A2;כְּנֵסִיָה
cigarette;Noun;A2;סִיגַרִיָה
cinema;Noun;A1;בית קולנוע
circle;Noun Verb;A2;מעגל
circumstance;Noun;B2;נסיבות
cite;Verb;B2;לְצַטֵט
citizen;Noun;B2;אֶזרָח
city;Noun;A1;עִיר
civil;Adjective;B2;אֶזרָחִי
claim;Verb Noun;B1;תְבִיעָה
class;Noun;A1;מעמד
classic;Adjective, Noun;B2;קלַאסִי
classical;Adjective;A2;קלַאסִי
classroom;Noun;A1;כיתה
clause;Noun;B1;סָעִיף
clean;Adjective, Verb;A1;לְנַקוֹת
clear;Adjective, Verb;A2, B1;ברור
clearly;Adverb;A2;בְּבִירוּר
clever;Adjective;A2;נבון
click;Verb Noun;B1;נְקִישָׁה
client;Noun;B1;לָקוּחַ
climate;Noun;A2;אַקלִים
climb;Verb Noun;A1, B1;לְטַפֵּס
clock;Noun;A1;שָׁעוֹן
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;סָגוּר
closely;Adverb;B2;מקרוב
cloth;Noun;B1;בַּד
clothes;Noun;A1;בגדים
clothing;Noun;A2;הַלבָּשָׁה
cloud;Noun;A2;ענן
club;Noun;A1;מוֹעֲדוֹן
clue;Noun;B1;רֶמֶז
coach;Noun Verb;A2, B1;מְאַמֵן
coal;Noun;B1;פֶּחָם
coast;Noun;A2;חוף
coat;Noun;A1;מעיל
code;Noun;A2;קוד
coffee;Noun;A1;קפה
coin;Noun;B1;מַטְבֵּעַ
