a, an;indefinite, article;A1;ib tug, ib tug
abandon;Verb;B2;tso tseg
ability;Noun;A2;muaj peev xwm
able;Adjective;A2;tau
about;prep. Adverb;A1;txog
above;prep. Adverb;A1;saum toj no
abroad;Adverb;A2;txawv teb chaws
absolute;Adjective;B2;tsis
absolutely;Adverb;B1;kiag li
academic;adj, Noun;B1, B2;kev kawm ntawv
accept;Verb;A2;txais
acceptable;Adjective;B2;tau
access;Noun Verb;B1;nkag
accident;Noun;A2;kev huam yuaj
accommodation;Noun;B1;kev pab
accompany;Verb;B2;nrog
according to;prep.;A2;raws li
account;Noun Verb;B1, B2;account
accurate;Adjective;B2;muaj tseeb
accuse;Verb;B2;liam
achieve;Verb;A2;tau
achievement;Noun;B1;kawm tau ntawv zoo
acknowledge;Verb;B2;Lees paub
acquire;Verb;B2;kis tau
across;prep. Adverb;A1;thoob plaws
act;Verb Noun;A2,B1;ua
action;Noun;A1;txiav txim
active;Adjective;A2;active
activity;Noun;A1;kev ua si
actor;Noun;A1;actor
actress;Noun;A1;actress
actual;Adjective;B2;tiag tiag
actually;Adverb;A2;ua tau
ad;Noun;B1;ad
adapt;Verb;B2;hloov
add;Verb;A1;ntxiv
addition;Noun;B1;Tsis tas li ntawd
additional;Adjective;B2;ntxiv
address;Noun Verb;A1,B2;chaw nyob
administration;Noun;B2;koom haum saib xyuas
admire;Verb;B1;qhuas
admit;Verb;B1;lees
adopt;Verb;B2;txais yuav
adult;Noun adj;A1,A2;neeg laus
Advance;Noun Verb adj;B2;Ua ntej
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;Taug txuj kev nyuaj
Advertise;Verb;A2;Thab muag khoom
Advertisement;Noun;A2;advertisement
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;Tswv yim
affair;Noun;B2;yi
affect;Verb;A2;muaj kev cuam tshuam
afford;Verb;B1;them taus
afraid;Adjective;A1;ntshai
after;prep. conj. Adverb;A1,A2;tom qab
afternoon;Noun;A1;yav tav su
afterwards;Adverb;B2;afterwards
again;Adverb;A1;dua
against;prep;A2;tiv thaiv
age;Noun Verb;A1, B1;muaj hnub nyoog
aged;Adjective;B1;uas muaj hnub nyoog
agency;Noun;B2;chaw ua hauj lwm
agenda;Noun;B2;txheej txheem
agent;Noun;B1;neeg sawv cev
aggressive;Adjective;B2;txhoj puab heev
ago;Adverb;A1;dhau los
agree;Verb;A1;pom zoo
agreement;Noun;B1;daim ntawv cog lus
ah;exclam.;A2;ah
ahead;Adverb;B1;ua ntej
aid;Noun Verb;B2;pab
aim;Verb Noun;B1;aim
air;Noun;A1;huab cua
aircraft;Noun;B2;aircraft
airline;Noun;A2;menyuam
airport;Noun;A1;tshav dav hlau
alarm;Noun Verb;B1, B2;tswb
album;Noun;B1;album
alcohol;Noun;B1;cawv
alcoholic;Adjective;B1;dej
alive;Adjective;A2;ciaj sia
all;det. pron, Adverb;A1, A2;tag nrho cov
all right;Adjective, Adverb exclam;A2;tag nrho cov cai
allow;Verb;A2;cia
almost;Adverb;A2;yuav luag
alone;Adjective, Adverb;A2;nyob ib leeg
along;prep. Adverb;A2;raws
already;Adverb;A2;twb
also;Adverb;A1;kuj
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;lwm
although;conj;A2;txawm hais tias
always;Adverb;A1;yeej ib txwm
amazed;Adjective;B1;amazed
amazing;Adjective;A1;amazing
ambition;Noun;B1;ambition
ambitious;Adjective;B1;ambitious
among;prep.;A2;cov
amount;Noun Verb;A2, B2;nqi
analyse;Verb;B1;tsom xam
analysis;Noun;B1;tsom xam
ancient;Adjective;A2;ancient
and;conj;A1;thiab
anger;Noun;B2;txoj kev chim siab
angle;Noun;B2;lub
angry;Adjective;A1;npau taws
animal;Noun;A1;tsiaj
ankle;Noun;A2;pob luj taws
anniversary;Noun;B2;ib
announce;Verb;B1;tshaj tawm
announcement;Noun;B1;tshaj tawm
annoy;Verb;B1;annoy
annoyed;Adjective;B1;khib
annoying;Adjective;B1;annoying
annual;Adjective;B2;txhua xyoo
another;det. proNoun;A1;lwm
answer;Noun Verb;A1;teb
anxious;Adjective;B2;txhawj xeeb
any;det. proNoun, Adverb;A1, A2;tej
anybody;pron;A2;leej twg
any more;Adverb;A2;tej yam ntau
anyone;pron;A1;leej twg
anything;pron;A1;dab tsi
anyway;Adverb;A2;rau nkawv noj
anywhere;AdVerb proNoun;A2;nyob qhov twg
apart;Adverb;B1;apart
apartment;Noun;A1;chav tsev
apologize;Verb;B1;thov zam txim
app;Noun;A2;app
apparent;Adjective;B2;khees
apparently;Adverb;B2;thaj
appeal;Noun Verb;B2;tsis txaus siab
appear;Verb;A2;tshwm sim
appearance;Noun;A2;tsos
apple;Noun;A1;Kua
application;Noun;B1;daim ntawv thov
apply;Verb;A2;thov
appointment;Noun;B1;lub sij hawm
appreciate;Verb;B1;txaus siab rau
approach;Noun Verb;B2;mus kom ze
appropriate;Adjective;B2;tsim nyog
approval;Noun;B2;pom zoo
approve;Verb;B2;pom zoo
approximately;Adverb;B1;kwv yees li ntawm
April;Noun;A1;Plaub Hlis Ntuj
architect;Noun;A2;kws kes duab vajtse
architecture;Noun;A2;architecture
area;Noun;A1;cheeb tsam
argue;Verb;A2;cam
argument;Noun;A2;sib cav
arise;Verb;B2;tshwm sim
arm;Noun;A1;arm
armed;Adjective;B2;ua ntaj riam thaiv
arms;Noun;B2;caj npab
army;Noun;A2;tub rog
around;prep. Adverb;A1;nyob ib ncig ntawm
arrange;Verb;A2;npaj
arrangement;Noun;A2;kev kho
arrest;Verb Noun;B1;ntes
arrival;Noun;B1;sij hawm tuaj txog
arrive;Verb;A1;txog
art;Noun;A1;kos duab
article;Noun;A1;tsab xov xwm
artificial;Adjective;B2;dag
artist;Noun;A1;artist
artistic;Adjective;B2;artistic
as;prep., Adverb conj.;A1, A2;raws li
ashamed;Adjective;B2;txaj muag
asleep;Adjective;A2;pw tsaug zog
ask;Verb;A1;nug
aspect;Noun;B2;nam
assess;Verb;B2;ntsuam xyuas
assessment;Noun;B2;kev soj ntsuam
assignment;Noun;B1;txoj hauj lwm
assist;Verb;B1;pab
assistant;Noun Adjective;A2;pab
associate;Verb;B2;associate
associated;Adjective;B2;kab
association;Noun;B2;lub koom haum
assume;Verb;B2;xav tias
at;prep.;A1;ntawm
athlete;Noun;A2;neeg ncaws kab taub
atmosphere;Noun;B1;cua
attach;Verb;B1;muab
attack;Noun Verb;A2;nres
attempt;Noun Verb;B2;sim
attend;Verb;A2;kawm
attention;Noun exclam.;A2;xim
attitude;Noun;B1;cwj pwm
attract;Verb;B1;nyiam
attraction;Noun;B1;attraction
attractive;Adjective;A2;txaus nyiam
audience;Noun;A2;cov neeg tuaj saib
August;Noun;A1;Lub yim hli ntuj
aunt;Noun;A1;phauj
author;Noun;A2;sau
authority;Noun;B1;txoj cai
autumn;Noun;A1;lub caij nplooj zeeg
available;Adjective;A2;muaj
average;Adjective, Noun Verb;A2, B1;nruab nrab
avoid;Verb;A2;tsis txhob
award;Noun Verb;A2, B1;puav pheej
aware;Adjective;B1;paub
away;Adverb;A1;deb
awful;Adjective;A2;phem phem
baby;Noun;A1;tus me nyuam
back;Noun AdVerb Adjective, Verb;A1, A2, B2;rov qab
background;Noun;A2;tom qab
backwards;Adverb;B1;rov mus
bacteria;Noun;B2;kab mob
bad;Adjective;A1;phem
badly;Adverb;A2;phem heev
bag;Noun;A1;hnab
bake;Verb;B1;ci
balance;Noun Verb;B1;tshuav nyiaj li cas
ball;Noun;A1;pob
ban;Verb Noun;B1;txiav npluav
banana;Noun;A1;txiv tsawb
band;Noun;A1;band
bank (money);Noun;A1;bank (nyiaj)
bank (river);Noun;B1;bank (dej)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;barrier
base;Noun Verb;B1;puag
baseball;Noun;A2;baseball
based;Adjective;A2;raws li
basketball;Noun;A2;basketball
basic;Adjective;B1;yooj yim
basically;Adverb;B2;yeej
basis;Noun;B1;hauv paus
bath;Noun;A1;da dej
bathroom;Noun;A1;chav dej
battery;Noun;B1;roj teeb
battle;Noun Verb;B1, B2;sib ntaus sib tua
be;Verb auxiliary Verb;A1;yuav
beach;Noun;A1;puam
bean;Noun;A2;taum
bear (deal with);Verb;B2;Xyooj (deal nrog)
bear (animal);Noun;A2;Xyooj (tsiaj)
beat;Verb Noun;A2, B2;dhia
beautiful;Adjective;A1;zoo nkauj
beauty;Noun;B1;kev zoo nkauj
because;conj.;A1;vim hais tias
become;Verb;A1;ua
bed;Noun;A1;txaj
bedroom;Noun;A1;chav pw
bee;Noun;B1;muv
beef;Noun;A2;nyuj
beer;Noun;A1;npias
before;prep., conj. Adverb;A1, A2;ua ntej
beg;Verb;B2;beg
begin;Verb;A1;pib
beginning;Noun;A1;pib
behave;Verb;A2;coj
behaviour;Noun;A2;tus cwj pwm
behind;prep. Adverb;A1;qab
being;Noun;B2;qab
belief;Noun;B1;txoj kev ntseeg
believe;Verb;A1;ntseeg
bell;Noun;B1;tswb
belong;Verb;A2;yuav
below;Adverb prep.;A1;hauv qab no
belt;Noun;A2;siv
bend;Verb Noun;B1;khoov
benefit;Verb NouNoun;A2, B1;kev pab
bent;Adjective;B2;bent
best;Adjective, AdVerb Noun;A1, A2;zoo tshaj plaws
bet;Verb Noun;B2;thawj koom ruam
better;Adjective , Adverb , Noun;A1, A2, B1;zoo
between;prep., Adverb;A1, A2;ntawm
beyond;prep. Adverb;B2;tshaj
bicycle;Noun;A1;tsheb kauj vab
big;Adjective;A1;loj
bike;Noun;A1;tsheb tuam
bill;Noun Verb;A1, B2;daim nqi
billion number; ;A2;billion tooj
bin;Noun;A2;bin
biology;Noun;A2;txog biology
bird;Noun;A1;noog
birth;Noun;A2;yug
birthday;Noun;A1;hnub yug
biscuit;Noun;A2;biscuit
bit;Noun;A2;me ntsis
bite;Verb Noun;B1;tom
bitter;Adjective;B2;iab
black;Adjective, Noun;A1;dub
blame;Verb Noun;B2;liam
blank;Adjective, Noun;A2;dawb paug
blind;Adjective;B2;qhov muag tsis pom
block;Noun Verb;B1;thaiv
blog;Noun;A1;blog
blonde;Adjective;A1;pojniam plaub hau daj
blood;Noun;A2;ntshav
blow;Verb;A2;tshuab
blue;Adjective, Noun;A1;xiav
board;Noun Verb;A2, B1;board
boat;Noun;A1;nkoj
body;Noun;A1;lub cev
boil;Verb;A2;haus
