a, an;indefinite, article;A1;egy, a
abandon;Verb;B2;elhagyott
ability;Noun;A2;képesség
able;Adjective;A2;képes
about;prep. Adverb;A1;ról ről
above;prep. Adverb;A1;felett
abroad;Adverb;A2;külföldön
absolute;Adjective;B2;abszolút
absolutely;Adverb;B1;teljesen
academic;adj, Noun;B1, B2;akadémiai
accept;Verb;A2;elfogad
acceptable;Adjective;B2;elfogadható
access;Noun Verb;B1;hozzáférés
accident;Noun;A2;baleset
accommodation;Noun;B1;szállás
accompany;Verb;B2;kísér
according to;prep.;A2;alapján
account;Noun Verb;B1, B2;számla
accurate;Adjective;B2;pontos
accuse;Verb;B2;vádol
achieve;Verb;A2;elér
achievement;Noun;B1;teljesítmény
acknowledge;Verb;B2;elismerni
acquire;Verb;B2;szerez
across;prep. Adverb;A1;át
act;Verb Noun;A2,B1;törvény
action;Noun;A1;akció
active;Adjective;A2;aktív
activity;Noun;A1;tevékenység
actor;Noun;A1;színész
actress;Noun;A1;színésznő
actual;Adjective;B2;tényleges
actually;Adverb;A2;tulajdonképpen
ad;Noun;B1;hirdetés
adapt;Verb;B2;alkalmazkodni
add;Verb;A1;hozzáad
addition;Noun;B1;kiegészítés
additional;Adjective;B2;további
address;Noun Verb;A1,B2;cím
administration;Noun;B2;adminisztráció
admire;Verb;B1;csodál
admit;Verb;B1;beismerni
adopt;Verb;B2;elfogad
adult;Noun adj;A1,A2;felnőtt
Advance;Noun Verb adj;B2;Előleg
Advanced;Adjective;B1;Fejlett
Advantage;Noun;A2;Előny
Adventure;Noun;A2;Kaland
Advertise;Verb;A2;Hirdet
Advertisement;Noun;A2;Hirdetés
Advertising;Noun;A2;Hirdető
Advice;Noun Verb;A1, B1;Tanács
affair;Noun;B2;ügy
affect;Verb;A2;érint
afford;Verb;B1;engedheti meg magának,
afraid;Adjective;A1;félnek
after;prep. conj. Adverb;A1,A2;utána
afternoon;Noun;A1;délután
afterwards;Adverb;B2;később
again;Adverb;A1;újra
against;prep;A2;ellen
age;Noun Verb;A1, B1;kor
aged;Adjective;B1;idős
agency;Noun;B2;ügynökség
agenda;Noun;B2;napirend
agent;Noun;B1;ügynök
aggressive;Adjective;B2;agresszív
ago;Adverb;A1;ezelőtt
agree;Verb;A1;egyetért
agreement;Noun;B1;megegyezés
