a, an;indefinite, article;A1;a, An
abandon;Verb;B2;að segja skilið við
ability;Noun;A2;getu
able;Adjective;A2;fær
about;prep. Adverb;A1;um
above;prep. Adverb;A1;hér að framan
abroad;Adverb;A2;erlendis
absolute;Adjective;B2;alger
absolutely;Adverb;B1;algerlega
academic;adj, Noun;B1, B2;fræðilegum
accept;Verb;A2;taka
acceptable;Adjective;B2;hæfu
access;Noun Verb;B1;aðgangur
accident;Noun;A2;slys
accommodation;Noun;B1;gisting
accompany;Verb;B2;fylgja
according to;prep.;A2;samkvæmt
account;Noun Verb;B1, B2;reikningur
accurate;Adjective;B2;nákvæm
accuse;Verb;B2;saka
achieve;Verb;A2;afreka
achievement;Noun;B1;afrek
acknowledge;Verb;B2;viðurkenna
acquire;Verb;B2;eignast
across;prep. Adverb;A1;yfir
act;Verb Noun;A2,B1;framkvæma
action;Noun;A1;aðgerð
active;Adjective;A2;virkur
activity;Noun;A1;virkni
actor;Noun;A1;leikari
actress;Noun;A1;leikkona
actual;Adjective;B2;raunveruleg
actually;Adverb;A2;reyndar
ad;Noun;B1;auglýsingin
adapt;Verb;B2;laga
add;Verb;A1;Bæta við
addition;Noun;B1;viðbót
additional;Adjective;B2;viðbótar
address;Noun Verb;A1,B2;netfang
administration;Noun;B2;gjöf
admire;Verb;B1;Admire
admit;Verb;B1;viðurkenna
adopt;Verb;B2;ættleiða
adult;Noun adj;A1,A2;fullorðinn
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Ítarlegri
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;ævintýri
Advertise;Verb;A2;auglýsa
Advertisement;Noun;A2;Fáðu
Advertising;Noun;A2;Auglýsingar
Advice;Noun Verb;A1, B1;Ráð
affair;Noun;B2;mál
affect;Verb;A2;áhrif
afford;Verb;B1;efni á
afraid;Adjective;A1;hræddur
after;prep. conj. Adverb;A1,A2;eftir
afternoon;Noun;A1;síðdegis
afterwards;Adverb;B2;eftirá
again;Adverb;A1;aftur
against;prep;A2;gegn
age;Noun Verb;A1, B1;Aldur
aged;Adjective;B1;á aldrinum
agency;Noun;B2;stofnunin
agenda;Noun;B2;dagskrá
agent;Noun;B1;umboðsmaður
aggressive;Adjective;B2;árásargjarn
ago;Adverb;A1;síðan
agree;Verb;A1;sammála
agreement;Noun;B1;samningur
ah;exclam.;A2;Ah
ahead;Adverb;B1;framundan
aid;Noun Verb;B2;aðstoð
aim;Verb Noun;B1;Markmið
air;Noun;A1;loft
aircraft;Noun;B2;flugvélin
airline;Noun;A2;flugfélagið
airport;Noun;A1;flugvöllur
alarm;Noun Verb;B1, B2;viðvörun
album;Noun;B1;platan
alcohol;Noun;B1;áfengi
alcoholic;Adjective;B1;alkóhólisti
alive;Adjective;A2;á lífi
all;det. pron, Adverb;A1, A2;allt
all right;Adjective, Adverb exclam;A2;allt í lagi
allow;Verb;A2;leyfa
almost;Adverb;A2;nánast
alone;Adjective, Adverb;A2;einn
along;prep. Adverb;A2;ásamt
already;Adverb;A2;nú þegar
also;Adverb;A1;einnig
alter;Verb;B2;breyta
alternative;Noun Adjective;A2, B1;val
although;conj;A2;samt
always;Adverb;A1;alltaf
amazed;Adjective;B1;forviða
amazing;Adjective;A1;æðislegur
ambition;Noun;B1;metnaður
ambitious;Adjective;B1;metnaðarfull
among;prep.;A2;meðal
amount;Noun Verb;A2, B2;magn
analyse;Verb;B1;greina
analysis;Noun;B1;greining
ancient;Adjective;A2;forn
and;conj;A1;og
anger;Noun;B2;reiði
angle;Noun;B2;horn
angry;Adjective;A1;reiður
animal;Noun;A1;dýr
ankle;Noun;A2;ökkla
anniversary;Noun;B2;afmæli
announce;Verb;B1;tilkynna
announcement;Noun;B1;tilkynning
annoy;Verb;B1;ónáða
annoyed;Adjective;B1;pirraður
annoying;Adjective;B1;pirrandi
annual;Adjective;B2;árlega
another;det. proNoun;A1;annað
answer;Noun Verb;A1;svarið
anxious;Adjective;B2;kvíðinn
any;det. proNoun, Adverb;A1, A2;Einhver
anybody;pron;A2;hver
any more;Adverb;A2;lengur
anyone;pron;A1;einhver
anything;pron;A1;eitthvað
anyway;Adverb;A2;Allavega
anywhere;AdVerb proNoun;A2;hvar
apart;Adverb;B1;sundur
apartment;Noun;A1;íbúð
apologize;Verb;B1;afsökunar
app;Noun;A2;app
