a, an;indefinite, article;A1;a, ihe
abandon;Verb;B2;ahapụ
ability;Noun;A2;ike
able;Adjective;A2;ike
about;prep. Adverb;A1;banyere
above;prep. Adverb;A1;n'elu
abroad;Adverb;A2;ná mba ọzọ
absolute;Adjective;B2;zuru
absolutely;Adverb;B1;kpomkwem
academic;adj, Noun;B1, B2;agụmakwụkwọ
accept;Verb;A2;anabata
acceptable;Adjective;B2;anabata
access;Noun Verb;B1;ohere
accident;Noun;A2;mberede
accommodation;Noun;B1;ulo
accompany;Verb;B2;eso
according to;prep.;A2;dabere na
account;Noun Verb;B1, B2;akaụntụ
accurate;Adjective;B2;ezi
accuse;Verb;B2;ebubo
achieve;Verb;A2;nweta
achievement;Noun;B1;ihe nweta
acknowledge;Verb;B2;Kweta
acquire;Verb;B2;inweta
across;prep. Adverb;A1;gafee
act;Verb Noun;A2,B1;eme
action;Noun;A1;edinam
active;Adjective;A2;ifịk
activity;Noun;A1;ọrụ
actor;Noun;A1;omee
actress;Noun;A1;omee
actual;Adjective;B2;n'ezie
actually;Adverb;A2;n'ezie
ad;Noun;B1;ad
adapt;Verb;B2;imeghari
add;Verb;A1;tinye
addition;Noun;B1;mgbakwunye
additional;Adjective;B2;ọzọ
address;Noun Verb;A1,B2;address
administration;Noun;B2;ochichi
admire;Verb;B1;na-enwe mmasị
admit;Verb;B1;ekweta
adopt;Verb;B2;ịmụta
adult;Noun adj;A1,A2;okenye
Advance;Noun Verb adj;B2;tupu
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;kpọsaanụ
Advertisement;Noun;A2;advertisement
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;Advice
affair;Noun;B2;omume
affect;Verb;A2;emetụta
afford;Verb;B1;imeli
afraid;Adjective;A1;egwu
after;prep. conj. Adverb;A1,A2;mgbe
afternoon;Noun;A1;n'ehihie
afterwards;Adverb;B2;e mesịa
again;Adverb;A1;ọzọ
against;prep;A2;megide
age;Noun Verb;A1, B1;afọ
aged;Adjective;B1;agadi
agency;Noun;B2;gị n'ụlọnga
agenda;Noun;B2;burukwa
agent;Noun;B1;gị n'ụlọnga
aggressive;Adjective;B2;ike ike
ago;Adverb;A1;gara aga
agree;Verb;A1;ekweta
agreement;Noun;B1;nkwekọrịta
ah;exclam.;A2;ah
ahead;Adverb;B1;n'ihu
aid;Noun Verb;B2;enyemaka
aim;Verb Noun;B1;ebumnuche
air;Noun;A1;ikuku
aircraft;Noun;B2;ugbo elu
airline;Noun;A2;ụgbọelu
airport;Noun;A1;ọdụ ụgbọ
alarm;Noun Verb;B1, B2;mkpu
album;Noun;B1;album
alcohol;Noun;B1;mmanya
alcoholic;Adjective;B1;mmanya
alive;Adjective;A2;ndụ
all;det. pron, Adverb;A1, A2;niile
all right;Adjective, Adverb exclam;A2;ọ dị mma
allow;Verb;A2;ekwe
almost;Adverb;A2;fọrọ nke nta
alone;Adjective, Adverb;A2;naanị
along;prep. Adverb;A2;tinyere
already;Adverb;A2;ama
also;Adverb;A1;nwekwara
alter;Verb;B2;ịchụàjà
alternative;Noun Adjective;A2, B1;ọzọ
although;conj;A2;ọ bụ ezie na
always;Adverb;A1;mgbe
amazed;Adjective;B1;juru
amazing;Adjective;A1;ịtụnanya
ambition;Noun;B1;ambition
ambitious;Adjective;B1;oké ọchịchọ
among;prep.;A2;n'etiti
amount;Noun Verb;A2, B2;ego
analyse;Verb;B1;nyochaa
analysis;Noun;B1;analysis
ancient;Adjective;A2;ochie
and;conj;A1;na
anger;Noun;B2;iwe
angle;Noun;B2;n'akuku
angry;Adjective;A1;iwe
animal;Noun;A1;anụmanụ
ankle;Noun;A2;nkwonkwo ụkwụ
anniversary;Noun;B2;ncheta
announce;Verb;B1;ịkpọsa
announcement;Noun;B1;mara ọkwa
annoy;Verb;B1;iwe iwe
annoyed;Adjective;B1;annoyed
annoying;Adjective;B1;manụ
annual;Adjective;B2;kwa afọ
another;det. proNoun;A1;ọzọ
answer;Noun Verb;A1;azịza
anxious;Adjective;B2;na-echegbu onwe
any;det. proNoun, Adverb;A1, A2;ọ bụla
anybody;pron;A2;onye ọ bụla
any more;Adverb;A2;ọ bụla ọzọ
anyone;pron;A1;onye ọ bụla
anything;pron;A1;ihe ọ bụla
anyway;Adverb;A2;agbanyeghị
anywhere;AdVerb proNoun;A2;n'ebe ọ bụla
apart;Adverb;B1;iche
