a, an;indefinite, article;A1;a, an
abandon;Verb;B2;nglirwaaken
ability;Noun;A2;kemampuan
able;Adjective;A2;bisa
about;prep. Adverb;A1;bab
above;prep. Adverb;A1;ndhuwur
abroad;Adverb;A2;luar negeri
absolute;Adjective;B2;Absolute
absolutely;Adverb;B1;pancen
academic;adj, Noun;B1, B2;akademisi
accept;Verb;A2;nampa
acceptable;Adjective;B2;ditrima
access;Noun Verb;B1;akses
accident;Noun;A2;Laka
accommodation;Noun;B1;accommodation
accompany;Verb;B2;ngancani
according to;prep.;A2;miturut
account;Noun Verb;B1, B2;akun
accurate;Adjective;B2;akurat
accuse;Verb;B2;ngarani
achieve;Verb;A2;entuk
achievement;Noun;B1;prestasi
acknowledge;Verb;B2;ngakoni
acquire;Verb;B2;ndarbeni
across;prep. Adverb;A1;tengen
act;Verb Noun;A2,B1;tumindak
action;Noun;A1;tumindak
active;Adjective;A2;aktif
activity;Noun;A1;kegiatan
actor;Noun;A1;aktor
actress;Noun;A1;aktris
actual;Adjective;B2;nyata
actually;Adverb;A2;bener
ad;Noun;B1;kanggo
adapt;Verb;B2;ngganti
add;Verb;A1;nambah
addition;Noun;B1;Saliyane
additional;Adjective;B2;tambahan
address;Noun Verb;A1,B2;alamat
administration;Noun;B2;administrasi
admire;Verb;B1;ngujo
admit;Verb;B1;ngakeni
adopt;Verb;B2;nganggo
adult;Noun adj;A1,A2;diwasa
Advance;Noun Verb adj;B2;advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Panggenan
Advertisement;Noun;A2;iklan
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;saran
affair;Noun;B2;hubungan
affect;Verb;A2;mengaruhi
afford;Verb;B1;saged
afraid;Adjective;A1;wedi
after;prep. conj. Adverb;A1,A2;sawise
afternoon;Noun;A1;afternoon
afterwards;Adverb;B2;sesampunipun
again;Adverb;A1;maneh
against;prep;A2;marang
age;Noun Verb;A1, B1;umur
aged;Adjective;B1;umur
agency;Noun;B2;agensi
agenda;Noun;B2;agenda
agent;Noun;B1;agen
aggressive;Adjective;B2;agresif
ago;Adverb;A1;ago
agree;Verb;A1;setuju
agreement;Noun;B1;persetujuan
ah;exclam.;A2;ah
ahead;Adverb;B1;ahead
aid;Noun Verb;B2;sepindah
aim;Verb Noun;B1;Yahoo
air;Noun;A1;online
aircraft;Noun;B2;pesawat
airline;Noun;A2;maskapai
airport;Noun;A1;Airport
alarm;Noun Verb;B1, B2;weker
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkohol
alive;Adjective;A2;urip
all;det. pron, Adverb;A1, A2;kabeh
all right;Adjective, Adverb exclam;A2;tengen kabeh
allow;Verb;A2;ngidini
almost;Adverb;A2;meh
alone;Adjective, Adverb;A2;piyambak
along;prep. Adverb;A2;bebarengan
already;Adverb;A2;wis
also;Adverb;A1;uga
alter;Verb;B2;ngowahi
alternative;Noun Adjective;A2, B1;alternatif
although;conj;A2;sanajan
always;Adverb;A1;tansah
amazed;Adjective;B1;kaget
amazing;Adjective;A1;sange
ambition;Noun;B1;ambisi
ambitious;Adjective;B1;ambisi
among;prep.;A2;antarane
amount;Noun Verb;A2, B2;jumlah
analyse;Verb;B1;njelasno
analysis;Noun;B1;analisis
ancient;Adjective;A2;kuna
and;conj;A1;lan
anger;Noun;B2;nesu
angle;Noun;B2;amba
angry;Adjective;A1;duka
animal;Noun;A1;kewan
ankle;Noun;A2;tungkak
anniversary;Noun;B2;mengeti
announce;Verb;B1;ngumumke
announcement;Noun;B1;woro-woro
annoy;Verb;B1;annoy
annoyed;Adjective;B1;pegel
annoying;Adjective;B1;ngganggu
annual;Adjective;B2;taunan
another;det. proNoun;A1;liyane
answer;Noun Verb;A1;jawaban
anxious;Adjective;B2;penasaran
any;det. proNoun, Adverb;A1, A2;sembarang
anybody;pron;A2;sopo wae
any more;Adverb;A2;apa liyane
anyone;pron;A1;sapa
anything;pron;A1;apa
anyway;Adverb;A2;tho
anywhere;AdVerb proNoun;A2;ngendi wae
apart;Adverb;B1;loro
apartment;Noun;A1;apartemen
apologize;Verb;B1;apologize
app;Noun;A2;app
apparent;Adjective;B2;nyoto
apparently;Adverb;B2;ketoke
appeal;Noun Verb;B2;mréntahaké
appear;Verb;A2;katon
appearance;Noun;A2;katon
apple;Noun;A1;apple
application;Noun;B1;aplikasi
apply;Verb;A2;aplikasi
appointment;Noun;B1;janjian
appreciate;Verb;B1;appreciate
approach;Noun Verb;B2;pendekatan
appropriate;Adjective;B2;cocok
approval;Noun;B2;disetujoni
approve;Verb;B2;sarujuk
approximately;Adverb;B1;kira-kira
April;Noun;A1;April
architect;Noun;A2;arsitek
architecture;Noun;A2;arsitektur
area;Noun;A1;area
argue;Verb;A2;argue
argument;Noun;A2;pitakonan
arise;Verb;B2;njedhul
arm;Noun;A1;arm
armed;Adjective;B2;bersenjata
arms;Noun;B2;tangan
army;Noun;A2;tentara
around;prep. Adverb;A1;sak
arrange;Verb;A2;ngatur
arrangement;Noun;A2;noto
arrest;Verb Noun;B1;nyekel
arrival;Noun;B1;rawuh
arrive;Verb;A1;teka
art;Noun;A1;gambar
article;Noun;A1;artikel
artificial;Adjective;B2;Ponggawa
artist;Noun;A1;artis
artistic;Adjective;B2;seni
as;prep., Adverb conj.;A1, A2;minangka
ashamed;Adjective;B2;isin
asleep;Adjective;A2;asleep
ask;Verb;A1;takon
aspect;Noun;B2;aspek
assess;Verb;B2;netepke
assessment;Noun;B2;Assessment
assignment;Noun;B1;assignment
assist;Verb;B1;ngewangi
assistant;Noun Adjective;A2;assistant
associate;Verb;B2;digandhengake
associated;Adjective;B2;kagayut
association;Noun;B2;asosiasi
assume;Verb;B2;nganggep
at;prep.;A1;ing
athlete;Noun;A2;atlet
atmosphere;Noun;B1;atmosfer
attach;Verb;B1;masang
attack;Noun Verb;A2;serangan
attempt;Noun Verb;B2;nyoba
attend;Verb;A2;rawuh
attention;Noun exclam.;A2;manungsa waé
attitude;Noun;B1;sikap
attract;Verb;B1;narik kawigaten
attraction;Noun;B1;atraksi
attractive;Adjective;A2;atraktif
audience;Noun;A2;pirsawan
August;Noun;A1;Agustus
aunt;Noun;A1;lik
author;Noun;A2;penulis
authority;Noun;B1;panguwasa
autumn;Noun;A1;Autumn
available;Adjective;A2;kasedhiya
average;Adjective, Noun Verb;A2, B1;saben
avoid;Verb;A2;Supaya
award;Noun Verb;A2, B1;menehi
aware;Adjective;B1;weruh
away;Adverb;A1;adoh
awful;Adjective;A2;ala
baby;Noun;A1;baby
back;Noun AdVerb Adjective, Verb;A1, A2, B2;bali
background;Noun;A2;latar mburi
backwards;Adverb;B1;mundur
bacteria;Noun;B2;bakteri
bad;Adjective;A1;ala
badly;Adverb;A2;kanti awon
bag;Noun;A1;tas
bake;Verb;B1;bake
balance;Noun Verb;B1;imbangan
ball;Noun;A1;bal
ban;Verb Noun;B1;ban
banana;Noun;A1;banana
band;Noun;A1;band
bank (money);Noun;A1;bank (dhuwit)
bank (river);Noun;B1;bank (kali)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;alangi
base;Noun Verb;B1;basa
baseball;Noun;A2;enggak
based;Adjective;A2;adhedhasar
basketball;Noun;A2;basket
basic;Adjective;B1;dhasar
basically;Adverb;B2;Sejatine
basis;Noun;B1;basis
bath;Noun;A1;bath
bathroom;Noun;A1;jedhing
battery;Noun;B1;baterei
battle;Noun Verb;B1, B2;perang
be;Verb auxiliary Verb;A1;dadi
beach;Noun;A1;pantai
bean;Noun;A2;kacang
bear (deal with);Verb;B2;bear (hasil karo)
bear (animal);Noun;A2;bear (kewan)
beat;Verb Noun;A2, B2;ngalahake
beautiful;Adjective;A1;ayu
beauty;Noun;B1;kaendahan
because;conj.;A1;amarga
become;Verb;A1;dadi
bed;Noun;A1;amben
bedroom;Noun;A1;bedroom
bee;Noun;B1;bee
beef;Noun;A2;sapi
beer;Noun;A1;bir
before;prep., conj. Adverb;A1, A2;sadurunge
beg;Verb;B2;nyuwun
begin;Verb;A1;miwiti
beginning;Noun;A1;awal
behave;Verb;A2;nindakake
behaviour;Noun;A2;prilaku
behind;prep. Adverb;A1;konco
being;Noun;B2;kang
belief;Noun;B1;yakin
believe;Verb;A1;pracaya
bell;Noun;B1;lonceng
belong;Verb;A2;kagungane
below;Adverb prep.;A1;ngisor
belt;Noun;A2;sabuk
bend;Verb Noun;B1;bend
benefit;Verb NouNoun;A2, B1;entuk manfaat
bent;Adjective;B2;mbengkongaken
best;Adjective, AdVerb Noun;A1, A2;paling
bet;Verb Noun;B2;nang
better;Adjective , Adverb , Noun;A1, A2, B1;luwih
between;prep., Adverb;A1, A2;antarane
beyond;prep. Adverb;B2;ngluwihi
bicycle;Noun;A1;Bicycle
big;Adjective;A1;amba
bike;Noun;A1;bike
bill;Noun Verb;A1, B2;Bill
billion number; ;A2;milyar nomer
bin;Noun;A2;bin
biology;Noun;A2;biologi
bird;Noun;A1;manuk
birth;Noun;A2;lair
birthday;Noun;A1;ulang tahun
biscuit;Noun;A2;biscuit
bit;Noun;A2;dicokot
bite;Verb Noun;B1;cokotan
bitter;Adjective;B2;pait
black;Adjective, Noun;A1;ireng
blame;Verb Noun;B2;nyalahke
blank;Adjective, Noun;A2;blank
blind;Adjective;B2;wuta
block;Noun Verb;B1;pemblokiran
blog;Noun;A1;blog
blonde;Adjective;A1;pirang
blood;Noun;A2;getih
blow;Verb;A2;jotosan
blue;Adjective, Noun;A1;biru
board;Noun Verb;A2, B1;Papan
boat;Noun;A1;boat
body;Noun;A1;awak
boil;Verb;A2;godhok
bomb;Noun Verb;B1;bom
bond;Noun;B2;jaminan
bone;Noun;A2;balung
book;Noun Verb;A1, A2;buku
boot;Noun;A1;boot
border;Noun Verb;B1, B2;wewatesan
bored;Adjective;A1;bosen
boring;Adjective;A1;boring
born;Verb;A1;lair
borrow;Verb;A2;utang
boss;Noun;A2;boss
both;det./proNoun;A1;loro
bother;Verb;B1;keganggu
bottle;Noun;A1;botol
bottom;NouNoun Adjective;A2;ngisor
bowl;Noun;A2;Bowl
box;Noun;A1;kothak
boy;Noun;A1;boy
boyfriend;Noun;A1;pacar
brain;Noun;A2;otak
branch;Noun;B1;cabang
brand;Noun Verb;B1;account
brave;Adjective;B1;wani
bread;Noun;A1;roti
break;Verb Noun;A1;break
breakfast;Noun;A1;sarapan
breast;Noun;B2;susu
breath;Noun;B1;ambegan
breathe;Verb;B1;ambegan
breathing;Noun;B1;AMBEGAN
bride;Noun;B1;putri
bridge;Noun;A2;bridge
brief;Adjective;B2;Brief
bright;Adjective;A2;padhang
brilliant;Adjective;A2;sarwa
bring;Verb;A1;nggawa
broad;Adjective;B2;amba
broadcast;Verb Noun;B2;Broadcast
broken;Adjective;A2;bejat
brother;Noun;A1;cak
brown;Adjective, Noun;A1;coklat
brush;Verb Noun;A2;rerumput
bubble;Noun;B1;gelembung
budget;Noun;B2;budget
build;Verb;A1;mbangun
building;Noun;A1;bangunan
bullet;Noun;B2;peluru
bunch;Noun;B2;Bunch
burn;Verb Noun;A2, B2;ngobong
bury;Verb;B1;ngubur
bus;Noun;A1;bus
bush;Noun;B2;grumbulan
business;Noun;A1;bisnis
businessman;Noun;A2;pengusaha
busy;Adjective;A1;sibuk
but;conj. prep;A1, B2;nanging
butter;Noun;A1;butter
button;Noun;A2;tombol
buy;Verb;A1;tuku
