a, an;indefinite, article;A1;មួយ, មួយ
abandon;Verb;B2;បោះបង់ចោល
ability;Noun;A2;សមត្ថភាព
able;Adjective;A2;អាច
about;prep. Adverb;A1;អំពី
above;prep. Adverb;A1;ខាងលើ
abroad;Adverb;A2;នៅបរទេស
absolute;Adjective;B2;ដាច់ខាត
absolutely;Adverb;B1;ពិត
academic;adj, Noun;B1, B2;សិក្សា
accept;Verb;A2;ទទួលយក
acceptable;Adjective;B2;អាចទទួលយកបាន
access;Noun Verb;B1;ការចូលដំណើរការ
accident;Noun;A2;គ្រោះថ្នាក់ចរាចរណ៍
accommodation;Noun;B1;ការស្នាក់នៅ
accompany;Verb;B2;អមដំណើរ
according to;prep.;A2;យោង​ទៅ​តាម
account;Noun Verb;B1, B2;គណនី
accurate;Adjective;B2;ភាពត្រឹមត្រូវ
accuse;Verb;B2;ចោទប្រកាន់
achieve;Verb;A2;សម្រេចបាននូវ
achievement;Noun;B1;សមិទ្ធិផល
acknowledge;Verb;B2;ទទួលស្គាល់
acquire;Verb;B2;ទទួល
across;prep. Adverb;A1;នៅទូទាំង
act;Verb Noun;A2,B1;ធ្វើសកម្មភាព
action;Noun;A1;សកម្មភាព
active;Adjective;A2;សកម្ម
activity;Noun;A1;សកម្មភាព
actor;Noun;A1;តារាសម្តែង
actress;Noun;A1;តារាសម្តែង
actual;Adjective;B2;ពិតប្រាកដ
actually;Adverb;A2;ជាការពិត
ad;Noun;B1;ការផ្សព្វផ្សាយពាណិជ្ជកម្ម
adapt;Verb;B2;សម្របខ្លួន
add;Verb;A1;បន្ថែម
addition;Noun;B1;ការបន្ថែម
additional;Adjective;B2;បន្ថែម
address;Noun Verb;A1,B2;អាសយដ្ឋាន
administration;Noun;B2;រដ្ឋបាល
admire;Verb;B1;Admire
admit;Verb;B1;សារភាព
adopt;Verb;B2;អនុម័ត
adult;Noun adj;A1,A2;មនុស្សពេញវ័យ
Advance;Noun Verb adj;B2;មុន
Advanced;Adjective;B1;កម្រិតខ្ពស់
Advantage;Noun;A2;អត្ថប្រយោជន៍
Adventure;Noun;A2;ការផ្សងព្រេង
Advertise;Verb;A2;ផ្សាយពាណិជ្ជកម្ម
Advertisement;Noun;A2;ការផ្សព្វផ្សាយ
Advertising;Noun;A2;ការផ្សព្វផ្សាយពាណិជ្ជកម្ម
Advice;Noun Verb;A1, B1;ដំបូន្មាន
affair;Noun;B2;ការងារ
affect;Verb;A2;ប៉ះពាល់ដល់
afford;Verb;B1;លទ្ធភាព
afraid;Adjective;A1;ការភ័យខ្លាច
after;prep. conj. Adverb;A1,A2;បន្ទាប់ពី
afternoon;Noun;A1;រសៀល
afterwards;Adverb;B2;បន្ទាប់ពីនោះ
again;Adverb;A1;ជាថ្មីម្តងទៀត
against;prep;A2;ប្រឆាំងនឹង
age;Noun Verb;A1, B1;អាយុ
aged;Adjective;B1;មានអាយុពី
agency;Noun;B2;ទីភ្នាក់ងារ
agenda;Noun;B2;របៀបវារៈ
agent;Noun;B1;ភ្នាក់ងារ
aggressive;Adjective;B2;ឈ្លានពាន
ago;Adverb;A1;មុន
agree;Verb;A1;យល់ព្រម
agreement;Noun;B1;កិច្ចព្រមព្រៀង
ah;exclam.;A2;មួយ
ahead;Adverb;B1;នៅពេល​ខាងមុខ
aid;Noun Verb;B2;ជំនួយ
aim;Verb Noun;B1;គោលបំណង
air;Noun;A1;ខ្យល់
aircraft;Noun;B2;យន្តហោះ
airline;Noun;A2;ក្រុមហ៊ុនអាកាសចរណ៍
airport;Noun;A1;ព្រ​លាន​យន្តហោះ
alarm;Noun Verb;B1, B2;ជូនដំណឹង
album;Noun;B1;អាល់ប៊ុម
alcohol;Noun;B1;ការសេពគ្រឿងស្រវឹង
alcoholic;Adjective;B1;គ្រឿងស្រវឹង
alive;Adjective;A2;នៅរស់
all;det. pron, Adverb;A1, A2;ទាំងអស់
all right;Adjective, Adverb exclam;A2;ត្រឹមត្រូវ
allow;Verb;A2;អនុញ្ញាតឱ្យ
almost;Adverb;A2;ស្ទើរតែ
alone;Adjective, Adverb;A2;តែម្នាក់ឯង
along;prep. Adverb;A2;នៅតាមបណ្តោយ
already;Adverb;A2;រួចទៅហើយ
also;Adverb;A1;ផងដែរ
alter;Verb;B2;ផ្លាស់ប្តូរ
alternative;Noun Adjective;A2, B1;ជម្រើស
although;conj;A2;ទោះបីជា
always;Adverb;A1;តែងតែ
amazed;Adjective;B1;ភ្ញាក់ផ្អើលយ៉ាងខ្លាំង
amazing;Adjective;A1;អស្ចារ្យ
ambition;Noun;B1;មហិច្ឆតា
ambitious;Adjective;B1;មហិច្ឆតា
among;prep.;A2;ក្នុងចំណោម
amount;Noun Verb;A2, B2;ចំនួនទឹកប្រាក់
analyse;Verb;B1;វិភាគ
analysis;Noun;B1;ការវិភាគ
ancient;Adjective;A2;បុរាណ
and;conj;A1;និង
anger;Noun;B2;កំហឹង
angle;Noun;B2;មុំ
angry;Adjective;A1;ខឹង
animal;Noun;A1;សត្វ
ankle;Noun;A2;កជើង
anniversary;Noun;B2;ខួបលើកទី
announce;Verb;B1;ប្រកាស
announcement;Noun;B1;សេចក្តីប្រកាស
annoy;Verb;B1;រំខាន
annoyed;Adjective;B1;រំខាន
annoying;Adjective;B1;ការរំខាន
annual;Adjective;B2;ប្រចាំឆ្នាំ
another;det. proNoun;A1;ផ្សេងទៀត
answer;Noun Verb;A1;ចម្លើយ
anxious;Adjective;B2;រំភើបចិត្ត
any;det. proNoun, Adverb;A1, A2;ណាមួយ
anybody;pron;A2;នរណាម្នាក់
any more;Adverb;A2;ណាមួយបន្ថែមទៀត
anyone;pron;A1;នរណាម្នាក់
anything;pron;A1;អ្វីទាំងអស់
anyway;Adverb;A2;ទោះយ៉ាងណា
anywhere;AdVerb proNoun;A2;គ្រប់ទីកន្លែង
apart;Adverb;B1;ដាច់ពីគ្នា
apartment;Noun;A1;ផ្ទះល្វែង
apologize;Verb;B1;សុំទោស
app;Noun;A2;កម្មវិធី
apparent;Adjective;B2;ជាក់ស្តែង
apparently;Adverb;B2;ជាក់ស្តែង
appeal;Noun Verb;B2;បណ្តឹងឧទ្ធរណ៍
appear;Verb;A2;លេចឡើង
appearance;Noun;A2;រូបរាង
apple;Noun;A1;ផ្លែប៉ោម
application;Noun;B1;កម្មវិធី
apply;Verb;A2;អនុវត្ត
appointment;Noun;B1;ការណាត់ជួប
appreciate;Verb;B1;ពេញចិត្តក្នុងការស្តាប់
approach;Noun Verb;B2;វិធីសាស្រ្ត
appropriate;Adjective;B2;សមរម្យ
approval;Noun;B2;ការអនុម័ត
approve;Verb;B2;អនុម័ត
approximately;Adverb;B1;ប្រមាណ
April;Noun;A1;ខែមេសា
architect;Noun;A2;ស្ថាបត្យករ
architecture;Noun;A2;ស្ថាបត្យកម្ម
area;Noun;A1;តំបន់
argue;Verb;A2;ជជែកតវ៉ា
argument;Noun;A2;អាគុយម៉ង់
arise;Verb;B2;ក្រោកឡើង!
arm;Noun;A1;ដៃ
armed;Adjective;B2;ប្រដាប់
arms;Noun;B2;អាវុធ
army;Noun;A2;កងទ័ព
around;prep. Adverb;A1;នៅជុំវិញ
arrange;Verb;A2;រៀបចំ
arrangement;Noun;A2;ការរៀបចំ
arrest;Verb Noun;B1;ចាប់ខ្លួន
arrival;Noun;B1;ការមកដល់
arrive;Verb;A1;មកដល់
art;Noun;A1;សិល្បៈ
article;Noun;A1;អត្ថបទ
artificial;Adjective;B2;សិប្បនិម្មិត
artist;Noun;A1;សិល្បករ
artistic;Adjective;B2;សិល្បៈ
as;prep., Adverb conj.;A1, A2;ជាការ
ashamed;Adjective;B2;ខ្មាស់
asleep;Adjective;A2;ដេកលក់
ask;Verb;A1;ស្នើសុំ
aspect;Noun;B2;ទិដ្ឋភាព
assess;Verb;B2;វាយតម្លៃ
assessment;Noun;B2;ការវាយតម្លៃ
assignment;Noun;B1;កិច្ចការ
assist;Verb;B1;ជួយ
assistant;Noun Adjective;A2;ជំនួយ
associate;Verb;B2;រង
associated;Adjective;B2;ដែលជាប់ទាក់ទង
association;Noun;B2;សមាគម
assume;Verb;B2;សន្មត់
at;prep.;A1;នៅ
athlete;Noun;A2;អត្តពលិក
atmosphere;Noun;B1;បរិយាកាស
attach;Verb;B1;ភ្ជាប់
attack;Noun Verb;A2;ការវាយប្រហារ
attempt;Noun Verb;B2;ការប៉ុនប៉ង
attend;Verb;A2;ចូលរៀន
attention;Noun exclam.;A2;យកចិត្តទុកដាក់
attitude;Noun;B1;ឥរិយាបទ
attract;Verb;B1;ទាក់ទាញ
attraction;Noun;B1;ការទាក់ទាញ
