a, an;indefinite, article;A1;A,
abandon;Verb;B2;버리다
ability;Noun;A2;능력
able;Adjective;A2;할 수 있는
about;prep. Adverb;A1;약
above;prep. Adverb;A1;위의
abroad;Adverb;A2;널리
absolute;Adjective;B2;순수한
absolutely;Adverb;B1;물론
academic;adj, Noun;B1, B2;학생
accept;Verb;A2;동의하기
acceptable;Adjective;B2;허용
access;Noun Verb;B1;접속하다
accident;Noun;A2;사고
accommodation;Noun;B1;적응
accompany;Verb;B2;동반하다
according to;prep.;A2;에 따라
account;Noun Verb;B1, B2;계정
accurate;Adjective;B2;정확한
accuse;Verb;B2;비난
achieve;Verb;A2;이루다
achievement;Noun;B1;성취
acknowledge;Verb;B2;인정
acquire;Verb;B2;얻다
across;prep. Adverb;A1;건너서
act;Verb Noun;A2,B1;행위
action;Noun;A1;동작
active;Adjective;A2;유효한
activity;Noun;A1;활동
actor;Noun;A1;배우
actress;Noun;A1;여배우
actual;Adjective;B2;실제
actually;Adverb;A2;사실은
ad;Noun;B1;기원 후
adapt;Verb;B2;개조 하다
add;Verb;A1;더하다
addition;Noun;B1;덧셈
additional;Adjective;B2;부가적인
address;Noun Verb;A1,B2;주소
administration;Noun;B2;관리
admire;Verb;B1;감탄
admit;Verb;B1;인정하다
adopt;Verb;B2;채택
adult;Noun adj;A1,A2;성인
Advance;Noun Verb adj;B2;전진
Advanced;Adjective;B1;많은
Advantage;Noun;A2;이점
Adventure;Noun;A2;모험
Advertise;Verb;A2;공시 하다
Advertisement;Noun;A2;광고
Advertising;Noun;A2;광고하는
Advice;Noun Verb;A1, B1;조언
affair;Noun;B2;일
affect;Verb;A2;영향을 미치다
afford;Verb;B1;형편이되다
afraid;Adjective;A1;두려워하여
after;prep. conj. Adverb;A1,A2;후
afternoon;Noun;A1;대낮
afterwards;Adverb;B2;나중에
again;Adverb;A1;다시
against;prep;A2;에 맞서
age;Noun Verb;A1, B1;나이
aged;Adjective;B1;늙은
agency;Noun;B2;대리점
agenda;Noun;B2;의제
agent;Noun;B1;에이전트
aggressive;Adjective;B2;적극적인
ago;Adverb;A1;...전에
agree;Verb;A1;동의하다
agreement;Noun;B1;협정
ah;exclam.;A2;아
ahead;Adverb;B1;앞으로
aid;Noun Verb;B2;도움
aim;Verb Noun;B1;목표
air;Noun;A1;공기
aircraft;Noun;B2;항공기
airline;Noun;A2;공기 호스
airport;Noun;A1;공항
alarm;Noun Verb;B1, B2;경보
album;Noun;B1;앨범
alcohol;Noun;B1;알코올
alcoholic;Adjective;B1;알코올
alive;Adjective;A2;살아 있는
all;det. pron, Adverb;A1, A2;모두
all right;Adjective, Adverb exclam;A2;괜찮아
allow;Verb;A2;허용하다
almost;Adverb;A2;거의
alone;Adjective, Adverb;A2;혼자
along;prep. Adverb;A2;...을 따라서
already;Adverb;A2;이미
also;Adverb;A1;또한
alter;Verb;B2;바꾸다
alternative;Noun Adjective;A2, B1;선택적인
although;conj;A2;이기는 하지만
always;Adverb;A1;항상
amazed;Adjective;B1;놀란
amazing;Adjective;A1;놀랄 만한
ambition;Noun;B1;큰 뜻
ambitious;Adjective;B1;거창한
among;prep.;A2;의 사이에
amount;Noun Verb;A2, B2;양
analyse;Verb;B1;분석
analysis;Noun;B1;분석
ancient;Adjective;A2;고대
and;conj;A1;과
anger;Noun;B2;분노
angle;Noun;B2;각도
angry;Adjective;A1;성난
animal;Noun;A1;동물
ankle;Noun;A2;발목
anniversary;Noun;B2;기념일
announce;Verb;B1;알리다
announcement;Noun;B1;발표
annoy;Verb;B1;애태우다
annoyed;Adjective;B1;괴로운
annoying;Adjective;B1;성가신
annual;Adjective;B2;일년생 식물
another;det. proNoun;A1;다른
answer;Noun Verb;A1;대답
anxious;Adjective;B2;불안
any;det. proNoun, Adverb;A1, A2;어떤
anybody;pron;A2;아무도
any more;Adverb;A2;더 이상
anyone;pron;A1;누군가
anything;pron;A1;아무것도
anyway;Adverb;A2;어쨌든
anywhere;AdVerb proNoun;A2;어딘가에
apart;Adverb;B1;떨어져서
apartment;Noun;A1;아파트
apologize;Verb;B1;사과
app;Noun;A2;앱
apparent;Adjective;B2;명백한
apparently;Adverb;B2;분명히
appeal;Noun Verb;B2;항소
appear;Verb;A2;나타나다
appearance;Noun;A2;외관
apple;Noun;A1;사과
application;Noun;B1;신청
apply;Verb;A2;대다
appointment;Noun;B1;약속
appreciate;Verb;B1;평가하다
approach;Noun Verb;B2;접근하다
appropriate;Adjective;B2;적당한
approval;Noun;B2;승인
approve;Verb;B2;승인
approximately;Adverb;B1;대략
April;Noun;A1;4 월
architect;Noun;A2;건축가
architecture;Noun;A2;건축물
area;Noun;A1;지역
argue;Verb;A2;논하다
argument;Noun;A2;논의
arise;Verb;B2;생기다
arm;Noun;A1;팔
armed;Adjective;B2;무장
arms;Noun;B2;무기
army;Noun;A2;육군
around;prep. Adverb;A1;주위에
arrange;Verb;A2;가지런 히하다
arrangement;Noun;A2;배열
arrest;Verb Noun;B1;체포
arrival;Noun;B1;도착
arrive;Verb;A1;태어나다
art;Noun;A1;미술
article;Noun;A1;조
artificial;Adjective;B2;인공
artist;Noun;A1;예술가
artistic;Adjective;B2;예술적인
as;prep., Adverb conj.;A1, A2;같이
ashamed;Adjective;B2;부끄러워
asleep;Adjective;A2;죽어
ask;Verb;A1;물어보기
aspect;Noun;B2;양상
assess;Verb;B2;평가
assessment;Noun;B2;평가
assignment;Noun;B1;할당
assist;Verb;B1;돕다
assistant;Noun Adjective;A2;조수
associate;Verb;B2;동무
associated;Adjective;B2;관련
association;Noun;B2;협회
assume;Verb;B2;취하다
at;prep.;A1;...에서
athlete;Noun;A2;육상 경기 선수
atmosphere;Noun;B1;분위기
attach;Verb;B1;붙이다
attack;Noun Verb;A2;공격
attempt;Noun Verb;B2;시도
attend;Verb;A2;참석
attention;Noun exclam.;A2;주의
attitude;Noun;B1;태도
attract;Verb;B1;끌다
attraction;Noun;B1;끌어 당김
attractive;Adjective;A2;매력적인
audience;Noun;A2;청중
August;Noun;A1;팔월
aunt;Noun;A1;이모
author;Noun;A2;저자
authority;Noun;B1;권위
autumn;Noun;A1;가을
available;Adjective;A2;유효한
average;Adjective, Noun Verb;A2, B1;평균
avoid;Verb;A2;기피
award;Noun Verb;A2, B1;장학금
aware;Adjective;B1;인식
away;Adverb;A1;떨어져
awful;Adjective;A2;무서운
baby;Noun;A1;아가
back;Noun AdVerb Adjective, Verb;A1, A2, B2;뒤
background;Noun;A2;배경
backwards;Adverb;B1;뒤로
bacteria;Noun;B2;박테리아
bad;Adjective;A1;나쁜
badly;Adverb;A2;심하게
bag;Noun;A1;가방
bake;Verb;B1;빵 굽기
balance;Noun Verb;B1;밸런스
ball;Noun;A1;공
ban;Verb Noun;B1;반
banana;Noun;A1;바나나
band;Noun;A1;밴드
bank (money);Noun;A1;은행 (돈)
bank (river);Noun;B1;은행 (강)
bar;Noun Verb;A2, B2;바
barrier;Noun;B2;장벽
base;Noun Verb;B1;베이스
baseball;Noun;A2;야구
based;Adjective;A2;기반
basketball;Noun;A2;농구
basic;Adjective;B1;기본
basically;Adverb;B2;원래
basis;Noun;B1;기초
bath;Noun;A1;목욕
bathroom;Noun;A1;화장실
battery;Noun;B1;배터리
battle;Noun Verb;B1, B2;전투
be;Verb auxiliary Verb;A1;있다
beach;Noun;A1;바닷가
bean;Noun;A2;콩
bear (deal with);Verb;B2;곰 (처리)
