a, an;indefinite, article;A1;а, бир
abandon;Verb;B2;баш
ability;Noun;A2;жөндөмдүүлүгү
able;Adjective;A2;алат
about;prep. Adverb;A1;жөнүндө
above;prep. Adverb;A1;жогору
abroad;Adverb;A2;чет
absolute;Adjective;B2;абсолюттук
absolutely;Adverb;B1;толугу менен
academic;adj, Noun;B1, B2;академиялык
accept;Verb;A2;кабыл алуу
acceptable;Adjective;B2;алгылыктуу
access;Noun Verb;B1;мүмкүндүк алуу
accident;Noun;A2;кокустук
accommodation;Noun;B1;жайлуулук
accompany;Verb;B2;кошо жүрүү
according to;prep.;A2;ылайык
account;Noun Verb;B1, B2;каттоо эсеби
accurate;Adjective;B2;так
accuse;Verb;B2;айыптоо
achieve;Verb;A2;жетүү
achievement;Noun;B1;жетишкендик
acknowledge;Verb;B2;экенин моюнга
acquire;Verb;B2;табат
across;prep. Adverb;A1;аркылуу
act;Verb Noun;A2,B1;иш
action;Noun;A1;иш-аракеттер
active;Adjective;A2;активдүү
activity;Noun;A1;иш
actor;Noun;A1;актер
actress;Noun;A1;актриса
actual;Adjective;B2;чыныгы
actually;Adverb;A2;иш жүзүндө
ad;Noun;B1;жарнама
adapt;Verb;B2;көнүү
add;Verb;A1;кошуу
addition;Noun;B1;толуктоо
additional;Adjective;B2;кошумча
address;Noun Verb;A1,B2;дарек
administration;Noun;B2;башкаруу
admire;Verb;B1;Admire
admit;Verb;B1;кабыл алуу
adopt;Verb;B2;кабыл алуу
adult;Noun adj;A1,A2;бойго жеткен
Advance;Noun Verb adj;B2;алдын ала
Advanced;Adjective;B1;алдынкы
Advantage;Noun;A2;артыкчылык
Adventure;Noun;A2;тобокел
Advertise;Verb;A2;рекламалоо
Advertisement;Noun;A2;реклама
Advertising;Noun;A2;рекламалоо
Advice;Noun Verb;A1, B1;корутундусу
affair;Noun;B2;иш
affect;Verb;A2;таасир
afford;Verb;B1;мүмкүндүк алуу
afraid;Adjective;A1;коркуп
after;prep. conj. Adverb;A1,A2;кийин
afternoon;Noun;A1;түштөн кийинки мезгил
afterwards;Adverb;B2;акырында
again;Adverb;A1;кайра
against;prep;A2;каршы
age;Noun Verb;A1, B1;жашы
aged;Adjective;B1;жаштагы
agency;Noun;B2;агентство
agenda;Noun;B2;күн тартиби
agent;Noun;B1;агент
aggressive;Adjective;B2;агрессивдүү
ago;Adverb;A1;мурда
agree;Verb;A1;макул
agreement;Noun;B1;макулдук
ah;exclam.;A2;ах
ahead;Adverb;B1;алдыда
aid;Noun Verb;B2;жардам
aim;Verb Noun;B1;максат
air;Noun;A1;аба
aircraft;Noun;B2;самолет
airline;Noun;A2;аба жолу
airport;Noun;A1;аэропорт
alarm;Noun Verb;B1, B2;согуштук тревога
album;Noun;B1;альбом
alcohol;Noun;B1;алкоголь
alcoholic;Adjective;B1;алкоголдук
alive;Adjective;A2;жандуу
all;det. pron, Adverb;A1, A2;бардык
all right;Adjective, Adverb exclam;A2;макул
allow;Verb;A2;уруксат берүү
almost;Adverb;A2;дээрлик
alone;Adjective, Adverb;A2;жалгыз
along;prep. Adverb;A2;бирге
already;Adverb;A2;буга чейин
also;Adverb;A1;дагы
alter;Verb;B2;жайлуу
alternative;Noun Adjective;A2, B1;альтернатива
although;conj;A2;да
always;Adverb;A1;дайыма
amazed;Adjective;B1;айран
amazing;Adjective;A1;таң калаарлык
ambition;Noun;B1;мансапкордук
ambitious;Adjective;B1;мансапкор
among;prep.;A2;арасында
amount;Noun Verb;A2, B2;суммасы
analyse;Verb;B1;талдоо жүргүзүү
analysis;Noun;B1;талдоо
ancient;Adjective;A2;байыркы
and;conj;A1;жана
anger;Noun;B2;ачуулануу
angle;Noun;B2;бурч
angry;Adjective;A1;ачууланган
animal;Noun;A1;жаныбар
ankle;Noun;A2;тай аке
anniversary;Noun;B2;жылдык
announce;Verb;B1;жарыялоо
announcement;Noun;B1;кулактандыруу
annoy;Verb;B1;жадатуу
annoyed;Adjective;B1;кыжырданган
annoying;Adjective;B1;кыжырданткан
annual;Adjective;B2;ар жылдык
another;det. proNoun;A1;башка
answer;Noun Verb;A1;жооп
anxious;Adjective;B2;тынчсызданган
any;det. proNoun, Adverb;A1, A2;кандайдыр
anybody;pron;A2;кимдир бирөө
any more;Adverb;A2;мындан ары
anyone;pron;A1;кимдир бирөө
anything;pron;A1;бир нерсе
anyway;Adverb;A2;кандай гана болбосун
anywhere;AdVerb proNoun;A2;кайсы жерде болбосун
apart;Adverb;B1;бөлөк
apartment;Noun;A1;бөлмө
apologize;Verb;B1;кечирим суроо
app;Noun;A2;колдонмо
apparent;Adjective;B2;көрүнүүчү
apparently;Adverb;B2;кыязы,
appeal;Noun Verb;B2;даттануу
appear;Verb;A2;көрүнүшү
appearance;Noun;A2;көрүнүшү
apple;Noun;A1;алма
application;Noun;B1;арыз
apply;Verb;A2;колдонулат
appointment;Noun;B1;дайындоо
appreciate;Verb;B1;баалоо
approach;Noun Verb;B2;жакындоо
appropriate;Adjective;B2;тиешелүү
approval;Noun;B2;ырастоо
approve;Verb;B2;бекитүү
approximately;Adverb;B1;болжол менен
April;Noun;A1;Апрель
architect;Noun;A2;архитектор
architecture;Noun;A2;архитектура
area;Noun;A1;аймак
argue;Verb;A2;талашып-
argument;Noun;A2;далил
arise;Verb;B2;пайда болушу
arm;Noun;A1;куралдандыруу
armed;Adjective;B2;куралданган
arms;Noun;B2;курал-жарак
army;Noun;A2;армия
around;prep. Adverb;A1;жанында
arrange;Verb;A2;уюштуруу
arrangement;Noun;A2;жайгашуу
arrest;Verb Noun;B1;камоого алуу
arrival;Noun;B1;келүү
arrive;Verb;A1;келүү
art;Noun;A1;искусство
article;Noun;A1;макала
artificial;Adjective;B2;жасалма
artist;Noun;A1;сүрөтчү аял
artistic;Adjective;B2;көркөм
as;prep., Adverb conj.;A1, A2;катары
ashamed;Adjective;B2;уят
asleep;Adjective;A2;уктаган
ask;Verb;A1;суроо
aspect;Noun;B2;аспект
assess;Verb;B2;баалоо
assessment;Noun;B2;аныктоо
assignment;Noun;B1;дайындоо
assist;Verb;B1;жардамдашуу
assistant;Noun Adjective;A2;менеджер
associate;Verb;B2;шерик аял
associated;Adjective;B2;байланыштуу
association;Noun;B2;бирикме
assume;Verb;B2;өзүнө
at;prep.;A1;боюнча
athlete;Noun;A2;атлет эркек
atmosphere;Noun;B1;атмосфера
attach;Verb;B1;бириктирүү
attack;Noun Verb;A2;кол салуу
attempt;Noun Verb;B2;аракет
attend;Verb;A2;катышышпайт
attention;Noun exclam.;A2;көңүл
attitude;Noun;B1;мамиле
attract;Verb;B1;тартуу
attraction;Noun;B1;тартуу
attractive;Adjective;A2;жагымдуу
audience;Noun;A2;угуучулар
August;Noun;A1;Август
aunt;Noun;A1;тай эже
author;Noun;A2;жазуучу
authority;Noun;B1;бийлик
autumn;Noun;A1;күз
available;Adjective;A2;жеткиликтүү
average;Adjective, Noun Verb;A2, B1;орто
avoid;Verb;A2;кача
award;Noun Verb;A2, B1;сыйлык
aware;Adjective;B1;билет
away;Adverb;A1;жок
awful;Adjective;A2;сүр көрсөткөн
baby;Noun;A1;бала
back;Noun AdVerb Adjective, Verb;A1, A2, B2;кайра
background;Noun;A2;маалымат
backwards;Adverb;B1;артка
bacteria;Noun;B2;бактерия
bad;Adjective;A1;жаман
badly;Adverb;A2;жаман
bag;Noun;A1;сумка
bake;Verb;B1;бышыруу
balance;Noun Verb;B1;тең салмактуулук
