a, an;indefinite, article;A1;sit, an
abandon;Verb;B2;relinquere
ability;Noun;A2;habebat
able;Adjective;A2;potes
about;prep. Adverb;A1;fere
above;prep. Adverb;A1;supra
abroad;Adverb;A2;foris
absolute;Adjective;B2;absoluta
absolutely;Adverb;B1;omnino
academic;adj, Noun;B1, B2;academic
accept;Verb;A2;accipit
acceptable;Adjective;B2;gratum
access;Noun Verb;B1;aditum
accident;Noun;A2;accidente
accommodation;Noun;B1;accommodationem
accompany;Verb;B2;socius
according to;prep.;A2;secundum
account;Noun Verb;B1, B2;ratio
accurate;Adjective;B2;accurate
accuse;Verb;B2;accusatis
achieve;Verb;A2;consequi
achievement;Noun;B1;factum
acknowledge;Verb;B2;agnosces,
acquire;Verb;B2;Durum
across;prep. Adverb;A1;per
act;Verb Noun;A2,B1;agere
action;Noun;A1;actum
active;Adjective;A2;active
activity;Noun;A1;actio
actor;Noun;A1;histrionis
actress;Noun;A1;mima
actual;Adjective;B2;ipsa
actually;Adverb;A2;actually
ad;Noun;B1;ad
adapt;Verb;B2;accommodare
add;Verb;A1;adde
addition;Noun;B1;praeter
additional;Adjective;B2;additional
address;Noun Verb;A1,B2;oratio
administration;Noun;B2;administratio
admire;Verb;B1;mirantur
admit;Verb;B1;fateri
adopt;Verb;B2;adopt
adult;Noun adj;A1,A2;adultus
Advance;Noun Verb adj;B2;antecessum
Advanced;Adjective;B1;provectus
Advantage;Noun;A2;Italiae Commodum Collegit
Adventure;Noun;A2;casus
Advertise;Verb;A2;Vendo
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;consilium
affair;Noun;B2;affair
affect;Verb;A2;affect
afford;Verb;B1;praestare
afraid;Adjective;A1;timere
after;prep. conj. Adverb;A1,A2;post
afternoon;Noun;A1;post meridiem,
afterwards;Adverb;B2;deinde
again;Adverb;A1;rursus
against;prep;A2;adversus
age;Noun Verb;A1, B1;aetate
aged;Adjective;B1;anus
agency;Noun;B2;propellente
agenda;Noun;B2;rerum agendarum ordinem
agent;Noun;B1;agente
aggressive;Adjective;B2;ferox
ago;Adverb;A1;ante
agree;Verb;A1;conveniunt
agreement;Noun;B1;pactum
ah;exclam.;A2;ah
ahead;Adverb;B1;praemisit
aid;Noun Verb;B2;auxilium
aim;Verb Noun;B1;AIM
air;Noun;A1;caeli
aircraft;Noun;B2;elit
airline;Noun;A2;airline
airport;Noun;A1;aeroportus
alarm;Noun Verb;B1, B2;terrorem
album;Noun;B1;album
alcohol;Noun;B1;Vocatus
alcoholic;Adjective;B1;alcoh?
alive;Adjective;A2;vivus
all;det. pron, Adverb;A1, A2;omnis
all right;Adjective, Adverb exclam;A2;omnibus fas
allow;Verb;A2;patitur
almost;Adverb;A2;fere
