a, an;indefinite, article;A1;a,
abandon;Verb;B2;atteikties
ability;Noun;A2;spēja
able;Adjective;A2;spējīgs
about;prep. Adverb;A1;par
above;prep. Adverb;A1;virs
abroad;Adverb;A2;uz ārzemēm
absolute;Adjective;B2;absolūts
absolutely;Adverb;B1;absolūti
academic;adj, Noun;B1, B2;akadēmisks
accept;Verb;A2;akceptēt
acceptable;Adjective;B2;pieņemams
access;Noun Verb;B1;pieeja
accident;Noun;A2;avārija
accommodation;Noun;B1;naktsmītnes
accompany;Verb;B2;pavadīt
according to;prep.;A2;saskaņā ar
account;Noun Verb;B1, B2;konts
accurate;Adjective;B2;precīzs
accuse;Verb;B2;apvainot
achieve;Verb;A2;sasniegt
achievement;Noun;B1;sasniegums
acknowledge;Verb;B2;atzīstat
acquire;Verb;B2;Iegūt
across;prep. Adverb;A1;pāri
act;Verb Noun;A2,B1;tēlot
action;Noun;A1;darbība
active;Adjective;A2;aktīvs
activity;Noun;A1;aktivitāte
actor;Noun;A1;aktieris
actress;Noun;A1;aktrise
actual;Adjective;B2;faktisks
actually;Adverb;A2;faktiski
ad;Noun;B1;reklāma
adapt;Verb;B2;pielāgot
add;Verb;A1;pievienot
addition;Noun;B1;papildinājums
additional;Adjective;B2;papildu
address;Noun Verb;A1,B2;adrese
administration;Noun;B2;administrācija
admire;Verb;B1;apbrīnot
admit;Verb;B1;atzīt
adopt;Verb;B2;pieņemt
adult;Noun adj;A1,A2;pieaugušo
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;uzlabots
Advantage;Noun;A2;Priekšrocība
Adventure;Noun;A2;piedzīvojums
Advertise;Verb;A2;reklamēt
Advertisement;Noun;A2;reklāma
Advertising;Noun;A2;Reklāma
Advice;Noun Verb;A1, B1;padoms
affair;Noun;B2;lieta
affect;Verb;A2;ietekmēt
afford;Verb;B1;atļauties
afraid;Adjective;A1;nobijies
after;prep. conj. Adverb;A1,A2;pēc
afternoon;Noun;A1;pēcpusdiena
afterwards;Adverb;B2;pēc tam
again;Adverb;A1;atkal
against;prep;A2;pret
age;Noun Verb;A1, B1;vecums
aged;Adjective;B1;vecs
agency;Noun;B2;aģentūra
agenda;Noun;B2;darba kārtība
agent;Noun;B1;aģents
aggressive;Adjective;B2;agresīvs
ago;Adverb;A1;pirms
agree;Verb;A1;piekrist
agreement;Noun;B1;vienošanās
ah;exclam.;A2;ak
ahead;Adverb;B1;uz priekšu
aid;Noun Verb;B2;palīdzība
aim;Verb Noun;B1;mērķis
air;Noun;A1;gaiss
aircraft;Noun;B2;lidmašīna
airline;Noun;A2;aviokompānija
airport;Noun;A1;lidosta
alarm;Noun Verb;B1, B2;signalizācija
album;Noun;B1;albums
alcohol;Noun;B1;spirts
alcoholic;Adjective;B1;alkoholiķis
alive;Adjective;A2;dzīvs
all;det. pron, Adverb;A1, A2;visi
all right;Adjective, Adverb exclam;A2;viss kārtībā
allow;Verb;A2;Atļaut
almost;Adverb;A2;gandrīz
alone;Adjective, Adverb;A2;tikai
along;prep. Adverb;A2;kopā
already;Adverb;A2;jau
also;Adverb;A1;arī
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatīva
although;conj;A2;lai gan
always;Adverb;A1;vienmēr
amazed;Adjective;B1;pārsteigts
amazing;Adjective;A1;pārsteidzošs
ambition;Noun;B1;mērķis
ambitious;Adjective;B1;godkārīgs
among;prep.;A2;starp
amount;Noun Verb;A2, B2;summa
analyse;Verb;B1;analizēt
analysis;Noun;B1;analīze
ancient;Adjective;A2;sens
and;conj;A1;un
anger;Noun;B2;dusmas
angle;Noun;B2;leņķis
angry;Adjective;A1;dusmīgs
animal;Noun;A1;dzīvnieks
ankle;Noun;A2;potīte
anniversary;Noun;B2;jubileja
announce;Verb;B1;paziņot
announcement;Noun;B1;paziņojums
annoy;Verb;B1;īgnu
annoyed;Adjective;B1;sapīcis
annoying;Adjective;B1;kaitinošs
annual;Adjective;B2;gada
another;det. proNoun;A1;cits
answer;Noun Verb;A1;atbilde
anxious;Adjective;B2;noraizējies
any;det. proNoun, Adverb;A1, A2;jebkurš
anybody;pron;A2;kāds
any more;Adverb;A2;jebkurš vairāk
anyone;pron;A1;kāds
anything;pron;A1;kaut kas
anyway;Adverb;A2;katrā ziņā
anywhere;AdVerb proNoun;A2;jebkur
apart;Adverb;B1;savrup
apartment;Noun;A1;dzīvoklis
apologize;Verb;B1;atvainoties
app;Noun;A2;lietotne
apparent;Adjective;B2;izriet
apparently;Adverb;B2;acīmredzot
appeal;Noun Verb;B2;apelācija
appear;Verb;A2;parādīties
appearance;Noun;A2;izskats
apple;Noun;A1;ābols
application;Noun;B1;iesniegums
apply;Verb;A2;pieteikties
appointment;Noun;B1;Pieraksts
appreciate;Verb;B1;novērtēt
approach;Noun Verb;B2;pieeja
appropriate;Adjective;B2;piesavināties
approval;Noun;B2;apstiprinājums
approve;Verb;B2;apstiprināt
approximately;Adverb;B1;aptuveni
