a, an;indefinite, article;A1;a,
abandon;Verb;B2;apleisti
ability;Noun;A2;gebėjimas
able;Adjective;A2;pajėgus
about;prep. Adverb;A1;apie
above;prep. Adverb;A1;aukščiau
abroad;Adverb;A2;užsienyje
absolute;Adjective;B2;absoliutus
absolutely;Adverb;B1;visiškai
academic;adj, Noun;B1, B2;akademinis
accept;Verb;A2;priimti
acceptable;Adjective;B2;priimtinas
access;Noun Verb;B1;priėjimas
accident;Noun;A2;avarija
accommodation;Noun;B1;būstas
accompany;Verb;B2;lydėti
according to;prep.;A2;pagal
account;Noun Verb;B1, B2;sąskaita
accurate;Adjective;B2;tikslus
accuse;Verb;B2;apkaltinti
achieve;Verb;A2;pasiekti
achievement;Noun;B1;pasiekimas
acknowledge;Verb;B2;pripažinti
acquire;Verb;B2;įgyja
across;prep. Adverb;A1;per
act;Verb Noun;A2,B1;veikti
action;Noun;A1;veiksmas
active;Adjective;A2;aktyvus
activity;Noun;A1;veikla
actor;Noun;A1;aktorius
actress;Noun;A1;Aktorė
actual;Adjective;B2;faktinis
actually;Adverb;A2;tikrai
ad;Noun;B1;Reklama
adapt;Verb;B2;prisitaikyti
add;Verb;A1;papildyti
addition;Noun;B1;papildymas
additional;Adjective;B2;papildomas
address;Noun Verb;A1,B2;adresas
administration;Noun;B2;administracija
admire;Verb;B1;Pasigrožėkite
admit;Verb;B1;pripažinti
adopt;Verb;B2;priimti
adult;Noun adj;A1,A2;suaugęs
Advance;Noun Verb adj;B2;išankstinis
Advanced;Adjective;B1;pažangus
Advantage;Noun;A2;pranašumas
Adventure;Noun;A2;nuotykis
Advertise;Verb;A2;reklamuoti
Advertisement;Noun;A2;Skelbimas
Advertising;Noun;A2;reklaminis
Advice;Noun Verb;A1, B1;patarimas
affair;Noun;B2;reikalas
affect;Verb;A2;paveikti
afford;Verb;B1;turėti
afraid;Adjective;A1;išsigandęs
after;prep. conj. Adverb;A1,A2;po
afternoon;Noun;A1;popietė
afterwards;Adverb;B2;vėliau
again;Adverb;A1;vėl
against;prep;A2;prieš
age;Noun Verb;A1, B1;amžius
aged;Adjective;B1;senas
agency;Noun;B2;Agentūra
agenda;Noun;B2;darbotvarkė
agent;Noun;B1;agentas
aggressive;Adjective;B2;agresyvus
ago;Adverb;A1;prieš
agree;Verb;A1;susitarti
agreement;Noun;B1;susitarimas
ah;exclam.;A2;ah
ahead;Adverb;B1;priekyje
aid;Noun Verb;B2;pagalba
aim;Verb Noun;B1;tikslas
air;Noun;A1;oro
aircraft;Noun;B2;lėktuvas
airline;Noun;A2;oro
airport;Noun;A1;oro uostas
alarm;Noun Verb;B1, B2;žadintuvas
album;Noun;B1;albumas
alcohol;Noun;B1;alkoholis
alcoholic;Adjective;B1;alkoholikas
alive;Adjective;A2;gyvas
all;det. pron, Adverb;A1, A2;visi
all right;Adjective, Adverb exclam;A2;gerai
allow;Verb;A2;leisti
almost;Adverb;A2;beveik
alone;Adjective, Adverb;A2;vienas
along;prep. Adverb;A2;palei
already;Adverb;A2;jau
also;Adverb;A1;taip pat
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;alternatyva
although;conj;A2;nors
always;Adverb;A1;visada
amazed;Adjective;B1;nustebęs
amazing;Adjective;A1;nuostabus
ambition;Noun;B1;ambicija
ambitious;Adjective;B1;ambicingas
among;prep.;A2;tarp
amount;Noun Verb;A2, B2;suma
analyse;Verb;B1;analizuoti
analysis;Noun;B1;analizė
ancient;Adjective;A2;senovės
and;conj;A1;ir
anger;Noun;B2;pyktis
angle;Noun;B2;kampas
angry;Adjective;A1;piktas
animal;Noun;A1;gyvūnas
ankle;Noun;A2;kulkšnis
anniversary;Noun;B2;jubiliejus
announce;Verb;B1;paskelbti
announcement;Noun;B1;skelbimas
annoy;Verb;B1;erzina
annoyed;Adjective;B1;Sapīcis
annoying;Adjective;B1;erzina
annual;Adjective;B2;metinis
another;det. proNoun;A1;kitas
answer;Noun Verb;A1;atsakymas
anxious;Adjective;B2;neramus
any;det. proNoun, Adverb;A1, A2;bet koks
anybody;pron;A2;kas
any more;Adverb;A2;daugiau
anyone;pron;A1;bet kas
anything;pron;A1;kas
anyway;Adverb;A2;vistiek
anywhere;AdVerb proNoun;A2;bet kur
apart;Adverb;B1;išskyrus
apartment;Noun;A1;butas
apologize;Verb;B1;atsiprašyti
app;Noun;A2;programa
apparent;Adjective;B2;akivaizdus
apparently;Adverb;B2;matyt
appeal;Noun Verb;B2;apeliacija
appear;Verb;A2;pasirodyti
appearance;Noun;A2;išvaizda
apple;Noun;A1;obuolys
application;Noun;B1;taikymas
apply;Verb;A2;taikyti
appointment;Noun;B1;paskyrimas
appreciate;Verb;B1;įvertinti
approach;Noun Verb;B2;metodas
appropriate;Adjective;B2;pasisavinti
approval;Noun;B2;patvirtinimas
approve;Verb;B2;patvirtinti
approximately;Adverb;B1;maždaug
April;Noun;A1;Balandis
architect;Noun;A2;architektas
architecture;Noun;A2;architektūra
area;Noun;A1;plotas
argue;Verb;A2;ginčytis
argument;Noun;A2;argumentas
arise;Verb;B2;kilti
arm;Noun;A1;ranka
armed;Adjective;B2;ginkluoti
arms;Noun;B2;rankos
army;Noun;A2;kariuomenė
around;prep. Adverb;A1;aplink
arrange;Verb;A2;susitarti
arrangement;Noun;A2;išdėstymas
arrest;Verb Noun;B1;suimti
arrival;Noun;B1;atvykimas
arrive;Verb;A1;atvykti
art;Noun;A1;menas
article;Noun;A1;straipsnis
artificial;Adjective;B2;dirbtinis
artist;Noun;A1;menininkas
artistic;Adjective;B2;meninis
as;prep., Adverb conj.;A1, A2;kaip
ashamed;Adjective;B2;sugėdintas
asleep;Adjective;A2;miegantis
ask;Verb;A1;paklausti
aspect;Noun;B2;aspektas
assess;Verb;B2;įvertinti
assessment;Noun;B2;įvertinimas
assignment;Noun;B1;užduotis
assist;Verb;B1;padėti
assistant;Noun Adjective;A2;asistentas
associate;Verb;B2;bendradarbis
associated;Adjective;B2;Associated
association;Noun;B2;asociacija
assume;Verb;B2;prisiimti
at;prep.;A1;prie
athlete;Noun;A2;sportininkas
atmosphere;Noun;B1;atmosfera
attach;Verb;B1;pridėti
attack;Noun Verb;A2;ataka
attempt;Noun Verb;B2;bandyti
attend;Verb;A2;lanko
attention;Noun exclam.;A2;Dėmesio
attitude;Noun;B1;požiūris
attract;Verb;B1;pritraukti
attraction;Noun;B1;atrakcionas
attractive;Adjective;A2;patrauklus
audience;Noun;A2;auditorija
August;Noun;A1;Rugpjūtis
aunt;Noun;A1;teta
author;Noun;A2;autorius
authority;Noun;B1;autoritetas
autumn;Noun;A1;ruduo
available;Adjective;A2;pasiekiamas
average;Adjective, Noun Verb;A2, B1;vidutinis
avoid;Verb;A2;Venkite
award;Noun Verb;A2, B1;apdovanojimas
aware;Adjective;B1;informuotas
away;Adverb;A1;toli
awful;Adjective;A2;baisus
baby;Noun;A1;kūdikis
back;Noun AdVerb Adjective, Verb;A1, A2, B2;atgal
background;Noun;A2;fonas
backwards;Adverb;B1;atgal
bacteria;Noun;B2;bakterijos
bad;Adjective;A1;blogas
badly;Adverb;A2;blogai
bag;Noun;A1;maišas
bake;Verb;B1;kepti
balance;Noun Verb;B1;balansas
ball;Noun;A1;kamuolys
ban;Verb Noun;B1;draudimas
banana;Noun;A1;bananas
band;Noun;A1;juosta
bank (money);Noun;A1;bankas (pinigai)
bank (river);Noun;B1;bankas (upė)
bar;Noun Verb;A2, B2;baras
barrier;Noun;B2;barjeras
base;Noun Verb;B1;bazė
baseball;Noun;A2;beisbolas
based;Adjective;A2;pagrįstas
basketball;Noun;A2;krepšinis
basic;Adjective;B1;pagrindinis
basically;Adverb;B2;iš esmės
basis;Noun;B1;pagrindas
bath;Noun;A1;vonia
bathroom;Noun;A1;vonia
battery;Noun;B1;baterija
battle;Noun Verb;B1, B2;mūšis
be;Verb auxiliary Verb;A1;būti
beach;Noun;A1;papludimys
bean;Noun;A2;pupa
bear (deal with);Verb;B2;Bear (spręsti)
bear (animal);Noun;A2;Bear (gyvūnų)
beat;Verb Noun;A2, B2;ritmas
beautiful;Adjective;A1;graži
beauty;Noun;B1;grožis
because;conj.;A1;nes
become;Verb;A1;tapti
bed;Noun;A1;lova
bedroom;Noun;A1;miegamasis
bee;Noun;B1;bitė
beef;Noun;A2;jautiena
beer;Noun;A1;alus
before;prep., conj. Adverb;A1, A2;prieš
beg;Verb;B2;elgetauti
begin;Verb;A1;pradėti
beginning;Noun;A1;pradžia
behave;Verb;A2;elgtis
behaviour;Noun;A2;elgesys
behind;prep. Adverb;A1;už
being;Noun;B2;esamas
belief;Noun;B1;tikėjimas
believe;Verb;A1;tikėti
bell;Noun;B1;varpas
belong;Verb;A2;Belong
below;Adverb prep.;A1;žemiau
belt;Noun;A2;diržas
bend;Verb Noun;B1;sulenkti
benefit;Verb NouNoun;A2, B1;nauda
bent;Adjective;B2;smilga
best;Adjective, AdVerb Noun;A1, A2;geriausias
bet;Verb Noun;B2;lažybos
better;Adjective , Adverb , Noun;A1, A2, B1;geriau
between;prep., Adverb;A1, A2;tarp
beyond;prep. Adverb;B2;už
bicycle;Noun;A1;dviratis
big;Adjective;A1;didelis
bike;Noun;A1;dviratis
bill;Noun Verb;A1, B2;sąskaita
billion number; ;A2;mlrd skaičius
bin;Noun;A2;dėžė
biology;Noun;A2;biologija
bird;Noun;A1;paukštis
birth;Noun;A2;Gimdymas
birthday;Noun;A1;gimtadienis
biscuit;Noun;A2;biskvitas
bit;Noun;A2;tiek
bite;Verb Noun;B1;įkąsti
bitter;Adjective;B2;kartus
black;Adjective, Noun;A1;juodas
blame;Verb Noun;B2;kaltė
blank;Adjective, Noun;A2;tuščias
blind;Adjective;B2;aklas
block;Noun Verb;B1;blokas
blog;Noun;A1;Dienoraštis
blonde;Adjective;A1;Šviesiaplaukis
blood;Noun;A2;kraujas
blow;Verb;A2;smūgis
blue;Adjective, Noun;A1;mėlynas
board;Noun Verb;A2, B1;lenta
boat;Noun;A1;valtis
body;Noun;A1;kūnas
boil;Verb;A2;virti
bomb;Noun Verb;B1;bomba
bond;Noun;B2;ryšys
bone;Noun;A2;kaulas
book;Noun Verb;A1, A2;knyga
boot;Noun;A1;bagažinė
border;Noun Verb;B1, B2;siena
bored;Adjective;A1;nuobodžiaujantis
boring;Adjective;A1;nuobodus
born;Verb;A1;gimė
borrow;Verb;A2;skolintis
boss;Noun;A2;bosas
both;det./proNoun;A1;abu
bother;Verb;B1;trukdyti
bottle;Noun;A1;butelis
bottom;NouNoun Adjective;A2;apačia
bowl;Noun;A2;dubuo
box;Noun;A1;dėžė
boy;Noun;A1;berniukas
boyfriend;Noun;A1;draugas
brain;Noun;A2;smegenys
branch;Noun;B1;filialas
brand;Noun Verb;B1;markė
brave;Adjective;B1;drąsus
bread;Noun;A1;duona
break;Verb Noun;A1;pertrauka
breakfast;Noun;A1;pusryčiai
breast;Noun;B2;krūtinė
breath;Noun;B1;kvėpavimas
breathe;Verb;B1;kvėpuoti
breathing;Noun;B1;kvėpavimas
bride;Noun;B1;nuotaka
bridge;Noun;A2;tiltas
brief;Adjective;B2;trumpas
bright;Adjective;A2;šviesus
brilliant;Adjective;A2;puikus
bring;Verb;A1;atsinešti
broad;Adjective;B2;platus
broadcast;Verb Noun;B2;transliacija
broken;Adjective;A2;neveikia
brother;Noun;A1;brolis
brown;Adjective, Noun;A1;rudas
brush;Verb Noun;A2;šepetys
bubble;Noun;B1;burbulas
budget;Noun;B2;biudžetas
build;Verb;A1;statyti
building;Noun;A1;pastatas
bullet;Noun;B2;kulka
bunch;Noun;B2;puokštė
burn;Verb Noun;A2, B2;deginti
bury;Verb;B1;palaidoti
bus;Noun;A1;autobusas
bush;Noun;B2;krūmas
business;Noun;A1;verslas
businessman;Noun;A2;verslininkas
busy;Adjective;A1;užsiėmes
but;conj. prep;A1, B2;bet
butter;Noun;A1;sviestas
button;Noun;A2;mygtukas
buy;Verb;A1;Pirkti
by;prep. Adverb;A1, B1;iki
bye;exclam;A1;Ate
cable;Noun;B2;kabelis
cafe;Noun;A1;kavinė
cake;Noun;A1;tortas
calculate;Verb;B2;apskaičiuoti
call;Verb Noun;A1;kvietimas
calm;Adjective Verb Noun;B1;Ramus
camera;Noun;A1;fotoaparatas
camp;Noun Verb;A2;stovykla
campaign;Noun Verb;B1;kampanija
camping;Noun;A2;stovyklavietė
campus;Noun;B1;universiteto miestelis
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;atšaukti
cancer;Noun;B2;Vėžys
candidate;Noun;B1;kandidatas
cannot;Verb;A1;negali
cap;Noun;B1;kepurė
capable;Adjective;B2;galintis
capacity;Noun;B2;talpa
capital;Noun Adjective;A1;kapitalas
captain;Noun;B1;kapitonas
capture;Verb Noun;B2;užfiksuoti
car;Noun;A1;automobilis
card;Noun;A1;korta
care;Noun Verb;A2;priežiūra
career;Noun;A1;karjera
careful;Adjective;A2;atsargus
carefully;Adverb;A2;atsargiai
careless;Adjective;B1;neatsargus
carpet;Noun;A2;kilimas
carrot;Noun;A1;morka
carry;Verb;A1;nešiojimo
cartoon;Noun;A2;animacinis filmas
case;Noun;A2;atvejis
cash;Noun;A2;pinigai
cast;Noun Verb;B2;ketaus
castle;Noun;A2;pilis
cat;Noun;A1;katė
catch;Verb Noun;A2, B2;laimikis
category;Noun;B1;Kategorija
cause;Noun Verb;A2;priežastis
CD;Noun;A1;CD
ceiling;Noun;B1;lubos
celebrate;Verb;A2;švesti
celebration;Noun;B1;šventimas
celebrity;Noun;A2;įžymybė
cell;Noun;B2;ląstelė
cent;Noun;A1;centas
central;Adjective;B1;centrinis
centre;Noun Verb;A1, B1;centras
century;Noun;A1;amžius
ceremony;Noun;B1;ceremonija
certain;Adjective;A2;tam tikras
certainly;Adverb;A2;tikrai
chain;Noun Verb;B1, B2;grandinė
chair;Noun Verb;A1, B2;kėdė
chairman;Noun;B2;pirmininkas
challenge;Noun Verb;B1, B2;iššūkis
champion;Noun;B1;čempionas
chance;Noun;A2;tikimybė
change;Verb Noun;A1;pokytis
channel;Noun;B1;kanalas
chapter;Noun;B1;skyrius
character;Noun;A2;charakteris
characteristic;Noun Adjective;B2;charakteristika
charge;Noun Verb;B1;mokestis
charity;Noun;A2;labdara
chart;Noun Verb;A1, B2;schema
chat;Verb Noun;A2;kalbėtis
cheap;Adjective , Adverb;A1, B1;pigus
cheat;Verb Noun;B1;apgauti
check;Verb Noun;A1, A2;patikrinti
chef;Noun;A2;virėjas
cheerful;Adjective;B1;linksmas
cheese;Noun;A1;sūris
chemical;Adjective, Noun;B1;cheminis
chemistry;Noun;A2;chemija
chest;Noun;B1;krūtinė
chicken;Noun;A1;vištiena
chief;Adjective, Noun;B2;vyriausiasis
child;Noun;A1;vaikas
