a, an;indefinite, article;A1;engem, eng
abandon;Verb;B2;opzeginn
ability;Noun;A2;Fähegkeet
able;Adjective;A2;kënnen
about;prep. Adverb;A1;iwwer
above;prep. Adverb;A1;virun
abroad;Adverb;A2;Ausland
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;absolut
academic;adj, Noun;B1, B2;akademesch
accept;Verb;A2;acceptéieren
acceptable;Adjective;B2;akzeptabel
access;Noun Verb;B1;Zougang
accident;Noun;A2;Accident
accommodation;Noun;B1;Ënnerkonft
accompany;Verb;B2;begleeden
according to;prep.;A2;entspriechend zu
account;Noun Verb;B1, B2;Kont
accurate;Adjective;B2;korrekt
accuse;Verb;B2;Papp
achieve;Verb;A2;erreechen
achievement;Noun;B1;Erreeche
acknowledge;Verb;B2;agestoen
acquire;Verb;B2;kréien
across;prep. Adverb;A1;ganze
act;Verb Noun;A2,B1;Akt
action;Noun;A1;Aktioun
active;Adjective;A2;aktiv
activity;Noun;A1;Aktivitéit
actor;Noun;A1;Schauspiller
actress;Noun;A1;Actrice
actual;Adjective;B2;tatsächlech
actually;Adverb;A2;eigentlech
ad;Noun;B1;ad
adapt;Verb;B2;adaptéieren
add;Verb;A1;Foto
addition;Noun;B1;Zousätzlech
additional;Adjective;B2;zousätzlech
address;Noun Verb;A1,B2;Adress
administration;Noun;B2;Administratioun
admire;Verb;B1;bewonneren
admit;Verb;B1;eeen
adopt;Verb;B2;adoptéieren
adult;Noun adj;A1,A2;erwuessener
Advance;Noun Verb adj;B2;Viraus
Advanced;Adjective;B1;fortgeschratt
Advantage;Noun;A2;Virdeel
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Reklamm
Advertisement;Noun;A2;Publicitéit
Advertising;Noun;A2;Reklammen
Advice;Noun Verb;A1, B1;Rot
affair;Noun;B2;Affär
affect;Verb;A2;Afloss
afford;Verb;B1;leeschte
afraid;Adjective;A1;Angscht
after;prep. conj. Adverb;A1,A2;no
afternoon;Noun;A1;Mëtteg
afterwards;Adverb;B2;duerno
again;Adverb;A1;erëm
against;prep;A2;géint
age;Noun Verb;A1, B1;Alter
aged;Adjective;B1;Alter
agency;Noun;B2;Agence
agenda;Noun;B2;Agenda
agent;Noun;B1;Agent
aggressive;Adjective;B2;aggressiv
ago;Adverb;A1;ago
agree;Verb;A1;averstanen
agreement;Noun;B1;Accord
ah;exclam.;A2;Ah
ahead;Adverb;B1;-Supporter waren an
aid;Noun Verb;B2;Hëllef
aim;Verb Noun;B1;Zil
air;Noun;A1;Loft
aircraft;Noun;B2;Schëffer
airline;Noun;A2;Airline
airport;Noun;A1;Flughafen
alarm;Noun Verb;B1, B2;Alarm
album;Noun;B1;Album
alcohol;Noun;B1;Alkohol
alcoholic;Adjective;B1;alkoholesch
alive;Adjective;A2;lieweg
all;det. pron, Adverb;A1, A2;all
all right;Adjective, Adverb exclam;A2;an der Rei
allow;Verb;A2;erlaben
almost;Adverb;A2;bal
alone;Adjective, Adverb;A2;eleng
along;prep. Adverb;A2;laanscht
already;Adverb;A2;schonn
also;Adverb;A1;och
alter;Verb;B2;ofzeänneren
alternative;Noun Adjective;A2, B1;Alternativ
although;conj;A2;obwuel
always;Adverb;A1;ëmmer
amazed;Adjective;B1;verwonnert
amazing;Adjective;A1;erstaunlech
ambition;Noun;B1;Ambitioun
ambitious;Adjective;B1;éiergäizeg
among;prep.;A2;ënnert
amount;Noun Verb;A2, B2;Montant
analyse;Verb;B1;analyséieren
analysis;Noun;B1;Analyse
ancient;Adjective;A2;antike
and;conj;A1;an
anger;Noun;B2;Roserei
angle;Noun;B2;Wénkel
angry;Adjective;A1;rosen
animal;Noun;A1;Déier
ankle;Noun;A2;an
anniversary;Noun;B2;Joresdag
announce;Verb;B1;verrooden
announcement;Noun;B1;Ukënnegung
annoy;Verb;B1;hutt
annoyed;Adjective;B1;d`Flemm
annoying;Adjective;B1;désagréabel
annual;Adjective;B2;alljährlechen
another;det. proNoun;A1;aner
answer;Noun Verb;A1;Äntwert
anxious;Adjective;B2;Angschtgefiller
any;det. proNoun, Adverb;A1, A2;all
anybody;pron;A2;iergendeen
any more;Adverb;A2;keng méi
anyone;pron;A1;jiddereen
anything;pron;A1;näischt
anyway;Adverb;A2;iwwerhaapt
anywhere;AdVerb proNoun;A2;iwwerall
apart;Adverb;B1;ausser
apartment;Noun;A1;Appartement
apologize;Verb;B1;entschëllegen
app;Noun;A2;App
apparent;Adjective;B2;visuell
apparently;Adverb;B2;vermeintlech
appeal;Noun Verb;B2;Appel
appear;Verb;A2;schéngen
appearance;Noun;A2;krut
apple;Noun;A1;Apple
application;Noun;B1;Applikatioun
apply;Verb;A2;gëllen
appointment;Noun;B1;Nominatioun
appreciate;Verb;B1;appreciéieren
approach;Noun Verb;B2;Approche
appropriate;Adjective;B2;entspriechend
approval;Noun;B2;averstaane
approve;Verb;B2;stëmmen
approximately;Adverb;B1;ongeféier
April;Noun;A1;Abrëll
architect;Noun;A2;Architekt
architecture;Noun;A2;Architektur
area;Noun;A1;gekësst
argue;Verb;A2;plädéieren
argument;Noun;A2;Argument
arise;Verb;B2;féiere
arm;Noun;A1;Aarm
armed;Adjective;B2;Arméi
arms;Noun;B2;Waffen
army;Noun;A2;Arméi
around;prep. Adverb;A1;ronderëm
arrange;Verb;A2;Rendez
arrangement;Noun;A2;Unuerdnung
arrest;Verb Noun;B1;verhaft
arrival;Noun;B1;Arrivée
arrive;Verb;A1;ukommen
art;Noun;A1;Konscht
article;Noun;A1;Manifestatioun
artificial;Adjective;B2;kënschtlech
artist;Noun;A1;Kënschtler
artistic;Adjective;B2;artistesch
as;prep., Adverb conj.;A1, A2;als
ashamed;Adjective;B2;geschummt
asleep;Adjective;A2;geschlof
ask;Verb;A1;froen
aspect;Noun;B2;Aspekt
assess;Verb;B2;bewäerten
assessment;Noun;B2;Bewäerten
assignment;Noun;B1;Aufgab
assist;Verb;B1;hëllefen
assistant;Noun Adjective;A2;Assistent
associate;Verb;B2;Associé
associated;Adjective;B2;assoziéiert
association;Noun;B2;Associatioun
assume;Verb;B2;iwwerhuelen
at;prep.;A1;um
athlete;Noun;A2;Athlet
atmosphere;Noun;B1;Atmosphär
attach;Verb;B1;befestegt
attack;Noun Verb;A2;Attack
attempt;Noun Verb;B2;Versuch
attend;Verb;A2;déplacéieren
attention;Noun exclam.;A2;Opmierksamkeet
attitude;Noun;B1;Haltung
attract;Verb;B1;unzezéien
attraction;Noun;B1;Attraktioun
attractive;Adjective;A2;attraktiv
audience;Noun;A2;Publikum
August;Noun;A1;August
aunt;Noun;A1;Tatta
author;Noun;A2;Auteur
authority;Noun;B1;Autoritéit
autumn;Noun;A1;Hierscht
available;Adjective;A2;sinn
average;Adjective, Noun Verb;A2, B1;Duerchschnëtt
avoid;Verb;A2;evitéieren
award;Noun Verb;A2, B1;Präis
aware;Adjective;B1;bewosst
away;Adverb;A1;ewech
awful;Adjective;A2;währenddeems
baby;Noun;A1;Puppelchen
back;Noun AdVerb Adjective, Verb;A1, A2, B2;zréck
background;Noun;A2;Hannergrond
backwards;Adverb;B1;zréck
bacteria;Noun;B2;Bakterien
bad;Adjective;A1;schlecht
badly;Adverb;A2;schlecht
bag;Noun;A1;Sak
bake;Verb;B1;opfëllen
balance;Noun Verb;B1;Gläichgewiicht
ball;Noun;A1;Ball
ban;Verb Noun;B1;Verbuet
banana;Noun;A1;banana
band;Noun;A1;Band
bank (money);Noun;A1;Bank (Suen)
bank (river);Noun;B1;Bank (Floss)
bar;Noun Verb;A2, B2;Bar
barrier;Noun;B2;Barrière
base;Noun Verb;B1;huel
baseball;Noun;A2;vill besser
based;Adjective;A2;baséiert
basketball;Noun;A2;Basketball
basic;Adjective;B1;Basis
basically;Adverb;B2;Bartreng haaptsächlech
basis;Noun;B1;Basis
bath;Noun;A1;Bad
bathroom;Noun;A1;Buedzëmmer
battery;Noun;B1;Batterie
battle;Noun Verb;B1, B2;Schluecht
be;Verb auxiliary Verb;A1;ginn
beach;Noun;A1;Plage
bean;Noun;A2;Bean
bear (deal with);Verb;B2;Bier (Laascht)
bear (animal);Noun;A2;Bier (Déier)
beat;Verb Noun;A2, B2;liichtfäerteg ofgeschloss
beautiful;Adjective;A1;schéin
beauty;Noun;B1;Schéinheet
because;conj.;A1;well
become;Verb;A1;ginn
bed;Noun;A1;Bett
bedroom;Noun;A1;Schlofkummer
bee;Noun;B1;BEE
beef;Noun;A2;Rëndfleesch
beer;Noun;A1;Béier
before;prep., conj. Adverb;A1, A2;virun
beg;Verb;B2;hues
begin;Verb;A1;fänken
beginning;Noun;A1;Ufank
behave;Verb;A2;behuelen
behaviour;Noun;A2;gelooss
behind;prep. Adverb;A1;hannert
being;Noun;B2;ginn
belief;Noun;B1;Iwwerzeegung
believe;Verb;A1;gleewen
bell;Noun;B1;Bell
belong;Verb;A2;gehéieren
below;Adverb prep.;A1;ënnert
belt;Noun;A2;Rimm
bend;Verb Noun;B1;béien
benefit;Verb NouNoun;A2, B1;profitéieren
bent;Adjective;B2;kromme
best;Adjective, AdVerb Noun;A1, A2;beschte
bet;Verb Noun;B2;bestëmmt
better;Adjective , Adverb , Noun;A1, A2, B1;besser
between;prep., Adverb;A1, A2;tëschent
beyond;prep. Adverb;B2;doriwwer eraus
bicycle;Noun;A1;Vëlo
big;Adjective;A1;grouss
bike;Noun;A1;Vëlo
