a, an;indefinite, article;A1;a, ny
abandon;Verb;B2;hanary
ability;Noun;A2;fahaizana
able;Adjective;A2;afaka
about;prep. Adverb;A1;momba ny
above;prep. Adverb;A1;ambony
abroad;Adverb;A2;any ivelany
absolute;Adjective;B2;tanteraka
absolutely;Adverb;B1;tanteraka
academic;adj, Noun;B1, B2;akademika
accept;Verb;A2;manaiky
acceptable;Adjective;B2;azo ekena
access;Noun Verb;B1;fidirana
accident;Noun;A2;loza
accommodation;Noun;B1;zavatra ilaina
accompany;Verb;B2;hiaraka
according to;prep.;A2;araka ny
account;Noun Verb;B1, B2;kaonty
accurate;Adjective;B2;marina
accuse;Verb;B2;miampanga
achieve;Verb;A2;hanatrarana
achievement;Noun;B1;zava-bitany
acknowledge;Verb;B2;manaiky
acquire;Verb;B2;Nahazo
across;prep. Adverb;A1;manerana
act;Verb Noun;A2,B1;zavatra
action;Noun;A1;hetsika
active;Adjective;A2;active
activity;Noun;A1;asa
actor;Noun;A1;mpilalao
actress;Noun;A1;mpilalao sarimihetsika
actual;Adjective;B2;tena
actually;Adverb;A2;raha ny marina
ad;Noun;B1;taorian 'i jk
adapt;Verb;B2;mampifanaraka
add;Verb;A1;hametraka
addition;Noun;B1;koa
additional;Adjective;B2;fanampiny
address;Noun Verb;A1,B2;adiresy
administration;Noun;B2;fitantanan-draharaha
admire;Verb;B1;mahafinaritra
admit;Verb;B1;niaiky
adopt;Verb;B2;mandany
adult;Noun adj;A1,A2;olon-dehibe
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;tombony
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;hanambara
Advertisement;Noun;A2;dokam-barotra
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;Toro-hevitra
affair;Noun;B2;raharaha
affect;Verb;A2;vokany eo
afford;Verb;B1;manam-bola
afraid;Adjective;A1;raiki-tahotra
after;prep. conj. Adverb;A1,A2;rehefa
afternoon;Noun;A1;tolakandro
afterwards;Adverb;B2;rehefa afaka izany,
again;Adverb;A1;indray
against;prep;A2;manohitra
age;Noun Verb;A1, B1;taona
aged;Adjective;B1;antitra
agency;Noun;B2;fahafahana misafidy
agenda;Noun;B2;agenda
agent;Noun;B1;mpandraharaha
aggressive;Adjective;B2;masiaka
ago;Adverb;A1;lasa izay
agree;Verb;A1;manaiky
agreement;Noun;B1;fifanarahana
ah;exclam.;A2;Ah
ahead;Adverb;B1;mialoha
aid;Noun Verb;B2;fanampiana
aim;Verb Noun;B1;tanjona
air;Noun;A1;rivotra
aircraft;Noun;B2;fiaramanidina
airline;Noun;A2;airline
airport;Noun;A1;Airport
alarm;Noun Verb;B1, B2;fanairana
album;Noun;B1;raki-kira
alcohol;Noun;B1;alikaola
alcoholic;Adjective;B1;toaka
alive;Adjective;A2;velona
all;det. pron, Adverb;A1, A2;rehetra
all right;Adjective, Adverb exclam;A2;tsara izany
allow;Verb;A2;mamela
almost;Adverb;A2;efa ho
alone;Adjective, Adverb;A2;irery
along;prep. Adverb;A2;miaraka
already;Adverb;A2;efa
also;Adverb;A1;ihany koa
alter;Verb;B2;ALTER
alternative;Noun Adjective;A2, B1;hafa
although;conj;A2;na dia
always;Adverb;A1;foana
amazed;Adjective;B1;gaga
amazing;Adjective;A1;mahagaga
ambition;Noun;B1;faniriana
ambitious;Adjective;B1;fatra-paniry laza
among;prep.;A2;eo
amount;Noun Verb;A2, B2;vola
analyse;Verb;B1;hadihadiana
analysis;Noun;B1;fanadihadiana
ancient;Adjective;A2;fahiny
and;conj;A1;ary
anger;Noun;B2;fahatezerana
angle;Noun;B2;zoro
angry;Adjective;A1;tezitra
animal;Noun;A1;biby
ankle;Noun;A2;dia fehin
anniversary;Noun;B2;tsingerintaona
announce;Verb;B1;manambara
announcement;Noun;B1;fanambarana
annoy;Verb;B1;mahasorena sy mahadiso
annoyed;Adjective;B1;sorena
annoying;Adjective;B1;manorisory
annual;Adjective;B2;isan-taona
another;det. proNoun;A1;iray hafa
answer;Noun Verb;A1;valiny
anxious;Adjective;B2;manahy
any;det. proNoun, Adverb;A1, A2;misy
anybody;pron;A2;na iza na iza
any more;Adverb;A2;intsony
anyone;pron;A1;na iza na iza
anything;pron;A1;na inona na inona
anyway;Adverb;A2;ihany
anywhere;AdVerb proNoun;A2;na aiza na aiza
apart;Adverb;B1;ankoatra
apartment;Noun;A1;trano
apologize;Verb;B1;miala tsiny
app;Noun;A2;App
apparent;Adjective;B2;toa
apparently;Adverb;B2;Toa
appeal;Noun Verb;B2;antso
appear;Verb;A2;hita
appearance;Noun;A2;fijery
apple;Noun;A1;paoma
application;Noun;B1;fampiharana
apply;Verb;A2;mampihatra
appointment;Noun;B1;fotoana
appreciate;Verb;B1;mankasitraka
approach;Noun Verb;B2;fomba
appropriate;Adjective;B2;mety
approval;Noun;B2;fankatoavana
approve;Verb;B2;hanaiky
approximately;Adverb;B1;eo ho eo
April;Noun;A1;Aprily
architect;Noun;A2;mpanao mari-trano
