a, an;indefinite, article;A1;ഒരു, ഒരു
abandon;Verb;B2;കയ്യൊഴിയുക
ability;Noun;A2;കഴിവ്
able;Adjective;A2;കഴിവുള്ള
about;prep. Adverb;A1;കുറിച്ച്
above;prep. Adverb;A1;മുകളിൽ
abroad;Adverb;A2;വിദേശത്ത്
absolute;Adjective;B2;കേവല
absolutely;Adverb;B1;നിരുപാധികമായി
academic;adj, Noun;B1, B2;പണ്ഡിതോചിതമായ
accept;Verb;A2;അംഗീകരിക്കുക
acceptable;Adjective;B2;സ്വീകാര്യമായ
access;Noun Verb;B1;പ്രവേശനം
accident;Noun;A2;അപകടം
accommodation;Noun;B1;താമസ
accompany;Verb;B2;കൂടെപ്പോവുക
according to;prep.;A2;അതുപ്രകാരം
account;Noun Verb;B1, B2;കണക്ക്
accurate;Adjective;B2;സൂക്ഷ്മമായ
accuse;Verb;B2;ബോധിപ്പിക്കുന്ന
achieve;Verb;A2;നേടിയെടുക്കാൻ
achievement;Noun;B1;നേട്ടം
acknowledge;Verb;B2;അംഗീകരിച്ച
acquire;Verb;B2;നേടിയില്ലെങ്കിൽ
across;prep. Adverb;A1;കുറുകേ
act;Verb Noun;A2,B1;നിയമം
action;Noun;A1;നടപടി
active;Adjective;A2;സജീവമായ
activity;Noun;A1;പ്രവർത്തനം
actor;Noun;A1;നടൻ
actress;Noun;A1;നടി
actual;Adjective;B2;യഥാർത്ഥ
actually;Adverb;A2;യഥാർത്ഥത്തിൽ
ad;Noun;B1;പരസ്യം
adapt;Verb;B2;യുക്തമാക്കുക
add;Verb;A1;ആഡ്
addition;Noun;B1;കൂടാതെ
additional;Adjective;B2;അധികമായ
address;Noun Verb;A1,B2;വിലാസം
administration;Noun;B2;ഭരണകൂടം
admire;Verb;B1;ആരാധിക്കുക
admit;Verb;B1;സമ്മതിക്കുക
adopt;Verb;B2;ദത്തെടുക്കുക
adult;Noun adj;A1,A2;ആളൊന്നിൻറെ
Advance;Noun Verb adj;B2;മുൻകൂർ
Advanced;Adjective;B1;വിപുലമായ
Advantage;Noun;A2;നേട്ടം
Adventure;Noun;A2;സാഹസികത
Advertise;Verb;A2;വിജ്ഞാപനം ചെയ്യുക
Advertisement;Noun;A2;വിജ്ഞാപനം
Advertising;Noun;A2;പരസ്യം ചെയ്യൽ
Advice;Noun Verb;A1, B1;ഉപദേശം
affair;Noun;B2;കാര്യം
affect;Verb;A2;ബാധിക്കുക
afford;Verb;B1;ഉളവാക്കുക
afraid;Adjective;A1;ഭയപ്പെട്ടു
after;prep. conj. Adverb;A1,A2;ശേഷം
afternoon;Noun;A1;ഉച്ചകഴിഞ്ഞ്
afterwards;Adverb;B2;അനന്തരം
again;Adverb;A1;വീണ്ടും
against;prep;A2;എതിരായി
age;Noun Verb;A1, B1;പ്രായം
aged;Adjective;B1;പ്രായമുള്ള
agency;Noun;B2;ഏജൻസി
agenda;Noun;B2;അജണ്ട
agent;Noun;B1;ഏജന്റ്
aggressive;Adjective;B2;ആകമിക്കുന്ന
ago;Adverb;A1;മുന്പ്
agree;Verb;A1;സമ്മതിക്കുന്നു
agreement;Noun;B1;കരാര്
ah;exclam.;A2;അയ്യോ
ahead;Adverb;B1;മുന്നോട്ട്
aid;Noun Verb;B2;സഹായം
aim;Verb Noun;B1;ലക്ഷ്യം
air;Noun;A1;എയർ
aircraft;Noun;B2;വോമയാനോപായങ്ങള്
airline;Noun;A2;എയർലൈൻ
airport;Noun;A1;വിമാനത്താവളം
alarm;Noun Verb;B1, B2;ആപല്സൂചന
album;Noun;B1;ആൽബം
alcohol;Noun;B1;മദ്യം
alcoholic;Adjective;B1;അമിതമദപാനി
alive;Adjective;A2;ജീവനോടെ
all;det. pron, Adverb;A1, A2;എല്ലാം
all right;Adjective, Adverb exclam;A2;അങ്ങനെയാകട്ടെ
allow;Verb;A2;അനുവദിക്കുക
almost;Adverb;A2;മിക്കവാറും
alone;Adjective, Adverb;A2;ഒറ്റയ്ക്ക്
along;prep. Adverb;A2;സഹിതം
already;Adverb;A2;ഇതിനകം
also;Adverb;A1;കൂടാതെ
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;ബദൽ
although;conj;A2;എന്നാലും
always;Adverb;A1;എല്ലായിപ്പോഴും
amazed;Adjective;B1;വിസ്മയിച്ചു
amazing;Adjective;A1;അത്ഭുതകരമായ
ambition;Noun;B1;അധികാരതൃഷ്ണ
ambitious;Adjective;B1;ഉന്നതപദവാഞ്ഛയുള്ള
among;prep.;A2;കൂട്ടത്തില്
amount;Noun Verb;A2, B2;തുക
analyse;Verb;B1;വിശകലനം ചെയ്യുക
analysis;Noun;B1;വിശകലനം
ancient;Adjective;A2;പുരാതനമായ
and;conj;A1;ഒപ്പം
anger;Noun;B2;കോപം
angle;Noun;B2;കോൺ
angry;Adjective;A1;കുപിതനായ
animal;Noun;A1;ജന്തു
ankle;Noun;A2;കണങ്കാല്
anniversary;Noun;B2;വാർഷികം
announce;Verb;B1;അറിയിക്കുക
announcement;Noun;B1;അറിയിപ്പ്
annoy;Verb;B1;ശലപ്പെടുത്തുക
annoyed;Adjective;B1;അസ്വസ്ഥനാക്കുന്നു എന്ന്
annoying;Adjective;B1;ശലപ്പെടുത്തല്
