a, an;indefinite, article;A1;a, ta '
abandon;Verb;B2;jabbandunaw
ability;Noun;A2;abbiltà
able;Adjective;A2;kapaċi
about;prep. Adverb;A1;dwar
above;prep. Adverb;A1;hawn fuq
abroad;Adverb;A2;barra
absolute;Adjective;B2;assoluta
absolutely;Adverb;B1;assolutament
academic;adj, Noun;B1, B2;akkademiku
accept;Verb;A2;jaċċettaw
acceptable;Adjective;B2;aċċettabbli
access;Noun Verb;B1;aċċess
accident;Noun;A2;aċċident
accommodation;Noun;B1;akkomodazzjoni
accompany;Verb;B2;jakkumpanjaw
according to;prep.;A2;skond
account;Noun Verb;B1, B2;kont
accurate;Adjective;B2;preċiża
accuse;Verb;B2;jakkużaw
achieve;Verb;A2;jinkiseb
achievement;Noun;B1;kisba
acknowledge;Verb;B2;jirrikonoxxu
acquire;Verb;B2;jakkwistaw
across;prep. Adverb;A1;madwar
act;Verb Noun;A2,B1;jaġixxu
action;Noun;A1;azzjoni
active;Adjective;A2;attiva
activity;Noun;A1;attività
actor;Noun;A1;attur
actress;Noun;A1;attriċi
actual;Adjective;B2;attwali
actually;Adverb;A2;fil-fatt
ad;Noun;B1;ad
adapt;Verb;B2;jadattaw
add;Verb;A1;żid
addition;Noun;B1;Barra minn hekk
additional;Adjective;B2;addizzjonali
address;Noun Verb;A1,B2;indirizz
administration;Noun;B2;amministrazzjoni
admire;Verb;B1;jammiraw
admit;Verb;B1;jammettu
adopt;Verb;B2;tadotta
adult;Noun adj;A1,A2;adulti
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;avvanzata
Advantage;Noun;A2;vantaġġ
Adventure;Noun;A2;avventura
Advertise;Verb;A2;Irreklama
Advertisement;Noun;A2;Reklam
Advertising;Noun;A2;reklamar
Advice;Noun Verb;A1, B1;parir
affair;Noun;B2;affari
affect;Verb;A2;jaffettwaw
afford;Verb;B1;jaffordjaw
afraid;Adjective;A1;jibżgħu
after;prep. conj. Adverb;A1,A2;wara
afternoon;Noun;A1;wara nofsinhar
afterwards;Adverb;B2;wara
again;Adverb;A1;darb'oħra
against;prep;A2;kontra
age;Noun Verb;A1, B1;età
aged;Adjective;B1;età
agency;Noun;B2;aġenzija
agenda;Noun;B2;aġenda
agent;Noun;B1;aġent
aggressive;Adjective;B2;aggressivi
ago;Adverb;A1;ilu
agree;Verb;A1;jaqblu
agreement;Noun;B1;ftehim
ah;exclam.;A2;ah
ahead;Adverb;B1;quddiem
aid;Noun Verb;B2;għajnuna
aim;Verb Noun;B1;għan
air;Noun;A1;arja
aircraft;Noun;B2;ajruplani
airline;Noun;A2;ajru
airport;Noun;A1;ajruport
alarm;Noun Verb;B1, B2;allarm
album;Noun;B1;album
alcohol;Noun;B1;alkoħol
alcoholic;Adjective;B1;alkoħoliku
alive;Adjective;A2;ħaj
all;det. pron, Adverb;A1, A2;kollha
all right;Adjective, Adverb exclam;A2;kollox sew
allow;Verb;A2;jippermettu
almost;Adverb;A2;kważi
alone;Adjective, Adverb;A2;waħdu
along;prep. Adverb;A2;flimkien
already;Adverb;A2;diġà
also;Adverb;A1;wkoll
alter;Verb;B2;tbiddel
alternative;Noun Adjective;A2, B1;alternattiva
although;conj;A2;għalkemm
always;Adverb;A1;dejjem
amazed;Adjective;B1;étonné
amazing;Adjective;A1;aqwa
ambition;Noun;B1;ambizzjoni
ambitious;Adjective;B1;ambizzjuż
among;prep.;A2;fost
amount;Noun Verb;A2, B2;ammont
analyse;Verb;B1;tanalizza
analysis;Noun;B1;analiżi
ancient;Adjective;A2;qedem
and;conj;A1;u
anger;Noun;B2;rabja
angle;Noun;B2;angolu
angry;Adjective;A1;rrabjata
animal;Noun;A1;annimali
ankle;Noun;A2;għaksa
anniversary;Noun;B2;anniversarju
announce;Verb;B1;jħabbar
announcement;Noun;B1;tħabbira
annoy;Verb;B1;idejqu
annoyed;Adjective;B1;imdejqa
annoying;Adjective;B1;tedjanti
annual;Adjective;B2;ta 'kull sena
another;det. proNoun;A1;ieħor
answer;Noun Verb;A1;tweġiba
anxious;Adjective;B2;anzjuż
any;det. proNoun, Adverb;A1, A2;kwalunkwe
anybody;pron;A2;xi ħadd
any more;Adverb;A2;kwalunkwe aktar
anyone;pron;A1;ħadd
anything;pron;A1;xejn
anyway;Adverb;A2;xorta waħda
anywhere;AdVerb proNoun;A2;kullimkien
apart;Adverb;B1;apparti
apartment;Noun;A1;appartament
apologize;Verb;B1;ruhna
app;Noun;A2;app
apparent;Adjective;B2;apparenti
apparently;Adverb;B2;apparentement
appeal;Noun Verb;B2;appell
appear;Verb;A2;jidhru
appearance;Noun;A2;dehra
apple;Noun;A1;tuffieħ
application;Noun;B1;applikazzjoni
apply;Verb;A2;japplikaw
appointment;Noun;B1;ħatra
appreciate;Verb;B1;japprezzaw
approach;Noun Verb;B2;approċċ
appropriate;Adjective;B2;xierqa
approval;Noun;B2;approvazzjoni
approve;Verb;B2;japprova
approximately;Adverb;B1;madwar
April;Noun;A1;April
architect;Noun;A2;perit
architecture;Noun;A2;arkitettura
area;Noun;A1;qasam
argue;Verb;A2;argumenta
argument;Noun;A2;argument
arise;Verb;B2;jinqalgħu
arm;Noun;A1;driegħ
armed;Adjective;B2;armati
arms;Noun;B2;armi
army;Noun;A2;armata
around;prep. Adverb;A1;madwar
arrange;Verb;A2;jirranġaw
arrangement;Noun;A2;arranġament
arrest;Verb Noun;B1;arrest
arrival;Noun;B1;wasla
arrive;Verb;A1;jaslu
art;Noun;A1;arti
article;Noun;A1;artikolu
artificial;Adjective;B2;artifiċjali
artist;Noun;A1;artist
artistic;Adjective;B2;artistiku
as;prep., Adverb conj.;A1, A2;kif
ashamed;Adjective;B2;ashamed
asleep;Adjective;A2;rieqda
ask;Verb;A1;titlob
aspect;Noun;B2;aspett
assess;Verb;B2;tevalwa
assessment;Noun;B2;valutazzjoni
assignment;Noun;B1;assenjazzjoni
assist;Verb;B1;jassistu
assistant;Noun Adjective;A2;Assistent
associate;Verb;B2;jassoċjaw
associated;Adjective;B2;assoċjat
association;Noun;B2;assoċjazzjoni
assume;Verb;B2;jassumu
at;prep.;A1;fil
athlete;Noun;A2;atleta
atmosphere;Noun;B1;atmosfera
attach;Verb;B1;ehmeż
attack;Noun Verb;A2;attakk
attempt;Noun Verb;B2;tentattiv
attend;Verb;A2;jattendu
attention;Noun exclam.;A2;attenzjoni
attitude;Noun;B1;attitudni
attract;Verb;B1;jattiraw
attraction;Noun;B1;attrazzjoni
attractive;Adjective;A2;attraenti
audience;Noun;A2;udjenza
August;Noun;A1;awissu
aunt;Noun;A1;zija
author;Noun;A2;awtur
authority;Noun;B1;awtorità
autumn;Noun;A1;ħarifa
available;Adjective;A2;disponibbli
average;Adjective, Noun Verb;A2, B1;medja
avoid;Verb;A2;jevitaw
award;Noun Verb;A2, B1;għoti
aware;Adjective;B1;konxji
away;Adverb;A1;bogħod
awful;Adjective;A2;orribbli
baby;Noun;A1;tarbija
back;Noun AdVerb Adjective, Verb;A1, A2, B2;lura
background;Noun;A2;isfond
backwards;Adverb;B1;lura
bacteria;Noun;B2;batterji
bad;Adjective;A1;ħażin
badly;Adverb;A2;ħażin
bag;Noun;A1;borża
bake;Verb;B1;bake
balance;Noun Verb;B1;bilanċ
ball;Noun;A1;ballun
ban;Verb Noun;B1;projbizzjoni
banana;Noun;A1;-banana
band;Noun;A1;medda
bank (money);Noun;A1;-bank (flus)
bank (river);Noun;B1;-bank (xmara)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;barriera
base;Noun Verb;B1;bażi
baseball;Noun;A2;baseball
based;Adjective;A2;ibbażati
basketball;Noun;A2;baskitbol
basic;Adjective;B1;bażiku
basically;Adverb;B2;bażikament
basis;Noun;B1;bażi
bath;Noun;A1;banju
bathroom;Noun;A1;kamra tal-banju
battery;Noun;B1;batterija
battle;Noun Verb;B1, B2;battalja
be;Verb auxiliary Verb;A1;jkun
beach;Noun;A1;bajja
bean;Noun;A2;fażola
bear (deal with);Verb;B2;ors (jittrattaw)
bear (animal);Noun;A2;ors (annimali)
beat;Verb Noun;A2, B2;taħbit
beautiful;Adjective;A1;sbieħ
beauty;Noun;B1;sbuħija
because;conj.;A1;minħabba
become;Verb;A1;isiru
bed;Noun;A1;sodda
