a, an;indefinite, article;A1;he, he
abandon;Verb;B2;whakarere
ability;Noun;A2;kaha
able;Adjective;A2;taea
about;prep. Adverb;A1;e pā ana ki
above;prep. Adverb;A1;runga ake
abroad;Adverb;A2;ki waho
absolute;Adjective;B2;pū
absolutely;Adverb;B1;tino
academic;adj, Noun;B1, B2;mātauranga
accept;Verb;A2;manako
acceptable;Adjective;B2;manakohia
access;Noun Verb;B1;uru
accident;Noun;A2;aituā
accommodation;Noun;B1;noho
accompany;Verb;B2;tahi
according to;prep.;A2;rite ki
account;Noun Verb;B1, B2;pūkete
accurate;Adjective;B2;tika
accuse;Verb;B2;whakapa he
achieve;Verb;A2;whakatutuki
achievement;Noun;B1;paetae
acknowledge;Verb;B2;E mōhio ana
acquire;Verb;B2;whiwhi
across;prep. Adverb;A1;puta noa
act;Verb Noun;A2,B1;mahi
action;Noun;A1;mahi
active;Adjective;A2;hohe
activity;Noun;A1;mahi
actor;Noun;A1;kaiwhakaari
actress;Noun;A1;kaitapere
actual;Adjective;B2;tūturu
actually;Adverb;A2;mau
ad;Noun;B1;ad
adapt;Verb;B2;urutau
add;Verb;A1;tāpiri
addition;Noun;B1;tua
additional;Adjective;B2;atu
address;Noun Verb;A1,B2;wāhitau
administration;Noun;B2;whakahaere
admire;Verb;B1;haafaahia-
admit;Verb;B1;whakaae
adopt;Verb;B2;tango
adult;Noun adj;A1,A2;pakeke
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Arā
Advantage;Noun;A2;painga
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Pānui
Advertisement;Noun;A2;Pānuitanga
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;Whakamaherehere
affair;Noun;B2;take
affect;Verb;A2;pā
afford;Verb;B1;utu
afraid;Adjective;A1;ka wehi
after;prep. conj. Adverb;A1,A2;i muri i
afternoon;Noun;A1;ahiahi
afterwards;Adverb;B2;muri iho
again;Adverb;A1;ano
against;prep;A2;ki
age;Noun Verb;A1, B1;tau
aged;Adjective;B1;koroheke
agency;Noun;B2;ti'amâraa
agenda;Noun;B2;rārangi take
agent;Noun;B1;kaihoko
aggressive;Adjective;B2;pukuriri
ago;Adverb;A1;i mua
agree;Verb;A1;whakaae
agreement;Noun;B1;whakaaetanga
ah;exclam.;A2;ah
ahead;Adverb;B1;mua
aid;Noun Verb;B2;āwhina
aim;Verb Noun;B1;whāinga
air;Noun;A1;rangi
aircraft;Noun;B2;rererangi
airline;Noun;A2;rererangi
airport;Noun;A1;rererangi
alarm;Noun Verb;B1, B2;whakaoho
album;Noun;B1;pukaemi
alcohol;Noun;B1;waipiro
alcoholic;Adjective;B1;waipiro
alive;Adjective;A2;ora
all;det. pron, Adverb;A1, A2;katoa
all right;Adjective, Adverb exclam;A2;tika katoa
allow;Verb;A2;tukua
almost;Adverb;A2;tata
alone;Adjective, Adverb;A2;anake
along;prep. Adverb;A2;haere
already;Adverb;A2;kua
also;Adverb;A1;hoki
alter;Verb;B2;aata
alternative;Noun Adjective;A2, B1;rerekē
although;conj;A2;ahakoa
always;Adverb;A1;tonu
amazed;Adjective;B1;miharo
amazing;Adjective;A1;mīharo
ambition;Noun;B1;hao
ambitious;Adjective;B1;hao
among;prep.;A2;i roto i
amount;Noun Verb;A2, B2;nui
analyse;Verb;B1;tātari
analysis;Noun;B1;tātari
ancient;Adjective;A2;tawhito
