a, an;indefinite, article;A1;एक, एक
abandon;Verb;B2;त्याग
ability;Noun;A2;क्षमता
able;Adjective;A2;सक्षम
about;prep. Adverb;A1;बद्दल
above;prep. Adverb;A1;वरील
abroad;Adverb;A2;परदेशात
absolute;Adjective;B2;संपूर्ण
absolutely;Adverb;B1;पूर्णपणे
academic;adj, Noun;B1, B2;शैक्षणिक
accept;Verb;A2;स्वीकार
acceptable;Adjective;B2;मान्य
access;Noun Verb;B1;प्रवेश
accident;Noun;A2;अपघात
accommodation;Noun;B1;निवास व्यवस्था
accompany;Verb;B2;सोबत
according to;prep.;A2;त्यानुसार
account;Noun Verb;B1, B2;खाते
accurate;Adjective;B2;अचूक
accuse;Verb;B2;आरोप
achieve;Verb;A2;साध्य
achievement;Noun;B1;यश
acknowledge;Verb;B2;सहमती
acquire;Verb;B2;घेणे
across;prep. Adverb;A1;ओलांडून
act;Verb Noun;A2,B1;काम
action;Noun;A1;कारवाई
active;Adjective;A2;सक्रिय
activity;Noun;A1;क्रियाकलाप
actor;Noun;A1;अभिनेता
actress;Noun;A1;अभिनेत्री
actual;Adjective;B2;प्रत्यक्ष
actually;Adverb;A2;प्रत्यक्षात
ad;Noun;B1;जाहिरात
adapt;Verb;B2;परिस्थितीशी जुळवून घेत
add;Verb;A1;जोडा
addition;Noun;B1;या व्यतिरिक्त
additional;Adjective;B2;अतिरिक्त
address;Noun Verb;A1,B2;पत्ता
administration;Noun;B2;प्रशासन
admire;Verb;B1;Admire
admit;Verb;B1;देणे
adopt;Verb;B2;अवलंब
adult;Noun adj;A1,A2;प्रौढ
Advance;Noun Verb adj;B2;प्रगती
Advanced;Adjective;B1;प्रगत
Advantage;Noun;A2;फायदा
Adventure;Noun;A2;साहस
Advertise;Verb;A2;जाहिरात
Advertisement;Noun;A2;जाहिरात
Advertising;Noun;A2;जाहिरात
Advice;Noun Verb;A1, B1;सल्ला
affair;Noun;B2;प्रकरण
affect;Verb;A2;परिणाम
afford;Verb;B1;घेऊ
afraid;Adjective;A1;भीती
after;prep. conj. Adverb;A1,A2;नंतर
afternoon;Noun;A1;दुपारी
afterwards;Adverb;B2;त्यानंतर
again;Adverb;A1;पुन्हा
against;prep;A2;विरुद्ध
age;Noun Verb;A1, B1;वय
aged;Adjective;B1;वृद्ध
agency;Noun;B2;एजन्सी
agenda;Noun;B2;अजेंडा
agent;Noun;B1;एजंट
aggressive;Adjective;B2;आक्रमक
ago;Adverb;A1;पूर्वी
agree;Verb;A1;सहमत
agreement;Noun;B1;करार
ah;exclam.;A2;अहो
ahead;Adverb;B1;पुढे
aid;Noun Verb;B2;मदत
aim;Verb Noun;B1;उद्देश
air;Noun;A1;हवा
aircraft;Noun;B2;विमान
airline;Noun;A2;उड्डाणे घेणारे हवाई परिवहन
airport;Noun;A1;विमानतळ
alarm;Noun Verb;B1, B2;गजर
album;Noun;B1;अल्बम
alcohol;Noun;B1;दारू
alcoholic;Adjective;B1;मद्यपी
alive;Adjective;A2;जिवंत
all;det. pron, Adverb;A1, A2;सर्व
all right;Adjective, Adverb exclam;A2;ठीक आहे
allow;Verb;A2;परवानगी
almost;Adverb;A2;जवळजवळ
alone;Adjective, Adverb;A2;फक्त
along;prep. Adverb;A2;बाजूने
already;Adverb;A2;आधीच
also;Adverb;A1;देखील
alter;Verb;B2;बदल
alternative;Noun Adjective;A2, B1;पर्यायी
although;conj;A2;जरी
always;Adverb;A1;नेहमी
amazed;Adjective;B1;आश्चर्यचकित
amazing;Adjective;A1;आश्चर्यकारक
ambition;Noun;B1;महत्वाकांक्षा
ambitious;Adjective;B1;महत्वाकांक्षी
among;prep.;A2;आपापसांत
amount;Noun Verb;A2, B2;रक्कम
analyse;Verb;B1;विश्लेषण
analysis;Noun;B1;विश्लेषण
ancient;Adjective;A2;प्राचीन
and;conj;A1;आणि
anger;Noun;B2;राग
angle;Noun;B2;कोन
angry;Adjective;A1;राग
animal;Noun;A1;प्राणी
ankle;Noun;A2;घोट्याच्या
anniversary;Noun;B2;वर्धापनदिन
announce;Verb;B1;जाहीर
announcement;Noun;B1;घोषणा
annoy;Verb;B1;त्रास देणे
annoyed;Adjective;B1;राग
annoying;Adjective;B1;त्रासदायक
annual;Adjective;B2;वार्षिक
another;det. proNoun;A1;आणखी एक
answer;Noun Verb;A1;उत्तर
anxious;Adjective;B2;चिंता
any;det. proNoun, Adverb;A1, A2;कोणत्याही
anybody;pron;A2;कुणी
any more;Adverb;A2;आणखी
anyone;pron;A1;कोणीही
anything;pron;A1;काहीही
anyway;Adverb;A2;तरीही
anywhere;AdVerb proNoun;A2;कुठेही
apart;Adverb;B1;आमच्या
apartment;Noun;A1;अपार्टमेंट
apologize;Verb;B1;आम्ही दिलगीर आहोत
app;Noun;A2;अॅप
apparent;Adjective;B2;उघड
apparently;Adverb;B2;वरवर पाहता
appeal;Noun Verb;B2;अपील
appear;Verb;A2;दिसून
appearance;Noun;A2;देखावा
apple;Noun;A1;सफरचंद
application;Noun;B1;अर्ज
apply;Verb;A2;लागू
appointment;Noun;B1;नियुक्ती
appreciate;Verb;B1;प्रशंसा
approach;Noun Verb;B2;दृष्टिकोन
appropriate;Adjective;B2;योग्य
approval;Noun;B2;मान्यता
approve;Verb;B2;मंजूर
approximately;Adverb;B1;अंदाजे
April;Noun;A1;एप्रिल
architect;Noun;A2;शिल्पकार
architecture;Noun;A2;आर्किटेक्चर
area;Noun;A1;क्षेत्र
argue;Verb;A2;भांडणे
argument;Noun;A2;वाद
arise;Verb;B2;उद्भवू
arm;Noun;A1;हाताने
armed;Adjective;B2;सशस्त्र
arms;Noun;B2;हात
army;Noun;A2;सैन्य
around;prep. Adverb;A1;सुमारे
arrange;Verb;A2;व्यवस्था
arrangement;Noun;A2;व्यवस्था
arrest;Verb Noun;B1;अटक
arrival;Noun;B1;आगमन
arrive;Verb;A1;आगमन
art;Noun;A1;कला
article;Noun;A1;लेख
artificial;Adjective;B2;कृत्रिम
artist;Noun;A1;कलाकार
artistic;Adjective;B2;कलात्मक
as;prep., Adverb conj.;A1, A2;म्हणून
ashamed;Adjective;B2;लाज
asleep;Adjective;A2;झोप
ask;Verb;A1;विचारू
aspect;Noun;B2;पैलू
assess;Verb;B2;मूल्यांकन
assessment;Noun;B2;मूल्यांकन
assignment;Noun;B1;असाइनमेंट
assist;Verb;B1;मदत
assistant;Noun Adjective;A2;सहाय्यक
associate;Verb;B2;सहकारी
associated;Adjective;B2;संबंधित
association;Noun;B2;असोसिएशन
assume;Verb;B2;गृहित धरू
at;prep.;A1;येथे
athlete;Noun;A2;धावपटू
atmosphere;Noun;B1;वातावरण
attach;Verb;B1;संलग्न
attack;Noun Verb;A2;हल्ला
attempt;Noun Verb;B2;प्रयत्न
attend;Verb;A2;उपस्थित
attention;Noun exclam.;A2;लक्ष
attitude;Noun;B1;वृत्ती
attract;Verb;B1;आकर्षित
attraction;Noun;B1;आकर्षण
attractive;Adjective;A2;आकर्षक
audience;Noun;A2;प्रेक्षक
August;Noun;A1;ऑगस्ट
aunt;Noun;A1;काकू
author;Noun;A2;लेखक
