och;and
att vara;to be
i;1. in- 2. [jag bor ~ Sverige] I live in Sweden
att ha;1. to have- 2. [hon ~de rätt] she was right- 3. [han ~de fel] he was wrong
dess;its
det;it- that (neuter pronoun)
en;1. a / an (common)- 2. [de har ~ hund] they have a dog
som;who- whom- which- that
på;1. on- 2. at- 3. in- 4. of- 5. [~ svenska] in Swedish
å andra sidan;on the other hand- then again (figurative use)
av;of / by / at / off
för;for / by / to
att;1. that- 2. [jag tror ~ du har rätt] I think that you are right
att kunna;1. to be able to/can- 2. to know something- to be able to do something- 3. [att ~ flera språk] to be able to speak several languages
att skola;shall- should- will
jag;1. I (singular- subject)- 2. [~ heter Lars Svensson] my name is Lars Svensson
inte;1. not- 2. [jag kan ~ svenska] I can't speak Swedish
med;1. with- 2. along- 3. by- 4. [jag ~!] me- too!
till;1. to- 2. of- 3. [han är son ~] he is the son of
liten;1. little- small (only used for singular nouns)- 2. [när jag var ~] when I was small
den;it (common)
ett;1. a / an (neuter)- 2. one (numeral)
analog;analog
att unna;1. to wish- to not begrudge someone- 2. to not allow oneself sth.
om;1. around / about / in / again- [gör inte ~ det!] don’t do that again!
ett liv;1. a life- 2. [i hela mitt ~] all my life- 3. [sånt är ~et] such is life- that's life
deras;their- belonging to them
en värld;1. a world- 2. [~ens bästa mamma] the world's best mum
viss;1. certain- some- 2. [i ~ mån] to some extent- 3. [gå på ett ~t ställe] (euphemism) to go to the toilet- 4. [i ~a fall] in some cases
dock;1. yet- still- nevertheless- 2. however- 3. for all that- notwithstanding
egen;1. own- of my own- 2. [jag har ~ bil] I have my own car
ett folk;1. a people- folk- 2. [det var mycket ~ på gatan] there were a lot of people on the street- 3. [~öl] beer with an alcohol content between 2.5% and 3.5%
en regering;a government
fram;1. along- forward- 2. [han gick ~ till henne] he went up to her
honom;him
att söka;1. to search for sth.- 2. to want to see- to call on s.o.- to try to get hold of- 3. to apply for- 4. to sue s.o. for sth.- 5. to track by scent
dig;1. you (singular- object)- 2. yourself- 3. [jag älskar ~] I love you
utan;1. on the contrary- but- 2. [inte bara ... ~ även] not only ... but also
en sak;a thing
hög;1. high- 2. loud- 3. [med ~ röst] in a loud voice- loudly
länge;1. long (time)- 2. [hur ~ har du varit i Sverige?] how long have you been in Sweden?
en person;1. a person- 2. [vissa ~er] certain people- some people- 3. [~uppgifter] personal details- personal data- personal information (loan word)
att ligga;to lie- to be situated
en son;a son
både;1. both- 2. [jag har ~ en son och en dotter] I have both a son and a daughter
just;1. just- 2. [~ det!] exactly!- precisely!
