誰？;who?
あなた;you
私たち;we
あなたたち;you guys
彼;he
彼女;she- a girlfriend
彼ら;they
明日;tomorrow
毎日;every day
先週;last week
今週;this week
来週;next week
平日;a weekday
月曜日;Monday
火曜日;Tuesday
水曜日;Wednesday
木曜日;Thursday
金曜日;Friday
週末;a weekend
土曜日;Saturday
日曜日;Sunday
ここ、いいですか？;is this spot available?
いい；よい;good
よくない;not good
そこ;there
あそこ;over there
悪い;bad- evil
天気;weather
いい天気ですね;nice weather- isn't it?
そうですね;it is- isn't it?
今日;today
寒い;cold (weather)
暑い;hot (weather)
今日は寒いですね;it's cold today- isn't it?
寒くない;it's not cold (weather)
今日もむし暑いですね;today is another humid day- isn't it?
初めて;the first time
日本は初めてですか？;is this your first time in Japan?
初めてじゃないです;it's not my first time
実は…;actually ...
二回目です;it's the second time
人;person
一人;one person- alone
お一人ですか？;are you on your own?
一人旅です;I'm travelling alone
旅行です;it's a holiday trip
友達;a friend
家族;a family
来る;to come
来ます;to come ('-masu' form)- it will come
友達と来ました;I came with my friend
どちら？;where?- which? (respectful)
どちらからですか？;where did you come from? (respectful)
大阪から来ました;I travelled here from Osaka
出身;place of birth
ご出身は？;where are you originally from?
出身は横浜です;I'm originally from Yokohama
どんな？;what kind?
ところ;a place
大阪ってどんなところですか？;what's Osaka like?
おもしろい;funny- interesting
楽しい;fun
楽しいところですよ;it's a fun place
よかった！;I'm glad (to hear that)
にぎやかな;lively- so much going on
静かな;quiet
とても;very
とてもにぎやかなところです;it's a very lively place
ちなみに…;by the way ...
仕事;job
ちなみに、お仕事は？;by the way- what is your job?
学生;a student
先生;a teacher
医者;a doctor
役者です;I'm an actor- I'm an actress
やっぱり！;I knew it!
え、分かりますか？;what- can you tell?
おしゃれな;stylish- fashionable
きれいな;beautiful- clean
ハンサムな;handsome
おしゃれだから分かりました;I could tell because you were stylish
そうなんですか;is that so?!
おもしろそうですね;that sounds interesting
楽しそうですね;that sounds fun
じゃあ;in that case (casual)
よい旅を;enjoy your trip!
またね;see you! (casual)
好きです;I like it
日本は好きですか？;do you like Japan?
どんなところが好きですか？;what do you like about it?
食べ物;food
和食;traditional Japanese food
景色;scenery
音楽;music
歴史;history
私は日本の音楽が好きです;I like Japanese music
変わってますね！;you're weird! (politely)
まあ、人それぞれですよね;to each their own- I guess
どう？;how is it?
いい感じ;it's going well
映画はどうですか？;how about films?
どんな映画が好きですか？;what kind of films do you like?
大好きです;I love it
ホラー映画が大好きです;I love horror films
好きなマンガは何ですか？;what manga do you like?
知る;to come to know
知っている;to know
ナルトって知っていますか？;do you know Naruto?
知りません;I don't know
大ファン;a big fan
行く;to go
猫カフェに行くのが好きです;I like going to cat cafés
これから;from now- after this
行きます;to go ('-masu' form)- I will go
これから猫カフェに行きます;I'm going to a cat café after this
見る;to see- to watch
歌舞伎を見るのが好きです;I like watching Kabuki
見ます;to see ('-masu' form)- I will see
見ました;saw- watched
この…;this ...
もう;already- not anymore
この歌舞伎はもう見ましたか？;have you seen this Kabuki before?
昨日;yesterday
それは昨日見ました;I saw that yesterday
どうでしたか？;how was it?
最高でした;it was awesome
温泉;hot spring
温泉にはもう行きましたか;have you been to the hot spring yet?
まだです;not yet
まだなんですか？;not yet!?
絶対に;definitely
おすすめ;recommendation
絶対におすすめですよ;I definitely recommend it
する;to do
できる;to be able to
リラックスする;to relax
リラックスできますよ;you can relax
はだか;naked
なる;to become
なります;to become ('-masu' form)
はだかになりますか？;do you get naked?
人前で;in front of people
あんまり;not so much
好きじゃないです;I don't like it
人前ではだかになるのは、あんまり好きじゃないです;I don't really like being naked in front of other people
恥ずかしいです;I'm embarrassed- I'm shy
嫌いです;I hate it
昔;previous times
私も昔は嫌いでした;I used to hate it too
でも、好きになりました;but- I came to like it
一緒;together- the same
行きません;I don't go- I won't go
これから一緒に行きませんか？;would you like to go with me after this?
