一月;January
四月;April
九月;September
十二月;December
季節;a season
春;spring
夏;summer
秋;autumn
冬;winter
タオル;towel
シーツ;sheets
ドライヤー;hair dryer
歯ブラシ;toothbrush
歯みがき粉;toothpaste
せっけん;soap
喫煙;smoking
禁煙;non smoking
ゴミ箱;dust bin
電気;the light- electricity
階段;stairs
晴れ;sunny weather
雨;rain
大雨;heavy rain
くもり;cloudy weather
雷;thunder
風;wind
雪;snow
色;a colour
青;blue
緑;green
黄色;yellow
白;white
黒;black
紫;purple
茶色;brown
水色;light blue
灰色;grey
十一;eleven
二十;twenty
五十七;fifty seven
百;one hundred
二百円です;it's two hundred yen
千;one thousand
四千二十円です;it's four thousand twenty yen
万;ten thousand
一万円くらいです;it's about ten thousand yen
花;flower
お花見;cherry blossom viewing
もみじ;red leaves
もみじ狩り;red leaves viewing
お花見に行きましょう;let's go cherry blossom viewing
今年はもうお花見に行きましたか？;have you been cherry blossom viewing yet this year?
まだ行っていません;I haven't been yet
赤ちゃん;baby
パンダの赤ちゃんはもう見ましたか？;have you seen the baby panda yet?
まだ見ていません;I haven't seen it yet
ちょうどよかった;just the right timing!
先週見ましたよ;I saw it last week actually
かわいい;cute
とってもかわいかったです;it was very cute
あんまりかわいくなかったです;it wasn't that cute
誕生日;birthday
開く;to open- to hold (an event)
来週、誕生日会を開きます;I'm holding a birthday party next week
絶対に来てくださいね;please make sure you come
おめでとうございます！;congratulations!
誕生日おめでとう！;happy birthday (casual)
親友;best friends
歌う;to sing
朝まで歌いましょう;let's sing till the morning
盛り上がる;to liven up
今夜は盛り上がりましょう！;let's party tonight!
食べ放題;all-you-can-eat
飲み放題です;it's all-you-can-drink
酔っ払う;to get drunk
完全な;complete
完全に酔っ払いました;I'm completely drunk
二日酔い;hangover
お店;a store
デパート;a department store
コンビニ;a convenience store
自動販売機;a vending machine
見ているだけです;I'm only browsing
こぼす;to spill
あらら;oh no! (for someone else's tragedy)
こぼしてしまいました;I've accidentally spilt it
コーヒーをこぼしてしまいました;I've accidentally spilt coffee
ズボン;trousers
汚れる;to get dirty
ズボンが汚れてしまいました;my trousers got dirty
新しい;new
欲しいです;I want it
新しいティーシャツが欲しいです;I want a new t-shirt
お金;money
たくさん;a lot of
お金ならたくさんあります;if it's money you're talking about- I have plenty
スカート;a skirt
上着;a jacket
くつ下;socks
任せる;to leave something up to someone
私に任せてください;please leave it up to me
似合う;to suit (someone)
これが似合うと思います;I think this will suit you
着る;to wear (clothes)
実は私も着ています;actually- I'm wearing it too
間違う;to make a mistake
間違っていますか？;is it wrong?
ロゴの英語が間違っています;the English in the logo is wrong
まさか！？;that can't be?!
またまた〜;you're pulling my leg
高い;expensive- tall
安い;cheap
高そうですね;it looks expensive
日本製ですから;because it's made in Japan
そんなに;that much- not that much
そんなに高くないですよ;it's not that expensive- you know
割引;discount
今なら半額です;if you buy it now- it's half price
とってもお得です;its a very good deal
試着する;to try something on
試着してもいいですか？;can I try it on?
赤;red
赤がとても似合いますね;red suits you so well- doesn't it!
ぴったりな;perfect-fit
サイズもぴったりですね！;the size fits you perfectly as well- doesn't it!
ちょっと大きいです;it's a bit big
ピチピチな;overly tight-fitting
ブカブカな;overly loose-fitting
他;other
他のサイズはありますか;do you have other sizes?
売る;to sell
売り切れる;to be sold out
残念！売り切れました;what a shame! it has sold out
カードは使えますか;can I pay on card?
現金のみ;cash only
袋;(shopping) bags
レシート;a receipt
おつり;change (money)
袋はいいです;I'm okay for bags
もしもし？;hello (on the phone)
久しぶり！;long time no see! (casual)
お久しぶりです;long time no see! (respectful)
メールするところでした;I was about to text you
電話する;to telephone
ちょうど;just- precisely
ちょうど電話するところでした;I was just about to call you now
久しぶりに会いませんか？;it's been ages- why don't we meet up?
三年ぶりに;for the first time in three years
お茶をする;to chat over tea or coffee
お茶でもしませんか？;why don't we meet up for coffee or something?
いいですね！;sounds good!
連休;a long holiday
今週末は連休ですね;this weekend is a long weekend- isn't it?
どこか行きたいところはありますか？;is there anywhere you want to go?
何かしたいことはありますか？;is there something you want to do?
何かおいしいものが食べたいです;I want to eat something delicious
待ち合わせする;to meet up (to go somewhere else)
どこで待ち合わせしますか？;where shall we meet up?
ヒマな;free- have nothing to do
今、ヒマですか？;are you free now?
全然、ヒマじゃないですよ;I'm not free at all
予定があります;I have plans
人気者ですから;because I'm a popular person
冗談ですよ;come on- I'm joking
何をしましょうか？;what shall we do?
ピクニックに行く;to go on a picnic
ドライブに行く;to go for a drive
買い物に行く;to go shopping
天気、大丈夫かな？;will the weather be alright? (casual)
男と女;man and woman
晴れ男;a man who brings sunny weather with him
晴れ女ですから、大丈夫です;it'll be fine cause I'm a sunny-girl
先輩;one's senior
後輩;one's junior
部長;the head of a department
部下;one's subordinate
自転車;bicycle
地下鉄;the underground (train)
空港;an airport
飛行機;an airplane
バス停;a bus stop
深夜バス;a sleeper bus
快速電車;an express train
各駅停車;a slow train that stops at every stop
遊ぶ;to hang out- to play
遊びます;to hang out- to play ('-masu' form)
遊びに行く;to go hang out
横浜に遊びに行きます;I am going to Yokohama to hang out
東京にパンダを見に行きます;I am going to Tokyo to see pandas
会う;to meet- to see (someone)
広島の母に会いに行きます;I am going to go see my mother in Hiroshima
バスで行きます;I will go by bus
駅;a station
出口;an exit
改札口;a ticket gate
この駅には、出口がたくさんあります;there're many exits in this station
迷路;a maze
まるで迷路みたいです;it's just like a maze
もう、何が何だか分かりません;I have no clue what is going on
落とす;to drop (something)
何か落としましたよ！;you dropped something!
切符;a ticket
買い方;how to buy
切符の買い方が、全然分かりません;I don't understand how to buy tickets at all
分かりにくい;hard to understand
分かりやすい;easy to understand
本当に分かりにくいです;it's really hard to understand
持つ;to own- to hold
ICカードを持っていますか;do you have an electronic travel card?
いいえ、持っていません;no- I don't have one
便利な;convenient- useful
すごく便利なカードです;it is a very useful card
電車でもバスでも使えます;you can use it for trains or buses
どこで買えますか？;where can I buy it?
新幹線;a bullet train
広島なら新幹線が便利です;if you're heading to Hiroshima- bullet trains are best
出発する;to depart
もうすぐ、出発します;it will shortly depart
着く;to arrive
広島には何時に着きますか？;what time will it arrive at Hiroshima?
線;line
乗る;to ride (a vehicle)
中央線に乗ります;you take the central line
乗り換える;to change vehicles
渋谷駅で乗り換えてください;please change at Shibuya station
電車;a train
電車に乗って、東京駅で乗り換えます;you get on the train- and then change at Tokyo station
この新幹線は広島行きです;this bullet train is bound for Hiroshima
次は京都です;the next stop is Kyoto
停まる;to stop (at a station)
これは新宿に停まりますか;does this stop at Shinjuku?
降りる;to get off
ここで降ります;I'll get off here
席;seat
席はありますか？;are there seats?
残念ながら…;unfortunately ...
残念ながら、満席です;unfortunately- we are fully booked
遅れる;to be late
電車が遅れています;the train is delayed
事故;an accident
事故がありました;there was an accident
急ぐ;to be in a hurry
急いでいますか;are you in a hurry?
車;a car
送る;to send
車で送る;to give someone a lift
車で送りましょうか;can I give you a lift?
命;life
あなたは命の恩人です;you're a lifesaver
おととい;the day before yesterday
あさって;the day after tomorrow
一週間;one week
五週間前;five weeks ago
再来週;the week after next
今年;this year
去年;last year
おととし;the year before last
来年;next year
再来年;the year after next
旅館;Japanese traditional hotel
予約;reservation
予約する;to reserve
予約していた田中です;I have a reservation- I'm Tanaka
くつ;shoes
脱ぐ;to take off (clothing)
くつを脱いでください;please take off your shoes
スリッパ;slippers
はく;to wear (shoes)
スリッパをはいてください;please wear slippers
分かりました;yep- understood
温泉があります;we have a hot spring
服;clothes
温泉では、服を全部脱いでください;please take off all your clothes when in the hot spring
下着;underwear
下着も脱いでください;please also take off your underwear
水着;swimsuit
温泉では、水着はダメです;swimsuit is not allowed in hot springs
気をつける;to be careful
気をつけてください;please be careful
カプセルホテル;capsule hotel
静かにしてください;please be quiet
使う;to use
ヘッドホンを使ってください;please use your headphones
ルールがいっぱいありますね;there are many rules- aren't there?
羽;wings- a feather
のばす;to stretch- to extend
たまに;occasionally
たまには、羽をのばしたいです;I want to relax once in a while
疲れる;to get tired
疲れました;I'm tired
ごゆっくりどうぞ;enjoy your stay!
浴衣があります;we have yukata (summer kimonos)
選ぶ;to choose
お好きな浴衣を選んでください;please choose any yukata you like
昼ごはん;a lunch
晩ごはん;a dinner
朝ごはんは何時からですか？;what time does breakfast start?
部屋;room
お客様;customer (respectful)
一階;ground floor
お客様のお部屋は五階です;your room is on the fifth floor (respectful)
たたみの部屋ですか？;is it a tatami room?
ふとんですか？それともベッドですか？;is it a futon or is it a bed?
広い;spacious- wide
広いたたみの部屋です;it's a big tatami room
違う;to be different- to be wrong
全然…;not at all- completely
写真と全然違います;it's completely different from the photos
すぎる;to pass- to exceed
ふとんが小さすぎます;the futon is too small
枕;pillow
やわらかい;soft
固い;hard
枕が固すぎます;the pillow is too hard
交換する;to exchange
枕を交換してください;please exchange my pillow
カギ;key
なくす;to lose
部屋のカギをなくしてしまいました;I accidentally lost my room key
気持ちいい;comfortable- feel good
やっぱり最高ですね;in the end- it's still the best- isn't it?
体;the body
顔;a face
目;an eye
鼻;a nose
耳;an ear
頭;a head
足;a foot- a leg
腕;an arm
肩;a shoulder
指;a finger
腰;hips
ひざ;a knee
ひじ;an elbow
おしり;a bum
首;a neck
お疲れ様です;hello (between colleagues)
会社;a company
何の会社ですか？;what company is it?
作る;to make
ゲームを作る会社です;it's a company that makes games
助ける;to help
人を助ける仕事です;it's a job to help people
やりがいがある仕事です;it's a satisfying job
働く;to work
いつから？;from when?
いつから働いていますか？;how long have you been working?
四年前からです;for four years
きっかけ;the opportunity that started everything
きっかけは何でしたか？;how did it all begin?
転職する;to change jobs
七年前に転職しました;I changed jobs seven years ago
職場;workplace
明るい;bright- uplifting
明るくて楽しい職場です;it's an uplifting and fun workplace
厳しい;strict
自由な;free- without restraint
