テーマ;topic
話;conversation- story
話をします;to talk- to mention
けんか;fight- argument (verbal or physical)
けんかをします;to argue
恋愛;romance- love life
天気;weather
政治;politics
テクノロジー;technology
健康;health
人生;life
よろしくお願いします;pleasure to meet you- please take care of this
お疲れ様です;good work! (greetings between colleagues)
いってきます;bye! (when leaving home)
いってらっしゃい;bye! (to someone who is leaving)
気をつけてね;take care! (casual)
ただいま;I'm home!
おかえりなさい;welcome back (to someone coming home)
いらっしゃいませ;welcome! (in a store)
失礼な;rude
失礼します;excuse me (when interrupting someone)
お先に失礼します;goodbye (formal- when leaving before others)
ありがとうございました;thank you (for something that happened in the past)
いつでも;always- any time
彼らはいつでも天気の話をします;they always talk about the weather
フランス人は食べ物の話をするのが大好きです;French people love talking about food
あなたの健康の話をしましょうか？;shall we talk about your health?
私の恋愛の話はしたくありません;I don't want to talk about my love life
私は他の人を愛しています;I love someone else
〜の事を教えます;to tell about ...
あなたの家族の事を教えてください;please tell me about your family
彼らにけんかの事を教えるべきですか？;should we tell them about the argument?
昨日の夜;last night
月曜日に;on Monday
三週間前;three weeks ago
一昨日;the day before yesterday
先月;last month
先週;last week
六時間;(for) six hours
二ヶ月間;for two months
読みました;... read (past tense)
食べました;... ate
しました;... did
来ました;... came
緊張します;makes one nervous
みんなの前で歌うのは、緊張します;singing in front of everyone makes you nervous
嬉しい;happy
プレゼントは嬉しいです;presents make you happy
歌;song
悲しくなります;to become sad
この歌を聴くと、悲しくなります;I get sad when I listen to this song
恥ずかしい;embarrassing- embarrassed
彼は恋愛の話をすると恥ずかしくなります;talking about relationships makes him embarrassed
間違いは恥ずかしくありません;mistakes are not embarrassing
興味深い;interesting
彼はいつでも興味深い話をします;he always tells you something interesting
何も;nothing- anything
父はテクノロジーについて何も知りません;my dad doesn't know anything about technology
寿司;sushi
日曜日に寿司を食べましょう;let's eat sushi on Sunday
後で話しましょう;let’s speak later
〜してから;after doing ...
カラオケに行ってから夕食に行きましょう;let's go to karaoke- and then go for dinner
今夜一緒に映画を観ませんか？;would you like to see a film with me tonight?
電話をしてから、来てください;please call me- and then come
お茶をします;to chat over a cup of tea or coffee
〜まで;until ...
映画の時間まで、お茶をしましょう;let's sit in a café until the film starts
朝まで飲みましょう;let's drink till morning (alcohol)
起こします;to wake someone up
明日の朝、私を起こしてください;please wake me up tomorrow morning
なんでもいいよ;whatever is fine
どこでもいいよ;wherever is fine
どっちでもいいよ;either way is fine
昨日の夜は何をしましたか？;what did you do last night?
手伝い;help
私は父の手伝いをしました;I helped my dad
私は土曜日にカラオケに行きました;I went to karaoke on Saturday
私たちは一昨日タクシーに乗りました;we took a taxi the day before yesterday
私たちは四時間待ちました;we waited for four hours
私は二ヶ月間日本で勉強しました;I studied in Japan for two months
私は二日前にもここに来ました;I came here two days ago too
先週彼女を図書館で見ました;I saw her in the library last week
私は二年前に本を書きました;I wrote a book two years ago
彼はその車を先月買いました;he bought that car last month
どんな〜ですか？;what kind of ... is it?
どんな計画ですか？;what's the plan?
要点;(the essential) point
要点は何ですか？;what's the point?
何を考えていますか？;what's on your mind?
狂います;to go mad- to be out of control
気でも狂いましたか？;have you lost your mind?
〜を楽しみにしています;is looking forward to ...
私たちはあなたに会うのを楽しみにしています;we're looking forward to seeing you
ばかな;stupid
そんなばかなことをしないで！;don't do something so stupid!
落ち着きます;to calm down
落ち着いて！;calm down! (casual)
落ち着いて話してください;calm down and talk to us
静かにして！;be quiet! (casual)
楽しい;fun
楽しかったです;... was fun
博物館は楽しかったですか？;was the museum fun?
おいしくないです;... isn't delicious
おいしくなかったです;... wasn't delicious
このジュースはおいしくなかったです;this juice wasn't so good
つまらない;boring
この映画はつまらなかったです;this film was boring
上手じゃありません;not good at
上手でした;... was good at
二年前はピアノが上手じゃありませんでした;... was not good at piano 2 years ago
大変な;serious- tough
仕事は大変じゃありませんでした;work wasn't tough
行く;to go
待つ;to wait
食べる;to eat
観る;to watch
自転車に乗る;to ride a bike
自転車に乗るのが好きです;... like riding bicycles
待つのが嫌いです;... don't like waiting
兄は海に行くのが好きです;my elder brother likes going to the sea
妹はテレビを観るのが好きです;my younger sister likes watching TV
私は食べるのが好きです;I like eating
食べない;not to eat (plain form)
行かない;not to go (plain form)
観た;... watched (plain form)
読んだ;... read (past tense in plain form)
うん;yes (casual)
ううん;no (casual)
マンガ;manga
ほんとに？;really? (casual)
頑張って！;you can do it!- good luck! (casual)
ねえ;hey (casual)
これ、食べる？;do you want to eat this? (casual)
一緒に行かない？;why not come with? (casual)
あのマンガ読んだ？;have you read that manga? (casual)
ねえねえ、昨日のテレビ観た？;hey- did you watch that show on TV last night? (casual)
うん、観たよ;yeah- I watched it (casual)
なんで？;why? (casual)
ううん、観てない;nope- haven't seen it (casual)
〜が得意です;is very good at ...
彼らはたくさんのことが得意です;they're very good at many things
まあまあな;so-so- somewhat
例えば;for example
例えば、彼らは数学がまあまあ得意です;they're- for example- pretty good at maths
言う;to say (plain form)
冗談;joke
弾く;to play an instrument (plain form)
楽器;musical instrument
ギター;guitar
ピアノ;piano
ギターを弾く;to play the guitar (plain form)
ピアノを弾く;to play the piano (plain form)
絵を描く;to draw a picture (plain form)
特に;especially- particularly
彼はピアノを弾くのが得意です;he's very good at playing the piano
彼女は特にギターを弾くのが得意です;she's especially very good at playing the guitar
〜が苦手です;is very poor at ...
私は冗談を言うのが苦手です;I'm very bad at telling jokes
本を読んでいました;... was reading a book
手紙を書いていました;... was writing a letter
焼きます;to bake
ケーキを焼いていました;... was baking a cake
友達に会っていました;... was seeing my friend
電車を待っていました;... was waiting for the train
料理をします;to cook
料理をしていました;... was cooking
くつろぎます;to relax
私は家でくつろいでいました;I was relaxing at home
シャワー;shower
浴びます;to bathe under ...
シャワーを浴びます;to take a shower
彼はシャワーを浴びていました;he was taking a shower
遅くまで寝ます;to have a lie in
母はその日、遅くまで寝ていました;my mum had a lie in that day
私は彼を愛していました;I loved him
彼らは中国に住んでいました;they lived in China
