日本の総理大臣は誰ですか？;who is the Prime Minister of Japan?
日本の総理大臣は〜です;the Prime Minister of Japan is ...
日本には王様や女王様はいますか？;is there a king or a queen in Japan?
日本には王様や女王様はいません;there is no king or queen in Japan
日本には天皇がいます;Japan has an emperor
あんまり～ない;not very... (colloquial)
政府はあんまり力がありません;the government doesn't have much power
共産党はまあまあ大きいです;the Communist Party is pretty big
彼女は優秀な指導者です;she is an excellent leader
東;east
西;west
南;south
北;north
北アメリカ;North America
南アメリカ;South America
ヨーロッパ;Europe
アフリカ;Africa
アジア;Asia
オーストラリア;Australia
南極大陸;Antarctica
犯罪;crime
罰;punishment
スリラー;thriller
ドキュメンタリー;documentary
コメディ;comedy
フィクション;fiction
ガーデニング;gardening
AよりBの方が〜です;B is more ... than A
あなたの友達はコメディが好きですか？;does your friend like comedies?
彼女はスリラーの方が好きです;she prefers thrillers
私はバスケットボールをするのが好きです;I like playing basketball
彼女はゴルフも好きですが、テニスの方がもっと好きです;she likes golf- but she likes tennis more
あなたの友達はどんな映画が好きですか？;what kind of films does your friend like?
私はドラマよりコメディの方が好きです;I like comedy more than drama
写真;photo
ビデオ;video
お土産;souvenirs
村;village
島;island
景色;view
驚きます;to be surprised
危険な;dangerous
私たちの写真を見たいですか？;do you want to see our photos?
これは私の写真です;this is a photo of me
写真写りが良い;photogenic
彼は写真写りがとても良いです;he is very photogenic
私たちはその話をもう一度聞きたいです;we want to hear that story one more time
また;again
私たちにあのビデオをまた見せてください;please show us that video again
私たちにあの写真をもう見せないでください;please don't show us those pictures again
キャリア;career
引っ越します;to move (house)
退職;resignation
定年退職します;to retire
戻ります;to go/come back
スキーに行きます;to go skiing
海外;abroad
海外に行きます;to go abroad
毎週月曜日;on Mondays
いつもは;usually
まだ;still- yet
祖父母;my grandparents
間に合います;to make (something on time)
まだ映画に間に合います;we'll still make it on time for the film
私たちはいつもは冬に海外に行きます;we usually go abroad in the winter
彼女にはこの道十五年のキャリアがあります;she has worked in this industry for fifteen years
私は三年後に定年退職します;I will retire in three years
祖父母はまだスキーに行きます;my grandparents still go skiing
私たちは毎週水曜日にバドミントンを一緒にしています;we play badminton together on Wednesdays
サッカー;football
アメリカンフットボール;American football
バドミントン;badminton
野球;baseball
相撲;sumo
ゴルフ;golf
ボクシング;boxing
テニス;tennis
スキー;ski
魚釣り;fishing
戦争;war
平和;peace
法律;law
経済;economy
税金;taxes
絶対に;absolutely
約束します;to promise
変えます;to change
管理します;to control- to manage
求めています;is longing for ...
戦争は絶対に必要ありません;war is never necessary
国民は平和を求めています;the people long for peace
政治家はいつも法律を変えると約束します;politicians always promise to change the law
ソーシャルメディア;social media
アプリ;app
登録します;to register
立ち上げます;to set up
シェアします;to share
削除します;to delete
いいね;like (on facebook etc.)
いいねします;to like (on facebook etc.)
ステータス;status
つぶやきます;to tweet (online)- to mumble
タグ;tag
タグ付けします;to tag on social media
メール;email- text message
メールします;to send an email- to send a text
オンライン;online
オフライン;offline
インターネット;the Internet
ログインします;to log in
プロフィール;profile
接続;connection
載せます;to post
友達申請;friend request
この写真を載せてもいいですか？;can I post this photo?
私をタグ付けしてくれませんか？;can you tag me?
あなたのお母さんから私に友達申請が来ました;your mum sent me a friend request
最後の;last- final
成立;formation
単純な;simple
簡単な;easy
難しい;hard- difficult
意見;opinion
関係;relation
～次第;depending on ...
やってみましょう！;let's give it a shot!
間違いないですか？;are you certain?
これが私の最後のオファーです;this is my final offer
取引成立です！;it's a deal!
そんなに単純じゃありません;it isn't that simple
そんなに難しいですか？;is it that difficult?
数学は難しいと思います;... think maths is difficult
日本語は簡単だと思います;... think Japanese is easy
あなたはどう思いますか？;what do you think?
意見を聞かせてください;let me hear your opinion
あなたには関係ありません;it's none of your business
それはあなた次第です;that's up to you
全部、お金次第です;it all depends on the money
大統領;president
大臣;minister
総理大臣;prime minister
王様;king
女王様;queen
天皇;Emperor of Japan
皇后;empress
国会;Japanese parliament
政府;government
政治家;politician
国民;nation- the people
一般的な;general- average
一般市民;the public- the average citizen
軍隊;army
将軍;general (military)
兵士;soldier
指導者;leader
権力;power- authority
民主主義;democracy
自由民主党;Liberal Democratic Party
民進党;Democratic Party
共産主義;communism
日本共産党;Japan Communist Party
優秀な;excellent
チーム;team
選手;player
監督;manager- film director
入場します;to enter
退場します;to exit
スタジアム;stadium
観客;audience- spectator
ファール;foul (sports)
試合;match (game)
ワールドカップ;world cup
ゴール;goal
人気な;popular
才能;talent
才能があります;... is talented
この選手には才能があります;this player is talented
活躍します;to perform well
一番活躍した選手;man of the match
対;against- versus
日本対南アフリカ;Japan versus South Africa
これは日本で一番大きいスタジアムです;this is the biggest stadium in Japan
あれはファールだ！;that was a foul!
一番人気なスポーツは野球です;the most popular sport  is baseball
〜[a]せます；させます;to make someone do something
