座席;seat
前半戦;first half (sports)
後半戦;second half (sports)
審判;referee
インタビュー;interview (not for jobs)
コーチ;coach (sports)
チアリーダー;cheerleader
技術;technique
負けます;to lose (a game)
勝ちます;to win
集中します;to focus
点を取ります;to score
満員;fully occupied
リードしています;... is ahead (in competition)
ハーフタイムに;at half-time
残念ながら;unfortunately
トイレは今空いていますよ;the toilets are free at the moment
空席;empty seat
残念ながら空席がありませんでした;unfortunately there were no free seats
まぬけ！;idiot!
私たちは前半戦で点を取れませんでした;we didn't manage to score any points in the first half
彼らは6点リードしています;they're six points ahead now
おにぎり;onigiri (rice ball)
ハーフタイムにおにぎりを買いに行きましょう;let's go buy onigiri during half-time
ラジオで結果を聞きました;I heard the results over the radio
会員;member
ファンクラブ;fan club
スポーツクラブ;sports club
シーズン;season (sports)
トーナメント;tournament
リーグ;league
チャンピオンシップ;championship
引き分け;a draw (in a match)
引き分けでした;it was a draw
始まります;to begin
終わります;to finish- to end
応援します;to support
シーズンはいつも8月に始まります;the season always begins in August
私はファンクラブの会員になりたいです;I want to become a member of the fan club
彼らはこの試合で勝てば、リーグでも勝ちます;if they win this match- they'll also win the league
どのチームを応援していますか？;which team do you support?
いい選択ですね;good choice!
それは賢い選択です;that is a wise choice
お得な;be value for money
これはお得です;this is a good deal
分かれます;to split
これは意見が分かれる問題です;this is matter of opinion
何がなんでも;at any cost
時すでに遅し;too little- too late
仏;Buddha
知らぬが仏;ignorance is bliss
仏の顔も三度まで;they will forgive you twice- but there is no third chance
猿も木から落ちる;anyone can make a mistake
薮;bush
棒;a bar- a pole
薮から棒;out of the blue
まな板;chopping board
鯉;koi fish
まな板の鯉;in a desperate situation
猫の手も借りたいくらいです;to be extremely busy
猫をかぶる;to be a wolf in sheep's clothing
借りてきた猫;as meek as a kitten
大成功でした！;it was a great success!
朝飯;breakfast (old-fashioned)
朝飯前です;it's a piece of cake
失敗します;to fail (at something)
失敗しました！;I messed up!
どうしましょう！;what shall we do?
制御;control- management
不能な;incapable
制御不能でした！;it was out of control!
言葉;word
言葉もありません;I have no words
気持ち;feeling
傷つけます;to hurt (emotionally or physically)
間違います;to make a mistake
許します;to forgive
叫びます;to yell
怖がらせます;to scare
怒らせます;to upset- to anger
きっと〜;surely ...
大丈夫な;okay- fine
明らかに;obviously
私は間違いました;I made a mistake
あなたは彼を傷つけました;you hurt him
彼女は明らかに間違いました;she obviously made a mistake
彼女はあなたを傷つけるつもりはありませんでした;she didn't mean to hurt you
私は彼の気持ちを傷つけたと思います;I think I hurt his feelings
私を許してください;please forgive me
私は叫びたいほど怒っています;I am so angry that I want to scream
あなたを怒らせてしまって、ごめんなさい;I'm sorry I annoyed you
きっと大丈夫です;I'm sure it will be alright
私を怖がらせないでください;don't scare me- please
心配しなくても大丈夫です;you don't need to worry
真実;truth
嘘;lie- falsehood
嘘をつきます;to tell a lie
理由;reason (for something)
公平な;fair
ばかばかしい;ridiculous
妥当な;appropriate
うまく;well- alright
うまくいっています;to go well
彼らはうまくいっていません;they don't get along
私に話してください;please talk to me
同じ意見です;to agree- to have the same opinion
あなたと同じ意見です;... agree with you
ちょっと違う意見です;... slightly disagree
彼女は絶対に私の話を聞きません;she never listens to what I say
これは公平じゃありません;this isn't fair
私に嘘をつかないでください;don't lie to me please
これはとても不公平です;this is very unfair
この話はばかばかしいです;this is a silly argument
この枕は誰のですか？;whose pillow is this?
これは私のパンツですか？;are these my underpants?
このパンツは私のです;these underpants are mine
そのイヤリングは彼女のです;those are her earrings
このイヤリングは私の妻のです;these earrings are my wife's
壊れています;... is broken
壊れているのがあなたのです;the broken one is yours
この家は今は鈴木さんのです;this is Mr. Suzuki's house now
この花は私のお母さんにです;these flowers are for my mum
注意;attention
注意してください;please pay attention and be careful
苦情を言います;to complain
