ㅏ;a
ㄱ;g
가;go!
ㅈ;j
가자;let's go
ㅎ;h
하자;let's do it!
ㄴ;n
ㅐ/ㅔ;e
네;yes
ㅗ;o
ㄹ;l- r
노래;song
ㅂ;b
ㅇ;silent at start of syllable- '-ng' at end
방;room
노래방;karaoke room
노래방 가자;let's go to the karaoke
ㅡ;eu
응;yeah
응, 그래;yeah- OK
ㅕ;yeo
안녕;hi- bye (casual form)
ㅅ;s
사랑;love
ㅛ;yo
사랑해요;I love you
ㅁ;m
감사해요;thank you
ㅊ;ch
ㅣ;i
미안해요;I'm sorry
ㅋ;k
ㅌ;t
카카오톡;KakaoTalk (Korean messaging app)
카카오톡 해요?;do you have KakaoTalk?
당연하죠;of course
아니요, 안 해요;no- I don't
ㅑ;ya
그냥;nothing special- just
ㅜ;u
친구;friend
우리;we- us- our
우리 친구하자;let's be friends!
좋아요;it's good- I like
ㅍ;p
케이팝 좋아요;I like K-pop
ㅓ;eo
정말;really- very
ㅠ;yu
뮤직비디오;music video
이 뮤직비디오 정말 좋아요;this music video is really great!
뭐?;what?
뭐예요?;what's this?
왜?;why?
왜 그래?;wtf?!
ㄷ;d
대박;awesome!
일;one (sino-Korean number)
이;two (sino-Korean number)
삼;three (sino-Korean number)
사;four (sino-Korean number)
오;five (sino-Korean number)
육;six (sino-Korean number)
칠;seven (sino-Korean number)
팔;eight (sino-Korean number)
구;nine (sino-Korean number)
십;ten (sino-Korean number)
십일;eleven (sino-Korean number)
십이;twelve (sino-Korean number)
십삼;thirteen (sino-Korean number)
십사;fourteen (sino-Korean number)
십오;fifteen (sino-Korean number)
이십;twenty (sino-Korean number)
삼십;thirty (sino-Korean number)
사십;forty (sino-Korean number)
오십;fifty (sino-Korean number)
육십;sixty (sino-Korean number)
안녕하세요;hello
이름이 뭐예요?;what's your name?
저는 롭이에요;I'm Rob (humble)
제 친구 이름은 미나예요;my friend's name is Mina (humble)
만나서 반가워요;nice to meet you
뭐 찾아요?;what are you looking for?
그냥 보고 있어요;I'm just looking
이거 어때요?;how about this?
별로예요;it's not very good
글쎄요;well ...
싫어요;I hate it
그만하세요!;stop it please! (polite)
저기요;excuse me (to get attention)- over there
주세요;please- give me ...
저기요, 이거 주세요;excuse me- can I have this?
알겠어요;all right
조금;a little
조금만 주세요;just give me a little bit- please
천천히 말해주세요;speak slowly- please
얼마예요?;how much is it?
맛있어요;it's delicious
최고예요!;it's the best
계산해 주세요;the bill- please
카드도 돼요?;can I pay by card too?
현금이 없어요;I don't have cash
괜찮아요;it's fine- you're welcome
수고하세요;keep up the good work
어디 있어요?;where is it?
어떻게 가요?;how do you get there?
멀어요?;is it far?
네, 멀어요;yes- it is far
아니요, 가까워요;no- it's nearby
어디로 갈까요?;where should we go?
기사님, 호텔로 가주세요;please take me to the hotel- driver (taxi)
이 근처에 세워주세요;please stop around here
무슨 뜻이에요?;what does it mean?
영어 해요?;do you speak English?
한국어 잘 못해요;I can't speak Korean well
한국어 조금 해요;I can speak a little Korean
한 번 더 말해주세요;say that one more time- please
어디서요?;where?
잘 모르겠어요;I don't really know
소주와 맥주;soju and beer
소맥 좋아해요?;do you like 'somek' (beer with soju)?
주문할게요;I'd like to order now
이모, 소주 주세요;waitress- can I have a soju please?
여기 있어요;here you go
건배!;cheers! (when drinking)
카톡 친구 추가해요;let's add each other on 'Ka-talk'
와이파이 돼요?;do you have Wi-Fi?
비밀;secret
비밀번호가 뭐예요?;what is the password?
화장실이 어디예요?;where is the bathroom?
아파요;it hurts- I feel sick
병원으로 가주세요;take me to the hospital- please (taxi)
어떡해!;what should I do!
파이팅!;you can do it!- cheer up!
어느;which
나라;country
사람;person
어느 나라 사람이에요?;where are you from?
나;I
한국;Korea
영국;UK
나는 영국 사람이에요;I'm from the UK
나는 한국 사람이 아니에요;I'm not from Korea
고향;hometown
고향이 어디예요?;where is your hometown?
서울;Seoul
서울 사람이에요?;are you from Seoul?
저;I (humble)
저는 서울 사람이 아니에요;I'm not from Seoul (humble)
제주도;Jeju
저는 제주도 사람이에요;I'm from Jeju (humble)
처음;first time
한국은 처음이에요?;is this your first visit to Korea?
네, 처음이에요;yes- it's my first visit
아니요, 처음이 아니에요;no- it's not my first visit
두 번째;second time
방문;visit
두 번째 방문이에요;it's my second visit
자주;often
아니요, 자주 와요;no- I come often
한국 음식 좋아해요?;do you like Korean food?
네, 정말 좋아해요;yes- I really like it
정말 맛있어요;it's really tasty
너무 매워요;it's too spicy
학생;student
학생이에요?;are you a student?
아니요, 저는 학생이 아니에요;no- I'm not a student (humble)
직업;job- occupation
직업이 뭐예요?;what's your job?
회사원;office worker
저는 회사원이에요;I'm an office worker (humble)
취미;hobby
취미가 뭐예요?;what are your hobbies?
여행;trip- travelling
여행이 취미예요;travelling is my hobby
제;my (humble)
독서;reading
제 취미는 독서예요;my hobby is reading (humble)
우아! 한국어 정말 잘 해요;wow- your Korean is really good
고맙습니다;thank you (formal form)
그냥 그래요;just so so- it's just OK
제 영어는 그냥 그래요;my English is just OK (humble)
혹시;by any chance
혹시 카카오스토리 해요?;do you have KakaoStory by any chance?
안 해요;I don't do it- I don't use it
언제;when
가다;to go
영국에 언제 가요?;when are you going to the UK?
안 가요;I'm not going
장난;joke
장난이에요;it's a joke
오늘;today
마지막 날;last day
오늘이 마지막 날이에요;today is the last day
내일;tomorrow
저는 내일 가요;I'll go tomorrow (humble)
칠십;seventy (sino-Korean number)
팔십;eighty (sino-Korean number)
구십;ninety (sino-Korean number)
백;one hundred (sino-Korean number)
백일;one hundred one (sino-Korean number)
백십;one hundred ten (sino-Korean number)
천;thousand (sino-Korean number)
이천십구;two thousand nineteen (sino-Korean number)
만;ten thousand (sino-Korean number)
이만;twenty thousand (sino-Korean number)
오만;fifty thousand (sino-Korean number)
십만;one hundred thousand (sino-Korean number)
백만;one million (sino-Korean number)
천만;ten million (sino-Korean number)
억;one hundred million (sino-Korean number)
영;zero
공;zero- ball
하나;one
둘;two
셋;three
넷;four
다섯;five
여섯;six
일곱;seven
여덟;eight
아홉;nine
열;ten
열하나;eleven
열둘;twelve
열셋;thirteen
열넷;fourteen
열다섯;fifteen
스물;twenty
스물 하나;twenty one
서른;thirty
서른 둘;thirty two
마흔;forty
마흔 셋;forty three
쉰;fifty
쉰 넷;fifty four
예순;sixty
예순 다섯;sixty five
일흔;seventy
일흔 여섯;seventy six
여든;eighty
여든 일곱;eighty seven
아흔;ninety
아흔 여덟;ninety eight
아흔 아홉;ninety nine
좋아하다;to like
한국 아이돌 좋아해?;do you like Korean idols? (casual form)
응, 정말 좋아해;yes- I like them a lot (casual form)
한국 노래 별로 안 좋아해;I'm not a big fan of Korean songs (casual form)
더;more
드라마;drama
드라마를 더 좋아해;I like dramas more
가수;singer
있다;to have
한국 가수 중에...;among Korean singers...
한국 가수 중에 좋아하는 사람 있어?;do you have a favourite among Korean singers? (casual form)
응, 있어;yes- I have (casual form)
없다;to not have
아니, 없어;no- I don't have (casual form)
관심;interest
나는 별로 관심 없어;I'm not really interested (casual form)
완전;so- very
많다;many- a lot (infinitive verb)
완전 많아;really a lot- I have a lot (casual form)
누구 좋아해?;who do you like? (casual form)
제일;the most- the first
좋다;to be good- to like
나는 빅뱅이 제일 좋아! 너는?;I like Big Bang the most- you? (casual form)
나는 블랙핑크 팬이야;I'm a fan of BLACKPINK (casual form)
덕후;a die hard fan- a nerd
나는 샤이니 덕후야;I'm a die hard fan of SHINee (casual form)
이번;this time
신곡;new song
이번 신곡 정말 대박이야;this new song is really cool (casual form)
와! 쩐다;wow! excellent (casual form)
오빠;elder brother- elder guy (said by woman)
사랑하다;to love
오빠, 사랑해요!;brother- love you!
언니;elder sister (when said by woman)- elder woman who you may or may not know
너무;too- so- very
예쁘다;to be pretty
언니 너무 예뻐요!;sister- you are so pretty!
귀엽다;to be cute
귀요미;cutie
떼창;sing along
장난 아니야;it's great- it's not a joke
팬들 떼창 장난 아니야!;it's great to hear the fans sing along! (casual form)
완전 공감;I agree- indeed
나도;me too
가고 싶다;to want to go
나도 콘서트 가고 싶어;I want to go to the concert- too (casual form)
비싸다;to be expensive
티켓이 너무 비싸;the ticket is too expensive (casual form)
우리 콘서트 가자;let's go to the concert
돈;money
나 돈 없어;I don't have any money (casual form)
사실;actually- fact
사실 나 티켓 있어;actually I have tickets
진짜?;really?
뻥이야!;just kidding! (casual form)
죽을래?;do you want to die?- come off it!
같이;together- along with
부르다;to sing- to call
같이 노래 부르자;let's sing a song together (casual form)
그러자;let's do that (casual form)
그래, 그러자!;yes- let's do that (casual form)
박물관;museum
미술관;gallery
공원;park
동물원;zoo
교회;church
절;Buddhist temple
쇼핑센터;shopping center
빌딩;building
극장;theatre
피시방;internet café
표;ticket- vote
바다;sea
맛집;great restaurant
여기 맛집이에요?;is this a great restaurant?
식당;restaurant
이 식당 맛있어요;the food at this restaurant is delicious
오다;to come
어서 오세요;welcome- thank you for coming here (polite)
몇 분;how many people (honorific word)
몇 분이세요?;how many people? (polite)
두 명;two people
두 명이에요;we're two people
이쪽;this way- this direction
이쪽으로 오세요;come this way- please (polite)
메뉴판;a menu
여기 메뉴판 좀 주세요;can I have the menu- please? (polite)
주문하다;to order
여기요! 주문할게요;here! I'd like to order
잠시만요!;just a moment- please!
주문벨;service bell
누르다;to press- to push
주문벨을 눌러요;press the call button (to call the waiter)
주문하시겠어요?;are you ready to order?
1인분;one portion- one serving
2인분;two servings
삼겹살;pork belly
삼겹살 2인분 주세요;can I have two portions of pork belly- please? (polite)
김치전;kimchi pancake
먹다;to eat
김치전이 먹고 싶어요;I want to eat kimchi pancake
그리고;and
찌개;stew
그리고 김치찌개도 하나 주세요;and please can I have a kimchi stew? (polite)
와, 맛있겠다!;wow- it looks yummy!
서비스;complimentary food- service
김치찌개는 서비스예요;this kimchi stew is free of charge
음식;food
입에 맞다;to be to one's taste
음식은 입에 맞아요?;is the food to your taste?
맵다;to be spicy
매운 음식을 좋아해요;I like spicy food
매운 음식은 잘 못 먹어요;I can't eat spicy food
물;water
사장님;boss- restaurant owner
사장님! 물 좀 주세요;waiter! can I have some water- please? (polite)
물은 셀프예요;water is self service
반찬;side dish
짜다;to be salty
반찬이 짜요?;is the side dish salty?
싱겁다;to be bland- to be not salty
좀 싱거워요;it's a little bit bland
나오다;to come out
주문하신 음식 나왔습니다;your food is here (formal form)
드시다;to eat (honorific word)
맛있게 드세요;enjoy your meal (polite)
잘 먹겠습니다;let's begin!- thank you for the meal- let's eat (formal form)
좀 더;a little more
반찬 좀 더 주세요;can I have some more side dishes- please? (polite)
맛있게 드셨어요?;did you eat well? (polite)
잘 먹었습니다;I enjoyed it- it was a great meal (formal form)
정말 맛있었어요;It was really delicious
계산할게요;I'll pay it- the bill- please
오만 이천원이에요;it is 52-000 won
영수증 드릴까요?;do you need a receipt? (polite)
예, 주세요;yes- please (polite)
아니요, 버려주세요;no- please throw it away (polite)
또 오세요;please come again (polite)
많이 파세요;goodbye (in a shop)- I hope you sell more
밥;cooked rice- meal
떡;rice cake
호떡;Korean pancake (with brown sugar filling)
떡볶이;spicy stir-fried rice cake
어묵;fish cake
삼계탕;chicken soup with Insam (and other ingredients)
팥빙수;red-bean sherbet
양념치킨;spicy stir-fried chicken
접시;dish- plate
숟가락;spoon
젓가락;chopsticks
포크;fork
대기표;waiting number ticket
돼지고기;pork
소고기;beef
닭고기;chicken (meat)
생선;fish
알레르기;allergy
채식주의자;vegetarian
서울의 핫플레이스는 어디예요?;where is the hottest place in Seoul?
클럽과 술집;club and pub
홍대에는 클럽과 술집이 많아요;there are lots of clubs and pubs in Hongdae
공연;performance
길거리 공연;street performance
길거리 공연도 자주 해요;there are lots of street performances- too
멀다;to be far- to be distant
여기에서 멀어요?;is it far from here?
가깝다;to be close
홍대까지 가까워요;it is close to Hongdae
걸리다;to take (time)
여기에서 강남까지 얼마나 걸려요?;how long does it take to Gangnam from here?
얼마 안 걸려요;it doesn't take too long
십분쯤 걸려요;it takes around 10 minutes
오래 걸려요;it takes a long time
길 건너;road over
지하철역;tube station
길 건너에 지하철역이 있어요;there is a tube station over the road
정류장;station
버스 정류장 옆;next to the bus station
지하철역은 버스 정류장 옆에 있어요;there is a tube station next to the bus station
편의점;convenience store
근처;nearby
근처에 편의점이 없어요;there is no convenience store nearby
전통;tradition
전통시장;traditional market
싸다;to be cheap
전통시장은 정말 싸고 좋아요;traditional markets are really cheap and good
전통시장까지 어떻게 가요?;how can I get to the traditional market?
직진하다;to go straight
쭉 직진하세요;go straight ahead
우회전;right turn
우회전하세요;please turn right
좌회전;left turn
좌회전하세요;please turn left
여기는 맛집이 정말 많아요;there are many good restaurants
길거리 음식;street food
길거리 음식은 정말 싸고 맛있어요;street food is really cheap and yummy
관광 안내소;tourist information center
관광 안내소는 어디에 있어요?;where is the tourist information center?
공항;airport
타다;to ride- to take- to burn
공항버스는 어디에서 타요?;where can I take the airport bus?
예매하다;to buy in advance
공연 티켓 예매하고 싶어요;I want to buy a ticket to the performance in advance
환전하다;to exchange
어디에서 환전할 수 있어요?;where can I exchange money?
무료;free (no cost)
지도;map
무료 지도 있어요?;do you have a free map?
안녕히 계세요;goodbye (when you are leaving)
네, 안녕히 가세요;yes- goodbye (to the person leaving)
야경;nightscape
아름답다;to be beautiful
야경이 정말 아름다워요;the nightscape is really beautiful
오늘 사람들이 진짜 많아요;today there are a lot of people
입장료;entrance fee
입장료는 얼마예요?;how much is the entrance fee?
성인;adult
아이;child
성인 둘, 아이 하나요;two adult tickets and one child ticket- please
인생 사진;best-ever photo- amazing photo
이건 내 인생 사진이에요;this is my best-ever photo
가족;family
몇 명;how many people
가족이 몇 명이에요?;how many people are in your family?
일곱명이에요;7 people
엄마;mom
다니다;to go (somewhere regularly)
엄마는 회사에 다녀요;my mom works in a company
아빠;dad
변호사;lawyer
유명하다;to be famous
아빠는 유명한 변호사예요;my dad is a famous lawyer
형;elder brother (said by man)
우리 형은 유명한 가수예요;my elder brother is a famous singer
외국;foreign country
형은 외국에서 유명해요;my elder brother is famous in a foreign country
누나;elder sister (said by man)
대학교;university
누나는 서울에서 대학교에 다녀요;my elder sister is at a university in Seoul
여동생;younger sister
고등학생;high school student
여동생은 고등학생이고 열여섯살이에요;my younger sister is a high school student and 16 years old
남동생;younger brother
유치원;kindergarten
남동생은 유치원에 다니고 다섯살이에요;my younger brother is in kindergarten and 5 years old
대가족;big family
우리 가족은 대가족이에요;we are a big family
이 사람은 누구예요?;who is this?
우리 매형이에요;he is my brother-in-law (said by man)
결혼하다;to get married
우리 누나는 결혼했어요;my elder sister is married
신혼;newly-married
신혼부부예요;they're a newly-married couple
조카;nephew- niece
조카는 이제 한 살이에요;my niece is one year old now
돌잔치;first birthday party
우리 조카 돌잔치 사진이에요;this is my niece's first birthday party photo
너무 귀여워요;she's so cute
딸;daughter
바보;fool- idiot
딸 바보;father who loves his daughter a lot
