월요일;Monday
화요일;Tuesday
수요일;Wednesday
목요일;Thursday
금요일;Friday
토요일;Saturday
일요일;Sunday
무슨 요일;What day
지난주;last week
이번주;this week
다음주;next week
주말;weekend
쇼핑하고 싶어요;I'd like to go shopping
그럼, 오늘 명동에 갈까요?;shall we go to Myeong-dong then?
버스 탈까요?;shall we take a bus?
출근시간;the time people start work
퇴근시간;the time people finish work
지금 퇴근시간이에요;it's the evening rush hour now
빠르다;to be fast
지하철이 더 빨라요;the metro is faster
티머니 카드;T-money card (travel card)
환승;transfer
티머니 카드는 버스, 지하철 환승이 돼요;you can transfer between the bus and tube with a T-money card
티머니 카드는 편의점에서 살 수 있어요;you can buy a T-money card at the convenience store
명동역은 몇 호선이에요?;which tube line goes to Myeong-dong station?
지하철 노선도;Tube map
지하철 노선도에서 확인할 수 있어요;you can check on the Tube map
명동역은 4호선이에요;Myeong-dong station is on line 4
갈아타다;to change- to transfer
서울역에서 한 번 갈아타야 해요;you should change once at Seoul station
이번 역은 서울역입니다;this stop is Seoul station
내리다;to get off
편리하다;to be convenient
한국 지하철은 진짜 편리해요;the Korean metro is really convenient
여기서 명동까지 얼마나 걸려요?;how long does it take from here to Myeong-dong?
지하철로 20분쯤 걸려요;it takes around 20 minutes by tube
앉다;to sit
여기 앉을까요?;shall we sit here?
노약자석;priority seat
여긴 노약자석이에요;here are the priority seats
저쪽;there- over there
그럼 저쪽으로 갈까요?;shall we go there then?
다음 역에서 내려요;we will get off at the next station
십원;10 won
오십원;50 won
백원;100 won
오백원;500 won
천원;1-000 won
오천원;5-000 won
만원;10-000 won
오만원;50-000 won
오늘 어디에 갈 거예요?;where will you go this afternoon?
쇼핑몰에 갈 거예요;I'll go to the shopping centre
뭐 하러 가요?;what are you going there for?
선물;a gift- a present
선물을 사러 가요;I'm going to buy a present
기념일;anniversary
오늘은 우리 기념일이에요;today is our anniversary
추천하다;to recommend
남자친구 선물을 추천해 주세요;can you recommend a present for my boyfriend? (polite)
커플 신발;matching shoes (for a couple)
커플 신발은 어때요?;how about couple shoes?
켤레;a pair (shoes/socks)
이 신발은 한 켤레에 얼마예요?;how much is this pair of shoes?
칠만원이에요;it's 70-000 won
너무 비싸요;it's too expensive
깎다;to reduce price
좀 깎아주세요;can you reduce the price a bit?
현금;cash
결제;payment
현금으로 결제할 거예요?;will you pay with cash?
현금으로 하면 오천원 깎아 줄게요;if you pay with cash- I'll reduce the price by 5-000 won
봉투;a plastic bag- an envelope
필요하다;to need
봉투 필요하세요?;do you need a plastic bag? (polite)
