머리;head
다리;leg- bridge
손;hand
발;foot
발가락;toe
손가락;finger
목;neck
얼굴;face
눈;eye
코;nose
입;mouth
치아;tooth
귀;ear
무릎;knee
손목;wrist
발목;ankle
팔꿈치;elbow
어깨;shoulder
위;stomach
가슴;chest
갈비 뼈;rib
심장;heart
경찰;police
경찰관;police officer
기자;journalist
선생님;teacher
의사 선생님;doctor
치과의사;dentist
심리학자;psychologist
교수;professor
변호사;lawyer
작가;writer
예술가;artist
웨이터;waiter
학생;student
~씨;Mr- Mrs- Miss
자기;sweetheart
달링;darling
잠시;moment
필요하다;to need
입어보다;to try on (clothes)
비싸다;to be expensive
좀 더 비싼;more expensive
싸다;to be cheap
좀 더 싼;cheaper
~도 될까요?;is allowed to ... - can ...
나는 새 모자가 필요해요;I need a new hat
나는 잠시 생각이 필요해요;I need a moment to think
저것 봐요;look at that
제가 이것을 입어봐도 될까요?;can I try this on?
그것은 정말로 비싸요;it's really expensive
이것은 좀 더 싸요;this one is cheaper
저것이 사실 좀 더 커요;that one is actually bigger
넥타이;tie
안경;(a pair of) glasses
머리카락;hair
입다;to wear
쓰다;to write- to use
이야기;story
금발의;blonde
가끔;sometimes- occasionally
매일;every day
그는 안경을 써요;he wears glasses
나는 가끔 빨간색드레스를 입어요;I sometimes wear a red dress
그녀는 금발이에요;she's blonde
나는 기자예요;I'm a journalist
나는 매일 이야기를 써요;I write stories every day
응급상황;emergency
사고;accident
고통;pain
위통;stomachache
두통;headache
감염;infection
감기;cold (illness)
약;medicine- about (approximately)
화장실;toilet
화장지;toilet paper
느끼다;to feel
토하다;to vomit
피를 흘리다;to bleed
나는 ~ 것이 좋겠어요;I'd better ...
이것은 응급상황이에요;this is an emergency
몸이 좋지 않아요;I don't feel well
아파요;(it) hurts
나는 위통이 있어요;I have a stomachache
당신은 병원에 가는 것이 좋겠어요;you'd better go to the hospital
의사 선생님은 그가 약이 필요하다고 생각해요;the doctor thinks he needs medicine
독일;Germany
이탈리아;Italy
프랑스;France
일본;Japan
중국;China
이집트;Egypt
캐나다;Canada
노르웨이;Norway
아일랜드;Ireland
스코틀랜드;Scotland
스웨덴;Sweden
숙녀;lady
신사;gentleman
신사 숙녀 여러분 ~;ladies and gentlemen ...
옛날 옛날에 ~;once upon a time ...
~ 그리고 ~;... and ... (between sentences)
뒤에;behind
그 뒤로 쭉;ever after
~ 그리고 그들은 그 뒤로 쭉 행복하게 살았어요;... and they lived happily ever after
세상에!;oh my word!
절대로 안 돼요!;never ever!
일종의;sort of
조심해요!;be careful!
방;room
부엌;kitchen
침실;bedroom
욕실;bathroom
거실;living room
손님;guest
손님방;guest room
층;floor
위층;upstairs
아래에;under
아래층;downstairs
옆에;next to
사이에;between
화장실이 어디예요?;where is the toilet?
부엌과 거실 사이에 있어요;it's between the kitchen and the living room
선물;present- gift
목걸이;necklace
귀고리;earrings
반지;ring
팔찌;bracelet
시계;watch- clock
핸드폰;mobile phone
컴퓨터;computer
노트북;laptop
책;book
장난감;toy
비디오 게임;video game
꽃;flower
키스;kiss
포옹;hug
새로운 것;new one
이미;already
~지만;but
나에게;to me- for me
당신에게;to you- for you (singular)
우리는 우리엄마 선물을 사야 해요;we have to buy a present for our mum
그는 나에게 매일 선물을 줘요;he gives me a present every day
우리 엄마도 시계를 원해요;my mum wants a watch as well
나는 이미 핸드폰이 있어요;I already have a mobile phone
내 형은 이미 노트북이 있지만 새로운 것을 원해요;my brother already has a laptop- but he wants a new one
미터;metre
밀리미터;millimetre
센티미터;centimetre
킬로미터;kilometre
그램;gram
킬로;kilo
소수점;point (decimal)
몸무게;body weight
몸무게는 ~이다;to weigh (the body)
살이 빠지다;to lose weight
살이 찌다;to gain weight
무겁다;to be heavy
가볍다;to be light (not heavy)
백 센티미터는 일 미터예요;there are 100 centimetres to a metre
천 그램은 일 킬로예요;there are 1000 grams to a kilo
그녀의 몸무게는 육십 킬로예요;she weighs 60 kilos
나는 삼 킬로가 더 나가요;I weigh three kilos too much
그는 키가 백칠십오 센티미터예요;he's one metre and seventy-five centimetres tall
대학;university
유치원;kindergarten
시험;exam- test
등급;grade- mark
가르치다;to teach
배우다;to learn
공부하다;to study
