신나다;to be exciting- to be excited
재미;fun
재미있다;to be funny- to be entertaining
지루하다;to be boring
제가 ~면 어떨까요;I could (suggestion)
그것은 굉장할 거예요;it'll be great
당신은 오늘 밤에 영화를 볼 거예요?;are you going to watch a movie tonight?
우리 영화관에 가면 어떨까요;we could go to the movie theater
그는 오늘 오후에 박물관에 갈 거예요;he's going to go to a museum this afternoon
당신은 언제 떠날 거예요?;when are you going to leave?
우리는 나중에 말할 거예요;we'll speak later
마지막;last- final
어젯밤;last night
두 달 동안;for two months
삼 주 전;three weeks ago
~았어요 (~었어요; ~였어요);past tense markers
나는 도왔어요;I helped
나는 먹었어요;I ate
나는 원했어요;I wanted
문화;culture
말다툼;argument
싸우다;to argue- to fight
토론;discussion- debate
궁금하다;to be curious
부끄럽다;to be embarrassed
무서워하다;to be scared
긴장되다;to be nervous
흥미롭다;to be interesting
중요하다;to be important- to be significant
만들다;to make- to build
그는 연애생활에 대해 말하는 것을 부끄러워해요;talking about his love life makes him embarrassed
우리 아빠는 기술에 대해 아무것도 몰라요;our dad doesn't know anything about technology
우리는 그들에게 그 말다툼에 대해 말해야 해요?;should we tell them about the argument?
핵심;point (in reasoning)
핵심이 뭐예요?;what's the point?
계획이 뭐예요?;what's the plan?
그것을 이해했어요?;does it make sense?
지금 뭐 생각하고 있어요?;what are you thinking about now?
고대;anticipation
고대하다;to look forward to ... - to anticipate
우리는 당신 보는 것을 고대하고 있어요;we're looking forward to seeing you
우리는 당신 만나는 것을 고대하고 있어요;we look forward to meeting you
바보;fool
굴다;to act- to behave
바보처럼 굴지 마!;don't be such a fool!
차분하다;to be calm
진정하다;to calm down
진정하세요;calm down (polite)
조용히 하세요;be quiet (polite)
파티;party (festivity)
클럽;club
나는 정말 ~ 하고 싶어요;I would love ...
취하다;to get drunk- to take
휴식을 취하다;to relax
술 마시러 가다;to go and get a drink
잠들다;to fall asleep- to be asleep
깨어나다;to wake up
깨어있다;to be awake
잠자러 가다;to go to bed- to go to sleep
일어나다;to get up- to occur (happen)
함께 시간을 보내다;to hang out- to spend time together
모두;everyone
아무도;no one
어떤;what- which- some- any
어떤 사람;someone- anyone
함께;together
나와 함께;with me
당신과 함께;with you
그냥;just
~고 나서;and then
당신은 아침에 뭐 하는 것을 좋아해요?;what do you like to do in the morning?
나는 달리고 나서 샤워하는 것을 좋아해요;I like to go for a run and then take a shower
우리 오늘 그냥 쉬면 어떨까요?;today we could just relax
나와 함께 파티에 가고 싶어요?;do you want to go to the party with me?
나도 정말 가고 싶지만 나는 내일 일찍 일어나야 해요;I would love to go- but I have to get up early tomorrow
아무도 나와 함께 시간을 보내고 싶어 하지 않아요;no one wants to hang out with me
왜 안돼요?;why not?
대화;conversation
주제;topic
관계;relationship
날씨;weather
정치;politics
기술;technology- technique
사랑;love
연애생활;love life
과학;science
~에 대해;about
~에 대해 말하다;to tell about ... - to talk about ...
프랑스 사람들은 음식에 대해 말하는 것을 정말 좋아해요;French people love talking about food
그들은 보통 날씨에 대해 말해요;they usually talk about the weather
나는 내 연애생활에 대해 말하고 싶지 않아요;I don't want to talk about my love life
씨름;ssireum (Korean wrestling)
축구;soccer
배드민턴;badminton
농구;basketball
야구;baseball
아이스하키;ice hockey
골프;golf
체조;gymnastics
권투;boxing
테니스;tennis
크리켓;cricket
보트;boat
낚시;fishing
나는 어제 아빠를 도왔어요;I helped my dad yesterday
우리는 이 주 동안 기다렸어요;we waited for two weeks
나는 일본에서 두 달 동안 공부했어요;I studied in Japan for two months
우리는 어제 스타터 4개를 주문했어요;we ordered four appetizers yesterday
그들은 지난주에 독일을 여행했어요;they travelled to Germany last week
그들은 중국에서 팔 년을 살았어요;they lived in China for eight years
나는 그를 사랑했어요;I loved him
그는 한국어를 정말 잘 했어요;he spoke Korean very well
우리는 어젯밤에 맥주를 너무 많이 마셨어요;we drank too much beer last night
그는 그 차를 이십 년 전에 샀어요;he bought that car twenty years ago
우리는 택시를 탔어요;we took a taxi
나는 이 년 전에 책을 썼어요;I wrote a book two years ago
그들은 우리와 함께 저녁을 먹지 않았어요;they didn't have dinner with us
나는 어제 그녀를 도서관에서 봤어요;I saw her in the library yesterday
움직이다;to move
퇴직하다;to retire
그만두다;to quit
스키 타러 가다;to go skiing
외국;abroad
외국에 가다;to go abroad
다니다;to go (somewhere regularly)
꽤;pretty- quite
여전히;still
보통;usually
월요일마다;every Monday
두 시간 안에;in two hours
약 삼 년 안에;in about three years
당신의 가족에 대해 말해주세요;tell me about your family
우리는 겨울에 보통 외국에 가요;we usually go abroad in the winter
그녀는 오 년 전에 꽤 좋은 직장이 있었어요;she had a pretty good job five years ago
우리 부모님은 약 삼 년 안에 퇴직을 할 거예요;our parents will retire in about three years
제 조부모님께서는 여전히 스키 타러 다니세요;my grandparents still go skiing
우리는 수요일마다 여전히 함께 축구를 해요;we still play football together every Wednesday
범죄;crime
처벌;punishment
소설;novel
범죄소설;crime novel
스릴러;thriller
다큐멘터리;documentary
코미디;comedy
픽션;fiction
드라마;drama
정원;garden
가꾸다;to grow- to cultivate
정원을 가꾸다;to do gardening
노래;singing- song
노래하다;to sing
더 좋아해요;prefer (like more)
종류;kind- sort- type
어떤 종류의 ~ ?;what kind of ... ?
당신의 친구는 코미디를 좋아해요?;does your friend like comedies?
그녀는 스릴러를 더 좋아해요;she prefers thrillers
나는 농구하는 것을 좋아해요;I like playing basketball
그녀는 배드민턴도 좋아하지만 씨름을 더 좋아해요;she likes playing badminton as well- but she likes ssireum more
당신의 친구는 어떤 종류의 영화를 더 좋아해요?;what kind of movies does your friend prefer?
나는 드라마도 좋아하지만 코미디를 더 좋아해요;I like drama as well- but I prefer comedies
