대통령;president
장관;minister
총리;prime minister
왕;king
왕비;queen
지도자;leader
정부;government
국회;parliament
정치인;politician
정당;party (political)
더불어민주당;The Minjoo Party of Korea
국민의당;The People's Party
공화주의;republican
공화주의자;republican (person)
민주주의;democracy
민주주의자;democrat
공산주의;communism
공산주의자;communist (person)
보수적;conservative (right-wing)
진보적;progressive (left-wing)
힘;power
훌륭한;excellent
별로;not very- not really
누가 한국의 대통령이었어요?;who was the President of Korea?
한국에 왕이 있어요?;is there a king in Korea?
한국에는 왕과 왕비가 없어요;there is no king or queen in Korea
정부는 힘이 별로 없어요;the government doesn't really have any power
더불어민주당은 꽤 커요;The Minjoo Party of Korea
 is pretty big
농담;joke
외국어;foreign language
~ 잘하다;to be good at ...
~ 잘 못하다;to not be good at ...
자전거를 타요;ride a bike
그리다;to draw (a picture)
칠하다;to paint
피아노;piano
기타;guitar
치다;to hit
기타를 치다;to play the guitar
요리하다;to cook
굽다;to bake
듣다;to listen- to hear
냄새가 나다;to smell (something)
쉽다;to be easy
어렵다;to be difficult
특히;especially
예를 들어;to give an example ... (for example)
예를 들어 그들은 수학을 꽤 잘해요;they're for example pretty good at math
그들은 피아노를 잘 쳐요;they're good at playing the piano
그녀는 기타를 잘 못 쳐요;she's not good at playing the guitar
그녀는 특히 노래를 잘해요;she's especially good at singing
나는 특히 농담을 잘 못해요;I'm not good at telling jokes
나는 수학이 어렵다고 생각해요;I think math is difficult
한 번;one time- once
두 번;two times- twice
해보다;to try
한 번 해보자;let’s give it a try
확실한;certain
당신 확실해요?;are you certain?
이것이 내 마지막 제안이에요;this is my final offer
그렇게 합시다!;it's a deal!
단계;step- stage- level
다음 단계는 뭐예요?;what’s the next step?
간단하다;to be simple
그것은 그렇게 간단하지 않아요;it isn't it simple
의견;point of view
당신의 의견은 뭐예요?;what’s your point of view?
휴가;holiday (vacation)
경험;experience
장소;place
축제;festival
버스여행;bus trip
호스텔;hostel
여행 가이드;tour guide
패러 슈팅;parachuting
래프팅;(river) rafting
하이킹;hiking
다양한;diverse
놀랄만한;remarkable
유명한;famous
이상한;strange
위험한;dangerous
무서운;scary
가장 무서운;scariest
더 나쁜;worse
가장 나쁜;worst
더 좋은;better
최고;best
단연;definitely
즐기다;to enjoy
~ 어땠어요?;how was ... ?- how were ...?
휴가는 어땠어요?;how was your holiday?
당신은 왜 아시아에 갔어요?;why did you go to Asia?
정말 흥미로운 장소이기 때문에 ~;... because it's a really interesting place
뭐가 가장 재미있었어요?;what was the most fun?
우리는 패러 슈팅을 즐겼어요;we really enjoyed parachuting
그 인도 레스토랑은 단연 최고였어요;that Indian restaurant was definitely the best one
사진;photo
그림;picture
비디오;video
기념품;souvenir
마을;village
직원;staff- personnel
섬;island
경관;view
뷔페;buffet
놀라움;surprise
경험하다;to experience
외진;remote
믿기 힘든;incredible
환상적인;fantastic
너희들 우리 사진 볼래?;do you guys want to see our photos?
이것은 내 사진이에요;this is a photo of me
우리는 외진 마을에 갔어요;we went to a remote village
나는 그 이야기를 다시 듣고 싶어요;I want to hear that story again
우리에게 그 비디오를 다시 보여주세요;show us that video again
우리에게 그 사진들을 다시는 보여주지 마세요;please don't show us those pictures again
북;north
남;south
동;east- bronze
서;west
미국;America (the United States)
북미;North America
남미;South America
유럽;Europe
아프리카;Africa
아시아;Asia
호주;Australia
남극 대륙;Antarctica
부대;army
군대;military- the forces
군인;soldier
장군;general
명령;order- command
전쟁;war
평화;peace
법;law
상태;state- condition
경제;economy
세금;taxes
정치인들;politicians
약속하다;to promise
지키다;to keep
약속을 지키다;to keep a promise
바꾸다;to change
줄이다;to reduce
증가하다;to increase
통제하다;to control
모든 것;everything
~는다고 (~ㄴ다고);used in reported speech
그것은 명령이다!;it's an order!
전쟁은 절대 필요하지 않아요;war is never needed
사람들은 평화를 원해요;the people want peace
정치인들은 항상 법을 바꾼다고 약속해요;politicians always promise to change the law
정치인들은 사실 아무것도 통제하지 못해요;politicians actually control nothing
완벽하다;to be perfect
흠;flaw
흠잡을 데가 없다;to be flawless
흠잡을 데가 없이 완벽하다;picture-perfect
눈을 깜빡하다;to blink
눈 깜빡할 사이에;in the blink of an eye
엎지르다;to spill
이미 엎질러진 물이에요;don't cry over spilled milk
정확하다;to be correct
그것은 정확해요;it's correct
차례;turn (in games)
내 차례예요;it's my turn
고생;hardship- trouble- suffering
낙;joy- enjoyment
끝;end- edge
고생 끝에 낙이 온다;every cloud has a silver lining
질병;disease
질병에 걸리다;to get sick
상처;cut- wound
심장마비;heart attack
독감;(the) flu
눕다;to lie (down)
앉다;to sit (down)
서다;to stand
일어서다;to stand up
진찰하다;to examine
임신하다;to be pregnant
흔하다;to be common
희귀하다;to be rare
부상;injury
다치다;to be injured
죽다;to be dead- to die
회복하다;to recover
살아남다;to survive
앉으세요;sit down please
의사선생님이 진찰하실 거예요;the doctor will examine you
당신은 희귀한 질병에 걸렸어요;you have a rare disease
당신의 부인은 임신했어요;your wife is pregnant
당신은 죽지 않을 거예요;you aren't going to die
팀;team
선수;player
운영자;manager
경기장;stadium
청중;audience
경비원;security guard
반칙;foul (in a match)
세기;century
대결;match
월드컵;world cup
골;goal (sports)
목표;goal (ambitions)
이곳;this place
퇴장 시키다;to send ... off (the field)
재능 있다;to be talented
인기;popularity
인기 있다;to be popular
가장;most
대항하는;against
이것은 세기의 대결이에요;this is the match of the century
그는 정말 재능 있는 선수예요;he's a very talented player
그는 올해의 선수예요;he's the player of the year
이곳은 아시아에서 가장 큰 경기장이에요;this is the biggest stadium in Asia
그것은 반칙이었어요!;it was a foul!
그것은 절대 골이 아니었어요!;it was never a goal!
씨름은 가장 인기 있는 스포츠예요;ssireum is the most popular sport
그를 퇴장시켜요!;send him off!
자연;nature
숲;forest
열대 우림;rainforest
정글;jungle
휴식;break- rest
칫솔;toothbrush
침낭;sleeping bag
배낭;backpack
아이스크림;ice cream
국경;border
무역;trade
사업;business
사업하다;to run a business
성공;success
성공하다;to be successful- to make it
예전에;before- earlier (used to)
더 이상;anymore- no longer
그때에;at the time
때;(at the time) when
나는 예전에 사업을 했어요;I used to own a business
우리는 예전에 외국에 살았어요;we used to live abroad
우리는 예전에 사업을 했었지만 더 이상 안 해요;we used to run a business- but not anymore
제 조부모님께서는 젊었을 때 아프리카에 가셨어요;my grandparents went to Africa when they were young
우리는 예전에 미국에 살았었지만 이사했어요;we used to live in America- but we moved
선거;election
후보자;candidate
여론조사;opinion poll
결과;result
투표;vote
투표하다;to vote
종교;religion
환경;environment
감세;tax cut
보험;insurance
제도;system
의료보험 제도;health care system
제안하다;to suggest
얻다;to get- to obtain
믿을만하다;to be reliable
믿을 수 없다;to be unreliable
이년 후;in two years
종종;often
다음 선거는 언제예요?;when is the next election?
다음 선거는 이년 후예요;the next election is in two years
당신이 생각하기에 대통령은 믿을만해요?;do you think the President is reliable?
내가 생각하기에 여론조사는 종종 믿을 수 없어요;I think opinion polls are often unreliable
나는 감세를 제안해요;I suggest a tax cut
종교는 중요한 주제예요;religion is an important topic
이번 연도 국민의당은 더 좋은 결과를 얻을 거예요;this year The People's Party will get better results
하늘;sky
달;moon
태양;sun
비추다;to shine- to reflect
햇빛;sunshine
비;rain
내리다;to come down (rain or snow)
비가 내리다;to rain
눈이 내리다;to snow
비옷;raincoat
눈사람;snowman
수영복;swimsuit- swimming trunks
온도;degree (weather)
벗다;to take off
덥다;to be hot (weather and people)
춥다;to be cold (weather)
차갑다;to be cold (people and things)
마르다;to be dry- to be skinny
젖다;to be wet
맞다;to be hit
비를 맞다;to get hit (by rain)- to get wet (in the rain)
안;inside
밖;outside
만약 ~ㄴ다면;if
그러면;then (solution)
~아서 (~어서);so- therefore
당신은 비를 맞을 거예요;you'll get wet (in the rain)
만약 비가 내린다면 당신은 비를 맞을 거예요;if it rains- you'll get wet
나는 너무 더워요;I'm too hot
그러면 당신의 코트를 벗어요;then take off your coat
만약 눈이 내린다면 우리는 눈사람을 만들 수 있어요;if it snows- we can make a snowman
비가 그쳐서 우리는 밖으로 나갔어요;the rain stopped so we went outside
완전한;total
이것은 대성공이었어요!;this was a total success!
원래;originally
그게 원래 다 그런 거예요;that's just the way it is
또 다른 누구?;who else?
누군가;someone else
나는 누군가를 사랑하고 있어요;I love someone else
식은 죽;cold rice porridge
식은 죽 먹기;it's a piece of cake
서울에서 김서방 찾기;finding a needle in a haystack
일기예보;weather forecast
폭풍;storm
천둥;thunderstorm
번개;lightning
바람;wind
바람이 불다;to be windy
안개;fog
안개가 끼다;to be foggy
구름;cloud
흐리다;to be cloudy
소나기;shower (rain)
맑다;to be clear
날씨가 개다;to clear up
밝다;to be bright
가능성;chance
~ 가능성이 있어요;there is a chance (that) ...
~ㄹ지도 몰라요;might- may
항상 일기예보를 봐요;always watch the weather forecast
오늘은 태양이 비칠 가능성이 있어요;there is a chance that the sun will shine today
오늘 오후에 소나기가 올 거예요;there will be showers this afternoon
아마도 오늘은 날씨가 갤 거예요;the weather will probably clear up today
오늘 밤에는 눈이 내릴지도 몰라요;it might snow this evening
만약 그가 우산을 가져가지 않는다면 그는 비를 맞을 거예요;if he doesn't bring his umbrella- he'll get soaked
이용 가능한 화장실이 없어요;there are no toilets available
유감스럽게도 이용 가능한 좌석이 없었어요;unfortunately there were no seats available
이 멍청아!;what an idiot!
우리는 전반전에 전혀 득점을 올리지 못했어요;we didn't score any points in the first half
우리는 중간 휴식시간 때 치맥을 사야 해요?;should we get chicken and beer at half-time?
나는 라디오를 통해 결과를 들었어요;I heard the results over the radio
그들은 지금 육 점이나 앞서고 있어요;they're six points ahead now
그녀가 더 잘했기 때문에 이겼어요;she won because she was better
전반전;first half (in sports)
후반전;second half (in sports)
라디오;radio
멍청이;idiot
치킨;fried chicken
치맥;chicken and beer
면접;interview
코치;coach
우승;victory
패배;defeat
점수;score (in a match)
우승하다;to win
지다;to lose (a game)
속이다;to cheat- to fool
집중하다;to concentrate- to focus
득점;point (in sports)
득점을 올리다;to score points
비어있다;to be empty
가득 차다;to be full
이용 가능하다;to be available
앞서다;to be ahead
뒤지다;to be behind
중간 휴식시간 때;at half-time
유감스럽게도;unfortunately
완전히;completely
누구의;whose (in questions)
내 것;mine
당신의 것;yours
우리 엄마의 것;our mom's
이것들;these (no noun following)
그것들;those (no noun following)
이 베개는 누구의 것이에요?;whose pillow is this?
