직시하다;to face
~ 사실을 직시합시다;let's face it ...
깨닫다;to realize
나는 ~ 갑자기 깨달았어요;I suddenly realized ...
조건;condition
한 가지 조건하에 ~;on one condition ...
고려하다;to consider
모든 것을 고려해 볼 때 ~;all things considered ...
공개적으로 ~;for the record ...
비공개;off the record
이것은 비공개예요;this is off the record
현대의;modern
현대 세상;modern world
현대 세상에는 ~;in the modern world ...
충고;advice
메시지;message
주목하다;to pay attention
불평하다;to complain
잊다;to forget
그만하다;to stop- to quit
나 자신;myself
당신 자신;yourself
그 자신;himself
내가 충고 좀 해도 될까요?;can I give you some advice?
너는 그를 정말 잊어야 해;you really should forget him
너는 그를 용서해야 해;you should forgive him
그녀는 어떤 사람에게도 말하지 말아야 해요;she shouldn't tell anyone
나는 내 남자친구를 정말 용서해야 할까요?;should I really forgive my boyfriend?
걱정 그만해요;stop worrying
선택;choice
현명하다;to be wise
그것은 현명한 선택이었어요;it was a wise choice
당연하다;to be natural
그것은 당연한 선택이었어요;it was the natural choice
그것은 내 최고의 선택이었어요;it was my top choice
가격;price
가치;value
질;quality
합당하다;to be proper
그것은 가격에 합당한 가치가 있어요;it’s value for money- it's a great bargain
시기;time- period
지금은 어려운 시기예요;these are tough times
그런 것 같아요;I assume so
견해;opinion
차이;difference
이것은 견해 차이예요;this is a matter of opinion
능력;ability- skill
미치다;to reach- to be mad
내 능력이 미치는 한;to the best of my ability
무슨 일이 있어도;at any cost
수준;standard
안 맞다;to not be fit (for ... )
이것은 당신의 수준에 안 맞아요;this is beneath you
멤버;member
팬;fan (supporter)
팬클럽;fan club
스포츠 클럽;sports club
시즌;season
토너먼트;tournament
리그;league
챔피언십;championship
시작하다;to begin- to start
끝내다;to finish
비기다;to draw (a match)
지지하다;to support
시즌은 항상 8월에 시작해요;the season always begins in August
나는 팬클럽의 멤버가 되고 싶어요;I want to become a member of the fan club
만약 그들이 이번 경기에 우승한다면 리그 우승이에요;if they win this match- they'll win the league
당신은 어느 팀을 지지해요?;which team do you support?
끄다;to turn off
켜다;to turn on
높이다;to turn up
낮추다;to turn down
가능성이 있다;to have a chance (of ... )
티브이를 끄다;to turn the TV off
낮다;to be low
높다;to be high
내 형의 팀은 우승할 가능성이 꽤 높아요;my brother's team has a pretty good chance of winning
그들은 아마도 리그에서 우승할 거예요;maybe they'll win the league
내가 생각하기에 우리팀은 내일 우승할 거예요;I think our team will win tomorrow
산들바람;breeze
땅;ground
선탠로션;suntan lotion
장화;rubber boots
강풍;strong wind- gale
같다;to be the same
~을 것 같다 (~ㄹ 것 같다);to be the same as ...
강풍의 위험이 있었어요;there was a risk of strong wind
햇빛이 날 가능성이 있어서 우리는 선탠로션을 가져왔어요;there was a chance of sunshine so we brought suntan lotion
내일 비가 올 것 같기 때문에 그들은 비옷이 필요할 거예요;it'll rain tomorrow so they'll need their raincoats
땅에 눈이 많이 있었어요;there was a lot of snow on the ground
눈이 너무 많이 내려서 우리는 밖으로 나갈 수 없었어요;it snowed so much we couldn't go outside
사실이다;to be true
거짓이다;to be false
거짓말하다;to (tell a) lie
동의하다;to agree
좋다;to be good
공평하다;to be fair
불공평하다;to be unfair
어리석다;to be silly
그냥 나에게 말해주세요;just talk to me
우리는 동의하지 않아요;we don't agree
나는 당신에게 동의하지 않아요;I don't agree with you
그녀는 절대 내 말을 듣지 않아요;she never listens to what I'm saying
이것은 공평하지 않아요;this isn't fair
나에게 거짓말하지 마세요;don't lie to me
이것은 정말 불공평해요;this is very unfair
이것은 그냥 어리석은 다툼일 뿐이에요;this is just a silly argument
주사위;die (dice)
던지다;to throw
주사위는 이미 던져졌어요;the die is cast
이것이 내가 생각하는 바입니다;I have thrown in my two cents
벌다;to earn
아끼다;to save
한 푼 아끼려고 하다 열 냥 잃는다;penny-wise- pound-foolish
세상사;situation of the world
세상사가 다 그런 거예요;that's just the way it goes
행동;action- behavior
~보다;than
말보다 행동이 중요해요;actions speak louder than words
살인;murder
살인범;murderer
죽이다;to kill
강도;robber
사건;case
강도 사건;robbery
털다;to rob
희생자;victim
용의자;suspect
목격자;witness
총;gun
마스크;mask
마약;drug
거래하다;to deal (to do business)
무기;weapon
살인 무기;murder weapon
주머니;pocket
찌르다;to stab
쏘다;to shoot
잡다;to catch- to hold
대낮에;in broad daylight
현행범;red-handed
그것은 강도 사건이었어요;it was a robbery
그것은 살인이었어요;it was murder
목격자는 용의자를 봤어요;the witness saw the suspect
그는 대낮에 은행을 털었어요;he robbed the bank in broad daylight
경찰은 살인범을 현행범으로 잡았어요;the police caught the murderer red-handed
유감스럽게도 경찰은 살인 무기를 발견할 수 없었어요;unfortunately- the police couldn't find the murder weapon
손바닥;palm
손바닥을 마주치다;to put (your) palms together
소리가 난다;to make a sound
손바닥도 마주쳐야 소리가 난다;it takes two to tango
쉽게;easily
쉽게 얻은 것은 쉽게 잃는다;easy come- easy go
자업자득;what goes around comes around
모르는 것이 약이다;ignorance is bliss
경험은 최고의 스승이다;experience is the best teacher
들판;(farmer's) field
나무;tree
식물;plant
폭포;waterfall
강;river
도로;road
표지;sign
도로 표지판;road sign
길을 잃다;to get lost
사라지다;to disappear
안으로;into
향하여;towards
마침내;finally
나는 ~기를 바란다;I hope (that ... )
나는 ~라고 말했어요;I said (that ... )
걸어가다;to walk
들어가다;to enter- to go into
걸어 들어가다;to walk into ... - to enter
우리는 정글 안으로 걸어 들어갔어요;we walked into the jungle
우리가 길을 잃지 않기를 바란다;I hope we don't get lost
내 남편은 "우리가 길을 잃지 않기를 바란다"라고 말했어요;my husband said "I hope we don't get lost"
갑자기 우리 여행 가이드가 사라졌어요;suddenly our tour guide disappeared
우리는 폭포를 향하여 걸어가려고 했지만, 그것은 너무 위험했어요;we tried to walk towards the waterfall- but it was too dangerous
마침내 우리는 도로 표지판을 찾았어요;finally we found a road sign
우리는 강을 따라갔기 때문에 길을 잃지 않았어요;we didn't get lost because we followed the river
소란 피우다;to make a fuss
소란 피우지 마세요;don’t make a fuss
정곡;mark- target
정곡을 찔렀어요!;bullseye!
입조심;biting (my) tongue
나는 입조심 했어야 해요;I had to bite my tongue
정도;(a high) degree
지나치다;to be excessive
당신은 정도가 지나쳤어요;you have crossed the line
판단하다;to judge
당신이 판단하세요;that's your call
증거;evidence
알리바이;alibi
훔치다;to steal
증명하다;to prove
체포하다;to arrest
풀어주다;to release
사방에;everywhere
어디에도;nowhere
~없는;without
증거 없는 사건은 없어요;there is no case without evidence
용의자는 알리바이가 없어요;the suspect has no alibi
목격자들이 사방에 있었어요;there were witnesses everywhere
누군가가 마약을 훔쳤어요;someone stole the drug
경찰은 증거 없는 용의자를 체포할 수 없어요;the police can't arrest the suspect without evidence
그것은 아무것도 증명할 수 없어요;it doesn't prove anything
커플;couple
전 여자친구;ex girlfriend
전 남자친구;ex boyfriend
데이트 하다;to date
그리워하다;to miss (someone)
상관하다;to care- to mind
배려하다;to care (about someone)
화해하다;to make up- to reconcile
경멸하다;to despise
서로;each other
그들은 더 이상 서로 말하지 않아요;they don't speak to each other anymore
우리는 커플이었지만 더 이상은 아니에요;we used to be a couple- but not anymore
그는 여전히 그의 전 여자친구를 배려해요;he still cares about his ex girlfriend
그들은 절대 서로 함께 말하지 않아요;they never speak to each other
우리는 화해해야 해요;we should make up
치료;treatment
수술;operation
알약;pill
환자;patient
항생제;antibiotics
크림;cream
술;alcohol
패스트푸드;fast food
정크푸드;junk food
부서지다;to break- to smash
쉬다;to rest
사용하다;to use
피하다;to avoid
효과;effect
효과가 있다;to have an effect
해롭다;to be harmful- to be unhealthy
건강하다;to be healthy (person)
건강식;healthy food
즉시;immediately
최소한;at least
어떻게 해서 당신의 코가 부러졌어요?;how did you break your nose?
이 치료는 즉시 효과가 있어요;this treatment immediately has an effect
그 환자는 최소한 일주일은 쉬어야 해요;the patient has to rest for at least a week
그 환자는 몸에 해로운 음식은 피해야 해요;the patient should avoid unhealthy food
모든 패스트푸드가 정크푸드는 아니에요;not all fast food is junk food
마라톤;marathon
규칙;rule
노력;effort
메달;medal
금;gold
은;silver
따다;to pick (fruit from tree)
메달을 따다;to get a medal
노력을 하다;to make an effort
반칙하다;to cheat (in games)
차다;to kick
훈련하다;to train
설명하다;to explain
거대하다;to be huge
아주 작다;to be tiny
자랑스럽다;to be proud
만일 노력을 한다면, 너는 메달을 딸 수 있을 거야;if you make an effort- you can win a medal
만일 그녀가 금메달을 딴다면, 나는 그녀가 정말 자랑스러울 거예요;if she gets a gold medal- I'll be very proud of her
꿈;dream
꿈꾸다;to dream
팝스타;pop star
전문가;expert
음악가;musician
영화감독;(movie) director
배우;actor
여배우;actress
디자이너;designer
학위;(academic) degree
학위를 받다;to get a degree
세계를 여행하다;to travel the world
열다;to open
닫다;to close
전문적인;professional
가난하다;to be poor
부자;rich man
내 평생;my whole life
내 딸은 팝스타가 되고 싶어 해요;my daughter wants to become a pop star
그는 세계를 여행하고 싶어 해요;he wants to travel the world
그의 가족은 가난하기 때문에 그는 부자가 되고 싶어 해요;his family is poor so he wants to become a rich man
나는 내 평생 유명한 작가가 되고 싶었어요;I wanted to become a famous writer my whole life
음악가가 되는 것은 내 꿈이에요;it's my dream to be a musician
나는 항상 전문적인 씨름 선수가 되는 것이 꿈이었어요;I always dreamed of becoming a professional ssireum wrestler
꿈의 직업;dream job
나는 ~을 거예요;I would
상상하다;to imagine
그것은 ~일 거예요;it will be ...
독신;single (not in a relationship)
실직하다;to be unemployed
영원히;forever
꿈의 직업을 상상하라;imagine your dream job
상관없다;to not care- to not mind
나는 돈은 상관없어요;I don't care about money
나는 영원히 싱글이고 싶지 않아요;I don't want to be single forever
나는 당신이 정말 성공할 것이라고 확신해요;I'm sure you'll be very successful
나는 영원히 살고 싶어요;I want to live forever
그것은 환상적일 거예요;it's going to be fantastic
관점;point of view
대답;answer- response
대답하다;to answer- to respond
사과하다;to apologize
열심히;diligently
열심히 하다;to try hard
계속하다;to continue- to keep (doing something)
농담하다;to be kidding
반박하다;to contradict
정직하다;to be honest
괜찮다;to be alright
같은;same
당신은 노력해야 해요;you have to make an effort
같은 실수는 다신 하지 마세요;don't make the same mistake again
만일 당신이 열심히 한다면 모든 것이 다 괜찮을 거예요;if you try hard- everything will be alright
이상형;the man of my dreams- the woman of my dreams
얼간이;jerk
사랑에 빠지다;to fall in love
헤어지다;to break up
공유하다;to share
망치다;to ruin
상냥하다;to be sweet
공손하다;to be polite
다정하다;to be gentle
섹시하다;to be sexy
똑똑하다;to be intelligent
웨딩;wedding
결혼;marriage
결혼하다;to marry- to get married
결혼했다;to be married
약혼하다;to get engaged
약혼했다;to be engaged (to be married)
이혼하다;to get divorced
이혼했다;to be divorced
내 전부;my everything
내 반쪽;my other half
당신은 어떻게 사랑에 빠졌었어요?;why did you fall in love?
그녀는 내 이상형이기 때문에 ~;... because she's the woman of my dreams
당신의 이상형은 어떤 남자예요?;what kind of man is the man of your dreams?
내 이상형은 용감하고 다정한 남자예요;the man of my dreams is a brave and gentle man
그들은 삼 주 후에 약혼했어요;they got engaged after three weeks
내 부모님은 이혼했어요;my parents are divorced
우리는 헤어졌어요;we broke up
세상에 남자는 많아요;there are plenty of fish in the sea
감옥;prison
죄수;prisoner
판사;judge
감방;cell
범죄 현장;crime scene
종신형;life sentence
법정;court (of law)
재판;trial
재판중에;on trial (in court)
폭력;violence
괴물;monster
맹세;vow- pledge
맹세하다;to swear
기억하다;to remember
선고하다;to sentence
~처럼 보여요;look like ...- seem like ...- seem
~처럼 들려요;sound like ...
믿다;to believe
공격하다;to attack
방어하다;to defend
평범하다;to be normal
죄책감을 느끼다;to be guilty
결백하다;to be innocent
당신은 그가 어떻게 보였는지 기억해요?;do you remember what he looked like?
그는 괴물처럼 보였어요;he looked like a monster
나는 아무것도 모른다고 맹세해요!;I swear I know nothing!
나는 그를 믿지 않아요;I don't believe him
판사는 강도에게 오년형을 선고했어요;the judge sentenced the robber to five years
법과 질서;law and order
알아보다;to recognize
묘사하다;to describe
그림을 그리다;to draw a picture
가리키다;to point
가운데에;in the middle
왼쪽에;to the left
오른쪽에;to the right
~거나;either ... or
이것은 명령이다!;this is an order!
내가 생각하기에 그는 왼쪽에 그 남자였어요;I think it was the man to the left
당신은 그의 그림을 그릴 수 있어요?;can you draw a picture of him?
묘사하거나 그림으로 그려요;either describe or draw
그 여자를 묘사하거나 그림으로 그려요;either describe the woman or draw a picture
당신은 그 여자를 묘사하거나 그림으로 그릴 수 있어요;you can either describe the woman or draw a picture
압력;pressure
혈압;blood pressure
마취약;anaesthetics
피부;skin
생리;period (menstruation)
성별;sex- gender
에너지;energy
운동하다;to exercise
