글;article
~에 대한 글;article on ...
비밀;secret
비밀을 지키다;to keep a secret
인구;population
펀드;fund
권리;right
사람의 권리;human right
출판하다;to publish
폭로하다;to reveal
지구;Earth
별;star
우주비행사;astronaut
행성;planet
우주;universe- (outer) space
우주선;spaceship
외계인;alien
탐사하다;to explore
날아가다;to fly
발견하다;to discover
다르다;to be different
비슷하다;to be similar
우주의 끝으로;to the edge of the universe
만일 내가 날아갈 수 있었다면 나는 별에 갈 수 있었을 거예요;if I could fly- I could go to the stars
만일 내가 우주비행사였다면 나는 우주에 갈 수 있었을 거예요;if I were an astronaut- I could go to outer space
만일 내가 우주선이 있었다면 나는 우주의 끝으로 날아갈 수 있었을 거예요;if I had a spaceship- I could fly to the edge of the universe
부서;department
다이아몬드;diamond
상자;box
증정하다;to present
보고하다;to report
대표하다;to represent
담겨 있다;to contain
문제를 보고했던 그 남자 ~;... the man who reported the problem
영화관에서 일했던 그 소녀 ~;... the girl who worked at the movie theater
다이아몬드가 담겨 있던 그 상자 ~;... the box which contained the diamonds
내가 오늘 아침에 썼던 그 편지 ~;... the letter which I wrote this morning
누나가 정부에서 일했던 그 남자 ~;... the man whose sister worked for the government
희망;hope
언제나;always- ever
언제나 희망이 있어요;there is always hope
기대;expectation
기대하지 마세요;don't get your hopes up (polite)
곤경;trouble- difficulty
곤경에 빠지다;to get into trouble
우리는 큰 곤경에 빠졌어요;we're in deep trouble
긍정적이다;to be positive
긍정적인 생각들을 해요;think positive thoughts
참다;to suppress
견디다;to endure
참고 견뎌요;hang in there
지나가다;to pass
그것은 다 지나간 일이에요;it's water under the bridge now
이유;reason
원인;cause
~인 것 같다;to seem- to appear
방해;disturbance
방해가 되다;to be in the way- to be a disturbance
그렇죠?;... right?- ... is it?- ... isn't it? (general question marker)
그는 별로 영리하지 않아요, 그렇죠?;he isn't very clever- is he?
그는 항상 방해가 돼요, 그렇죠?;he's always in the way- isn't he?
치료는 효과가 있는 것 같지 않아요, 그렇죠??;the treatment doesn't seem to have an effect- does it?
그는 현명한 정치가처럼 보여요, 그렇죠?;he seems to be a clever politician- doesn't he?
전자제품;electronics
이메일;email
문자;text (message)- letter (alphabet)
프로그램;program
컴퓨터 프로그램;computer program
엔지니어;engineer
프로그래머;programmer
화면;screen
버전;version
모범;model (formular)
과정;process
사이트;website
인터넷;internet
사회의;social
미디어;media
소셜 미디어;social media
이용자;user
프로필;profile
등록하다;to register (online)
로그인 하다;to log in
로그아웃 하다;to log out
설정하다;to set- to adjust
게시하다;to post (post on social media)
데이터;data
온라인;online
오프라인;offline
구식인;outdated
최신의;updated
산업;industry
서비스;service
잔액;credit- balance (on account)
흔들다;to shake
악수하다;to shake hands
머리를 흔들다;to shake (one's) head
끄덕이다;to nod
남아있다;to remain
남아있지 않다;to be out (of ... )
보호하다;to protect
받아들이다;to accept
언급하다;to note- to mention
결정;decision
결정하다;to decide- to determine
나타내다;to indicate (suggest)
주장하다;to claim
요구하다;to require
단지;only
내 폰에 잔액이 남아있지 않다고 말했잖아요;I told you I was out of credit on my phone
그들은 단지 아이들을 보호하고 있었다고 주장해요;they claim they were only protecting the children
그들은 부모가 될 것이라고 말했어요;they said that they were going to be parents
그는 매장이 정오에 닫혀있었다고 언급했어요;he noted that the store was closed at noon
증거는 당신이 유죄임을 나타내요;the evidence indicates that you're guilty
행정;administration
기관;organization- institution
퍼센트;percent
계약;contract
회사;company- firm
기간과 조건;terms and conditions
사인하다;to sign
성장하다;to develop
개인의;private
개인적인;personal
공적인;public
일반 국민;the public
합법의;legal
불법의;illegal
상업적인;commercial
조금도;at all
당국;(the) authorities
안전;safety
안전벨트;seat belt
수사;(criminal) investigation
인플레이션;inflation
준비하다;to prepare
고용하다;to hire
해결하다;to solve
향상하다;to improve
창조하다;to create
야기하다;to cause
키우다;to raise (a child)
잔혹하다;to be cruel
극심하다;to be severe- to be intense
재미를 위해;for fun
말도 안 된다;to be ridiculous
최근에;recently
충분히;sufficiently
~에 의해;by- depending on ...
사건은 경찰에 의해 해결되었어요;the case was solved by the police
병원은 당국에 의해 만들어졌어요;the hospital was built by the authorities
다물다;to shut- to close
왜 입을 다물고 있어요?;cat got your tongue?
억수같이;in torrents
비가 억수같이 내려요;it's raining cats and dogs
