elva;eleven- 11
tolv;twelve- 12
tretton;thirteen- 13
fjorton;fourteen- 14
femton;fifteen- 15
sexton;sixteen- 16
sjutton;seventeen- 17
arton;eighteen- 18
nitton;nineteen- 19
tjugo;twenty- 20
nu ... vi;let's ...
nu går vi och shoppar!;let's go shopping!
nu går vi till marknaden!;let's go to the market!
jag vill;I want - I wish
jag vill köpa något till dig;I want to buy something for you
det finns ett stort apotek;there is a big pharmacy
det är mycket folk;there are many people
finns det en bankomat?;is there an ATM?
det finns inga banker;there are no banks
det finns många små sportaffärer;there are many small sport shops
kunden har alltid rätt;the customer is always right
en tallrik;a plate
ett glas;a glass
en kopp;a cup
en flaska;a bottle
en latte;a latte
en förrätt;a starter
en huvudrätt;a main course
en efterrätt;a dessert
skulle;would- should
att vilja;to want
skulle vilja;would like
jag skulle vilja ha ...;I would like to have ...
vill du ha ... ?;do you want ... ?
vad vill du ha?;what do you want?
någon (något; några);any- someone- something
ingen (inget; inga);no- no one (plural)
eller;or
jag skulle vilja ha en kopp te, tack;I would like a cup of tea- please
vad vill du ha att äta?;what do you want to eat?
vill du ha en flaska eller ett glas?;do you want a bottle or a glass?
jag skulle vilja ha lite mjölk, tack;I would like some milk- please
har ni några efterrätter?;do you have any desserts?
jag har inget;I have nothing
jag har inget vatten;I don't have any water
det är klart jag har lite vatten;of course I have some water
att göra;to make- to do
ursäkta;excuse me
att ligga;to be situated- to lie (in bed)
var ligger ... ?;where is ... ?
ett sjukhus;a hospital
var ligger sjukhuset?;where is the hospital?
här är det;here it is
bara;just- only
bara lite;just a little
räcker;enough
det räcker!;that's enough!
att laga;to make (food)- to fix
vad gör du?;what are you doing?
möjligt;possible
det är möjligt;it's possible
är det möjligt?;is it possible?
omöjligt;impossible
det är omöjligt!;it's impossible!
en synd;a sin
vad synd!;what a shame!
engelska;English (language)
att prata;to speak- to talk
lite;a little- some
pratar du svenska?;do you speak Swedish?
jag pratar engelska;I speak English
det är klart!;of course!
det är klart jag pratar engelska!;of course I speak English
jag pratar lite svenska;I speak a little Swedish
du pratar jättebra svenska;you speak Swedish very well
en person;a person
en kvinna;a woman
ett barn;a kid- a child
en bebis;a baby
en vuxen;an adult
ett jobb;a job
en skola;a school
ett kontor;an office
att jobba;to work
vem;who (singular)
vilka;who (plural)
vem är du?;who are you?
vilka är de?;who are they?
jag känner inte den där personen;I don't know that person
det här är min mamma;this is my mum
han är min bror;he is my brother
det här är min mamma och pappa;this is my mum and dad
det där är inte min dotter;that's not my daughter
det här är min kompis från Sverige;this is my friend from Sweden
har han någon flickvän?;does he have a girlfriend?
har din pojkvän något jobb?;does your boyfriend have a job?
han jobbar på kontor;he works in an office
en drink;a cocktail- a drink (alcoholic)
en dryck;a drink (any type of)
en älskling;a darling
en älsklings-;a favourite (something)
här;here
där;there
den här (det här);this
den där (det där);that
faktiskt;actually- in fact
han tycker om kaffe;he likes coffee
han tycker inte om fisk;he doesn't like fish
hon tycker inte om kaffe, och inte te heller;she doesn't like coffee- and not tea either
det finns ingen mat;there is no food
finns det någon soppa?;is there any soup?
kaffe är min älsklingsdryck;coffee is my favourite drink
jag tycker faktiskt om det här;I actually like this
det här är jättegott;this is delicious
vad är det där?;what's that?
det är klart han tycker om sallad;of course he likes salad
en familj;a family
en mamma;a mum
en pappa;a dad
en förälder;a parent
en syster;a sister
en bror;a brother
en farfar;a grandpa (paternal)
en morfar;a grandpa (maternal)
en farmor;a grandma (paternal)
en mormor;a grandma (maternal)
en farförälder;a grandparent (paternal)
en morförälder;a grandparent (maternal)
en son;a son
en dotter;a daughter
en vän;a buddy
en kompis;a friend
en pojke;a boy
en flicka;a girl
en pojkvän;a boyfriend
en flickvän;a girlfriend
en man;a man- a husband
en fru;a wife
en sak;a thing- an item
en marknad;a market
en bank;a bank
en automat;a vending machine
en bankomat;an ATM
ett apotek;a pharmacy
en kiosk;a kiosk
folk;people
en affär;a shop- a store
en mataffär;a supermarket
en bil;a car
en taxi;a taxi
en bok;a book
en sport;a sport
en sportaffär;a sport store
en kund;a customer- a client
att gå;to walk- to go (on foot)- to step
att köpa;to buy
att sälja;to sell
att betala;to pay
att shoppa;to go shopping (for leisure)
att handla;to go shopping (e.g. for food)
små;small
det finns;there is- there are
många;many- a lot of
mycket;much- very- a lot of ...
ingenting;nothing
alltid;always
aldrig;never
en färg;a colour
röd;red
blå;blue
gul;yellow
grön;green
svart;black
rosa;pink
lila;purple- lillac
vit;white
orange;orange
brun;brown
grå;grey
ljus;light
mörk;dark
ljusblå;light blue
mörkröd;dark red
ett djur;an animal
en hund;a dog
en katt;a cat
en fågel;a bird
en ko;a cow
en gris;a pig
en höna;a chicken
en fisk;a fish
en kanin;a rabbit
en orm;a snake
ett lejon;a lion
en elefant;an elephant
en häst;a horse
ett får;a sheep
en apa;a monkey
en hundvalp;a puppy
en kattunge;a kitten
en giraff;a giraffe
en åsna;a donkey
en mus;a mouse
modig;brave
smart;clever
dum;stupid
envis;stubborn
fri;free (to roam)
tyst;quiet
som;as- like- which- who
envis som en åsna;stubborn as a donkey
fri som en fågel;free as a bird
ett paraply;an umbrella
en väska;a bag
en påse;a bag (supermarket bag)
en plånbok;a wallet
att kissa;to pee
måste;must- (to) have to
ny;new
gammal;old
stängt (stängd);closed
öppet (öppen);open
vill du ha en ny skjorta?;do you want a new shirt?
han vill ha de blåa byxorna;he wants the blue trousers
vad vill du köpa?;what do you want to buy?
jag vill köpa lite kläder;I want to buy some clothes
jag måste kissa;I have to pee
jag måste köpa ett paraply;I have to buy an umbrella
banken är öppen;the bank is open
Stockholm;Stockholm
Göteborg;Gothenburg
London;London
Washington;Washington (D.C.)
New York;New York
en lägenhet;a flat
ett hus;a house
att bo;to live (somewhere)
i;in
varför;why
därför;therefore
för att;because
så;so- as
att;that- to
jaså!;oh- is that it!
de bor i Göteborg;they live in Gothenburg
hon har ett hus i Stockholm;she has a house in Stockholm
du är alltid glad;you're always happy
han är aldrig nöjd;he's never happy
varför är du så ledsen?;why are you so sad?
... för att du är sjuk;... because you're sick
jag är arg för att jag är hungrig;I'm angry because I'm hungry
jaså, är det därför!;oh- so that's why!
han är lite ledsen för att han inte har någon flickvän;he's a little sad because he doesn't have a girlfriend
nötter;nuts
godis;sweets
choklad;chocolate
kaka;cake
pizza;pizza
socker;sugar
salt;salt
peppar;pepper
en vegetarian;a vegetarian
vegetarisk;vegetarian
varm;warm
het;hot
kall;cold
allergisk;allergic
allergisk mot ...;allergic to ...
beroende;addicted
beroende av ...;addicted to ...
tycker du om godis?;do you like sweets?
jag är vegetarian;I'm vegetarian
är soppan varm?;is the soup hot?
är den vegetarisk?;is it vegetarian?
han är allergisk mot nötter;he's allergic to nuts
vi är beroende av socker;we're addicted to sugar
en dag;a day
en vecka;a week
en månad;a month
ett år;a year
ung;young
det här är min hund;this is my dog
hur gammal är han?;how old is he?
han är tolv år gammal;he's twelve years old
min katt är jättegammal;my cat is very old
du är jätteung;you're very young
kläder;clothes
byxor;trousers
en skjorta;a shirt
en T-shirt;a T-shirt
en kjol;a skirt
en klänning;a dress
shorts;shorts
en jacka;a coat- a jacket
en kappa;a woman's coat
en rock;a man's coat
en tröja;a jumper
en sjal;a scarf (women's)
en halsduk;a scarf (men and women's)
en mössa;a hat
en kostym;a suit
strumpor;socks
skor;shoes
tofflor;slippers
stövlar;boots
handskar;gloves
vantar;mittens
underbyxor;knickers
kalsonger;pants
tid;time
en timme;an hour
en minut;a minute
en sekund;a second
en tid;a time- an appointment (with the doctor- hair dresser or similar)
en date;a date (romantic)
ett möte;a meeting
en halv;a half
över;past- over- excess
när;when (in questions)
klockan;the clock- the watch- the bell
nästan;almost- nearly
nu;now
vilken (vilket);which- what
vad är klockan?;what time is it?
den är två;it's two o'clock
den är halv nio;it's eight thirty
den är tjugo över sju;it's twenty past seven
den är tio i två;it's ten to two
den är sex minuter över fem;it's six minutes past five
när är din date?;when is your date?
vilken tid?;at what time?
klockan tio i fyra;at ten to four
klockan ett;at one o'clock
trettio;thirty- 30
fyrtio;forty- 40
femtio;fifty- 50
sextio;sixty- 60
sjuttio;seventy- 70
åttio;eighty- 80
nittio;ninety- 90
etthundra;one hundred- 100
fyrtiosex;forty-six- 46
tjugofyra;twenty-four- 24
trehundra;three hundred- 300
att mena;to mean (what you say)
förstår du vad jag menar?;do you see what I mean?
ett problem;a problem- an issue
vad är problemet?;what's the problem?
inga problem;no problem
lugn;calm
lugna dig!;calm down!
det är lugnt;that's cool
att oroa sig;to worry
oroa dig inte;don't worry
att bry sig;to care- to mind
jag bryr mig inte;I don't care
hoppsan!;oops!
åh, nej!;oh- no!
minsann!;indeed!
grattis!;congratulations!
jippee!;yay!
