en slips;a tie
en artikel;an article
hår;hair
glasögon;glasses- spectacles
att ha på sig;to wear
att skriva;to write
blond;blonde
rödhårig;ginger
ibland;sometimes
varje;every
hon har på sig en röd klänning ibland;she sometimes wears a red dress
hon är blond;she's blonde
hon har bruna ögon och grått hår;she has brown eyes and grey hair
jag är journalist;I'm a journalist
jag skriver artiklar varje dag;I write articles every day
ett land;a country
en huvudstad;a capital
en flagga;a flag
Storbritannien;the United Kingdom- Great Britain
Tyskland;Germany
Italien;Italy
Frankrike;France
Japan;Japan
Kina;China
Egypten;Egypt
Kanada;Canada
Norge;Norway
Danmark;Denmark
Korea;Korea
Skottland;Scotland
ett tåg;a train
en buss;a bus
en station;a station
en tågstation;a train station
en stad;a town- a city
ett centrum;a city centre- a middle
en park;a park
en pub;a pub
en teater;a theatre
ett bibliotek;a library
en turist;a tourist
en karta;a map
en guide;a tour guide
en guidebok;a guide book
en väg;a way- a street- a road
att vara på väg ...;to be going ...
att hitta;to find
att gå vilse;to get lost
förvirrad;confused
borta;away- gone
här borta;over here
där borta;over there
vart;where to
vart är du på väg?;where are you going?
jag vill hitta teatern;I want to find the theatre
var ligger stationen?;where is the train station?
parken är här borta;the park is over here
vi har ett problem;we have a problem
vi har gått vilse;we're lost
har du en karta?;do you have a map?
jag är turist;I'm a tourist
jag är lite förvirrad;I'm a little confused
hon är på väg till en pub;she's going to a pub
en polis;a police
en journalist;a journalist
en doktor;a doctor
en psykolog;a psychologist
en tandläkare;a dentist
en lärare;a teacher
en författare;a writer
en professor;a professor
en advokat;a lawyer- a solicitor
en konstnär;an artist
en servitör;a waiter
en servitris;a waitress
en student;a student (at university)
en elev;pupil- a student (in a school)
en stund;a moment
att tänka;to think (thoughts) - to imagine
att titta;to look- to watch
att prova;to try- to try on
dyr;expensive
dyrare;more expensive
billig;cheap
billigare;cheaper
verkligen;really- real
jag behöver en ny mössa;I need a new hat
jag behöver tänka en liten stund;I need a moment to think
titta på den där;look at that
kan jag få ... ?;is it possible ... ?
kan jag få prova den här?;is it possible to try this on?
den är verkligen dyr;it's really expensive
den här är billigare;this is cheaper
den där är faktiskt större;that is actually bigger
en fråga;a question
en gata;a street
ett hörn;a corner
en byggnad;a building
att svänga;to turn (left or right)
att följa;to follow
att följa med ...;to come with …
att stanna;to stop (a movement) - to stay- to remain
att fråga;to ask
att ställa;to put- to stand
att ställa en fråga;to ask a question
jag får;I can- I'm allowed
höger;right
vänster;left
rakt fram;straight
fort;quick- quickly- fast
fortare;quicker- faster
långsam;slow
får jag fråga dig en sak?;can I ask you something?
sväng vänster;turn left
du pratar för fort;you speak too quickly
kan du prata långsammare, tack?;can you speak slower- please?
det ligger på den här gatan;it's on this street
en dam;a lady
en herre;a gentleman
mina damer och herrar ...;ladies and gentlemen ...
en gång;once- time (an occasion)
det var en gång ...;once upon a time ...
alla;all (plural)- any- every
sin (sitt, sina);his (own)- her (own)- their (own)
i alla sina dagar;in all their days
att leva;to live (be alive)
lycklig;happy (in life)
... och så levde de lyckliga i alla sina dagar;... and they lived happily ever after
ta hand om dig;take care of yourself
åh gud!;oh my god!
någonsin;ever
aldrig någonsin!;never ever!
för resten ...;by the way ...
ett sätt;a way (method)
på ett sätt;in a way
kom igen!;come on!
skit också!;damn!
akta dig!;watch out! (singular)
ett rum;a room- a space
ett kök;a kitchen
ett sovrum;a bedroom
ett badrum;a bathroom
ett vardagsrum;a living room
en gäst;a guest
ett gästrum;a guest room
på övervåningen;upstairs
på nedervåningen;downstairs
bredvid;next to
mellan;between
var är toaletten?;where is the toilet?
den ligger mellan köket och vardagsrummet;it's between the kitchen and the living room
en nödsituation;an emergency
en olycka;an accident
ont;(a) pain- evil
värk;(an) ache
ont i magen;(a) stomachache
huvudvärk;(a) headache
en infektion;an infection
en förkylning;a cold
feber;(a) fever
influensa;(the) flu
medicin;medicine
papper;paper
en toalett;a toilet
toalettpapper;toilet paper
fel;wrong
jag borde;I should- I ought to ...
att ha ont;to be in pain
att göra ont;to hurt (something is hurting)
att kräkas;to vomit- to throw up
att blöda;to bleed
det här är en nödsituation;this is an emergency
vad är det för fel?;what's wrong?
jag mår inte bra;I don't feel well
det gör ont;it hurts
jag har ont i magen;I have a stomachache
du borde gå till doktorn;you should go to the doctor
