sist (sista);last- final
förr (förra);formerly- last (past)
igår kväll;last night (evening)
igår natt;last night- tonight (during sleep)
i två månader;for two months
tills;until
för tre veckor sedan;three weeks ago
var;was- were
jag väntade;I waited
jag beställde;I ordered
liv;life
död;death- dead
en utbildning;an education
en dusch;a shower- a bath
att ta en dusch;to take a shower
att hoppas;to hope
på morgonen;in the morning
sedan;since- then- later- ago
vad tycker du om att göra på morgonen?;what do you like to do in the morning?
jag tycker om att gå ut och springa och sedan ta en dusch;I like to go for a run and then take a shower
vad vill du göra med ditt liv?;what do you want to do with your life?
vill din dotter ha en utbildning?;does your daughter want an education?
det hoppas jag;I hope so
kultur;culture
ett bråk;an argument (fight)
att slå;to hit- to beat
att bråka;to argue
att slåss;to fight
en diskussion;a discussion
att göra ... arg;to make ... angry
att såra;to hurt (someone else)
nyfiken;curious
generad;embarrassed
orolig;worried
rädd;scared- afraid
spänd;excited
nervös;nervous
intressant;interesting
viktig;important
han blir generad av att prata om sitt förhållande;talking about his relationships makes him embarrassed
min pappa vet ingenting om teknik;my dad knows nothing about technology
ska vi berätta för dem om bråket?;should we tell them about the argument?
fotboll;football
amerikansk fotboll;American football
badminton;badminton
ishockey;ice hockey
golf;golf
tennis;tennis
segling;sailing (sport)
handboll;handball
gymnastik;gymnastics
boxning;boxing
att fiska;to fish (fishing)
jag hjälpte min pappa i köket igår;I helped my dad in the kitchen yesterday
vi väntade i två veckor;we waited for two weeks
jag studerade i Japan i två månader;I studied in Japan for two months
vi beställde fyra förrätter igår;we ordered four starters yesterday
de reste till Tyskland i förra veckan;they travelled to Germany last week
de bodde i Kina i åtta år;they lived in China for eight years
jag älskade honom;I loved him
han pratade jättebra engelska;he spoke English very well
vi drack för mycket öl igår kväll;we drank too much beer last night
jag köpte den där bilen för tjugo år sedan;I bought that car twenty years ago
vi tog en taxi;we took a taxi
jag skrev en bok för två år sedan;I wrote a book two years ago
de åt inte middag med oss;they didn't have dinner with us
jag såg henne på biblioteket igår;I saw her in the library yesterday
vi kom till det här landet för många år sedan;we came to this country many years ago
det fanns inga bra filmer att se;there were no good films to watch
spännande;exciting
rolig (roligt);fun- funny
tråkig (tråkigt);boring
tom;empty
full;full- drunk
att höras;to speak (again)
att slappna av;to relax
att bli full;to get drunk
att gå på bio;to go to the cinema
jag skulle kunna;I could- I might
det blir jättebra;it'll be great
ska du titta på film ikväll?;are you going to watch a film tonight?
vi skulle kunna gå på bio;we could go to the cinema
han ska gå på museum i eftermiddag;he's going to go to a museum this afternoon
när ska du gå?;when are you going to leave?
vi hörs senare;we'll speak later
en refräng;a chorus
en poäng;a point (in an argument)
vad är poängen?;what's the point?
vad är planen?;what's the plan?
att verka;to seem- to appear- to look
klok (klokt);wise
mening;sense- meaning- opinion
vad är det för mening med det?;what's the point- where is the sense in that?
det verkar klokt;that seems wise
det är inte klokt!;that's crazy!
det knallar ...;it's okay- it's business as usual
det kan bli svårt;no- that is not doable
dags;time (to do something)
det är dags att tänka på refrängen;it's time to call it a night
vad tänker du på?;what's on your mind?
mot (emot);forwards- against
förr eller senare;sooner or later
att se fram emot;to look forward to ...
vi ser fram emot att se dig;we look forward to seeing you
vi ser fram emot att träffa dig;we look forward to meeting you
en idiot;a fool- an idiot
var inte en sådan idiot!;don't be such a fool!
var tyst!;be quiet!
ett samtal;a conversation
ett förhållande;a relationship- a relation
vädret;(the) weather
politik;politics
teknik;technology- technique
hälsa;health
kärlek;love
ett kärleksliv;a love life
vetenskap;science
att berätta;to tell
att berätta om ...;to tell about ...
att prata om ...;to talk about ...
fransk;French (thing- not person or language)
japansk;Japanese (thing- not person)
kinesisk;Chinese (thing- not person or language)
indisk;Indian (thing- not person or language)
asiatisk;Asian (thing- not person)
europeisk;European (thing- not person)
vi kan ju alltid prata om vädret;we can always talk about the weather
fransmän älskar att prata om mat;French people love talking about food
vill du prata om din hälsa?;do you want to talk about your health?
jag vill inte prata om mitt kärleksliv;I don't want to talk about my love life
berätta om ditt förhållande;tell me about your relationship
kriminalitet;crime
straff;punishment
en deckare;a crime book- crime film
en thriller;a thriller
en dokumentär;a documentary
en komedi;a comedy
fiktion;fiction
drama;drama
trädgårdsarbete;gardening
en slags ...;a kind of ... - a type of ...
att sjunga;to sing
att njuta;to enjoy
att tycka bättre om;to prefer
bättre;better
bäst;best
att gilla;to like
gillar din kompis komedier?;does your friend like comedies?
hon tycker bättre om thrillers;she prefers thrillers
jag tycker om att spela basket;I enjoy playing basketball
hon tycker om att spela badminton, men hon tycker bättre om att segla;she enjoys playing badminton- but she likes sailing more
vilken slags filmer tycker din kompis bäst om?;what kind of films does your friend like the most?
jag tycker om drama, men jag tycker bättre om komedier;I like drama- but I prefer comedies
borta bra men hemma bäst;home- sweet home- it's good to be back
