norr (norra);north (northern)
söder (södra);south (southern)
öster (östra);east (eastern)
väster (västra);west (western)
Amerika;America
Nordamerika;North America
Sydamerika;South America
Europa;Europe
Afrika;Africa
Asien;Asia
Australien;Australia
Antarktis;Antarctica
en karriär;a career
att gå i pension;to retire
att säga upp sig;to quit (a job)
att komma tillbaka;to come back
att åka skidor;to go skiing
utomlands;abroad
att åka utomlands;to go abroad
rätt;pretty- rather- quite
fortfarande;still
brukar;usually- as a rule
ungefär;around- about- approximately
på måndagar;on Mondays
om två timmar;in two hours
berätta om din familj;tell me about your family
vi brukar åka utomlands på vintern;we usually go abroad in the winter
hon hade en rätt bra karriär för fem år sedan;she had a pretty good career five years ago
mina föräldrar går i pension om ungefär tre år;my parents will retire in about three years
mina morföräldrar åker fortfarande skidor;my grandparents (on mum's side) still go skiing
vi spelar fortfarande badminton tillsammans på onsdagar;we still play badminton together on Wednesdays
ett försök;an attempt- a try
att försöka;to try- to attempt (to do something)
vi gör ett försök;let’s give it a try
säker;certain- sure- safe
är du säker?;are you certain?
avgjort!;it's a deal!
ett steg;a step
vad är nästa steg?;what’s the next step?
på vilket sätt?;in what way?
enkel;simple
så enkelt är det inte;it isn't that simple
svårt;hard- difficult
hur svårt kan det vara?;how hard can it be?
vad tycker du?;what’s your opinion?
att gälla ...;to concern (something or someone)
det gäller inte dig;that's none of your concern
ett klaver;an accordion
att trampa;to tread (heavily)
nu trampade jag verkligen i klaveret;I really put my foot in it
ett foto;a photo
en bild;a picture
en video;a video
en souvenir;a souvenir
en by;a village
personal;staff- personnel
en ö;an island
en utsikt;a view
en buffé;a buffet
en överraskning;a surprise
att uppleva;to experience
avlägsen;remote
otrolig;incredible
igen;again
de här;these
de där;those
vill ni se våra bilder?;do you want to see our pictures?
det här är en bild på mig;this is a picture of me
vi åkte till en avlägsen by;we went to a remote village
det fanns många djur på den där ön;there were a lot of animals on that island
jag vill gärna höra den där historien igen;I would love to hear that story again
visa oss den där videon igen;show us that video again
var snäll och visa oss inte de där bilderna igen;please don't show us those pictures again
armén;army
militären;military
en soldat;a soldier
en general;a general
en bas;a base- a bass
en order;an order
krig;war
fred;peace
en lag;a law
en stat;a state
en ekonomi;an economy
en sänkning;a decrease
skatter;taxes
att lova;to promise
ett löfte;a promise
att hålla;to hold
att hålla ett löfte;to keep a promise
att ändra;to change
att sänka;to lower
att öka;to increase
att kontrollera;to control
nödvändig;necessary
det är en order!;it's an order!
krig är aldrig nödvändigt;war is never necessary
folket vill ha fred;the people want peace
politikerna bara lovar och lovar;the politicians just keep promising (things)
kungen har ingen makt över någonting;the king doesn't have any power over anything
ett skämt;a joke
en cykel;a bike
att cykla;to ride a bike
ett instrument;an instrument
en gitarr;a guitar
ett piano;a piano
att vara bra på ...;to be good at ...
att vara dålig på ...;to be bad at ...
att dra skämt;to tell jokes
att måla;to paint
att rita;to draw (a picture)
att baka;to bake
att lyssna;to listen
att höra;to hear
att lukta;to smell
att smaka;to taste
främmande;foreign
farlig;dangerous
särskilt;especially- particularly
ett exempel;an example
till exempel;for example
han är bra på att spela piano;he's good at playing the piano
jag är dålig på att dra skämt;I'm bad at telling jokes
hon är särskilt bra på att spela gitarr;she's especially good at playing the guitar
de är bra på många saker;they're good at many things
de är till exempel bra på matte;they're for example pretty good at maths
jag tycker matte  är svårt;I think maths is difficult
ett ställe;a place- a site
en plats;a seat (at a venue)- a square- a place
en upplevelse;an experience
