ett gott råd;a (piece of) good advice
ett meddelande;a message
uppmärksam;attentive
att vara uppmärksam;to be attentive
att klaga;to complain
mig själv;myself
dig själv;yourself
jag ska ge dig ett gott råd;let me give you some advice
du borde lyssna på dig själv;you should listen to yourself
du borde bara glömma honom;you should just forget him
du borde förlåta honom;you should forgive him
hon borde inte berätta det för någon;she shouldn't tell anyone
ska jag bara förlåta min pojkvän?;should I just forgive my boyfriend?
sluta oroa dig;stop worrying
ett faktum;a fact- a truth
att inse;to face- to accept- to realise
inse faktum;face the facts
vi får inse faktum;let's face the facts ...
att gå upp för;to occur (in thoughts)
det gick upp för mig ...;it occurred to me ...
bara så du vet ...;just so you know ...
ett citat;a quote
det här är mellan fyra ögon;this is between you and me
en idé;an idea
nuförtiden;in this day and age
ett villkor;a condition (not medical)- a term
på ett villkor;on one condition
att tänka (sig);to imagine (oneself)
kan du tänka dig?;can you imagine?
lagom;just enough- just the right amount
lagom är bäst;less is more
att fånga;to catch (someone or something)
lätt fånget.....;easy comes- easy goes
som man bäddar får man ligga;what goes around comes around
övning;practice (in discipline)
en färdighet;a skill
övning ger färdighet;practice makes perfect
man lär sig av sina misstag;experience is the best teacher
att våga;to venture- to dare
man måste våga för att vinna;nothing ventured- nothing gained
ordning;order
lag och ordning;law and order
en kille;a guy- a boyfriend
en tjej;a chick (young woman)- a girlfriend
att rita en bild;to draw a picture (literally)
att peka;to point
i mitten;in the middle
till vänster;to the left
antingen ... eller;either ... or
jag tror det var killen till vänster;I think it was the guy to the left
kan du rita en bild av honom?;can you draw a picture of him?
antingen beskriva eller rita;either describe or draw
du kan antingen beskriva kvinnan eller rita en bild;you can either describe the woman or draw a picture
ett ljud;a sound
att stänga av;to turn off
att sätta på;to turn on
att skruva upp;to turn up
att skruva ner;to turn down
att inte ha en chans;to not have a chance
att ha en chans att ...;to have a chance of ...
det skulle kunna ...;it could ... - it might ...
sannolikt;likely
osannolikt;unlikely
stäng av teven;turn the TV off
de har inte en chans;they don't have a chance
min brors lag har en rätt bra chans att vinna;my brother's team has a pretty good chance of winning
de skulle kunna vinna ligan, men det är osannolikt;they might win the league- but it's unlikely
jag tror mitt lag kan vinna imorgon;I think my team may win tomorrow
en lögn;a lie
sanningen;the truth
att ljuga;to (tell a lie)
att hålla med;to agree
att komma överens;to get along
att passa;to fit- to be true
sant;true
falskt;false- fake
rättvist;fair
orättvist;unfair
dumt;silly (unnecessary)- insane
de kommer inte överens;they don't get along
prata med mig bara;just speak to me
vi kommer inte överens;we don't agree
jag håller inte med dig;I don't agree with you
hon lyssnar aldrig på mig;she never listens to me
det här är inte rättvist;this isn't fair
det är inte sant;that's not true
ljug inte för mig;don't lie to me
det här är så orättvist;this is so unfair
det här är bara ett dumt bråk;this is just a silly argument
okej då;fair enough
det var ett klokt val;that was a wise choice
naturlig;natural
det var det naturliga valet;it was the natural choice
det var mitt förstahandsval också;that was my first choice as well
värde;value
kvantitet;quantity
kvalitet;quality
man får mycket för pengarna;that’s value for money
hård;tough- hard
det är hårda tider;these are tough times
en åsikt;an opinion
det antar jag;I assume so
att fatta;to grasp- to grab
fattar du?;are you with me?
jag fattar;I'm with you
en förmåga;an ability- a skill
efter bästa förmåga;to the best of my ability
ett pris;a price
till vilket pris som helst;at any cost
värdighet;dignity
det är under din värdighet;this is beneath you
han är långt före;he's way ahead
hon ligger alltid två steg före mig;she's always two steps ahead of me
ett träd;a tree
en växt;a plant
ett fält;a field (in the countryside)
ett vattenfall;a waterfall
en flod;a river
en skylt;a sign
en vägskylt;a road sign
en grupp;a group
in i;into
till slut;finally
vi gick in i djungeln;we walked into the jungle
min man sa: "jag hoppas vi inte går vilse!";my husband said: "I hope we don't get lost"
plötsligt var vår guide borta;suddenly our tour guide was gone
vi försökte gå mot vattenfallet, men det var för farligt;we tried to walk towards the waterfall- but it was too dangerous
vi följde floden så vi inte skulle gå vilse;we followed the river so we didn't get lost
till slut hittade vi en vägskylt;finally we found a road sign
en bris;a breeze
en kräm;a cream
solkräm;suntan lotion
gummistövlar;wellies
att komma ihåg;to remember
att råka ...;to accidentally ...
det kommer ...;it'll ...
det var risk för hård vind;there was a risk of strong wind
det finns en liten chans till solsken;there is a small chance of sunshine
... så vi tog med solkräm;... so we brought sun lotion
de måste komma ihåg gummistövlar;they have to remember their wellies
det kommer regna imorgon, så de kommer att behöva regnrockar;it'll rain tomorrow- so they'll need their raincoats
jag råkade ta ditt paraply;I accidentally took your umbrella
det snöade så mycket, så vi kunde inte gå ut;it snowed so much- we couldn't go outside
en tärning;a die
att kasta;to throw
tärningen är kastad;the die is cast
att spara;to save
den som spar han har;a penny saved is a penny earned
en gröt;a porridge
att gå som katten kring het gröt;to beat around the bush
ärlig;honest
om jag ska vara helt ärlig ...;to be honest ...
en storm i ett vattenglas;a storm in a teacup
en behandling;a treatment
en operation;an operation
ett piller;a pill
en patient;a patient
antibiotika;antibiotics
alkohol;alcohol
att vila;to rest
att undvika;to avoid
att fungera;to work- to function
frisk;healthy (not sick)
nyttig;healthy (food- lifestyle)
onyttig;unhealthy
med en gång;immediately
hur bröt du näsan?;how did you break your nose?
den här behandlingen fungerar med en gång;this treatment works immediately
patienten måste vila i minst en vecka;the patient has to rest for at least a week
patienten borde undvika onyttig mat;the patient should avoid unhealthy food
en dröm;a dream
att drömma;to dream
en stjärna;a star
en popstjärna;a pop star
en regissör;a director (of films)
en expert;an expert
en musiker;a musician
en skådespelare;an actor- an actress
en designer;a designer
jorden;(the) Earth
att ta en examen;to do a degree
att resa jorden runt;to travel the world
att öppna;to open
att låsa;to close
professionell;professional
fattig;poor
rik;rich
känd;famous- known
hel;whole- entire
min dotter vill bli popstjärna;my daughter wants to be a pop star
han vill resa jorden runt;he wants to travel the world
hans familj är fattig, så han vill bli rik;his family is poor- so he wants to be rich
jag ville bli en känd författare i hela mitt liv;I wished to become a famous writer my whole life
det är min dröm att bli musiker;it's my dream to become a musician
jag drömde alltid om att bli en professionell golfspelare;I always dreamed of becoming a professional golf player
ett bevis;a piece of evidence
att bevisa;to prove (something)
ett alibi;an alibi
att stjäla;to steal
att gripa;to arrest
att släppa;to release
att bli fri;to get away (escape)
överallt;everywhere
