en orsak;a cause
en effekt;an effect- an impact
... eller hur?;... or what? (tag question- expects agreement)
att vara ivägen;to be in the way
inte särskilt ...;not very ... - not particularly
han är inte särskilt smart, eller hur?;he isn't very clever- is he?
han är alltid ivägen, eller hur?;he's always in the way- isn't he?
behandlingen verkar inte ha någon effekt, eller hur?;the treatment doesn't seem to have any effect- does it?
han verkar vara en smart politiker, eller hur?;he seems to be a clever politician- doesn't he?
ett mejl;an email
ett mess;a text message (on a phone)
ett dataprogram;a computer program
en ingenjör;an engineer
en programmerare;a programmer- a developer
en skärm;a screen
en version;a version
en modell;a model
en process;a process
en hemsida;a website- a homepage
internet;internet
social;social
medier;media
sociala medier;(the) social media
en användare;a user
en profil;a profile
att registrera (sig);to register (oneself)
att logga in;to log in
att logga ut;to log out
att ställa in;to set- to adjust- to cancel
data;data
inloggad;online
utloggad;offline
föråldrad;outdated
uppdaterad;updated
en astronaut;an astronaut
en planet;a planet
ett universum;a universe
yttre;outer- exterior
yttre rymden;outer space
ett rymdskepp;a spaceship
en utomjording;an alien
ett slut;an end
att nå;to reach- to make (something in time)
att utforska;to explore
att upptäcka;to discover
okänd;unknown
om jag kunde flyga, skulle jag kunna nå stjärnorna;if I could fly- I could reach the stars
om jag vore astronaut skulle jag kunna åka till yttre rymden;if I were an astronaut- I could go to outer space
om jag hade ett rymdskepp, skulle jag flyga till universums slut;if I had a spaceship- I would fly to the edge of the universe
en lista;a list
en inköpslista;a shopping list
att behandla;to treat
att etablera;to establish- to found
att lägga till;to add
att kolla;to check
att kolla om ...;to check if ...
att höra ifrån ...;to hear from ...
nuvarande;current
ännu;yet- still
vid det här laget;by now
att fundera på;to consider
har du lagt i smöret än?;have you added the butter yet?
har du funderat på att skaffa glasögon?;have you considered getting glasses?
har du kollat om vi köpte allting på inköpslistan?;did you check if we bought everything on the shopping list?
vi skulle ha lagt i äggen vid det här laget;we should have added the eggs by now
har du hört från henne sedan igår?;have you heard from her since yesterday?
han har alltid behandlat henne väl;he has always treated her well
en plåga;a torment
jämn;even
det är jämna plågor;I'm okay- it could be worse (answering "how are you")
man ska inte ropa hej ...;don't count your chickens before they're hatched
en fluga (flugor);a fly (flies)
att slå två flugor i en smäll;to kill two birds with one stone
att skälla;to bark- to scold
att bitas;to bite
han skäller värre än han bits;he's all bark and no bite
Rom;Rome
alla vägar bär till Rom;all roads lead to Rome
att bygga;to build
Rom byggdes inte på en dag;Rome wasn't built in a day
