a, an;indefinite, article;A1;en, en
abandon;Verb;B2;forlate
ability;Noun;A2;evnen
able;Adjective;A2;i stand
about;prep. Adverb;A1;Om
above;prep. Adverb;A1;ovenfor
abroad;Adverb;A2;i utlandet
absolute;Adjective;B2;absolutte
absolutely;Adverb;B1;absolutt
academic;adj, Noun;B1, B2;akademisk
accept;Verb;A2;aksepterer
acceptable;Adjective;B2;akseptabel
access;Noun Verb;B1;adgang
accident;Noun;A2;ulykke
accommodation;Noun;B1;overnatting
accompany;Verb;B2;ledsage
according to;prep.;A2;i følge
account;Noun Verb;B1, B2;regnskap
accurate;Adjective;B2;korrekt
accuse;Verb;B2;beskylde
achieve;Verb;A2;oppnå
achievement;Noun;B1;oppnåelse
acknowledge;Verb;B2;anerkjenne
acquire;Verb;B2;tilegne
across;prep. Adverb;A1;på tvers
act;Verb Noun;A2,B1;handling
action;Noun;A1;handling
active;Adjective;A2;aktiv
activity;Noun;A1;aktivitet
actor;Noun;A1;skuespiller
actress;Noun;A1;skuespillerinne
actual;Adjective;B2;faktiske
actually;Adverb;A2;faktisk
ad;Noun;B1;annonse
adapt;Verb;B2;tilpasse
add;Verb;A1;Legg til
addition;Noun;B1;addisjon
additional;Adjective;B2;ytterligere
address;Noun Verb;A1,B2;adresse
administration;Noun;B2;administrasjon
admire;Verb;B1;beundre
admit;Verb;B1;innrømme
adopt;Verb;B2;adoptere
adult;Noun adj;A1,A2;voksen
Advance;Noun Verb adj;B2;Avansere
Advanced;Adjective;B1;Avansert
Advantage;Noun;A2;Fordel
Adventure;Noun;A2;Eventyr
Advertise;Verb;A2;Reklamere
Advertisement;Noun;A2;Annonse
Advertising;Noun;A2;Reklame
Advice;Noun Verb;A1, B1;Råd
affair;Noun;B2;sak
affect;Verb;A2;påvirke
afford;Verb;B1;ha råd til
afraid;Adjective;A1;redd
after;prep. conj. Adverb;A1,A2;etter
afternoon;Noun;A1;ettermiddag
afterwards;Adverb;B2;etterpå
again;Adverb;A1;en gang til
against;prep;A2;imot
age;Noun Verb;A1, B1;alder
aged;Adjective;B1;aldrende
agency;Noun;B2;byrå
agenda;Noun;B2;dagsorden
agent;Noun;B1;middel
aggressive;Adjective;B2;aggressiv
ago;Adverb;A1;siden
agree;Verb;A1;bli enige
agreement;Noun;B1;avtale
ah;exclam.;A2;ah
ahead;Adverb;B1;fremover
aid;Noun Verb;B2;bistand
aim;Verb Noun;B1;mål
air;Noun;A1;luft
aircraft;Noun;B2;luftfartøy
airline;Noun;A2;flyselskap
airport;Noun;A1;flyplassen
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholiker
alive;Adjective;A2;i live
all;det. pron, Adverb;A1, A2;alle
all right;Adjective, Adverb exclam;A2;greit
allow;Verb;A2;tillate
almost;Adverb;A2;nesten
alone;Adjective, Adverb;A2;alene
along;prep. Adverb;A2;langs
already;Adverb;A2;allerede
also;Adverb;A1;også
alter;Verb;B2;endre
alternative;Noun Adjective;A2, B1;alternativ
although;conj;A2;selv om
always;Adverb;A1;alltid
amazed;Adjective;B1;overrasket
amazing;Adjective;A1;fantastisk
ambition;Noun;B1;ambisjon
ambitious;Adjective;B1;ambisiøs
among;prep.;A2;blant
amount;Noun Verb;A2, B2;beløp
analyse;Verb;B1;analysere
analysis;Noun;B1;analyse
ancient;Adjective;A2;eldgammel
and;conj;A1;og
anger;Noun;B2;sinne
angle;Noun;B2;vinkel
angry;Adjective;A1;sint
animal;Noun;A1;dyr
ankle;Noun;A2;ankel
anniversary;Noun;B2;jubileum
announce;Verb;B1;kunngjøre
announcement;Noun;B1;kunngjøring
annoy;Verb;B1;irritere
annoyed;Adjective;B1;irritert
annoying;Adjective;B1;irriterende
annual;Adjective;B2;årlig
another;det. proNoun;A1;en annen
answer;Noun Verb;A1;svar
anxious;Adjective;B2;engstelig
any;det. proNoun, Adverb;A1, A2;noen
anybody;pron;A2;enhver
any more;Adverb;A2;mer
anyone;pron;A1;hvem som helst
anything;pron;A1;hva som helst
anyway;Adverb;A2;uansett
anywhere;AdVerb proNoun;A2;hvor som helst
apart;Adverb;B1;fra hverandre
apartment;Noun;A1;leilighet
apologize;Verb;B1;be om unnskyldning
app;Noun;A2;app
apparent;Adjective;B2;tilsynelatende
apparently;Adverb;B2;tilsynelatende
appeal;Noun Verb;B2;anke
appear;Verb;A2;vises
appearance;Noun;A2;utseende
apple;Noun;A1;eple
application;Noun;B1;applikasjon
apply;Verb;A2;søke om
appointment;Noun;B1;avtale
appreciate;Verb;B1;sette pris på
approach;Noun Verb;B2;nærme seg
appropriate;Adjective;B2;passende
approval;Noun;B2;godkjenning
approve;Verb;B2;vedta
approximately;Adverb;B1;omtrent
April;Noun;A1;april
architect;Noun;A2;arkitekt
architecture;Noun;A2;arkitektur
area;Noun;A1;område
argue;Verb;A2;argumentere
argument;Noun;A2;argument
arise;Verb;B2;oppstå
arm;Noun;A1;væpne
armed;Adjective;B2;bevæpnet
arms;Noun;B2;våpen
army;Noun;A2;hær
around;prep. Adverb;A1;rundt
arrange;Verb;A2;arrangere
arrangement;Noun;A2;ordning
arrest;Verb Noun;B1;arrestere
arrival;Noun;B1;ankomst
arrive;Verb;A1;ankomme
art;Noun;A1;Kunst
article;Noun;A1;artikkel
artificial;Adjective;B2;kunstig
artist;Noun;A1;kunstner
artistic;Adjective;B2;kunstnerisk
as;prep., Adverb conj.;A1, A2;som
ashamed;Adjective;B2;skamfull
asleep;Adjective;A2;sover
ask;Verb;A1;spørre
aspect;Noun;B2;aspektet
assess;Verb;B2;vurdere
assessment;Noun;B2;evaluering
assignment;Noun;B1;oppdrag
assist;Verb;B1;assistere
assistant;Noun Adjective;A2;assistent
associate;Verb;B2;forbinder
associated;Adjective;B2;assosiert
association;Noun;B2;assosiasjon
assume;Verb;B2;anta
at;prep.;A1;på
athlete;Noun;A2;atlet
atmosphere;Noun;B1;stemning
attach;Verb;B1;feste
attack;Noun Verb;A2;angrep
attempt;Noun Verb;B2;forsøk
attend;Verb;A2;attend
attention;Noun exclam.;A2;Merk følgende
attitude;Noun;B1;holdning
attract;Verb;B1;tiltrekke
attraction;Noun;B1;tiltrekning
attractive;Adjective;A2;attraktiv
audience;Noun;A2;publikum
August;Noun;A1;august
aunt;Noun;A1;tante
author;Noun;A2;forfatter
authority;Noun;B1;autoritet
autumn;Noun;A1;høst
available;Adjective;A2;tilgjengelig
average;Adjective, Noun Verb;A2, B1;gjennomsnitt
avoid;Verb;A2;unngå
award;Noun Verb;A2, B1;tildele
aware;Adjective;B1;klar over
away;Adverb;A1;borte
awful;Adjective;A2;fryktelig
baby;Noun;A1;baby
back;Noun AdVerb Adjective, Verb;A1, A2, B2;tilbake
background;Noun;A2;bakgrunn
backwards;Adverb;B1;bakover
bacteria;Noun;B2;bakterie
bad;Adjective;A1;dårlig
badly;Adverb;A2;dårlig
bag;Noun;A1;bag
bake;Verb;B1;bake
balance;Noun Verb;B1;balansere
ball;Noun;A1;ball
ban;Verb Noun;B1;forby
banana;Noun;A1;banan
band;Noun;A1;bånd
bank (money);Noun;A1;bank (penger)
bank (river);Noun;B1;bank (elv)
bar;Noun Verb;A2, B2;Bar
barrier;Noun;B2;barriere
base;Noun Verb;B1;utgangspunkt
baseball;Noun;A2;baseball
based;Adjective;A2;basert
basketball;Noun;A2;basketball
basic;Adjective;B1;grunnleggende
basically;Adverb;B2;i utgangspunktet
basis;Noun;B1;basis
bath;Noun;A1;bad
bathroom;Noun;A1;baderom
battery;Noun;B1;batteri
battle;Noun Verb;B1, B2;slag
be;Verb auxiliary Verb;A1;være
beach;Noun;A1;Strand
bean;Noun;A2;bønne
bear (deal with);Verb;B2;bjørn (avtale med)
bear (animal);Noun;A2;Bjørn (dyr)
beat;Verb Noun;A2, B2;slå
beautiful;Adjective;A1;vakker
beauty;Noun;B1;skjønnhet
because;conj.;A1;fordi
become;Verb;A1;bli
bed;Noun;A1;seng
bedroom;Noun;A1;soverom
bee;Noun;B1;Bie
beef;Noun;A2;storfekjøtt
beer;Noun;A1;øl
before;prep., conj. Adverb;A1, A2;før
beg;Verb;B2;tigge
begin;Verb;A1;begynne
beginning;Noun;A1;begynnelse
behave;Verb;A2;oppfør deg
behaviour;Noun;A2;oppførsel
behind;prep. Adverb;A1;bak
being;Noun;B2;å være
belief;Noun;B1;tro
believe;Verb;A1;tro
bell;Noun;B1;klokke
belong;Verb;A2;tilhøre
below;Adverb prep.;A1;under
belt;Noun;A2;belte
bend;Verb Noun;B1;bøye
benefit;Verb NouNoun;A2, B1;fordel
bent;Adjective;B2;bøyd
best;Adjective, AdVerb Noun;A1, A2;beste
bet;Verb Noun;B2;vedde
better;Adjective , Adverb , Noun;A1, A2, B1;bedre
between;prep., Adverb;A1, A2;mellom
beyond;prep. Adverb;B2;bortenfor
bicycle;Noun;A1;sykkel
big;Adjective;A1;stor
bike;Noun;A1;sykkel
bill;Noun Verb;A1, B2;regning
billion number; ;A2;milliarder nummer
bin;Noun;A2;bin
biology;Noun;A2;biologi
bird;Noun;A1;fugl
birth;Noun;A2;fødsel
birthday;Noun;A1;fødselsdag
biscuit;Noun;A2;kjeks
bit;Noun;A2;bit
bite;Verb Noun;B1;bite
bitter;Adjective;B2;bitter
black;Adjective, Noun;A1;svart
blame;Verb Noun;B2;skylde på
blank;Adjective, Noun;A2;blank
blind;Adjective;B2;blind
block;Noun Verb;B1;blokkere
blog;Noun;A1;blog
blonde;Adjective;A1;blond
blood;Noun;A2;blod
blow;Verb;A2;blåse
blue;Adjective, Noun;A1;blå
board;Noun Verb;A2, B1;borde
boat;Noun;A1;båt
body;Noun;A1;kropp
boil;Verb;A2;Kok opp
bomb;Noun Verb;B1;bombe
bond;Noun;B2;knytte bånd
bone;Noun;A2;bein
book;Noun Verb;A1, A2;bok
boot;Noun;A1;støvel
