a, an;indefinite, article;A1;، یک
abandon;Verb;B2;رها کردن
ability;Noun;A2;توانایی
able;Adjective;A2;قادر
about;prep. Adverb;A1;در باره
above;prep. Adverb;A1;در بالا
abroad;Adverb;A2;خارج از کشور
absolute;Adjective;B2;مطلق
absolutely;Adverb;B1;کاملا
academic;adj, Noun;B1, B2;علمی
accept;Verb;A2;تایید کنید
acceptable;Adjective;B2;قابل قبول
access;Noun Verb;B1;دسترسی
accident;Noun;A2;تصادف
accommodation;Noun;B1;محل اقامت
accompany;Verb;B2;همراهی کردن
according to;prep.;A2;مطابق با
account;Noun Verb;B1, B2;حساب
accurate;Adjective;B2;دقیق
accuse;Verb;B2;متهم کردن
achieve;Verb;A2;رسیدن
achievement;Noun;B1;موفقیت
acknowledge;Verb;B2;اذعان
acquire;Verb;B2;به دست آوردن
across;prep. Adverb;A1;در میان
act;Verb Noun;A2,B1;عمل
action;Noun;A1;عمل
active;Adjective;A2;فعال
activity;Noun;A1;فعالیت
actor;Noun;A1;بازیگر
actress;Noun;A1;بازیگر
actual;Adjective;B2;واقعی
actually;Adverb;A2;در حقیقت
ad;Noun;B1;آگهی
adapt;Verb;B2;سازگار شدن
add;Verb;A1;اضافه کردن
addition;Noun;B1;اضافه
additional;Adjective;B2;اضافی
address;Noun Verb;A1,B2;نشانی
administration;Noun;B2;مدیریت
admire;Verb;B1;تحسین
admit;Verb;B1;اقرار کردن
adopt;Verb;B2;اتخاذ کردن
adult;Noun adj;A1,A2;بالغ
Advance;Noun Verb adj;B2;پیشرفت
Advanced;Adjective;B1;پیشرفته
Advantage;Noun;A2;مزیت - فایده - سود - منفعت
Adventure;Noun;A2;ماجرا
Advertise;Verb;A2;تبلیغات
Advertisement;Noun;A2;تبلیغات
Advertising;Noun;A2;تبلیغات
Advice;Noun Verb;A1, B1;نصیحت
affair;Noun;B2;امر
affect;Verb;A2;تاثیر می گذارد
afford;Verb;B1;استطاعت داشتن
afraid;Adjective;A1;ترسیده
after;prep. conj. Adverb;A1,A2;بعد از
afternoon;Noun;A1;بعد از ظهر
afterwards;Adverb;B2;بعد از آن
again;Adverb;A1;از نو
against;prep;A2;در برابر
age;Noun Verb;A1, B1;سن
aged;Adjective;B1;سن
agency;Noun;B2;آژانس
agenda;Noun;B2;دستور جلسه
agent;Noun;B1;عامل
aggressive;Adjective;B2;خشونت آمیز
ago;Adverb;A1;پیش
agree;Verb;A1;موافق
agreement;Noun;B1;توافق
ah;exclam.;A2;اه
ahead;Adverb;B1;در پیش
aid;Noun Verb;B2;کمک
aim;Verb Noun;B1;هدف
air;Noun;A1;هوا
aircraft;Noun;B2;هواپیما
airline;Noun;A2;هواپیمایی
airport;Noun;A1;فرودگاه
alarm;Noun Verb;B1, B2;زنگ خطر. هشدار
album;Noun;B1;البوم
alcohol;Noun;B1;الکل
alcoholic;Adjective;B1;الکلی
alive;Adjective;A2;زنده
all;det. pron, Adverb;A1, A2;همه
all right;Adjective, Adverb exclam;A2;خیلی خوب
allow;Verb;A2;اجازه
almost;Adverb;A2;تقریبا
alone;Adjective, Adverb;A2;تنها
along;prep. Adverb;A2;در امتداد
already;Adverb;A2;قبلا، پیش از این
also;Adverb;A1;همچنین
alter;Verb;B2;را تغییر دهید
alternative;Noun Adjective;A2, B1;جایگزین
although;conj;A2;با اينكه
always;Adverb;A1;همیشه
amazed;Adjective;B1;متعجب
amazing;Adjective;A1;حیرت آور
ambition;Noun;B1;هدف - آرزو
ambitious;Adjective;B1;جاه طلب
among;prep.;A2;در میان
amount;Noun Verb;A2, B2;میزان
analyse;Verb;B1;تجزیه و تحلیل
analysis;Noun;B1;تحلیل و بررسی
ancient;Adjective;A2;کهن
and;conj;A1;و
anger;Noun;B2;خشم
angle;Noun;B2;زاویه
angry;Adjective;A1;خشمگین
animal;Noun;A1;حیوان
ankle;Noun;A2;مچ پا
anniversary;Noun;B2;سالگرد
announce;Verb;B1;اعلام
announcement;Noun;B1;اعلان
annoy;Verb;B1;آزار
annoyed;Adjective;B1;اذیت
annoying;Adjective;B1;مزاحم
annual;Adjective;B2;سالیانه
another;det. proNoun;A1;یکی دیگر
answer;Noun Verb;A1;پاسخ
anxious;Adjective;B2;مشتاق
any;det. proNoun, Adverb;A1, A2;هر
anybody;pron;A2;هر شخصی
any more;Adverb;A2;هر
anyone;pron;A1;هر کسی
anything;pron;A1;هر چیزی
anyway;Adverb;A2;به هر حال
anywhere;AdVerb proNoun;A2;هر جا
apart;Adverb;B1;جدا از هم
apartment;Noun;A1;اپارتمان
apologize;Verb;B1;عذر خواهی کردن
app;Noun;A2;برنامه
apparent;Adjective;B2;آشکار
apparently;Adverb;B2;ظاهرا
appeal;Noun Verb;B2;درخواست
appear;Verb;A2;به نظر می رسد
appearance;Noun;A2;ظاهر
apple;Noun;A1;سیب
application;Noun;B1;کاربرد
apply;Verb;A2;درخواست دادن
appointment;Noun;B1;وقت ملاقات
appreciate;Verb;B1;قدردانی
approach;Noun Verb;B2;رویکرد
appropriate;Adjective;B2;مناسب
approval;Noun;B2;تصویب
approve;Verb;B2;تایید
approximately;Adverb;B1;تقریبا
April;Noun;A1;آوریل
architect;Noun;A2;معمار
architecture;Noun;A2;معماری
area;Noun;A1;حوزه
argue;Verb;A2;جر و بحث
argument;Noun;A2;بحث و جدل
arise;Verb;B2;بوجود امدن
arm;Noun;A1;بازو
armed;Adjective;B2;مسلح
arms;Noun;B2;سلاح
army;Noun;A2;ارتش
around;prep. Adverb;A1;دور و بر
arrange;Verb;A2;ترتیب دادن
arrangement;Noun;A2;ترتیب
arrest;Verb Noun;B1;دستگیری
arrival;Noun;B1;ورود
arrive;Verb;A1;رسیدن
art;Noun;A1;هنر
article;Noun;A1;مقاله
artificial;Adjective;B2;ساختگی
artist;Noun;A1;هنرمند
artistic;Adjective;B2;هنرمندانه
as;prep., Adverb conj.;A1, A2;مانند
ashamed;Adjective;B2;شرمنده
asleep;Adjective;A2;خواب
ask;Verb;A1;پرسیدن
aspect;Noun;B2;جنبه
assess;Verb;B2;ارزیابی
assessment;Noun;B2;ارزیابی
assignment;Noun;B1;وظیفه
assist;Verb;B1;همکاری
assistant;Noun Adjective;A2;دستیار
associate;Verb;B2;وابسته
associated;Adjective;B2;مرتبط است
association;Noun;B2;اتحادیه
assume;Verb;B2;فرض
at;prep.;A1;در
athlete;Noun;A2;ورزشکار
atmosphere;Noun;B1;جو
attach;Verb;B1;ضمیمه کردن
attack;Noun Verb;A2;حمله
attempt;Noun Verb;B2;تلاش
attend;Verb;A2;مراجعه كردن
attention;Noun exclam.;A2;توجه
attitude;Noun;B1;نگرش
attract;Verb;B1;جذب
attraction;Noun;B1;جاذبه
attractive;Adjective;A2;جذاب
audience;Noun;A2;حضار
August;Noun;A1;اوت
aunt;Noun;A1;عمه
author;Noun;A2;نویسنده
authority;Noun;B1;قدرت
autumn;Noun;A1;فصل پاييز
available;Adjective;A2;در دسترس
average;Adjective, Noun Verb;A2, B1;میانگین
avoid;Verb;A2;اجتناب کردن
award;Noun Verb;A2, B1;جایزه
aware;Adjective;B1;آگاه
away;Adverb;A1;دور
awful;Adjective;A2;خیلی بد و ناخوشایند
baby;Noun;A1;عزیزم
back;Noun AdVerb Adjective, Verb;A1, A2, B2;بازگشت
background;Noun;A2;زمینه
backwards;Adverb;B1;به عقب
bacteria;Noun;B2;باکتری
bad;Adjective;A1;بد
badly;Adverb;A2;بد
bag;Noun;A1;کیسه
bake;Verb;B1;پختن
balance;Noun Verb;B1;تعادل
ball;Noun;A1;توپ
ban;Verb Noun;B1;منع
banana;Noun;A1;موز
band;Noun;A1;باند
bank (money);Noun;A1;بانک (پول)
bank (river);Noun;B1;بانک (رودخانه)
bar;Noun Verb;A2, B2;بار
barrier;Noun;B2;مانع
base;Noun Verb;B1;پایه
baseball;Noun;A2;بیسبال
based;Adjective;A2;مستقر
basketball;Noun;A2;بسکتبال
basic;Adjective;B1;پایه ای
basically;Adverb;B2;اساسا
basis;Noun;B1;اساس
bath;Noun;A1;وان
bathroom;Noun;A1;حمام
battery;Noun;B1;باتری
battle;Noun Verb;B1, B2;نبرد
be;Verb auxiliary Verb;A1;بودن
beach;Noun;A1;ساحل دریا
bean;Noun;A2;لوبیا
bear (deal with);Verb;B2;خرس (معامله با)
bear (animal);Noun;A2;خرس (حیوانات)
beat;Verb Noun;A2, B2;ضرب و شتم
beautiful;Adjective;A1;زیبا
beauty;Noun;B1;زیبایی
because;conj.;A1;زیرا
become;Verb;A1;شدن
bed;Noun;A1;بستر
bedroom;Noun;A1;اتاق خواب
bee;Noun;B1;زنبور عسل
beef;Noun;A2;گوشت گاو
beer;Noun;A1;آبجو
before;prep., conj. Adverb;A1, A2;قبل از
beg;Verb;B2;گدایی کردن
begin;Verb;A1;شروع
beginning;Noun;A1;آغاز
behave;Verb;A2;رفتار كردن
behaviour;Noun;A2;رفتار - اخلاق
behind;prep. Adverb;A1;پشت
being;Noun;B2;بودن
belief;Noun;B1;باور
believe;Verb;A1;ایمان داشتن
bell;Noun;B1;ناقوس
belong;Verb;A2;تعلق داشتن
below;Adverb prep.;A1;در زیر
belt;Noun;A2;کمربند
bend;Verb Noun;B1;خم
benefit;Verb NouNoun;A2, B1;سود
bent;Adjective;B2;خم
best;Adjective, AdVerb Noun;A1, A2;بهترین
bet;Verb Noun;B2;شرط
better;Adjective , Adverb , Noun;A1, A2, B1;بهتر
between;prep., Adverb;A1, A2;بین
beyond;prep. Adverb;B2;فراتر
bicycle;Noun;A1;دوچرخه
big;Adjective;A1;بزرگ
bike;Noun;A1;دوچرخه
bill;Noun Verb;A1, B2;لایحه
billion number; ;A2;میلیارد تعداد
bin;Noun;A2;صندوقچه
biology;Noun;A2;زیست شناسی
bird;Noun;A1;پرنده
birth;Noun;A2;تولد
birthday;Noun;A1;روز تولد
biscuit;Noun;A2;بیسکویت
bit;Noun;A2;ذره
bite;Verb Noun;B1;گاز
bitter;Adjective;B2;تلخ
black;Adjective, Noun;A1;سیاه
blame;Verb Noun;B2;سرزنش
blank;Adjective, Noun;A2;جای خالی
blind;Adjective;B2;نابینا
block;Noun Verb;B1;مسدود کردن
blog;Noun;A1;وبلاگ
blonde;Adjective;A1;طلایی
blood;Noun;A2;خون
blow;Verb;A2;فوت کردن، دمیدن
blue;Adjective, Noun;A1;آبی
board;Noun Verb;A2, B1;تخته
boat;Noun;A1;قایق
body;Noun;A1;بدن
boil;Verb;A2;جوش
bomb;Noun Verb;B1;بمب
bond;Noun;B2;رابطه، رشته
bone;Noun;A2;استخوان
book;Noun Verb;A1, A2;کتاب
boot;Noun;A1;پوتین
border;Noun Verb;B1, B2;مرز
bored;Adjective;A1;خسته
boring;Adjective;A1;حوصله سر بر
born;Verb;A1;بدنیا آمدن
borrow;Verb;A2;امانت گرفتن
boss;Noun;A2;رئيس
both;det./proNoun;A1;هر دو
bother;Verb;B1;زحمت
bottle;Noun;A1;بطری
bottom;NouNoun Adjective;A2;پایین
bowl;Noun;A2;کاسه
box;Noun;A1;جعبه
boy;Noun;A1;پسر
boyfriend;Noun;A1;دوست پسر
brain;Noun;A2;مغز
branch;Noun;B1;شاخه
brand;Noun Verb;B1;نام تجاری
brave;Adjective;B1;شجاع
bread;Noun;A1;نان
break;Verb Noun;A1;زنگ تفريح
breakfast;Noun;A1;صبحانه
breast;Noun;B2;پستان
breath;Noun;B1;نفس
breathe;Verb;B1;نفس کشیدن
breathing;Noun;B1;نفس کشیدن
bride;Noun;B1;عروس
bridge;Noun;A2;پل
brief;Adjective;B2;مختصر
bright;Adjective;A2;روشن
brilliant;Adjective;A2;درخشان
bring;Verb;A1;را
broad;Adjective;B2;پهن
broadcast;Verb Noun;B2;پخش
broken;Adjective;A2;شکسته شده
brother;Noun;A1;برادر
brown;Adjective, Noun;A1;رنگ قهوه ای
brush;Verb Noun;A2;قلم مو
bubble;Noun;B1;حباب
budget;Noun;B2;بودجه
build;Verb;A1;ساختن
building;Noun;A1;ساختمان
bullet;Noun;B2;گلوله
bunch;Noun;B2;دسته
burn;Verb Noun;A2, B2;سوختگی
bury;Verb;B1;دفن کردن
bus;Noun;A1;اتوبوس
bush;Noun;B2;بوته
business;Noun;A1;کسب و کار
businessman;Noun;A2;تاجر
busy;Adjective;A1;مشغول
but;conj. prep;A1, B2;ولی
butter;Noun;A1;کره
button;Noun;A2;دکمه
buy;Verb;A1;خرید
by;prep. Adverb;A1, B1;توسط
bye;exclam;A1;خدا حافظ
cable;Noun;B2;کابل
cafe;Noun;A1;کافه
cake;Noun;A1;کیک
calculate;Verb;B2;محاسبه
call;Verb Noun;A1;صدا زدن
calm;Adjective Verb Noun;B1;آرام
camera;Noun;A1;دوربین
camp;Noun Verb;A2;اردوگاه
campaign;Noun Verb;B1;پویش
camping;Noun;A2;چادر زدن
campus;Noun;B1;محوطه دانشگاه
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;لغو کردن
cancer;Noun;B2;سرطان
candidate;Noun;B1;نامزد
cannot;Verb;A1;نمی توانید
cap;Noun;B1;کلاه لبه دار
capable;Adjective;B2;توانا
capacity;Noun;B2;ظرفیت
capital;Noun Adjective;A1;سرمایه، پایتخت
captain;Noun;B1;ناخدا
capture;Verb Noun;B2;گرفتن
car;Noun;A1;ماشین
card;Noun;A1;کارت
care;Noun Verb;A2;مراقبت
career;Noun;A1;حرفه
careful;Adjective;A2;دقیق
carefully;Adverb;A2;با دقت
careless;Adjective;B1;بی توجه
carpet;Noun;A2;فرش
carrot;Noun;A1;هویج
carry;Verb;A1;حمل
cartoon;Noun;A2;کارتون
case;Noun;A2;مورد
cash;Noun;A2;پول نقد
cast;Noun Verb;B2;قالب
castle;Noun;A2;قلعه
cat;Noun;A1;گربه
catch;Verb Noun;A2, B2;گرفتن
category;Noun;B1;دسته بندی
cause;Noun Verb;A2;علت
CD;Noun;A1;سی دی
ceiling;Noun;B1;سقف
celebrate;Verb;A2;جشن گرفتن
celebration;Noun;B1;جشن
celebrity;Noun;A2;فرد مشهور
cell;Noun;B2;سلول
cent;Noun;A1;درصد
central;Adjective;B1;مرکزی
centre;Noun Verb;A1, B1;مرکز
century;Noun;A1;قرن
ceremony;Noun;B1;مراسم
certain;Adjective;A2;مسلم - قطعی
certainly;Adverb;A2;قطعا
chain;Noun Verb;B1, B2;زنجیر
chair;Noun Verb;A1, B2;صندلی
chairman;Noun;B2;رئيس هیئت مدیره
challenge;Noun Verb;B1, B2;چالش
champion;Noun;B1;قهرمان
chance;Noun;A2;شانس. فرصت
change;Verb Noun;A1;تغییر دادن
channel;Noun;B1;کانال
chapter;Noun;B1;فصل
character;Noun;A2;شخصیت
characteristic;Noun Adjective;B2;مشخصه
charge;Noun Verb;B1;شارژ
charity;Noun;A2;صدقه
chart;Noun Verb;A1, B2;چارت سازمانی
chat;Verb Noun;A2;گپ
cheap;Adjective , Adverb;A1, B1;ارزان
cheat;Verb Noun;B1;فریب دادن
check;Verb Noun;A1, A2;بررسی
chef;Noun;A2;آشپز
cheerful;Adjective;B1;بشاش
cheese;Noun;A1;پنیر
chemical;Adjective, Noun;B1;شیمیایی
chemistry;Noun;A2;علم شیمی
chest;Noun;B1;قفسه سینه
chicken;Noun;A1;جوجه
chief;Adjective, Noun;B2;رئیس
child;Noun;A1;کودک
childhood;Noun;B1;دوران کودکی
chip;Noun;A2;تراشه
chocolate;Noun;A1;شکلات
choice;Noun;A2;انتخاب
choose;Verb;A1;انتخاب کنید
church;Noun;A2;کلیسا
cigarette;Noun;A2;سیگار
cinema;Noun;A1;سینما
circle;Noun Verb;A2;دایره
circumstance;Noun;B2;چگونگی، امر، تفصیل، شرایط محیط، پیش امد، شرح
cite;Verb;B2;استناد
citizen;Noun;B2;شهروند
city;Noun;A1;شهرستان
civil;Adjective;B2;مدنی
claim;Verb Noun;B1;مطالبه
class;Noun;A1;کلاس
classic;Adjective, Noun;B2;کلاسیک
classical;Adjective;A2;کلاسیک
classroom;Noun;A1;کلاس درس
clause;Noun;B1;عبارت
clean;Adjective, Verb;A1;تمیز
clear;Adjective, Verb;A2, B1;واضح
clearly;Adverb;A2;به وضوح
clever;Adjective;A2;باهوش
click;Verb Noun;B1;کلیک
client;Noun;B1;مشتری
climate;Noun;A2;اقلیم
climb;Verb Noun;A1, B1;بالا رفتن
clock;Noun;A1;ساعت
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;بسته
closely;Adverb;B2;به طرز نزدیک
cloth;Noun;B1;پارچه
clothes;Noun;A1;لباس ها
clothing;Noun;A2;تن پوش
cloud;Noun;A2;ابر
club;Noun;A1;باشگاه
clue;Noun;B1;سرنخ
coach;Noun Verb;A2, B1;مربی
coal;Noun;B1;زغال سنگ
coast;Noun;A2;ساحل
coat;Noun;A1;کت
code;Noun;A2;رمز
coffee;Noun;A1;قهوه
coin;Noun;B1;سکه
cold;Adjective Noun;A1;سرد
collapse;Verb Noun;B2;سقوط - فروپاشی
colleague;Noun;A2;همکار
collect;Verb;A2;جمع آوری
collection;Noun;B1;مجموعه
college;Noun;A1;دانشکده
colour;Noun;A1;رنگ
coloured;Adjective;B1;رنگی
column;Noun;A2;ستون
combination;Noun;B2;ترکیب
combine;Verb;B1;ترکیب کردن
come;Verb;A1;بیا
comedy;Noun;A2;کمدی
comfort;Noun Verb;B2;راحت
comfortable;Adjective;A2;راحت
command;Noun Verb;B2;فرمان
comment;Noun Verb;A2, B1;اظهار نظر
commercial;Adjective Noun;B1;تجاری
commission;Noun Verb;B2;کمیسیون
commit;Verb;B1;مرتکب شدن
commitment;Noun;B2;تعهد
committee;Noun;B2;کمیسیون
common;Adjective Noun;A1;مشترک
commonly;Adverb;B2;عموما
communicate;Verb;A2;برقراری ارتباط
communication;Noun;B1;ارتباط
community;Noun;A2;انجمن
company;Noun;A1;شرکت
compare;Verb;A1;مقایسه
comparison;Noun;B1;مقایسه
compete;Verb;A2;رقابت
competition;Noun;A2;رقابت
competitor;Noun;B1;رقیب
competitive;Adjective;B1;رقابتی
complain;Verb;A2;شکایت
complaint;Noun;B1;شکایت
complete;Adjective Verb;A1;کامل
completely;Adverb;A2;به صورت کامل
complex;Adjective, Noun;B1, B2;پیچیده
complicated;Adjective;B2;بغرنج
component;Noun;B2;جزء
computer;Noun;A1;کامپیوتر
concentrate;Verb;B1;تمرکز
concentration;Noun;B2;تمرکز
concept;Noun;B2;مفهوم
concern;Noun Verb;B2;نگرانی
concerned;Adjective;B2;نگران
concert;Noun;A1;کنسرت
conclude;Verb;B1;نتیجه گرفتن
conclusion;Noun;B1;نتیجه
condition;Noun;A2;وضعیت
conduct;Verb Noun;B2;هدایت
conference;Noun;A2;کنفرانس
confidence;Noun;B2;اعتماد به نفس
confident;Adjective;B1;مطمئن
confirm;Verb;B1;تایید
conflict;Noun Verb;B2;تعارض
confuse;Verb;B1;اشتباه
confused;Adjective;B1;سردرگم
confusing;Adjective;B2;گیج کننده
connect;Verb;A2;اتصال
connected;Adjective;A2;متصل
connection;Noun;B1;ارتباط
conscious;Adjective;B2;هوشیار، آگاه
consequence;Noun;B1;نتیجه
conservative;Adjective, Noun;B2;محافظه کار
consider;Verb;A2;در نظر گرفتن
consideration;Noun;B2;توجه
consist;Verb;B1;تشکیل شده است از
consistent;Adjective;B2;استوار
constant;Adjective;B2;مقدار ثابت
constantly;Adverb;B2;به طور مداوم
construct;Verb;B2;ساختن
construction;Noun;B2;ساخت و ساز
consume;Verb;B1;مصرف کردن
