a, an;indefinite, article;A1;a, an
abandon;Verb;B2;porzucić
ability;Noun;A2;umiejętność
able;Adjective;A2;zdolny
about;prep. Adverb;A1;o
above;prep. Adverb;A1;powyżej
abroad;Adverb;A2;za granicą
absolute;Adjective;B2;absolutny
absolutely;Adverb;B1;absolutnie
academic;adj, Noun;B1, B2;akademicki
accept;Verb;A2;zaakceptować
acceptable;Adjective;B2;do przyjęcia
access;Noun Verb;B1;dostęp
accident;Noun;A2;wypadek
accommodation;Noun;B1;nocleg
accompany;Verb;B2;towarzyszyć
according to;prep.;A2;według
account;Noun Verb;B1, B2;konto
accurate;Adjective;B2;dokładny
accuse;Verb;B2;oskarżać
achieve;Verb;A2;osiągać
achievement;Noun;B1;osiągnięcie
acknowledge;Verb;B2;uznać
acquire;Verb;B2;nabyć
across;prep. Adverb;A1;przez
act;Verb Noun;A2,B1;działać
action;Noun;A1;akcja
active;Adjective;A2;aktywny
activity;Noun;A1;czynność
actor;Noun;A1;aktor
actress;Noun;A1;aktorka
actual;Adjective;B2;rzeczywisty
actually;Adverb;A2;tak właściwie
ad;Noun;B1;ogłoszenie
adapt;Verb;B2;przystosować się
add;Verb;A1;Dodaj
addition;Noun;B1;dodanie
additional;Adjective;B2;dodatkowy
address;Noun Verb;A1,B2;adres
administration;Noun;B2;administracja
admire;Verb;B1;podziwiać
admit;Verb;B1;przyznać
adopt;Verb;B2;przyjąć
adult;Noun adj;A1,A2;dorosły
Advance;Noun Verb adj;B2;Postęp
Advanced;Adjective;B1;zaawansowane
Advantage;Noun;A2;Korzyść
Adventure;Noun;A2;Przygoda
Advertise;Verb;A2;Reklamować
Advertisement;Noun;A2;Reklama
Advertising;Noun;A2;Reklama
Advice;Noun Verb;A1, B1;Rada
affair;Noun;B2;sprawa
affect;Verb;A2;oddziaływać
afford;Verb;B1;pozwolić sobie
afraid;Adjective;A1;przestraszony
after;prep. conj. Adverb;A1,A2;po
afternoon;Noun;A1;popołudnie
afterwards;Adverb;B2;potem
again;Adverb;A1;jeszcze raz
against;prep;A2;przeciwko
age;Noun Verb;A1, B1;wiek
aged;Adjective;B1;w wieku
agency;Noun;B2;agencja
agenda;Noun;B2;program
agent;Noun;B1;agent
aggressive;Adjective;B2;agresywny
ago;Adverb;A1;temu
agree;Verb;A1;Zgodzić się
agreement;Noun;B1;umowa
ah;exclam.;A2;ah
ahead;Adverb;B1;przed siebie
aid;Noun Verb;B2;pomoc
aim;Verb Noun;B1;cel
air;Noun;A1;powietrze
aircraft;Noun;B2;samolot
airline;Noun;A2;linia lotnicza
airport;Noun;A1;Lotnisko
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholowy
alive;Adjective;A2;żywy
all;det. pron, Adverb;A1, A2;wszystko
all right;Adjective, Adverb exclam;A2;w porządku
allow;Verb;A2;dopuszczać
almost;Adverb;A2;prawie
alone;Adjective, Adverb;A2;sam
along;prep. Adverb;A2;wzdłuż
already;Adverb;A2;już
also;Adverb;A1;również
alter;Verb;B2;zmieniać
alternative;Noun Adjective;A2, B1;alternatywny
although;conj;A2;mimo że
always;Adverb;A1;zawsze
amazed;Adjective;B1;zdumiony
amazing;Adjective;A1;niesamowity
ambition;Noun;B1;ambicja
ambitious;Adjective;B1;ambitny
among;prep.;A2;pośród
amount;Noun Verb;A2, B2;ilość
analyse;Verb;B1;analizować
analysis;Noun;B1;analiza
ancient;Adjective;A2;starożytny
and;conj;A1;i
anger;Noun;B2;gniew
angle;Noun;B2;kąt
angry;Adjective;A1;zły
animal;Noun;A1;zwierzę
ankle;Noun;A2;kostka
anniversary;Noun;B2;rocznica
announce;Verb;B1;ogłosić
announcement;Noun;B1;zapowiedź
annoy;Verb;B1;denerwować
