a, an;indefinite, article;A1;a, an
abandon;Verb;B2;thrèigsinn
ability;Noun;A2;comas
able;Adjective;A2;comasach
about;prep. Adverb;A1;mu dheidhinn
above;prep. Adverb;A1;gu h-àrd
abroad;Adverb;A2;thall thairis
absolute;Adjective;B2;iomlan
absolutely;Adverb;B1;dìreach
academic;adj, Noun;B1, B2;acadaimigeach
accept;Verb;A2;gabhail ri
acceptable;Adjective;B2;taitneach
access;Noun Verb;B1;ruigsinneachd
accident;Noun;A2;tubaist
accommodation;Noun;B1;àite-fuirich
accompany;Verb;B2;a dhol còmhla
according to;prep.;A2;A rèir
account;Noun Verb;B1, B2;cunntas
accurate;Adjective;B2;neo-mhearachdach
accuse;Verb;B2;casaid
achieve;Verb;A2;a choileanadh
achievement;Noun;B1;coileanadh
acknowledge;Verb;B2;Ag aithneachadh gun d
acquire;Verb;B2;togail
across;prep. Adverb;A1;air feadh
act;Verb Noun;A2,B1;obrachadh
action;Noun;A1;gnìomha
active;Adjective;A2;gnìomhach
activity;Noun;A1;gnìomhachd
actor;Noun;A1;cleasaiche
actress;Noun;A1;bhana-chleasaiche
actual;Adjective;B2;fìor
actually;Adverb;A2;-rìribh
ad;Noun;B1;ad
adapt;Verb;B2;atharrachadh
add;Verb;A1;cuir
addition;Noun;B1;bharrachd
additional;Adjective;B2;a bharrachd
address;Noun Verb;A1,B2;seòladh
administration;Noun;B2;rianachd
admire;Verb;B1;dh'iasgach,
admit;Verb;B1;aideachadh
adopt;Verb;B2;gabhail
adult;Noun adj;A1,A2;inbheach
Advance;Noun Verb adj;B2;ro làimh
Advanced;Adjective;B1;adhartach
Advantage;Noun;A2;buannachd
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Sanasaich
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;Sanasachd
Advice;Noun Verb;A1, B1;comhairle
affair;Noun;B2;gnothuch
affect;Verb;A2;buaidh a thoirt air
afford;Verb;B1;pàigheadh
afraid;Adjective;A1;eagal
after;prep. conj. Adverb;A1,A2;an dèidh
afternoon;Noun;A1;feasgar
afterwards;Adverb;B2;an dèidh sin
again;Adverb;A1;a-rithist
against;prep;A2;aghaidh
age;Noun Verb;A1, B1;aois
aged;Adjective;B1;aois
agency;Noun;B2;buidheann
agenda;Noun;B2;clàr-gnothaich
agent;Noun;B1;àidseant
aggressive;Adjective;B2;ionnsaigheach
ago;Adverb;A1;bho chionn
agree;Verb;A1;aontachadh
agreement;Noun;B1;aonta
ah;exclam.;A2;ah
ahead;Adverb;B1;air adhart
aid;Noun Verb;B2;chobhair
aim;Verb Noun;B1;amas
air;Noun;A1;adhair
aircraft;Noun;B2;itealain
airline;Noun;A2;chompanaidh-adhair
airport;Noun;A1;port-adhair
alarm;Noun Verb;B1, B2;inneal-rabhaidh
album;Noun;B1;album
alcohol;Noun;B1;deoch-làidir
alcoholic;Adjective;B1;làidir
alive;Adjective;A2;beò
all;det. pron, Adverb;A1, A2;a h-uile
all right;Adjective, Adverb exclam;A2;ceart gu leòr
allow;Verb;A2;cheadachadh
almost;Adverb;A2;cha mhòr
alone;Adjective, Adverb;A2;aonar
along;prep. Adverb;A2;còmhla
already;Adverb;A2;mar-thà
also;Adverb;A1;cuideachd
alter;Verb;B2;Gabh
alternative;Noun Adjective;A2, B1;eile
although;conj;A2;ged a
always;Adverb;A1;an-còmhnaidh
amazed;Adjective;B1;ioghnadh
amazing;Adjective;A1;iongantach
ambition;Noun;B1;glòir-mhiann
ambitious;Adjective;B1;àrd-mhiannach
among;prep.;A2;am measg
amount;Noun Verb;A2, B2;sùim
analyse;Verb;B1;sgrùdaich
analysis;Noun;B1;mion-sgrùdadh
ancient;Adjective;A2;àrsaidh
and;conj;A1;agus
anger;Noun;B2;feirg
angle;Noun;B2;ceàrn
angry;Adjective;A1;feargach
animal;Noun;A1;beathach
ankle;Noun;A2;adhbrann
anniversary;Noun;B2;ceann-bliadhna
announce;Verb;B1;ainmeachadh
announcement;Noun;B1;naidheachd
annoy;Verb;B1;diombach
annoyed;Adjective;B1;mì-thoilichte
annoying;Adjective;B1;chairaidean
annual;Adjective;B2;bliadhnail
another;det. proNoun;A1;eile
answer;Noun Verb;A1;fhreagairt
anxious;Adjective;B2;iomaguineach
any;det. proNoun, Adverb;A1, A2;sam bith
anybody;pron;A2;duine sam bith
any more;Adverb;A2;sam bith eile
anyone;pron;A1;duine sam bith
anything;pron;A1;rud sam bith
anyway;Adverb;A2;co-dhiù
anywhere;AdVerb proNoun;A2;àite sam bith
apart;Adverb;B1;às a chèile
apartment;Noun;A1;Àros
apologize;Verb;B1;duilich
app;Noun;A2;app
apparent;Adjective;B2;follaiseach
apparently;Adverb;B2;a rèir coltais
appeal;Noun Verb;B2;ath-thagradh
appear;Verb;A2;Nochdaidh
appearance;Noun;A2;coltas
apple;Noun;A1;ubhal
application;Noun;B1;iarrtas
apply;Verb;A2;cur a-steach
appointment;Noun;B1;dreuchd
appreciate;Verb;B1;a 'cur luach
approach;Noun Verb;B2;dòigh-obrach
