a, an;indefinite, article;A1;, један
abandon;Verb;B2;напустити
ability;Noun;A2;способност
able;Adjective;A2;способан
about;prep. Adverb;A1;О томе
above;prep. Adverb;A1;изнад
abroad;Adverb;A2;иностранство
absolute;Adjective;B2;апсолутан
absolutely;Adverb;B1;апсолутно
academic;adj, Noun;B1, B2;академски
accept;Verb;A2;прихватити
acceptable;Adjective;B2;прихватљив
access;Noun Verb;B1;приступ
accident;Noun;A2;незгода
accommodation;Noun;B1;смештај
accompany;Verb;B2;пратити
according to;prep.;A2;према
account;Noun Verb;B1, B2;рачун
accurate;Adjective;B2;тачан
accuse;Verb;B2;оптужити
achieve;Verb;A2;постићи
achievement;Noun;B1;достигнуће
acknowledge;Verb;B2;признати
acquire;Verb;B2;стећи
across;prep. Adverb;A1;широм
act;Verb Noun;A2,B1;деловати
action;Noun;A1;поступак
active;Adjective;A2;активан
activity;Noun;A1;активност
actor;Noun;A1;глумац
actress;Noun;A1;глумица
actual;Adjective;B2;актуелан
actually;Adverb;A2;заправо
ad;Noun;B1;реклама
adapt;Verb;B2;прилагодити
add;Verb;A1;додати
addition;Noun;B1;додатак
additional;Adjective;B2;додатни
address;Noun Verb;A1,B2;адреса
administration;Noun;B2;администрација
admire;Verb;B1;дивити се
admit;Verb;B1;пустити
adopt;Verb;B2;усвојити
adult;Noun adj;A1,A2;одрасла особа
Advance;Noun Verb adj;B2;unapred
Advanced;Adjective;B1;напредан
Advantage;Noun;A2;предност
Adventure;Noun;A2;авантура
Advertise;Verb;A2;рекламирати
Advertisement;Noun;A2;Реклама
Advertising;Noun;A2;оглашавање
Advice;Noun Verb;A1, B1;савет
affair;Noun;B2;афера
affect;Verb;A2;утицати
afford;Verb;B1;приуштити
afraid;Adjective;A1;уплашен
after;prep. conj. Adverb;A1,A2;после
afternoon;Noun;A1;поподневни
afterwards;Adverb;B2;после
again;Adverb;A1;опет
against;prep;A2;против
age;Noun Verb;A1, B1;старост
aged;Adjective;B1;старости
agency;Noun;B2;агенција
agenda;Noun;B2;дневни ред
agent;Noun;B1;заступник
aggressive;Adjective;B2;агресиван
ago;Adverb;A1;пре
agree;Verb;A1;договорити се
agreement;Noun;B1;договор
ah;exclam.;A2;Ах
ahead;Adverb;B1;напред
aid;Noun Verb;B2;помоћ
aim;Verb Noun;B1;циљ
air;Noun;A1;ваздух
aircraft;Noun;B2;авион
airline;Noun;A2;ваздушна линија
airport;Noun;A1;аеродром
alarm;Noun Verb;B1, B2;алармни
album;Noun;B1;албум
alcohol;Noun;B1;алкохол
alcoholic;Adjective;B1;алкохоличар
alive;Adjective;A2;жив
all;det. pron, Adverb;A1, A2;све
all right;Adjective, Adverb exclam;A2;У реду
allow;Verb;A2;допустити
almost;Adverb;A2;скоро
alone;Adjective, Adverb;A2;сам
along;prep. Adverb;A2;дуж
already;Adverb;A2;већ
also;Adverb;A1;такође
alter;Verb;B2;Алтер
alternative;Noun Adjective;A2, B1;алтернатива
although;conj;A2;иако
always;Adverb;A1;увек
amazed;Adjective;B1;задивљен
amazing;Adjective;A1;Невероватно
ambition;Noun;B1;амбиција
ambitious;Adjective;B1;амбициозан
among;prep.;A2;међу
amount;Noun Verb;A2, B2;износ
analyse;Verb;B1;анализирати
analysis;Noun;B1;анализа
ancient;Adjective;A2;древни
and;conj;A1;и
anger;Noun;B2;љутња
angle;Noun;B2;угао
angry;Adjective;A1;љут
animal;Noun;A1;животиња
ankle;Noun;A2;чланак
anniversary;Noun;B2;годишњица
announce;Verb;B1;најавити
announcement;Noun;B1;објава
annoy;Verb;B1;аннои
annoyed;Adjective;B1;изнервиран
annoying;Adjective;B1;досадан
annual;Adjective;B2;годишњи
another;det. proNoun;A1;други
