a, an;indefinite, article;A1;e, e
abandon;Verb;B2;lahla
ability;Noun;A2;bokhoni ba
able;Adjective;A2;kgona
about;prep. Adverb;A1;mabapi
above;prep. Adverb;A1;ka holimo
abroad;Adverb;A2;naheng e 'ngoe
absolute;Adjective;B2;ka ho feletseng
absolutely;Adverb;B1;ka ho feletseng
academic;adj, Noun;B1, B2;seakatemiki
accept;Verb;A2;amohela
acceptable;Adjective;B2;e amohelehang
access;Noun Verb;B1;fihlella
accident;Noun;A2;kotsi
accommodation;Noun;B1;tsa bodulo
accompany;Verb;B2;felehetsa
according to;prep.;A2;ho latela
account;Noun Verb;B1, B2;akhaonteng
accurate;Adjective;B2;nepahetse
accuse;Verb;B2;qosa
achieve;Verb;A2;fihlella
achievement;Noun;B1;phihlello
acknowledge;Verb;B2;latoleng
acquire;Verb;B2;humana
across;prep. Adverb;A1;ka mose
act;Verb Noun;A2,B1;sebetsa
action;Noun;A1;bohato
active;Adjective;A2;a sebetsang a
activity;Noun;A1;mosebetsi
actor;Noun;A1;motšoantšisi
actress;Noun;A1;actor
actual;Adjective;B2;sebele
actually;Adverb;A2;ha e le hantle
ad;Noun;B1;papatso
adapt;Verb;B2;ikamahanya
add;Verb;A1;eketsa
addition;Noun;B1;Ho phaella moo
additional;Adjective;B2;eketsehileng
address;Noun Verb;A1,B2;aterese
administration;Noun;B2;tsamaiso
admire;Verb;B1;bohe
admit;Verb;B1;lumela
adopt;Verb;B2;amohela
adult;Noun adj;A1,A2;batho ba baholo
Advance;Noun Verb adj;B2;esale pele
Advanced;Adjective;B1;e tsoetseng pele
Advantage;Noun;A2;Molemo
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;phatlalatsang
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;keletso
affair;Noun;B2;taba
affect;Verb;A2;ama
afford;Verb;B1;khona
afraid;Adjective;A1;tšoha
after;prep. conj. Adverb;A1,A2;ka mor'a
afternoon;Noun;A1;thapama
afterwards;Adverb;B2;ka mor'a moo
again;Adverb;A1;hape
against;prep;A2;khahlanong le
age;Noun Verb;A1, B1;lilemo
aged;Adjective;B1;hōlileng
agency;Noun;B2;mokhatlo o fanang ka
agenda;Noun;B2;lenanetabeng
agent;Noun;B1;moemeli
aggressive;Adjective;B2;mabifi
ago;Adverb;A1;fetileng
agree;Verb;A1;lumellana
agreement;Noun;B1;tumellano
ah;exclam.;A2;ah,
ahead;Adverb;B1;pele
aid;Noun Verb;B2;thuso
aim;Verb Noun;B1;sepheo
air;Noun;A1;moea
aircraft;Noun;B2;lifofane
airline;Noun;A2;lifofane
airport;Noun;A1;boema-fofane
alarm;Noun Verb;B1, B2;alamo
album;Noun;B1;album songs
alcohol;Noun;B1;joala
alcoholic;Adjective;B1;joala
alive;Adjective;A2;phela
all;det. pron, Adverb;A1, A2;tsohle
all right;Adjective, Adverb exclam;A2;ho lokile
allow;Verb;A2;dumella
almost;Adverb;A2;hoo e ka bang
alone;Adjective, Adverb;A2;feela
along;prep. Adverb;A2;hammoho
already;Adverb;A2;se
also;Adverb;A1;hape
alter;Verb;B2;fetole maikutlo
alternative;Noun Adjective;A2, B1;mefuta e meng
although;conj;A2;leha
always;Adverb;A1;kamehla
amazed;Adjective;B1;makaditswe
amazing;Adjective;A1;hlollang
ambition;Noun;B1;ho rata botumo
ambitious;Adjective;B1;makoko
among;prep.;A2;har'a
amount;Noun Verb;A2, B2;chelete
analyse;Verb;B1;sekaseka
analysis;Noun;B1;and analysis
ancient;Adjective;A2;ea boholo-holo
and;conj;A1;le
anger;Noun;B2;bohale ba
angle;Noun;B2;angle
angry;Adjective;A1;koatile
animal;Noun;A1;phoofolo
ankle;Noun;A2;leqaqailaneng
anniversary;Noun;B2;sehopotso
announce;Verb;B1;phatlalatsa
announcement;Noun;B1;tsebiso
annoy;Verb;B1;tena
annoyed;Adjective;B1;tenehile
annoying;Adjective;B1;tena
annual;Adjective;B2;selemo le selemo
another;det. proNoun;A1;e mong
answer;Noun Verb;A1;karabo
anxious;Adjective;B2;tšoenyeha
any;det. proNoun, Adverb;A1, A2;leha e le efe
anybody;pron;A2;leha e le mang
any more;Adverb;A2;leha e le efe ho feta
anyone;pron;A1;leha e le mang
anything;pron;A1;eng kapa eng
anyway;Adverb;A2;joalo
anywhere;AdVerb proNoun;A2;kae kapa kae
apart;Adverb;B1;ntle
apartment;Noun;A1;foleteng
apologize;Verb;B1;kōpa tšoarelo
app;Noun;A2;App
apparent;Adjective;B2;totobala
apparently;Adverb;B2;Kamoo ho bonahalang kateng
appeal;Noun Verb;B2;boipiletso ba
appear;Verb;A2;hlaha
appearance;Noun;A2;ponahalo ea
apple;Noun;A1;apole
application;Noun;B1;kopo
apply;Verb;A2;etsa kopo
appointment;Noun;B1;ho khethoa ha
appreciate;Verb;B1;ananela
approach;Noun Verb;B2;mokgwathupelo
appropriate;Adjective;B2;lokileng
approval;Noun;B2;amoheloe
approve;Verb;B2;ananela
approximately;Adverb;B1;hoo e ka bang
April;Noun;A1;Mmesa
architect;Noun;A2;meralo
architecture;Noun;A2;mehaho
area;Noun;A1;sebakeng seo
argue;Verb;A2;pheha khang
argument;Noun;A2;khang
arise;Verb;B2;hlaha
arm;Noun;A1;Arm
armed;Adjective;B2;hlometseng
arms;Noun;B2;matsoho a
army;Noun;A2;lebotho la
around;prep. Adverb;A1;pota
arrange;Verb;A2;lokisetsa
arrangement;Noun;A2;tokisetso ea
arrest;Verb Noun;B1;tšoara
arrival;Noun;B1;ho fihla
arrive;Verb;A1;fihla
art;Noun;A1;bonono
article;Noun;A1;sehlooho se reng
artificial;Adjective;B2;maiketsetso
artist;Noun;A1;moetsi oa litšoantšo
artistic;Adjective;B2;bonono
as;prep., Adverb conj.;A1, A2;jwalo
ashamed;Adjective;B2;hlajoa ke lihlong
asleep;Adjective;A2;robetse
ask;Verb;A1;kopa
aspect;Noun;B2;tšobotsi
assess;Verb;B2;hlahloba
assessment;Noun;B2;tsa tekolo tse
assignment;Noun;B1;lona kabelong ya
assist;Verb;B1;thusa
assistant;Noun Adjective;A2;motlatsi
associate;Verb;B2;itsoakanye
associated;Adjective;B2;se amahanngoang
association;Noun;B2;mokgatlo
assume;Verb;B2;inkele
at;prep.;A1;ka
athlete;Noun;A2;moatlelete
atmosphere;Noun;B1;sepakapaka
attach;Verb;B1;hokela
attack;Noun Verb;A2;tlhaselo
attempt;Noun Verb;B2;leka
attend;Verb;A2;tsenelago
attention;Noun exclam.;A2;a lebisa tlhokomelo
attitude;Noun;B1;boikutlo bo
attract;Verb;B1;hohela
attraction;Noun;B1;khahloa
attractive;Adjective;A2;motle
audience;Noun;A2;bamameli ba
August;Noun;A1;Phato
aunt;Noun;A1;'Mangoane
author;Noun;A2;mongoli
authority;Noun;B1;matla a ho laela
autumn;Noun;A1;hoetla
available;Adjective;A2;fumaneha
average;Adjective, Noun Verb;A2, B1;karolelano
avoid;Verb;A2;qoba ho kena
award;Noun Verb;A2, B1;khau
aware;Adjective;B1;hlokomedisa
away;Adverb;A1;hang
awful;Adjective;A2;bohloko bo tsabehang
baby;Noun;A1;lesea
back;Noun AdVerb Adjective, Verb;A1, A2, B2;morao
background;Noun;A2;semelo sa
backwards;Adverb;B1;morao
bacteria;Noun;B2;libaktheria
bad;Adjective;A1;mpe
badly;Adverb;A2;hampe
bag;Noun;A1;mokotla
bake;Verb;B1;ho baka
balance;Noun Verb;B1;ho leka-lekana
ball;Noun;A1;bolo
ban;Verb Noun;B1;thibelo e
banana;Noun;A1;banana
band;Noun;A1;sehlopha
bank (money);Noun;A1;banka (tjhelete)
bank (river);Noun;B1;banka (noka)
bar;Noun Verb;A2, B2;bareng
barrier;Noun;B2;mokoallo
base;Noun Verb;B1;botlaaseng
baseball;Noun;A2;baseball,
based;Adjective;A2;thehiloeng
basketball;Noun;A2;'basketball
basic;Adjective;B1;mantlha
basically;Adverb;B2;ha e le hantle
basis;Noun;B1;motheo oa
bath;Noun;A1;hlapa
bathroom;Noun;A1;ntloana
battery;Noun;B1;leshala
battle;Noun Verb;B1, B2;ea ntoeng
be;Verb auxiliary Verb;A1;ba
beach;Noun;A1;leoatle
bean;Noun;A2;linaoa
bear (deal with);Verb;B2;bere (sebetsana le)
bear (animal);Noun;A2;bere (phoofolo)
beat;Verb Noun;A2, B2;morethetho
beautiful;Adjective;A1;ntle
beauty;Noun;B1;botle
because;conj.;A1;hobane
become;Verb;A1;ba
bed;Noun;A1;bethe
bedroom;Noun;A1;kamoreng
bee;Noun;B1;notši
beef;Noun;A2;nama ea khomo
beer;Noun;A1;biri
before;prep., conj. Adverb;A1, A2;pele
beg;Verb;B2;qela
begin;Verb;A1;qala
beginning;Noun;A1;tsimolohong
behave;Verb;A2;itshwarago
behaviour;Noun;A2;boitšoaro bo
behind;prep. Adverb;A1;morao
being;Noun;B2;ho ntseng ho
belief;Noun;B1;tumelo
believe;Verb;A1;lumela
bell;Noun;B1;tšepe
belong;Verb;A2;lolab
below;Adverb prep.;A1;tlase
belt;Noun;A2;lebanta
bend;Verb Noun;B1;koba
benefit;Verb NouNoun;A2, B1;rue molemo lijong
bent;Adjective;B2;sothoe
best;Adjective, AdVerb Noun;A1, A2;molemo ka ho fetisisa
bet;Verb Noun;B2;Bet
better;Adjective , Adverb , Noun;A1, A2, B1;molemo
between;prep., Adverb;A1, A2;pakeng
beyond;prep. Adverb;B2;ka nģ'ane
bicycle;Noun;A1;baesekele
big;Adjective;A1;kholo
bike;Noun;A1;baesekele
bill;Noun Verb;A1, B2;bili
billion number; ;A2;limilione tse likete tse nomoro ya
bin;Noun;A2;moqomo
biology;Noun;A2;baeloji
bird;Noun;A1;nonyana
birth;Noun;A2;tsoalo
birthday;Noun;A1;letsatsi la tsoalo
biscuit;Noun;A2;biscuit
bit;Noun;A2;batla
bite;Verb Noun;B1;loma
bitter;Adjective;B2;tlalellane
black;Adjective, Noun;A1;ba batsho
blame;Verb Noun;B2;molato
blank;Adjective, Noun;A2;sekheo
blind;Adjective;B2;foufetseng
block;Noun Verb;B1;le literata
blog;Noun;A1;blog ya
blonde;Adjective;A1;lekhooa
blood;Noun;A2;mali
blow;Verb;A2;bohloko
blue;Adjective, Noun;A1;putsoa
board;Noun Verb;A2, B1;boto
boat;Noun;A1;sekepe
body;Noun;A1;'mele
boil;Verb;A2;lethopa
bomb;Noun Verb;B1;bomo
bond;Noun;B2;tlamo e
bone;Noun;A2;lesapo
book;Noun Verb;A1, A2;buka
boot;Noun;A1;dia boot
border;Noun Verb;B1, B2;leliboho
bored;Adjective;A1;jeoa ke bolutu
boring;Adjective;A1;bora
born;Verb;A1;hlahetse
borrow;Verb;A2;alime
boss;Noun;A2;mookameli
both;det./proNoun;A1;bobeli
bother;Verb;B1;itšoenye
bottle;Noun;A1;botlolo
bottom;NouNoun Adjective;A2;tlase
bowl;Noun;A2;sekotlolo
box;Noun;A1;lebokose
boy;Noun;A1;moshanyana
boyfriend;Noun;A1;mohlankana
brain;Noun;A2;boko
branch;Noun;B1;ea lekala
brand;Noun Verb;B1;cha
brave;Adjective;B1;sebete
bread;Noun;A1;bohobe
break;Verb Noun;A1;khefu
breakfast;Noun;A1;lijo tsa hoseng
breast;Noun;B2;letsoele
breath;Noun;B1;phefumoloho
breathe;Verb;B1;hema
breathing;Noun;B1;ho hema
bride;Noun;B1;monyaluoa
bridge;Noun;A2;borokho
brief;Adjective;B2;e khutšoanyane
bright;Adjective;A2;khanyang
brilliant;Adjective;A2;khanya
bring;Verb;A1;tlisa
broad;Adjective;B2;sephara
broadcast;Verb Noun;B2;hasoa
broken;Adjective;A2;robehile
