a, an;indefinite, article;A1;a, imwe
abandon;Verb;B2;siya
ability;Noun;A2;kugona
able;Adjective;A2;vanokwanisa
about;prep. Adverb;A1;pamusoro
above;prep. Adverb;A1;nechepamusoro
abroad;Adverb;A2;mhiri
absolute;Adjective;B2;Mhedziso
absolutely;Adverb;B1;chaizvoizvo
academic;adj, Noun;B1, B2;zvechikoro
accept;Verb;A2;kubvuma
acceptable;Adjective;B2;chinogamuchirika
access;Noun Verb;B1;upindo
accident;Noun;A2;tsaona
accommodation;Noun;B1;pokugara
accompany;Verb;B2;perekedza
according to;prep.;A2;maererano ne
account;Noun Verb;B1, B2;Nhoroondo
accurate;Adjective;B2;nemazvo
accuse;Verb;B2;-pomera
achieve;Verb;A2;budirira
achievement;Noun;B1;madambu
acknowledge;Verb;B2;bvuma
acquire;Verb;B2;Wana
across;prep. Adverb;A1;nepakati
act;Verb Noun;A2,B1;kuita
action;Noun;A1;chiito
active;Adjective;A2;vachishingaira
activity;Noun;A1;basa
actor;Noun;A1;mutambi
actress;Noun;A1;mutambi
actual;Adjective;B2;chaiyeiye
actually;Adverb;A2;chaizvoizvo
ad;Noun;B1;AD
adapt;Verb;B2;shanduka
add;Verb;A1;wedzera
addition;Noun;B1;Kuwedzera
additional;Adjective;B2;zvakawedzerwa
address;Noun Verb;A1,B2;adhiresi
administration;Noun;B2;adhimini
admire;Verb;B1;yemura
admit;Verb;B1;bvuma
adopt;Verb;B2;toredzera
adult;Noun adj;A1,A2;munhu akura
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;enderera
Advantage;Noun;A2;nani
Adventure;Noun;A2;ushingi
Advertise;Verb;A2;shambadza
Advertisement;Noun;A2;shambadzo
Advertising;Noun;A2;kushambadza
Advice;Noun Verb;A1, B1;zano
affair;Noun;B2;mashandiro
affect;Verb;A2;kanganisa
afford;Verb;B1;gona
afraid;Adjective;A1;afraid
after;prep. conj. Adverb;A1,A2;pashure
afternoon;Noun;A1;masikati
afterwards;Adverb;B2;mushure
again;Adverb;A1;zvakare
against;prep;A2;pamusoro
age;Noun Verb;A1, B1;zera
aged;Adjective;B1;vakwegura
agency;Noun;B2;boka
agenda;Noun;B2;chinangwa
agent;Noun;B1;muiti
aggressive;Adjective;B2;va neukasha
ago;Adverb;A1;kare
agree;Verb;A1;dzinobvumirana
agreement;Noun;B1;chibvumirano
ah;exclam.;A2;aaa
ahead;Adverb;B1;mberi
aid;Noun Verb;B2;ruyamuro
aim;Verb Noun;B1;vavarira
air;Noun;A1;mhepo
aircraft;Noun;B2;ndege
airline;Noun;A2;nzira inofamba nendege
airport;Noun;A1;nhandare yendege
alarm;Noun Verb;B1, B2;aramu
album;Noun;B1;arubhamu
alcohol;Noun;B1;doro
alcoholic;Adjective;B1;chidhakwa
alive;Adjective;A2;vapenyu
all;det. pron, Adverb;A1, A2;zvose
all right;Adjective, Adverb exclam;A2;zvese zvakaringana
allow;Verb;A2;tendera
almost;Adverb;A2;zvinenge
alone;Adjective, Adverb;A2;oga
along;prep. Adverb;A2;pamwe
already;Adverb;A2;kare
also;Adverb;A1;wo
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;mapindukiro
although;conj;A2;kunyange
always;Adverb;A1;nguva dzose
amazed;Adjective;B1;vakashamiswa
amazing;Adjective;A1;zvinoshamisa
ambition;Noun;B1;vavariro
ambitious;Adjective;B1;va nechido
among;prep.;A2;pakati
amount;Noun Verb;A2, B2;uwandu
analyse;Verb;B1;ongorora
analysis;Noun;B1;ongororo
ancient;Adjective;A2;zvekare
and;conj;A1;uye
anger;Noun;B2;hasha
angle;Noun;B2;angled
angry;Adjective;A1;vakatsamwa
animal;Noun;A1;mhuka
ankle;Noun;A2;ziso regumbo
anniversary;Noun;B2;mhembero
announce;Verb;B1;zivisa
announcement;Noun;B1;chiziviso
annoy;Verb;B1;netsa
annoyed;Adjective;B1;ndakarwadziwa
annoying;Adjective;B1;kunetsa
annual;Adjective;B2;gore negore
another;det. proNoun;A1;mumwe
answer;Noun Verb;A1;mhinduro
anxious;Adjective;B2;mwoyo
any;det. proNoun, Adverb;A1, A2;ani
anybody;pron;A2;munhu
any more;Adverb;A2;zvakare
anyone;pron;A1;munhu
anything;pron;A1;chinhu
anyway;Adverb;A2;zvakadaro hazvo
anywhere;AdVerb proNoun;A2;kwose kwose
apart;Adverb;B1;kunze
apartment;Noun;A1;mupanda
apologize;Verb;B1;kumbira ruregerero
app;Noun;A2;App
apparent;Adjective;B2;pachena
apparently;Adverb;B2;zvinenge
appeal;Noun Verb;B2;kutsutsumwa
appear;Verb;A2;kuonekwa
appearance;Noun;A2;chitarisiko
apple;Noun;A1;apuro
application;Noun;B1;kunyoresa
apply;Verb;A2;kushandisa
appointment;Noun;B1;sarudzo
appreciate;Verb;B1;koshesa
approach;Noun Verb;B2;kusvika
appropriate;Adjective;B2;Kumbomira
approval;Noun;B2;kubvumira
approve;Verb;B2;bvumira
approximately;Adverb;B1;anenge
April;Noun;A1;Kubvumbi
architect;Noun;A2;akitekiti
architecture;Noun;A2;akitekicha
area;Noun;A1;nharaunda
argue;Verb;A2;kakarara
argument;Noun;A2;nharo
arise;Verb;B2;simuka
arm;Noun;A1;ruoko
armed;Adjective;B2;vakanga
arms;Noun;B2;maoko
army;Noun;A2;Mauto
around;prep. Adverb;A1;kumativi
arrange;Verb;A2;ronga
arrangement;Noun;A2;urongwa
arrest;Verb Noun;B1;kusunga
