a, an;indefinite, article;A1;هڪ، هڪ
abandon;Verb;B2;ڇڏي ڏنو
ability;Noun;A2;صلاحيت
able;Adjective;A2;وس
about;prep. Adverb;A1;جي باري ۾
above;prep. Adverb;A1;مٿي
abroad;Adverb;A2;تتر
absolute;Adjective;B2;مطلق
absolutely;Adverb;B1;بلڪل
academic;adj, Noun;B1, B2;تعليمي
accept;Verb;A2;قبول
acceptable;Adjective;B2;قبول
access;Noun Verb;B1;گهڻن
accident;Noun;A2;آ
accommodation;Noun;B1;ٺھراء
accompany;Verb;B2;ريڊي
according to;prep.;A2;جي مطابق
account;Noun Verb;B1, B2;حساب
accurate;Adjective;B2;صحيح
accuse;Verb;B2;کي تھمت لائين
achieve;Verb;A2;حاصل ڪرڻ
achievement;Noun;B1;مراد ماڻڻ
acknowledge;Verb;B2;مڃتا
acquire;Verb;B2;حاصل
across;prep. Adverb;A1;پار
act;Verb Noun;A2,B1;ايڪٽ
action;Noun;A1;عمل
active;Adjective;A2;سرگرم
activity;Noun;A1;سرگرمي
actor;Noun;A1;اداڪار
actress;Noun;A1;اداکارہ
actual;Adjective;B2;اصل
actually;Adverb;A2;در
ad;Noun;B1;ع
adapt;Verb;B2;مطابقت
add;Verb;A1;شامل ڪرڻ
addition;Noun;B1;ان کان سواء
additional;Adjective;B2;اضافي
address;Noun Verb;A1,B2;پتو
administration;Noun;B2;انتظاميه
admire;Verb;B1;هٽلر
admit;Verb;B1;داخل
adopt;Verb;B2;بڻائيندا
adult;Noun adj;A1,A2;بالغ
Advance;Noun Verb adj;B2;اڳواٽ
Advanced;Adjective;B1;اعلي درجي
Advantage;Noun;A2;فائدو
Adventure;Noun;A2;مهم
Advertise;Verb;A2;اشتهار
Advertisement;Noun;A2;اشتهار
Advertising;Noun;A2;اشتهار سازي
Advice;Noun Verb;A1, B1;صلاح
affair;Noun;B2;ڪم
affect;Verb;A2;متاثر
afford;Verb;B1;برداشت
afraid;Adjective;A1;ڊڄو
after;prep. conj. Adverb;A1,A2;پوء
afternoon;Noun;A1;منجهند
afterwards;Adverb;B2;وري
again;Adverb;A1;ٻيهر
against;prep;A2;خلاف
age;Noun Verb;A1, B1;عمر
aged;Adjective;B1;وڏي عمر
agency;Noun;B2;ايجنسي
agenda;Noun;B2;حياتيون
agent;Noun;B1;ايجنٽ
aggressive;Adjective;B2;جوش
ago;Adverb;A1;اڳ
agree;Verb;A1;متفق
agreement;Noun;B1;معاهدي
ah;exclam.;A2;هه
ahead;Adverb;B1;اڳي
aid;Noun Verb;B2;امداد
aim;Verb Noun;B1;مقصد
air;Noun;A1;هوائي
aircraft;Noun;B2;جهاز
airline;Noun;A2;هوائي رستو
airport;Noun;A1;هوائي اڏي
alarm;Noun Verb;B1, B2;الارم
album;Noun;B1;بياض
alcohol;Noun;B1;شراب
alcoholic;Adjective;B1;شراب
alive;Adjective;A2;زنده
all;det. pron, Adverb;A1, A2;سڀ
all right;Adjective, Adverb exclam;A2;سڀ ٺيڪ آهي
allow;Verb;A2;جي اجازت
almost;Adverb;A2;لڳ ڀڳ
alone;Adjective, Adverb;A2;اڪيلو
along;prep. Adverb;A2;گڏ
already;Adverb;A2;اڳ ۾ ئي
also;Adverb;A1;به
alter;Verb;B2;تبديل
alternative;Noun Adjective;A2, B1;ڪيڏو
although;conj;A2;باقي
always;Adverb;A1;هميشه
amazed;Adjective;B1;حيرت
amazing;Adjective;A1;هذا
ambition;Noun;B1;لوڀ
ambitious;Adjective;B1;ambitious
among;prep.;A2;مان
amount;Noun Verb;A2, B2;رقم
analyse;Verb;B1;تجزيو
analysis;Noun;B1;تجزيو
ancient;Adjective;A2;قديم
and;conj;A1;۽
anger;Noun;B2;ڪاوڙ
angle;Noun;B2;ڪنڊ
angry;Adjective;A1;ناراض
animal;Noun;A1;حيوان
ankle;Noun;A2;ankle
anniversary;Noun;B2;ورسي
announce;Verb;B1;اعلان
announcement;Noun;B1;اعلان
annoy;Verb;B1;ايذائيندا
annoyed;Adjective;B1;بڇان
annoying;Adjective;B1;annoying
annual;Adjective;B2;سالياني
another;det. proNoun;A1;ٻيو
answer;Noun Verb;A1;جواب
anxious;Adjective;B2;فڪر مند
any;det. proNoun, Adverb;A1, A2;ڪنهن به
anybody;pron;A2;الام
any more;Adverb;A2;ڪنهن به وڌيڪ
anyone;pron;A1;ڪنهن
anything;pron;A1;ڪا به
anyway;Adverb;A2;هيري
anywhere;AdVerb proNoun;A2;ڪٿي
apart;Adverb;B1;حصو
apartment;Noun;A1;اوطاق
apologize;Verb;B1;تڪليف
app;Noun;A2;ائپ
apparent;Adjective;B2;ظاھر
apparently;Adverb;B2;apparently
appeal;Noun Verb;B2;اپيل
appear;Verb;A2;ظاهر
appearance;Noun;A2;ظاهر
apple;Noun;A1;صوف
application;Noun;B1;درخواست
apply;Verb;A2;لاڳو
appointment;Noun;B1;مقرري
appreciate;Verb;B1;داد
approach;Noun Verb;B2;اچڻ
appropriate;Adjective;B2;مناسب
approval;Noun;B2;جي منظوري
approve;Verb;B2;منظور
approximately;Adverb;B1;لڳ ڀڳ
April;Noun;A1;اپريل
architect;Noun;A2;دان
architecture;Noun;A2;تعمير
area;Noun;A1;ڪابل
argue;Verb;A2;دليل
argument;Noun;A2;دليل
arise;Verb;B2;اڀرڻ
arm;Noun;A1;بجا
armed;Adjective;B2;هٿياربند
arms;Noun;B2;هٿن
army;Noun;A2;فوج
around;prep. Adverb;A1;چوڌاري
arrange;Verb;A2;بندوبست
arrangement;Noun;A2;بندوبست
