a, an;indefinite, article;A1;a, hiji
abandon;Verb;B2;ninggalkeun
ability;Noun;A2;kamampuhan
able;Adjective;A2;bisa
about;prep. Adverb;A1;kira-kira
above;prep. Adverb;A1;di luhur
abroad;Adverb;A2;luar nagari
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;leres pisan
academic;adj, Noun;B1, B2;akademis
accept;Verb;A2;narima
acceptable;Adjective;B2;bisa ditarima
access;Noun Verb;B1;jalan asup
accident;Noun;A2;kacilakaan
accommodation;Noun;B1;bantuan
accompany;Verb;B2;marengan
according to;prep.;A2;numutkeun kana
account;Noun Verb;B1, B2;rekening
accurate;Adjective;B2;pas
accuse;Verb;B2;nuding
achieve;Verb;A2;ngahontal
achievement;Noun;B1;prestasi
acknowledge;Verb;B2;ngaku
acquire;Verb;B2;meunang
across;prep. Adverb;A1;di peuntas
act;Verb Noun;A2,B1;meta
action;Noun;A1;aksi
active;Adjective;A2;aktip
activity;Noun;A1;kagiatan
actor;Noun;A1;lalaki nu ngalalajoaneun
actress;Noun;A1;awewe nu ngalalajoaneun
actual;Adjective;B2;saleresna
actually;Adverb;A2;saleresna
ad;Noun;B1;ad
adapt;Verb;B2;ngakurkeun
add;Verb;A1;nambah
addition;Noun;B1;tambahan
additional;Adjective;B2;tambahan
address;Noun Verb;A1,B2;alamat
administration;Noun;B2;administrasi
admire;Verb;B1;muja
admit;Verb;B1;ngaku
adopt;Verb;B2;ngukut anak
adult;Noun adj;A1,A2;dewasa
Advance;Noun Verb adj;B2;ngamajukeun
Advanced;Adjective;B1;maju
Advantage;Noun;A2;Kauntungannana
Adventure;Noun;A2;pangalalanaan
Advertise;Verb;A2;Ngareklameukeun
Advertisement;Noun;A2;reklameu
Advertising;Noun;A2;perkara reklameu
Advice;Noun Verb;A1, B1;pituah
affair;Noun;B2;urusan
affect;Verb;A2;mangaruhan
afford;Verb;B1;mampuh
afraid;Adjective;A1;sieun
after;prep. conj. Adverb;A1,A2;saatos
afternoon;Noun;A1;burit
afterwards;Adverb;B2;saenggeus
again;Adverb;A1;deui
against;prep;A2;ngalawan
age;Noun Verb;A1, B1;umur
aged;Adjective;B1;yuswa
agency;Noun;B2;agen
agenda;Noun;B2;agenda
agent;Noun;B1;agen
aggressive;Adjective;B2;agresip
ago;Adverb;A1;tukang
agree;Verb;A1;satuju
agreement;Noun;B1;perjangjian
ah;exclam.;A2;ah
ahead;Adverb;B1;di payun
aid;Noun Verb;B2;bantuan
aim;Verb Noun;B1;tujul
air;Noun;A1;hawa
aircraft;Noun;B2;kapal udara
airline;Noun;A2;pausahaan kapal udara
airport;Noun;A1;palabuan udara
alarm;Noun Verb;B1, B2;alarem
album;Noun;B1;albeum
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;pamabokan
alive;Adjective;A2;hirup
all;det. pron, Adverb;A1, A2;sadaya
all right;Adjective, Adverb exclam;A2;henteu kunanaon
allow;Verb;A2;ngidinkeun
almost;Adverb;A2;meh
alone;Adjective, Adverb;A2;sorangan
along;prep. Adverb;A2;sapanjang
already;Adverb;A2;enggeus
also;Adverb;A1;oge
alter;Verb;B2;Ngarobah
alternative;Noun Adjective;A2, B1;alternatip
although;conj;A2;sanajan
always;Adverb;A1;salawasna
amazed;Adjective;B1;amazed
amazing;Adjective;A1;endah pisan
ambition;Noun;B1;ambisi
ambitious;Adjective;B1;gede ambisina
among;prep.;A2;di antara
amount;Noun Verb;A2, B2;jumlah
analyse;Verb;B1;nganalisa
analysis;Noun;B1;analisa
ancient;Adjective;A2;kuno
and;conj;A1;jeung
anger;Noun;B2;ambek-ambekan
angle;Noun;B2;juru
angry;Adjective;A1;ambek
animal;Noun;A1;hewan
ankle;Noun;A2;pigeulang suku
anniversary;Noun;B2;pangeling-eling
announce;Verb;B1;ngembarkeun
announcement;Noun;B1;bewara
annoy;Verb;B1;ngaganggu
annoyed;Adjective;B1;annoyed
annoying;Adjective;B1;ganggu
annual;Adjective;B2;unggal taun
another;det. proNoun;A1;nu sejenna
answer;Noun Verb;A1;jawaban
anxious;Adjective;B2;guligah
any;det. proNoun, Adverb;A1, A2;sagala
anybody;pron;A2;saha bae
any more;Adverb;A2;deui
anyone;pron;A1;saha
anything;pron;A1;naon bae
anyway;Adverb;A2;kumaha bae age
anywhere;AdVerb proNoun;A2;di mana bae
apart;Adverb;B1;kapisah
apartment;Noun;A1;apartemen
apologize;Verb;B1;nyuhunkeun hampura
app;Noun;A2;aplikasi
apparent;Adjective;B2;katingali
apparently;Adverb;B2;katingalina
appeal;Noun Verb;B2;banding
appear;Verb;A2;katingali
appearance;Noun;A2;katingalian
apple;Noun;A1;apel
application;Noun;B1;aplikasi
apply;Verb;A2;ngalamar
appointment;Noun;B1;panunjukeun
appreciate;Verb;B1;ngahargaaan
approach;Noun Verb;B2;ngadeukeutan
appropriate;Adjective;B2;cocok
approval;Noun;B2;kasatujuan
approve;Verb;B2;satuju
approximately;Adverb;B1;kira-kira
April;Noun;A1;April
architect;Noun;A2;undagi
architecture;Noun;A2;gawena undagi
area;Noun;A1;Daérah
argue;Verb;A2;ngabantah
argument;Noun;A2;bantahan
arise;Verb;B2;hudang
arm;Noun;A1;panangan
armed;Adjective;B2;angkatan
arms;Noun;B2;panangan
army;Noun;A2;soldadu
around;prep. Adverb;A1;kira-kira
arrange;Verb;A2;ngatur
arrangement;Noun;A2;carana nata
arrest;Verb Noun;B1;panahanan
arrival;Noun;B1;kasumpingan
arrive;Verb;A1;sumping
art;Noun;A1;seni
article;Noun;A1;artikel
artificial;Adjective;B2;jieunan
artist;Noun;A1;artis
artistic;Adjective;B2;endah
as;prep., Adverb conj.;A1, A2;siga
ashamed;Adjective;B2;isin
asleep;Adjective;A2;sare
ask;Verb;A1;nanya
aspect;Noun;B2;aspék
assess;Verb;B2;ngira-ngira
assessment;Noun;B2;taksiran
assignment;Noun;B1;tugas
assist;Verb;B1;mantuan
assistant;Noun Adjective;A2;asisten
associate;Verb;B2;babaturan deukeut
associated;Adjective;B2;dimaksudkeun
association;Noun;B2;perkumpulan
assume;Verb;B2;ngirakeun
at;prep.;A1;di
athlete;Noun;A2;atlet
atmosphere;Noun;B1;atmosper
attach;Verb;B1;ngalampirkeun
attack;Noun Verb;A2;panarajang
attempt;Noun Verb;B2;nyobian
attend;Verb;A2;ngadatangan
attention;Noun exclam.;A2;perhatian
attitude;Noun;B1;sikep
attract;Verb;B1;pikaresepeun
attraction;Noun;B1;kakuatan keur narik ati
attractive;Adjective;A2;pikaresepeun
audience;Noun;A2;nu haladir
August;Noun;A1;Agustus
aunt;Noun;A1;bibi
author;Noun;A2;nu ngarang
authority;Noun;B1;wibawa
autumn;Noun;A1;gugur
available;Adjective;A2;aya
average;Adjective, Noun Verb;A2, B1;rata-rata
avoid;Verb;A2;nyingkahan
award;Noun Verb;A2, B1;panghargaan
aware;Adjective;B1;eling
away;Adverb;A1;tebih
awful;Adjective;A2;pikasieuneun
baby;Noun;A1;orok
back;Noun AdVerb Adjective, Verb;A1, A2, B2;balik deui
background;Noun;A2;kasang tukang
backwards;Adverb;B1;tibalik
bacteria;Noun;B2;bakteri
bad;Adjective;A1;awon
badly;Adverb;A2;parah
bag;Noun;A1;tas
bake;Verb;B1;manggang
balance;Noun Verb;B1;kasaimbangan
ball;Noun;A1;bal
ban;Verb Noun;B1;nyaram
banana;Noun;A1;cau
band;Noun;A1;pita
bank (money);Noun;A1;bank (duit)
bank (river);Noun;B1;bank (walungan)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;halangan
base;Noun Verb;B1;dasar
baseball;Noun;A2;baseball
based;Adjective;A2;dumasar
basketball;Noun;A2;baskét
basic;Adjective;B1;dasar
basically;Adverb;B2;dasarna
basis;Noun;B1;dasar
bath;Noun;A1;mandi
bathroom;Noun;A1;kamar mandi
battery;Noun;B1;batre
battle;Noun Verb;B1, B2;perang
be;Verb auxiliary Verb;A1;aya
beach;Noun;A1;basisir
bean;Noun;A2;buncis
bear (deal with);Verb;B2;biruang (diungkulan)
bear (animal);Noun;A2;biruang (sato)
beat;Verb Noun;A2, B2;ngamen
beautiful;Adjective;A1;geulis
beauty;Noun;B1;kageulisan
because;conj.;A1;margi
become;Verb;A1;ngajadikeun
bed;Noun;A1;ranjang
bedroom;Noun;A1;pangkeng
bee;Noun;B1;nyiruan
beef;Noun;A2;daging sapi
beer;Noun;A1;bir
